Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-3.984992e+02,-3.795136e+02,-3.919603e+02,-3.993686e+02,-4.015580e+02,-3.919361e+02,-3.404192e+02,-2.586951e+02,-1.960326e+02,-1.792035e+02,-1.726174e+02,-1.674046e+02,-1.651512e+02,-1.691304e+02,-1.698596e+02,-1.653664e+02,-1.618605e+02,-1.576589e+02,-1.644898e+02,-1.887930e+02,-2.343809e+02,-2.885279e+02,-3.251523e+02,-3.456602e+02,-3.688052e+02,-3.910414e+02,-4.014184e+02,-4.044438e+02,-4.089955e+02,-4.123415e+02,-4.101997e+02,-4.095207e+02
5.869178e+01,7.361763e+01,6.563022e+01,6.168862e+01,6.289117e+01,7.129832e+01,1.278143e+02,1.673437e+02,1.664949e+02,1.569148e+02,1.558951e+02,1.475117e+02,1.449979e+02,1.485894e+02,1.447811e+02,1.437827e+02,1.553355e+02,1.693229e+02,1.856774e+02,1.935376e+02,1.875863e+02,1.710749e+02,1.416366e+02,1.188122e+02,9.271903e+01,6.800516e+01,6.060368e+01,5.810319e+01,5.697533e+01,5.414910e+01,5.439452e+01,5.342380e+01
-4.323078e+00,-5.858597e+00,4.022151e+00,1.280917e+01,1.860590e+01,1.398494e+01,4.409834e+01,4.765474e+01,3.181963e+01,1.571350e+01,7.309564e+00,-1.452117e+00,-4.407844e+00,-5.385437e+00,-3.148017e+00,-5.271053e+00,-5.350850e+00,1.332734e-01,1.809743e+01,3.481461e+01,4.437624e+01,5.638871e+01,5.475858e+01,4.320810e+01,2.544973e+01,7.250439e+00,5.797523e+00,7.359931e+00,1.476721e+01,1.678988e+01,1.254652e+01,9.150080e+00
-1.446244e+01,-1.770491e+01,-1.222697e+01,-4.457850e+00,1.472037e+00,-4.727637e+00,1.217705e+00,-6.719946e+00,-1.232022e+01,-8.138494e+00,-1.554306e+00,1.466068e+00,3.684336e+00,-1.090062e-02,-6.553620e-01,-2.359138e+00,-4.471441e+00,-8.130398e+00,-1.057921e+01,-5.418684e+00,1.361701e+00,9.217626e+00,2.157474e+01,1.829299e+01,3.475746e+00,-1.010779e+01,-1.204022e+01,-9.299868e+00,-5.666717e-01,2.337039e+00,-1.979781e+00,-4.665644e+00
1.396330e+01,1.209902e+01,6.143072e+00,5.548265e+00,8.384924e+00,3.897773e+00,-1.022548e+01,-3.996302e+01,-5.272195e+01,-4.509312e+01,-4.165185e+01,-4.097256e+01,-3.447685e+01,-3.125080e+01,-3.595621e+01,-4.080595e+01,-4.541716e+01,-5.202644e+01,-5.715418e+01,-4.632209e+01,-2.468439e+01,-1.161459e+00,1.767495e+01,1.972582e+01,7.269939e+00,4.874259e+00,7.942958e+00,8.063931e+00,9.366776e+00,9.987534e+00,9.395408e+00,1.012588e+01
2.136165e+01,1.700355e+01,1.503391e+01,1.476036e+01,1.502570e+01,6.944356e+00,-1.538396e+01,-9.925163e+00,2.466245e+01,4.392514e+01,4.820255e+01,5.090573e+01,5.286585e+01,4.823978e+01,5.055202e+01,5.369186e+01,5.413977e+01,4.815394e+01,3.464348e+01,2.411686e+01,8.488896e+00,7.221445e-01,7.354885e+00,1.090072e+01,7.686090e+00,1.487346e+01,2.303374e+01,2.254101e+01,1.619312e+01,1.584760e+01,1.765355e+01,1.947634e+01
3.338414e+00,1.873748e+00,2.458977e+00,4.986479e+00,7.447278e+00,3.926425e+00,-2.423248e+01,-2.698031e+01,-2.729079e+01,-1.562612e+01,-1.215583e+01,-1.533222e+01,-2.072311e+01,-2.401965e+01,-2.766296e+01,-2.462369e+01,-9.951204e+00,-3.887012e+00,-6.437459e+00,-9.039639e+00,-7.410011e+00,-1.008758e+01,-1.309518e+01,-8.447802e+00,-1.190343e+00,6.947809e+00,1.115330e+01,1.467978e+01,8.986101e+00,7.040120e+00,8.608272e+00,7.542094e+00
-3.287530e+00,-1.016334e+00,-5.964273e-01,3.914344e+00,8.782464e+00,5.683146e+00,-1.974887e+01,-5.871655e+00,-1.889588e+00,5.554868e+00,-7.215392e+00,-1.872382e+01,-1.805047e+01,-1.859434e+01,-2.387463e+01,-2.594052e+01,-2.622324e+01,-1.930846e+01,-1.960291e+01,-2.323025e+01,-1.795987e+01,-1.646250e+01,-1.973878e+01,-1.162674e+01,-7.002165e+00,-1.963565e-01,-2.658968e+00,5.036046e+00,5.737848e+00,3.246726e+00,4.382945e+00,2.915805e+00
6.134181e+00,3.709536e+00,-2.317353e+00,-1.073949e+00,5.166525e+00,1.651790e+00,-1.584712e+01,-2.284516e+00,-9.536645e-01,2.239393e+00,6.487631e-01,-6.426110e+00,-7.233285e+00,-7.054729e+00,-6.876520e+00,-1.097491e+01,-8.656272e+00,-3.883428e+00,-9.100152e+00,-1.360774e+01,-1.805136e+01,-2.209746e+01,-2.634785e+01,-2.140952e+01,-1.769898e+01,-4.413872e+00,-5.741648e+00,3.919380e-01,4.959805e+00,1.598095e+00,2.287548e+00,3.238832e+00
6.039328e+00,9.870970e-02,-4.974711e+00,-5.501001e+00,-1.707396e+00,-4.735008e+00,-1.670528e+01,-2.544374e+01,-2.855527e+01,-2.845959e+01,-2.665822e+01,-2.450969e+01,-2.564237e+01,-1.908405e+01,-1.373411e+01,-1.773909e+01,-2.477622e+01,-3.215656e+01,-3.131313e+01,-2.712212e+01,-2.708541e+01,-1.886477e+01,-2.085616e+01,-2.361607e+01,-1.474611e+01,-1.477346e+00,-1.582343e+00,1.086579e+00,2.254990e+00,-2.632338e-01,-2.017642e+00,-9.004852e-01
