Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.154756e+02,-2.947324e+02,-2.525665e+02,-2.265262e+02,-2.252158e+02,-2.346624e+02,-2.246492e+02,-2.334753e+02,-2.711754e+02,-3.233932e+02,-3.700789e+02,-4.062028e+02,-4.242057e+02,-4.363773e+02,-4.464661e+02,-4.546639e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02,-4.548926e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.671691e+01,1.635146e+02,1.784861e+02,1.558855e+02,1.436619e+02,1.695720e+02,1.921119e+02,2.011466e+02,1.885932e+02,1.492496e+02,1.032459e+02,6.333389e+01,4.155798e+01,2.527030e+01,1.151982e+01,3.178871e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482906e+01,4.812380e+01,3.089403e+01,-1.073732e+01,-1.461121e+01,-1.117746e+01,-5.171149e+00,1.335552e+01,4.580748e+01,6.590064e+01,6.225734e+01,4.905074e+01,3.631599e+01,2.262027e+01,1.036495e+01,3.016823e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.947363e+00,-3.196188e+01,-3.189996e+01,-2.312678e+01,-1.386903e+01,-4.207542e+01,-5.699956e+01,-6.414313e+01,-4.828105e+01,-9.168901e+00,1.766915e+01,3.121925e+01,2.844459e+01,1.850089e+01,8.557768e+00,2.752857e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.165178e+01,-5.270511e+01,-5.412127e+01,-4.183884e+01,-3.622038e+01,-4.338908e+01,-4.530878e+01,-5.310349e+01,-5.796891e+01,-4.118541e+01,-1.246111e+01,1.456643e+01,1.904976e+01,1.331837e+01,6.260819e+00,2.395858e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.377674e+01,-2.726199e+01,-2.747435e+01,-1.861450e+01,-1.686978e+01,-3.077209e+01,-3.310349e+01,-2.961994e+01,-3.128098e+01,-3.628482e+01,-2.287008e+01,1.203778e+00,9.347169e+00,7.567899e+00,3.675850e+00,1.957920e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.034112e+01,-2.208733e+00,4.047312e+00,4.699899e+00,-3.133321e+00,1.018758e+00,-5.792512e+00,-1.288238e+01,-1.516668e+01,-2.122647e+01,-2.031647e+01,-8.844128e+00,4.329549e-01,1.773000e+00,1.021827e+00,1.453814e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.439402e+00,5.393537e-01,-3.792753e-01,-6.275697e+00,-8.012230e+00,-7.460428e+00,-7.305176e+00,-1.218370e+01,-1.474256e+01,-1.352894e+01,-1.506060e+01,-1.584944e+01,-6.896656e+00,-3.576091e+00,-1.488300e+00,9.005932e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.454599e+01,-1.656425e+01,-2.445719e+01,-2.380254e+01,-2.090271e+01,-3.140735e+01,-3.034467e+01,-2.100235e+01,-1.771742e+01,-1.368332e+01,-1.322209e+01,-1.960173e+01,-1.223928e+01,-8.076715e+00,-3.669319e+00,3.169385e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.217654e+01,-3.199170e+01,-3.141395e+01,-2.863345e+01,-2.621352e+01,-2.846142e+01,-3.037974e+01,-2.613260e+01,-2.187873e+01,-1.676019e+01,-1.533142e+01,-2.018785e+01,-1.558159e+01,-1.145358e+01,-5.381454e+00,-2.774255e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.540110e+01,-3.322952e+01,-3.238981e+01,-2.623834e+01,-2.390623e+01,-2.591686e+01,-2.961742e+01,-3.166426e+01,-2.831457e+01,-2.128867e+01,-1.935477e+01,-1.883571e+01,-1.721058e+01,-1.357944e+01,-6.541993e+00,-8.624120e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.987632e+01,-2.399496e+01,-2.859185e+01,-2.704820e+01,-2.537749e+01,-2.900456e+01,-3.224438e+01,-3.333169e+01,-3.209175e+01,-2.684367e+01,-2.336373e+01,-1.738027e+01,-1.757601e+01,-1.447499e+01,-7.129793e+00,-1.418266e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.393424e+00,-4.478951e+00,2.857302e+00,-6.669162e+00,-1.343216e+01,-1.532669e+01,-2.065323e+01,-2.685441e+01,-3.033483e+01,-3.019609e+01,-2.577345e+01,-1.680516e+01,-1.714741e+01,-1.428951e+01,-7.182372e+00,-1.926187e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
