Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.753185e+02,-4.752062e+02,-3.499916e+02,-2.559125e+02,-2.190853e+02,-1.859492e+02,-1.682212e+02,-1.742382e+02,-1.892795e+02,-1.987233e+02,-1.930346e+02,-1.771293e+02,-1.808333e+02,-2.348462e+02,-3.264658e+02,-3.893256e+02,-4.216120e+02,-4.526562e+02,-4.666377e+02,-4.709785e+02,-4.710684e+02,-4.736895e+02,-4.747725e+02,-4.753185e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.288362e-01,8.897511e+01,1.097725e+02,9.989188e+01,8.242993e+01,7.069942e+01,6.311773e+01,5.902486e+01,6.308629e+01,7.080231e+01,9.145957e+01,1.060194e+02,1.119726e+02,1.152944e+02,9.229996e+01,6.056711e+01,2.664265e+01,1.076377e+01,5.085872e+00,5.241723e+00,1.977678e+00,6.514852e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.040286e-02,2.207378e+01,3.447747e+00,-7.251856e+00,-4.219732e+00,-2.573118e-01,2.027683e+00,5.320792e+00,4.835523e+00,-3.405107e+00,-1.518478e+01,-2.562924e+01,-2.785582e+01,1.129152e+01,3.380232e+01,3.010991e+01,1.639846e+01,6.751894e+00,2.743378e+00,3.543542e+00,1.139608e+00,3.272610e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.700337e-02,-1.885811e+01,-1.688851e+01,-1.652349e+01,-2.182127e+00,8.007534e+00,8.435209e+00,7.457117e+00,6.122437e+00,3.618172e+00,4.309920e+00,4.788207e+00,-6.370324e+00,-2.089116e+01,-1.078102e+01,4.265492e+00,6.587480e+00,1.616775e+00,6.372317e-01,1.948194e+00,1.007403e-01,-9.902840e-02,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.266775e-01,-6.054631e+01,-7.657065e+01,-8.294412e+01,-7.470216e+01,-6.886259e+01,-6.391625e+01,-5.643535e+01,-5.279226e+01,-6.761975e+01,-7.489411e+01,-7.305305e+01,-6.899608e+01,-5.287917e+01,-3.005166e+01,-1.514396e+01,-4.636403e+00,-2.941649e+00,-5.206649e-01,7.645609e-01,-8.412846e-01,-4.940083e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.586062e-01,-4.597481e+01,-4.151399e+01,-3.937162e+01,-3.375248e+01,-2.468302e+01,-1.851201e+01,-1.247106e+01,-2.320192e+00,-5.685621e+00,-1.439874e+01,-1.944640e+01,-2.874347e+01,-3.074230e+01,-2.863809e+01,-2.419884e+01,-1.279350e+01,-5.538572e+00,-1.065156e+00,-2.317760e-01,-1.457251e+00,-7.342089e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.307794e-01,-2.888033e+01,-2.934207e+01,-3.125047e+01,-2.716574e+01,-2.588439e+01,-2.929927e+01,-3.867071e+01,-3.874343e+01,-3.274302e+01,-2.237991e+01,-2.002216e+01,-1.911192e+01,-1.640613e+01,-1.693034e+01,-1.863754e+01,-1.189278e+01,-5.604393e+00,-1.315504e+00,-8.271641e-01,-1.559035e+00,-7.447445e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.370889e-02,-1.760420e+01,-1.380309e+01,-5.480030e+00,4.366093e+00,7.671997e+00,4.573861e+00,-2.021724e+00,-5.347706e-01,-4.178223e+00,-7.564591e+00,-1.413723e+01,-2.711134e+01,-2.301818e+01,-1.051753e+01,-1.146462e+01,-7.359884e+00,-3.553988e+00,-9.437236e-01,-4.098386e-01,-1.064983e+00,-5.226893e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.354366e-02,-1.336894e+01,-1.406352e+01,-1.656771e+01,-1.564849e+01,-1.337101e+01,-1.001249e+01,-1.067507e+01,-1.035880e+01,-9.525266e+00,-9.184577e+00,-1.035055e+01,-6.504174e+00,-4.168176e+00,-1.237209e+01,-1.164944e+01,-4.213521e+00,-5.705319e-01,3.658212e-01,9.697068e-01,-1.260405e-01,-1.378825e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.243231e-01,5.397974e+00,3.262471e+00,-3.405212e-02,6.483253e+00,1.040106e+01,1.275446e+01,1.697372e+01,1.694794e+01,1.589631e+01,1.301259e+01,5.739429e+00,-4.555442e+00,-7.206508e+00,-1.021504e+01,-8.972122e+00,3.119292e-01,1.896446e+00,2.096761e+00,2.315886e+00,8.968816e-01,2.890733e-01,0.000000e+00
