Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.674911e+02,-4.674911e+02,-4.674911e+02,-4.674911e+02,-4.674911e+02,-4.674911e+02,-4.674911e+02,-3.489785e+02,-2.275818e+02,-1.704385e+02,-1.414729e+02,-1.341828e+02,-1.458556e+02,-1.593445e+02,-1.488808e+02,-1.486456e+02,-1.845154e+02,-2.463146e+02,-3.170681e+02,-3.711529e+02,-4.109375e+02,-4.434904e+02,-4.576626e+02,-4.610588e+02,-4.628787e+02,-4.662314e+02,-4.665329e+02,-4.673537e+02,-4.671075e+02,-4.672180e+02,-4.674911e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.227717e+01,1.078845e+02,1.022675e+02,7.471678e+01,5.399638e+01,4.471619e+01,4.355506e+01,5.142574e+01,7.421666e+01,9.492236e+01,1.044746e+02,1.009638e+02,7.919281e+01,5.014235e+01,2.367886e+01,8.466692e+00,4.367218e+00,2.749317e+00,6.038335e-01,4.630738e-02,-7.151835e-03,-9.931441e-02,-7.071389e-02,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.558013e+01,1.489071e+01,1.620263e-01,-1.974475e+01,-2.279736e+01,-1.505075e+01,-9.541492e+00,-1.845692e+01,-2.740672e+01,-2.678876e+01,-1.029422e+01,2.271201e+01,3.070542e+01,2.650570e+01,1.253750e+01,-8.561342e-01,-2.242382e+00,-2.286526e+00,-9.024636e-01,-1.338090e+00,-1.937790e-01,-5.062264e-01,-3.604428e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.452421e+00,-3.519960e+00,-7.790575e+00,-5.118772e+00,1.117926e+01,1.843600e+01,1.900332e+01,1.807992e+01,1.702481e+01,2.397500e+01,1.156708e+01,-5.678058e-01,1.732378e+00,1.039104e+01,4.128769e+00,-3.936570e+00,-1.239080e+00,-7.744952e-01,-2.980525e-01,-1.357613e-01,2.141677e-02,2.846337e-01,2.026650e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.960583e+01,-8.436559e+01,-8.673102e+01,-7.762973e+01,-7.127989e+01,-6.784843e+01,-6.025320e+01,-6.630260e+01,-7.382837e+01,-7.144270e+01,-6.828265e+01,-5.941708e+01,-4.361119e+01,-2.140112e+01,-7.494592e+00,-1.987447e+00,2.634027e+00,3.121202e+00,9.317613e-01,1.287344e+00,1.922024e-01,4.020278e-01,2.862515e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.382253e+01,-4.419656e+01,-3.683740e+01,-2.864212e+01,-2.400858e+01,-2.214265e+01,-1.924491e+01,-1.459610e+01,-1.877874e+01,-2.368178e+01,-2.536879e+01,-1.770298e+01,-1.430398e+01,-1.154007e+01,-6.212951e+00,-2.666489e+00,-8.949019e-02,1.206798e+00,1.625737e-01,2.158875e-01,-3.556564e-02,-4.318079e-01,-3.074561e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.317816e+01,-2.055466e+01,-1.748901e+01,-1.726672e+01,-1.752458e+01,-2.050619e+01,-2.522679e+01,-1.535316e+01,-1.315159e+01,-1.577873e+01,-1.787114e+01,-1.851181e+01,-1.048519e+01,-1.279092e+01,-6.643582e+00,-6.005739e+00,-5.858837e+00,-3.751172e+00,-1.543115e+00,-1.205150e+00,-1.895842e-01,-2.439516e-01,-1.736983e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.975499e+01,-1.991665e+01,-1.834311e+01,-1.258005e+01,-7.891446e+00,-7.538912e+00,-7.052183e+00,-9.481204e+00,-1.637200e+01,-2.280441e+01,-2.883129e+01,-3.459415e+01,-3.206675e+01,-2.874001e+01,-1.183611e+01,-5.320478e+00,-4.171678e+00,-2.867567e+00,-1.298145e+00,-2.809743e-01,4.952177e-02,5.211137e-01,3.710437e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.017205e+01,2.954185e+00,1.453021e-02,2.014923e+00,-2.954857e-01,-1.716501e+00,-3.592862e+00,-3.478017e+00,-5.544310e+00,3.871884e+00,4.293660e+00,8.786482e-02,-7.038955e+00,-1.138969e+01,-4.473804e+00,3.324783e-01,3.356510e+00,2.830130e+00,4.511633e-01,1.094949e+00,1.859387e-01,5.318248e-02,3.786701e-02,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.263539e+00,2.077893e+00,7.577943e+00,1.177378e+01,1.542655e+01,1.763871e+01,1.400114e+01,1.094560e+01,3.011756e+00,2.195042e-01,-7.934366e+00,-1.590780e+01,-1.764984e+01,-1.200674e+01,-2.543512e-01,4.625428e+00,5.172653e+00,3.860518e+00,7.593714e-01,3.260455e-01,-6.320957e-02,-5.405827e-01,-3.849061e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.697818e+00,-8.624276e+00,-5.560221e+00,-6.571950e+00,-9.520448e+00,-1.302555e+01,-1.084702e+01,-7.970279e+00,-8.217604e+00,-4.232628e+00,-6.262751e-01,-2.145849e+00,-4.351730e+00,-3.611342e+00,1.956105e+00,4.592219e+00,-4.383213e-01,-1.244980e+00,-5.620685e-01,-9.613613e-01,-1.812856e-01,1.447139e-01,1.030390e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.309122e+01,1.683325e+01,2.418610e+01,2.617551e+01,2.617792e+01,2.266347e+01,2.037315e+01,2.269886e+01,2.384028e+01,1.813228e+01,1.252121e+01,1.981831e+01,2.599840e+01,1.731047e+01,5.999094e+00,3.562621e+00,-3.010759e+00,-3.648848e+00,-7.263970e-01,-3.471036e-01,7.655480e-02,4.876058e-01,3.471854e-01,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.721352e+01,-2.783273e+01,-3.272239e+01,-3.186077e+01,-2.749822e+01,-2.502377e+01,-2.118316e+01,-2.657944e+01,-2.573339e+01,-2.427320e+01,-1.784208e+01,-1.882404e+01,-9.030761e+00,-5.281784e+00,-5.679790e+00,2.675480e+00,1.169099e+00,2.358614e-02,9.159154e-01,8.099101e-01,1.756500e-01,-3.232166e-01,-2.301362e-01,0.000000e+00
