Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.896215e+02,-4.742292e+02,-4.772086e+02,-4.775051e+02,-4.721021e+02,-3.552727e+02,-1.559623e+02,-4.222803e+01,-7.096398e+00,-1.320959e+01,-3.593523e+01,-5.037819e+01,-5.484621e+01,-7.198830e+01,-8.338068e+01,-8.600196e+01,-1.059888e+02,-1.434419e+02,-1.922424e+02,-2.522729e+02,-3.257807e+02,-3.979402e+02,-4.481035e+02,-4.721980e+02,-4.778669e+02,-4.798303e+02,-4.797099e+02,-4.786405e+02,-4.809141e+02,-4.844477e+02
5.322275e+01,6.379535e+01,6.344709e+01,6.698306e+01,6.839772e+01,7.652525e+01,7.771693e+01,6.273405e+01,4.316725e+01,2.905739e+01,2.217115e+01,2.352458e+01,2.341613e+01,1.665427e+01,6.679074e+00,1.314998e+01,3.072012e+01,4.636337e+01,5.849230e+01,8.612194e+01,1.135717e+02,1.254441e+02,9.779877e+01,6.821800e+01,6.332149e+01,6.296535e+01,6.381950e+01,6.302825e+01,6.101818e+01,5.735954e+01
4.853393e+00,2.931894e+00,7.836864e+00,1.107258e+01,7.344147e+00,-3.489624e+01,-6.968494e+01,-8.339980e+01,-8.531847e+01,-7.894839e+01,-6.908626e+01,-5.462405e+01,-3.865070e+01,-1.857430e+01,-6.827407e+00,-1.351263e-01,1.770198e+01,4.102773e+01,5.876522e+01,6.713750e+01,6.228831e+01,4.686193e+01,3.161653e+01,6.787960e+00,6.853911e+00,9.972721e+00,1.014263e+01,6.527518e+00,5.874206e+00,4.849148e+00
-6.722490e+00,-7.855939e+00,-4.521322e+00,-8.296785e+00,-5.848410e+00,-1.244286e+01,-8.718023e+00,-4.274086e+00,-8.387558e-01,8.976709e+00,1.693540e+01,2.705921e+01,3.210719e+01,3.578902e+01,4.537414e+01,5.730753e+01,5.948615e+01,6.098234e+01,6.671967e+01,5.932193e+01,4.021014e+01,2.062394e+01,7.544259e+00,-9.069508e+00,-4.975600e+00,-1.381927e+00,-3.854980e+00,-7.374615e+00,-9.577543e+00,-8.358299e+00
1.246348e+01,9.732845e+00,7.130085e+00,6.015180e+00,1.154953e+01,-7.589363e+00,-4.542118e+01,-5.248556e+01,-5.455571e+01,-5.736201e+01,-5.740211e+01,-6.245968e+01,-7.165500e+01,-8.176952e+01,-8.776017e+01,-9.264749e+01,-9.316493e+01,-9.591550e+01,-8.515985e+01,-6.525793e+01,-3.110044e+01,-3.665661e+00,8.580160e+00,5.350601e+00,1.331454e+01,1.571497e+01,1.295965e+01,1.056254e+01,6.098015e+00,7.570422e+00
1.956117e+01,1.435370e+01,1.085188e+01,1.456060e+01,1.427695e+01,2.423326e+01,3.965208e+01,4.930320e+01,5.252530e+01,5.415113e+01,5.523398e+01,4.700303e+01,4.580396e+01,4.933557e+01,5.877731e+01,4.992078e+01,4.149131e+01,3.662793e+01,3.528890e+01,3.077686e+01,2.201182e+01,6.695340e+00,6.153404e+00,9.466456e+00,1.736782e+01,1.834789e+01,1.733310e+01,1.736420e+01,1.382747e+01,1.260871e+01
6.439756e+00,7.004496e+00,9.635738e+00,6.805953e+00,5.339609e+00,-2.209158e+01,-5.432047e+01,-5.950738e+01,-5.610317e+01,-4.793800e+01,-4.301193e+01,-4.184610e+01,-4.132938e+01,-4.616015e+01,-5.134602e+01,-5.393149e+01,-5.569350e+01,-5.672332e+01,-5.413100e+01,-4.716935e+01,-3.421675e+01,-1.758894e+01,-9.411316e+00,1.928201e+00,6.672207e+00,5.510452e+00,4.836802e+00,7.695253e+00,6.003443e+00,2.820570e+00
-2.032709e+00,1.479435e+00,5.887485e+00,-4.487083e-01,3.586854e+00,2.836815e+01,4.214632e+01,5.102480e+01,5.594799e+01,5.621727e+01,5.365162e+01,5.138542e+01,4.337730e+01,2.725494e+01,2.054913e+01,1.926592e+01,1.030958e+01,-3.935239e+00,-1.430908e+01,-2.456739e+01,-3.313433e+01,-2.977410e+01,-1.903299e+01,-1.854678e+00,2.248084e+00,-9.134890e-01,-1.816282e+00,-3.228516e-01,-2.958351e+00,-4.551247e+00
1.012285e+00,-9.938362e-01,-2.890713e+00,-6.732004e-01,2.919508e+00,1.667424e+01,7.660605e+00,3.152606e+00,-2.858168e-01,-5.910659e+00,-9.083650e+00,-1.249144e+01,-1.628600e+01,-1.748340e+01,-1.283548e+01,-9.669669e+00,-9.099850e+00,-1.358764e+01,-1.406153e+01,-1.453474e+01,-1.829462e+01,-1.180084e+01,-1.584864e+01,-2.641059e+00,1.887476e+00,-4.906689e-01,-5.304578e-01,-2.109247e+00,-6.338828e+00,-5.993733e+00
-1.541301e-01,-5.789943e+00,-8.985491e+00,-1.670731e+00,-4.171971e+00,-3.878467e+01,-4.570973e+01,-3.919550e+01,-3.600782e+01,-3.700178e+01,-3.133039e+01,-1.782574e+01,-4.049675e+00,1.812903e+00,8.855511e+00,1.354708e+01,1.344471e+01,8.279241e+00,5.004230e+00,7.373494e-02,-9.386137e+00,-2.015907e+01,-1.876600e+01,-7.301327e+00,-5.786310e+00,-5.559834e+00,-4.937090e+00,-5.161119e+00,-7.543038e+00,-6.816981e+00
-8.642921e+00,-1.060916e+01,-8.987843e+00,-5.899316e+00,-8.665525e+00,-1.549343e+01,-6.570196e-01,-9.062263e+00,-1.493872e+01,-1.688486e+01,-1.600780e+01,-1.674813e+01,-1.514250e+01,-1.952771e+01,-2.765976e+01,-2.326340e+01,-1.868200e+01,-2.094139e+01,-2.162093e+01,-2.244387e+01,-2.745194e+01,-2.673913e+01,-1.864740e+01,-9.612610e+00,-1.344963e+01,-1.352638e+01,-1.376264e+01,-1.215410e+01,-9.600901e+00,-8.205173e+00
-1.086133e+01,-8.461046e+00,-8.261335e+00,-7.265349e+00,-6.524222e+00,3.690385e+00,1.573965e+01,2.084836e+01,2.484451e+01,2.401731e+01,1.894543e+01,1.409177e+01,1.320035e+01,1.293108e+01,1.087691e+01,1.625113e+01,2.530777e+01,3.101853e+01,2.619728e+01,1.611528e+01,9.962055e+00,-3.458506e+00,-9.175764e+00,-4.493024e+00,-1.081206e+01,-1.248380e+01,-1.376159e+01,-1.587151e+01,-1.077736e+01,-8.188363e+00
-3.082113e+00,-1.885846e+00,-6.142635e+00,-4.002816e+00,-4.083824e+00,1.026993e+00,-1.177293e+01,-1.555289e+01,-1.582828e+01,-2.388892e+01,-3.232906e+01,-3.033951e+01,-3.328467e+01,-3.218066e+01,-3.071622e+01,-3.312399e+01,-2.948306e+01,-2.049400e+01,-1.090950e+01,-8.695964e+00,-6.633855e+00,-4.147215e+00,-1.744473e+00,1.013406e+00,-3.565259e+00,-3.478113e+00,-3.431006e+00,-1.022393e+01,-7.687319e+00,-5.371380e+00
