Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-5.002488e+02,-4.740094e+02,-4.698855e+02,-4.654108e+02,-4.213953e+02,-2.092298e+02,-7.308624e+01,-2.609354e+01,-2.683897e+01,-3.522176e+01,-3.420502e+01,-5.097327e+01,-8.196999e+01,-9.612753e+01,-1.015994e+02,-1.157173e+02,-1.375201e+02,-1.638220e+02,-2.009037e+02,-2.584800e+02,-3.334586e+02,-4.031833e+02,-4.422885e+02,-4.615064e+02,-4.642416e+02,-4.684419e+02,-4.672704e+02,-4.683183e+02,-4.788442e+02
5.306423e+01,7.390617e+01,7.485397e+01,7.455088e+01,8.509653e+01,8.981918e+01,7.783778e+01,6.057408e+01,4.480140e+01,3.660081e+01,4.100670e+01,3.760479e+01,2.920681e+01,2.445709e+01,2.143447e+01,3.002488e+01,3.941403e+01,5.282045e+01,6.958871e+01,8.804829e+01,9.998546e+01,1.164515e+02,9.609172e+01,7.441214e+01,7.550142e+01,7.345256e+01,7.264344e+01,7.193137e+01,6.309910e+01
9.990425e+00,8.524862e+00,6.309147e+00,5.083595e+00,-1.147765e+01,-5.440482e+01,-7.091933e+01,-7.158490e+01,-6.245378e+01,-5.991487e+01,-5.489409e+01,-3.994007e+01,-2.200803e+01,-7.135695e+00,-1.245960e+00,1.529205e+01,4.070279e+01,5.754123e+01,6.698637e+01,6.712068e+01,5.176096e+01,3.504556e+01,1.875513e+01,4.225882e+00,7.926977e+00,1.042086e+01,7.054497e+00,8.749126e+00,8.128678e+00
-3.599369e+00,-6.174881e+00,-5.919950e+00,-4.090950e+00,-2.158258e+01,-3.283193e+01,-2.924560e+01,-2.202233e+01,-5.664234e+00,1.149263e+01,2.629097e+01,3.321474e+01,4.084999e+01,5.115485e+01,5.885867e+01,6.578854e+01,6.925424e+01,5.952295e+01,5.598515e+01,5.338415e+01,3.842076e+01,2.098556e+01,1.626382e+00,-5.053225e+00,-4.239480e+00,-1.724746e+00,-1.255392e+00,7.971923e-01,3.797626e+00
7.602773e+00,1.083533e+01,1.218033e+01,1.041871e+01,-5.529843e+00,-3.405505e+01,-4.305607e+01,-4.348933e+01,-4.340005e+01,-5.157886e+01,-6.392904e+01,-7.598471e+01,-7.811427e+01,-7.934384e+01,-8.640065e+01,-9.236670e+01,-9.420949e+01,-9.563568e+01,-8.412500e+01,-5.780836e+01,-2.335055e+01,2.157650e+00,1.692927e+00,4.199251e+00,5.415425e+00,5.942054e+00,1.024761e+01,1.203466e+01,1.418056e+01
1.069156e+01,1.335473e+01,1.481073e+01,1.645793e+01,2.391325e+01,4.501142e+01,5.232767e+01,5.481530e+01,5.642213e+01,5.172983e+01,4.434937e+01,3.852293e+01,4.914324e+01,5.893440e+01,6.176558e+01,5.953612e+01,5.578045e+01,5.207978e+01,4.517080e+01,3.809070e+01,3.381760e+01,1.497588e+01,1.486471e+01,1.809234e+01,1.991440e+01,1.750251e+01,1.764193e+01,2.282665e+01,2.162983e+01
3.112207e-02,2.319401e+00,1.487983e+00,2.331201e+00,4.057708e+00,-5.035270e+01,-6.266811e+01,-6.306120e+01,-5.683601e+01,-4.836597e+01,-4.489351e+01,-4.763244e+01,-5.423893e+01,-5.294898e+01,-5.181855e+01,-5.569112e+01,-6.334157e+01,-6.793466e+01,-6.151714e+01,-4.998193e+01,-3.101250e+01,-1.082198e+01,2.517825e+00,7.509503e+00,1.000399e+01,8.096682e+00,3.074613e+00,9.557398e+00,1.251972e+01
-6.625338e+00,-3.548465e+00,-3.245870e+00,-4.850760e+00,8.347785e+00,3.967102e+01,5.168976e+01,5.537044e+01,5.616251e+01,5.802559e+01,5.511017e+01,4.042868e+01,2.520694e+01,2.499953e+01,1.939203e+01,1.104754e+01,9.555952e-01,-1.363013e+01,-2.190470e+01,-2.088585e+01,-2.390428e+01,-2.552312e+01,-1.614402e+01,-5.290126e+00,-5.057233e+00,-3.567168e+00,-7.829342e+00,-3.099102e+00,2.305997e+00
-3.894178e+00,-4.154616e+00,-1.628947e+00,1.651432e+00,6.393992e+00,6.583556e+00,2.899978e+00,1.060319e+00,9.998760e-01,-3.729774e+00,-1.158756e+01,-1.247260e+01,-1.351030e+01,-1.148569e+01,-1.317854e+01,-1.284572e+01,-9.588310e+00,-1.158736e+01,-1.647376e+01,-1.254217e+01,-1.523233e+01,-1.513265e+01,-1.235953e+01,-6.838844e-01,-4.648967e+00,-2.884106e+00,-2.212079e+00,-5.614108e-01,-2.596980e+00
-1.447651e+00,-5.568711e+00,-8.064266e+00,-6.960336e+00,-1.640209e+01,-3.291733e+01,-3.000890e+01,-2.925803e+01,-2.798684e+01,-2.346518e+01,-1.432909e+01,-1.213854e+00,3.646160e+00,5.069946e+00,4.623080e+00,1.015590e+01,1.178379e+01,7.712393e+00,2.555734e+00,-8.662766e+00,-2.128035e+01,-2.888196e+01,-2.233071e+01,-1.235604e+01,-1.369058e+01,-1.126978e+01,-7.409047e+00,-9.734054e+00,-1.425610e+01
