Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.039828e+02,-5.039828e+02,-5.039828e+02,-5.039828e+02,-5.039828e+02,-5.037671e+02,-2.864760e+02,-1.274578e+02,-8.030988e+01,-1.078111e+02,-1.425799e+02,-1.678076e+02,-2.175865e+02,-2.461755e+02,-2.676515e+02,-2.863990e+02,-3.220187e+02,-3.635478e+02,-3.894479e+02,-4.244049e+02,-4.628148e+02,-4.954908e+02,-5.032510e+02,-5.039828e+02,-5.039828e+02,-5.039828e+02,-5.039828e+02,-5.039828e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.382293e-01,7.816855e+01,1.380164e+02,1.308043e+02,9.110790e+01,6.285939e+01,6.013561e+01,5.249076e+01,4.616037e+01,5.205209e+01,7.073708e+01,9.115440e+01,1.078993e+02,1.145387e+02,9.469931e+01,5.271931e+01,1.131439e+01,1.012591e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.685520e-02,-7.975021e+01,-9.080906e+01,-9.005826e+01,-7.698335e+01,-4.894006e+01,-2.965811e+01,-1.001982e+01,5.417902e+00,3.230235e+01,4.952313e+01,5.871769e+01,7.578621e+01,7.293426e+01,6.248373e+01,3.805737e+01,9.354741e+00,9.468115e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.338366e-01,-4.391908e+01,9.449176e-02,1.560991e+01,3.174102e+01,5.211558e+01,5.075002e+01,4.377558e+01,5.230984e+01,6.030635e+01,5.609578e+01,5.129595e+01,4.106844e+01,3.227571e+01,2.757178e+01,1.862337e+01,6.474124e+00,8.405400e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.758377e-01,-5.590240e+01,-5.232685e+01,-6.340827e+01,-8.060419e+01,-9.049293e+01,-9.036658e+01,-8.187241e+01,-8.972442e+01,-9.919627e+01,-1.046557e+02,-8.815977e+01,-5.494049e+01,-2.336091e+01,-6.551191e+00,-6.284580e-01,3.146315e+00,6.986397e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.968768e-01,-1.857643e+01,-1.257223e+01,-6.960475e+00,-1.339366e+00,4.578504e+00,7.023292e+00,2.385463e+01,2.259442e+01,7.655235e+00,-1.130091e+01,-1.724020e+01,-1.484281e+01,-2.330679e+01,-2.470410e+01,-1.554501e+01,-1.393265e-01,5.276018e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.877280e-01,-2.672926e+01,-2.673415e+01,-3.123372e+01,-3.144237e+01,-2.724819e+01,-3.311971e+01,-4.090728e+01,-4.372732e+01,-4.863087e+01,-4.972977e+01,-4.609672e+01,-4.848783e+01,-4.381406e+01,-3.576878e+01,-2.395022e+01,-2.983411e+00,3.352123e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.744453e-03,8.125267e+00,1.352265e+01,1.503745e+01,5.038231e+00,-1.078761e+01,-1.871070e+01,-2.964327e+01,-4.683524e+01,-5.505196e+01,-5.150937e+01,-5.501389e+01,-5.452955e+01,-4.401128e+01,-3.834184e+01,-2.623087e+01,-5.142789e+00,1.302027e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.935775e-01,1.880740e+01,2.607383e+01,2.244905e+01,2.005412e+01,1.247089e+01,9.678078e+00,9.562929e+00,8.820257e+00,3.169267e+00,6.417872e+00,1.079745e+01,6.475162e-01,-2.154841e+01,-3.223893e+01,-2.429432e+01,-6.543174e+00,-7.817955e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.985177e-01,-2.609327e+01,-2.247876e+01,-1.603097e+01,-9.007277e+00,4.089546e+00,6.093855e+00,-6.591362e+00,-1.060723e+01,-8.088054e+00,-1.129377e+01,-2.652900e+01,-4.035099e+01,-3.488517e+01,-2.877425e+01,-2.009662e+01,-7.243002e+00,-2.806167e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
