Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.495168e+02,-5.456391e+02,-5.490350e+02,-5.519969e+02,-5.520201e+02,-5.503138e+02,-5.471723e+02,-2.302089e+02,-1.212519e+02,-9.642237e+01,-1.220401e+02,-1.749523e+02,-2.212383e+02,-2.761508e+02,-3.369741e+02,-3.820931e+02,-3.998866e+02,-4.335071e+02,-4.739039e+02,-4.960134e+02,-5.172518e+02,-5.383489e+02,-5.513859e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02,-5.520201e+02
3.410347e+00,8.681219e+00,4.069308e+00,2.742160e-02,0.000000e+00,2.279579e+00,5.651434e+00,1.731206e+02,1.770711e+02,1.579809e+02,1.321634e+02,1.102703e+02,1.091964e+02,1.148035e+02,1.143192e+02,1.103152e+02,1.160809e+02,1.162652e+02,9.172308e+01,6.678030e+01,4.226003e+01,1.843962e+01,8.483720e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.030824e+00,7.682948e+00,3.624295e+00,1.325667e-02,0.000000e+00,1.904218e+00,4.799375e+00,-7.992736e+01,-1.085472e+02,-1.150576e+02,-1.011262e+02,-6.259008e+01,-2.140294e+01,1.410180e+01,4.127275e+01,4.564780e+01,3.779068e+01,4.566040e+01,5.212736e+01,3.974278e+01,2.701549e+01,1.599038e+01,7.096329e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.430309e+00,6.116581e+00,2.919911e+00,-5.196853e-03,0.000000e+00,1.355601e+00,3.163828e+00,-2.515643e+01,1.040630e+01,3.986435e+01,6.335648e+01,8.537511e+01,8.706828e+01,7.905389e+01,6.998161e+01,5.133850e+01,2.329806e+01,8.585026e+00,2.180360e+01,1.749744e+01,1.401701e+01,1.255450e+01,4.990185e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.654208e+00,4.118114e+00,2.009044e+00,-2.196727e-02,0.000000e+00,7.311134e-01,1.138726e+00,-1.433153e+01,-3.603892e+01,-5.421967e+01,-6.761128e+01,-6.917574e+01,-7.123419e+01,-6.775659e+01,-4.818142e+01,-3.205175e+01,-2.269170e+01,-5.108155e+00,1.134305e+01,8.657099e+00,8.326408e+00,8.741497e+00,2.443012e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.610523e-01,1.858755e+00,9.598446e-01,-3.163356e-02,0.000000e+00,1.352759e-01,5.002719e-01,-4.003119e+01,-3.617967e+01,-4.511416e+01,-4.926757e+01,-2.741864e+01,-1.370591e+01,-1.136127e+01,1.890920e+00,1.500920e+01,1.845603e+01,1.503362e+01,7.400759e+00,6.090797e+00,6.316989e+00,4.968008e+00,-2.147458e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.820693e-01,-4.715989e-01,-1.495675e-01,-3.106190e-02,0.000000e+00,-3.428876e-01,-1.138573e+00,-3.491061e+01,-3.392184e+01,-3.341472e+01,-2.779527e+01,-8.299910e+00,-7.082617e+00,-9.475599e+00,-6.946259e+00,9.170563e+00,1.456395e+01,6.197763e+00,-3.278112e+00,2.374385e-01,2.349235e+00,1.431327e+00,-2.647378e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.104695e+00,-2.682448e+00,-1.237172e+00,-2.044162e-02,0.000000e+00,-6.484085e-01,-1.141986e+00,1.007109e+01,7.452757e+00,-6.288928e+00,-2.578038e+01,-4.046524e+01,-5.163864e+01,-5.508281e+01,-5.964222e+01,-5.030019e+01,-4.088236e+01,-2.401744e+01,-1.739755e+01,-8.493883e+00,-4.049408e+00,-1.748712e+00,-4.561687e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.938430e+00,-4.600236e+00,-2.223364e+00,-3.206570e-03,0.000000e+00,-7.705074e-01,-1.258839e+00,-2.259836e+00,4.574350e+00,-3.614464e+00,-1.832070e+01,-2.416235e+01,-2.268808e+01,-1.640525e+01,-1.180355e+01,-8.830731e+00,-1.733238e+01,-2.520833e+01,-2.444868e+01,-1.308819e+01,-8.923532e+00,-4.392202e+00,-5.747569e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.622195e+00,-6.083618e+00,-3.037032e+00,1.506597e-02,0.000000e+00,-7.420894e-01,-1.763694e+00,-4.035951e+00,-1.100672e+01,-1.854672e+01,-2.529748e+01,-1.846287e+01,-1.608650e+01,-2.265137e+01,-2.597924e+01,-3.541663e+01,-3.384093e+01,-3.237302e+01,-2.247604e+01,-1.141855e+01,-9.956397e+00,-6.266311e+00,-6.105763e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.106819e+00,-7.034986e+00,-3.620893e+00,2.846303e-02,0.000000e+00,-6.289363e-01,-1.364749e+00,1.821403e+00,7.553715e-01,-1.952866e+00,-6.925768e+00,-7.047048e+00,-1.208360e+01,-1.604042e+01,-2.925153e+01,-4.833334e+01,-4.343362e+01,-2.978643e+01,-1.821066e+01,-9.048536e+00,-9.186798e+00,-7.226151e+00,-5.658554e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.358722e+00,-7.407156e+00,-3.935713e+00,3.265234e-02,0.000000e+00,-5.112606e-01,-2.548188e+00,-3.250215e+01,-2.120814e+01,-1.180402e+01,-1.291638e+01,-2.251573e+01,-2.412196e+01,-1.650724e+01,-1.334625e+01,-4.750439e+00,-4.248882e+00,-1.243476e+01,-1.652758e+01,-1.089087e+01,-9.534029e+00,-7.353288e+00,-4.542121e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.362298e+00,-7.204877e+00,-3.963052e+00,2.627409e-02,0.000000e+00,-4.622595e-01,-2.543506e+00,4.499753e+00,8.344499e+00,1.004481e+01,8.562448e+00,-1.870291e+00,-6.172768e-01,-6.757102e+00,-1.624908e+01,-1.885664e+01,-1.554236e+01,-1.400342e+01,-1.626886e+01,-1.480424e+01,-1.084654e+01,-6.962246e+00,-2.982219e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
