Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.524288e+02,-4.217557e+02,-4.327878e+02,-4.573049e+02,-4.759322e+02,-4.136579e+02,-3.250258e+02,-2.618783e+02,-2.361253e+02,-2.315154e+02,-2.280585e+02,-2.204740e+02,-2.082035e+02,-2.023727e+02,-1.933110e+02,-1.801670e+02,-1.518007e+02,-1.224017e+02,-9.780348e+01,-7.963773e+01,-8.862086e+01,-1.490741e+02,-2.365749e+02,-3.045781e+02,-3.567139e+02,-4.072458e+02,-4.409969e+02,-4.579683e+02,-4.656027e+02,-4.756499e+02,-4.723294e+02,-4.704973e+02,-4.736763e+02,-4.723790e+02,-4.742864e+02,-4.796427e+02
4.887717e+01,6.036493e+01,6.228933e+01,5.086804e+01,3.545370e+01,9.979643e+01,1.599733e+02,1.730181e+02,1.570372e+02,1.349676e+02,1.208346e+02,1.188507e+02,1.158000e+02,1.082536e+02,1.067766e+02,1.059679e+02,1.148135e+02,1.196124e+02,1.221809e+02,1.152184e+02,1.102749e+02,1.188331e+02,1.359754e+02,1.212130e+02,1.062720e+02,8.796678e+01,6.132416e+01,4.971382e+01,4.296677e+01,3.452104e+01,3.807971e+01,3.937341e+01,3.726428e+01,3.880007e+01,3.658006e+01,3.175776e+01
1.783633e+01,4.796926e+00,9.030928e+00,1.466636e+01,1.598713e+01,2.606622e+01,2.832155e+01,3.185049e+01,3.536159e+01,3.335249e+01,2.635708e+01,2.130964e+01,1.360145e+01,9.882805e+00,9.682165e+00,-1.993917e+00,-2.309033e+01,-4.464757e+01,-6.170070e+01,-6.853438e+01,-6.739582e+01,-5.682645e+01,-4.120993e+01,-2.520740e+01,-1.405688e+01,-8.998677e+00,-3.241516e+00,8.229652e+00,1.029005e+01,1.229769e+01,1.320186e+01,1.197410e+01,1.331303e+01,1.485455e+01,1.394400e+01,1.461159e+01
1.626977e+01,1.173203e+01,6.745162e+00,3.629920e+00,8.282765e+00,-2.870329e+01,-4.893068e+01,-6.148938e+01,-6.504874e+01,-5.975731e+01,-6.099578e+01,-6.124161e+01,-5.700845e+01,-5.486588e+01,-5.428444e+01,-5.455449e+01,-5.857181e+01,-5.875383e+01,-5.316841e+01,-4.703814e+01,-4.620636e+01,-4.082879e+01,-3.845780e+01,-4.129913e+01,-4.240368e+01,-4.309347e+01,-3.058143e+01,-9.540285e+00,-2.062444e+00,3.728091e+00,2.120434e+00,1.404053e-01,1.256824e+00,3.426861e+00,4.154772e+00,8.073723e+00
2.049988e+01,2.302110e+01,1.519695e+01,1.109289e+01,1.031233e+01,-3.881083e+01,-6.644012e+01,-6.570479e+01,-5.578722e+01,-5.029224e+01,-4.738348e+01,-3.715364e+01,-3.304079e+01,-3.223412e+01,-3.367526e+01,-4.010814e+01,-4.536154e+01,-4.664362e+01,-5.142551e+01,-5.803429e+01,-5.941615e+01,-4.442527e+01,-2.939670e+01,-1.772776e+01,-1.197407e+01,-9.586212e+00,-6.639028e+00,3.777535e+00,7.479788e+00,8.675312e+00,6.476541e+00,6.484785e+00,5.288692e+00,7.063981e+00,8.807572e+00,1.201618e+01
7.621205e+00,4.672431e+00,8.680387e+00,1.163887e+01,8.887950e+00,-2.192828e+01,-2.077058e+01,-1.447988e+01,-6.798202e+00,-7.733925e-01,3.920020e+00,9.294384e+00,1.170743e+01,1.861193e+01,2.928187e+01,3.804995e+01,4.395706e+01,5.111229e+01,5.053542e+01,4.948837e+01,4.716946e+01,5.095943e+01,4.566706e+01,3.928302e+01,3.465656e+01,2.563738e+01,2.656850e+01,1.990414e+01,1.501169e+01,1.121881e+01,1.077718e+01,1.232919e+01,1.050426e+01,1.078250e+01,1.231102e+01,1.315501e+01
1.971903e+00,6.707834e+00,5.799562e+00,1.547301e+00,3.065132e+00,-5.173974e+00,-9.337245e+00,-8.558277e+00,-5.252244e+00,-1.857439e+00,1.988796e+00,4.955166e+00,-1.557337e+00,-2.315257e+00,-4.601473e+00,-1.003467e+01,-1.241418e+01,-1.523578e+01,-1.883670e+01,-2.109961e+01,-2.095031e+01,-1.841586e+01,-1.131140e+01,-5.144037e+00,8.522295e+00,2.437082e+01,3.061876e+01,1.764529e+01,1.009314e+01,7.104786e+00,7.961774e+00,7.787901e+00,6.970546e+00,7.045478e+00,7.962006e+00,7.398751e+00
-4.126869e+00,-3.793400e+00,-1.012843e+00,-3.151418e+00,1.114175e+00,1.765522e+00,8.519878e+00,2.938916e+00,1.715007e+00,4.910563e+00,5.042743e+00,1.392263e+01,1.695208e+01,1.900484e+01,1.971097e+01,1.776017e+01,1.607002e+01,1.416139e+01,1.755713e+01,1.828080e+01,1.105724e+01,7.472634e-01,-5.923577e+00,6.505431e-01,5.111578e+00,3.828346e+00,8.467240e+00,3.977646e+00,3.028057e+00,4.662277e+00,3.395627e+00,6.707960e-01,8.548305e-01,2.506135e+00,3.810502e+00,3.093076e+00
1.247502e+00,1.920854e+00,1.797817e+00,2.768178e+00,4.030360e+00,3.498087e+00,-1.730398e+00,6.372288e+00,1.329140e+01,2.071137e+01,1.805822e+01,1.707608e+01,1.284844e+01,8.142801e+00,2.342619e-01,-6.612413e+00,-6.117867e+00,-9.019558e+00,-1.549566e+01,-2.110040e+01,-2.312778e+01,-1.861161e+01,-1.092092e+01,-1.456551e+01,-1.207567e+01,-1.009517e+01,-1.171366e+01,-5.629245e+00,7.206481e-01,5.228192e+00,8.851377e-01,-9.960079e-01,1.407143e-01,2.417891e+00,4.720664e+00,4.441700e+00
2.328291e+00,2.250733e+00,2.677818e+00,3.167999e+00,4.414400e+00,4.865155e+00,-1.284750e+01,-2.241875e+01,-3.331757e+01,-3.399748e+01,-3.173278e+01,-2.797530e+01,-2.450601e+01,-2.783768e+01,-2.983712e+01,-2.552937e+01,-2.113430e+01,-1.897191e+01,-2.777933e+01,-3.424480e+01,-3.283997e+01,-2.720835e+01,-2.263569e+01,-2.472147e+01,-2.108284e+01,-8.399662e+00,-1.259977e+01,-7.627397e+00,-1.838662e+00,1.559949e+00,-2.274014e+00,-3.728051e-01,1.439827e+00,1.828430e+00,3.852212e+00,4.878972e+00
