Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-4.884602e+02,-4.586326e+02,-4.579638e+02,-4.810358e+02,-5.054016e+02,-5.161943e+02,-5.161004e+02,-5.164769e+02,-4.528467e+02,-3.104574e+02,-2.163241e+02,-1.790405e+02,-1.796034e+02,-1.607394e+02,-1.553338e+02,-1.768249e+02,-2.090677e+02,-1.831433e+02,-1.526521e+02,-1.368871e+02,-1.447742e+02,-1.774818e+02,-2.252132e+02,-2.768055e+02,-3.242687e+02,-3.696535e+02,-4.012563e+02,-4.323030e+02,-4.670621e+02,-5.082327e+02,-5.166264e+02,-5.165673e+02,-5.173104e+02,-5.169368e+02,-5.152200e+02,-5.107555e+02,-5.085322e+02,-5.122158e+02,-5.157929e+02,-5.156088e+02,-5.147792e+02,-5.168610e+02,-5.162286e+02,-5.167988e+02,-5.157313e+02,-5.148337e+02,-5.157825e+02
2.524939e+01,4.443879e+01,4.416322e+01,3.085146e+01,1.603467e+01,1.205455e+01,1.280527e+01,1.207460e+01,7.403098e+01,1.480934e+02,1.563873e+02,1.366302e+02,1.106101e+02,1.000312e+02,9.052310e+01,9.347176e+01,1.093942e+02,9.999627e+01,1.125209e+02,1.352498e+02,1.527542e+02,1.644556e+02,1.718146e+02,1.817370e+02,1.854168e+02,1.714259e+02,1.397457e+02,1.064181e+02,6.935963e+01,2.147709e+01,1.197498e+01,1.201933e+01,1.073949e+01,1.095519e+01,1.306680e+01,1.738040e+01,1.973835e+01,1.637295e+01,1.262949e+01,1.285159e+01,1.383220e+01,1.163462e+01,1.228818e+01,1.170378e+01,1.324322e+01,1.448261e+01,1.324962e+01
-1.599028e+01,-2.523040e+01,-2.206234e+01,-1.564626e+01,-2.311096e+00,1.074223e+01,1.241780e+01,1.122901e+01,1.602692e+01,2.221173e+01,-1.512786e+00,-1.902687e+01,-2.759684e+01,-3.646790e+01,-4.186950e+01,-3.225294e+01,-2.378665e+01,-4.672994e+01,-6.326702e+01,-5.958083e+01,-3.937020e+01,-1.081584e+01,1.058547e+01,3.099321e+01,5.055297e+01,6.417184e+01,5.823881e+01,4.782686e+01,3.777370e+01,1.507228e+01,1.134140e+01,1.133989e+01,9.537550e+00,9.005486e+00,1.038246e+01,1.004749e+01,1.056727e+01,1.146913e+01,1.081683e+01,1.100641e+01,1.151618e+01,1.099206e+01,1.118477e+01,1.102966e+01,1.261296e+01,1.380602e+01,1.284784e+01
-1.498626e+01,-3.047881e+01,-2.955027e+01,-1.782489e+01,-6.423168e-01,1.022700e+01,1.178601e+01,1.019485e+01,-2.521112e+01,-6.271496e+01,-6.245035e+01,-5.891875e+01,-4.950927e+01,-4.801823e+01,-4.734771e+01,-4.335003e+01,-4.585577e+01,-3.637058e+01,-4.196172e+01,-5.440056e+01,-5.928131e+01,-5.693885e+01,-5.727233e+01,-6.177104e+01,-4.473193e+01,-2.386746e+01,-1.493603e+01,-7.961026e+00,4.158640e+00,8.016471e+00,1.033993e+01,1.044234e+01,8.203463e+00,6.931661e+00,7.642287e+00,3.135957e+00,1.969064e+00,6.636446e+00,8.875278e+00,9.202118e+00,9.217640e+00,1.002046e+01,9.962190e+00,1.003876e+01,1.160715e+01,1.282905e+01,1.219552e+01
1.867549e+01,1.920584e+01,1.641939e+01,1.937001e+01,1.649391e+01,1.021366e+01,1.093029e+01,9.269772e+00,-2.615226e+01,-7.067538e+01,-8.348993e+01,-8.535851e+01,-8.112254e+01,-8.202888e+01,-8.256757e+01,-8.249267e+01,-7.507783e+01,-7.734332e+01,-7.973788e+01,-8.903560e+01,-9.071191e+01,-8.500450e+01,-7.320673e+01,-6.442975e+01,-5.477831e+01,-4.660734e+01,-4.119209e+01,-3.252626e+01,-1.647583e+01,3.280725e+00,9.042597e+00,9.507382e+00,7.251813e+00,5.645532e+00,6.166430e+00,7.207999e-01,-9.219266e-01,4.430823e+00,7.621051e+00,8.333449e+00,8.071874e+00,8.824364e+00,8.760509e+00,8.798456e+00,1.028876e+01,1.167309e+01,1.131756e+01
3.198290e+01,4.904197e+01,5.033370e+01,3.978935e+01,2.160804e+01,9.249944e+00,9.877954e+00,8.530915e+00,-3.755982e+00,3.534197e+01,5.551068e+01,6.710854e+01,7.202986e+01,7.264401e+01,7.652042e+01,7.469925e+01,7.416020e+01,7.984958e+01,7.384116e+01,6.481981e+01,5.712519e+01,4.918034e+01,3.916497e+01,1.723957e+01,-7.320210e+00,-2.164049e+01,-2.417848e+01,-2.429615e+01,-1.959204e+01,1.926248e+00,7.534280e+00,8.579184e+00,6.782913e+00,5.337033e+00,6.185648e+00,3.543653e+00,2.836779e+00,5.321659e+00,7.196071e+00,8.445108e+00,8.183612e+00,7.487683e+00,7.312341e+00,7.329753e+00,8.738499e+00,1.038629e+01,1.024672e+01
1.105795e+01,1.541080e+01,1.404228e+01,1.230264e+01,6.146751e+00,7.032046e+00,8.662153e+00,7.803796e+00,9.734772e+00,-1.296593e+01,-3.792212e+01,-4.412715e+01,-4.171871e+01,-3.862385e+01,-3.382804e+01,-3.452998e+01,-2.711986e+01,-2.359561e+01,-2.621327e+01,-3.069859e+01,-3.337383e+01,-2.986530e+01,-2.585315e+01,-2.852935e+01,-1.558251e+01,2.833042e+00,2.794357e+00,-4.023331e+00,-1.167570e+01,2.831955e+00,5.903121e+00,7.563847e+00,6.438649e+00,5.383870e+00,6.735424e+00,8.593536e+00,9.467574e+00,7.469564e+00,7.025064e+00,8.749363e+00,8.599497e+00,6.056421e+00,5.456861e+00,5.693067e+00,7.048125e+00,8.951975e+00,9.021759e+00
-8.554599e+00,-1.119801e+01,-1.396579e+01,-1.571152e+01,-7.981455e+00,4.939401e+00,7.320515e+00,6.809875e+00,7.166250e+00,4.942951e+00,7.114084e+00,1.619341e+01,2.274038e+01,2.275636e+01,2.596539e+01,2.331916e+01,1.847333e+01,1.035306e+01,9.964130e+00,9.768209e+00,6.947082e+00,5.613960e+00,6.549965e+00,1.013792e+01,1.461565e+00,1.607913e+00,1.150084e+01,6.315322e+00,-3.212210e+00,3.885451e+00,4.233423e+00,6.335289e+00,5.687639e+00,4.836071e+00,6.407413e+00,1.130244e+01,1.322855e+01,8.142220e+00,6.298922e+00,8.254079e+00,8.068148e+00,4.549615e+00,3.435520e+00,4.022545e+00,5.313083e+00,7.357680e+00,7.685304e+00
-4.007838e+00,-2.824929e+00,-8.149982e+00,-1.139248e+01,-2.825758e+00,3.968971e+00,5.893631e+00,5.388066e+00,-9.577711e-01,2.143237e-02,6.874153e+00,1.428314e+00,2.339977e+00,-2.389060e-01,-3.333664e+00,-4.170270e+00,-2.281759e+00,2.596388e+00,2.772241e+00,4.097415e+00,-1.026070e+00,-9.277737e+00,-1.182451e+01,-6.357106e+00,-1.198996e+01,-1.236131e+01,8.742751e-01,1.058292e+00,-4.562550e-01,3.613363e+00,2.601379e+00,4.863751e+00,4.235312e+00,3.131135e+00,4.414499e+00,8.793326e+00,1.048516e+01,5.739924e+00,4.620151e+00,6.518040e+00,6.012492e+00,2.989196e+00,1.596452e+00,2.453120e+00,3.624997e+00,5.663239e+00,6.281552e+00
8.263838e+00,1.505372e+01,1.054386e+01,8.568067e+00,9.616732e+00,3.269566e+00,4.423483e+00,3.634707e+00,-1.532176e+00,-5.936853e+00,-9.461353e+00,-6.823135e+00,-1.536543e+00,2.847981e+00,1.988209e+00,-4.187984e+00,-1.456580e+01,-1.226307e+01,-1.026482e+01,-8.852791e+00,-5.680962e+00,-9.861567e+00,-1.900387e+01,-2.006936e+01,-1.567529e+01,-1.490843e+01,-1.083126e+01,-9.293451e+00,-2.365335e+00,2.034878e+00,1.072420e+00,3.267954e+00,2.266025e+00,5.347372e-01,1.204539e+00,1.902337e+00,2.239366e+00,9.796174e-01,2.330741e+00,3.989498e+00,2.987017e+00,1.427895e+00,1.455581e-02,1.046453e+00,2.064779e+00,4.007472e+00,4.854092e+00
