Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-5.104494e+02,-5.067493e+02,-5.068713e+02,-5.052945e+02,-5.057529e+02,-5.043322e+02,-5.031329e+02,-4.111241e+02,-2.712678e+02,-1.890010e+02,-1.510616e+02,-1.445728e+02,-1.696917e+02,-1.951135e+02,-1.916277e+02,-1.944738e+02,-1.542775e+02,-1.087668e+02,-1.107746e+02,-1.400922e+02,-1.935831e+02,-2.661211e+02,-3.225305e+02,-3.702760e+02,-4.078645e+02,-4.285551e+02,-4.629675e+02,-4.818770e+02,-4.912528e+02,-4.943827e+02,-4.957330e+02,-4.983663e+02,-5.013396e+02,-5.036902e+02,-5.036633e+02,-5.036309e+02,-5.049652e+02,-5.036576e+02,-5.041465e+02,-5.036638e+02,-5.026480e+02,-5.046173e+02,-5.093040e+02
5.389806e+00,1.051987e+01,1.039289e+01,1.224487e+01,1.169759e+01,1.366265e+01,1.535334e+01,9.343362e+01,1.408903e+02,1.249276e+02,1.054775e+02,9.217534e+01,8.527223e+01,8.187561e+01,7.058081e+01,6.342199e+01,7.339778e+01,9.862454e+01,1.199026e+02,1.341164e+02,1.453315e+02,1.631709e+02,1.747356e+02,1.555129e+02,1.206318e+02,8.976129e+01,4.583155e+01,2.225465e+01,1.487370e+01,1.241216e+01,1.392711e+01,1.220249e+01,1.260520e+01,1.462452e+01,1.450377e+01,1.482588e+01,1.284229e+01,1.390471e+01,1.345602e+01,1.453220e+01,1.595480e+01,1.318472e+01,6.699170e+00
5.263690e+00,1.012784e+01,1.009798e+01,1.108807e+01,1.076472e+01,1.259801e+01,1.422040e+01,1.111055e+01,6.185383e+00,-5.436247e+00,-2.181180e+01,-3.621541e+01,-2.082077e+01,2.070147e-01,2.635249e+00,1.698956e+00,-2.568279e+01,-4.879259e+01,-4.327130e+01,-2.174993e+01,3.153704e+00,2.481730e+01,3.799442e+01,5.272228e+01,5.276680e+01,2.723565e+01,1.366980e-01,-1.205746e+01,-8.564510e+00,-7.637475e+00,-2.484296e-01,1.099136e+00,6.427114e+00,1.367344e+01,1.320384e+01,1.413897e+01,1.196297e+01,1.117634e+01,1.127257e+01,1.322908e+01,1.461596e+01,1.192179e+01,5.819448e+00
5.057560e+00,9.586048e+00,9.618398e+00,9.868399e+00,9.717983e+00,1.133566e+01,1.271888e+01,-4.547459e+01,-8.902999e+01,-7.999929e+01,-6.155469e+01,-4.608776e+01,-4.303098e+01,-5.316496e+01,-5.437195e+01,-4.538506e+01,-4.212537e+01,-6.157381e+01,-6.840416e+01,-6.448685e+01,-6.368480e+01,-6.138027e+01,-4.863239e+01,-2.700536e+01,-7.349538e+00,-1.057328e+01,-1.075450e+01,-6.764314e+00,-1.826996e-01,1.374790e+00,8.774254e+00,9.855757e+00,1.101250e+01,1.247497e+01,1.176018e+01,1.316157e+01,1.090491e+01,8.390246e+00,8.927483e+00,1.156880e+01,1.289911e+01,1.039986e+01,4.818633e+00
4.777384e+00,8.972206e+00,8.971430e+00,9.074706e+00,8.917103e+00,1.024694e+01,1.116089e+01,-3.913907e+01,-7.178391e+01,-8.046202e+01,-8.126436e+01,-7.346619e+01,-7.082443e+01,-6.756328e+01,-6.544344e+01,-6.144317e+01,-6.796157e+01,-7.997040e+01,-9.156641e+01,-8.722288e+01,-8.119563e+01,-6.845143e+01,-5.281724e+01,-4.299227e+01,-2.902253e+01,-9.058237e+00,1.148323e+01,2.340059e+01,2.181401e+01,2.095683e+01,2.127713e+01,1.962049e+01,1.578893e+01,1.131156e+01,1.070635e+01,1.204580e+01,9.959133e+00,6.880652e+00,7.443149e+00,1.000517e+01,1.122322e+01,9.052740e+00,4.036255e+00
4.431209e+00,8.293585e+00,8.180054e+00,8.707836e+00,8.381889e+00,9.374452e+00,9.653593e+00,7.598746e+00,4.282087e+01,6.000304e+01,6.775352e+01,7.413834e+01,7.499202e+01,7.546529e+01,8.015810e+01,8.536741e+01,8.170744e+01,7.635368e+01,6.541910e+01,5.709115e+01,4.539508e+01,2.738307e+01,-1.124866e+00,-1.696822e+01,-1.732995e+01,1.004729e+00,2.015773e+01,2.757157e+01,1.779087e+01,1.541320e+01,1.123532e+01,9.253450e+00,9.419134e+00,1.022636e+01,1.010831e+01,1.087109e+01,9.160221e+00,6.874582e+00,7.065622e+00,8.745975e+00,9.726341e+00,7.951366e+00,3.512712e+00
4.028919e+00,7.499662e+00,7.271752e+00,8.307955e+00,7.803540e+00,8.442347e+00,8.090446e+00,1.435457e+01,-2.520773e+01,-4.236044e+01,-4.862966e+01,-4.578190e+01,-4.375533e+01,-4.290957e+01,-4.140678e+01,-3.869221e+01,-4.018553e+01,-4.835841e+01,-5.498293e+01,-5.358859e+01,-4.368945e+01,-3.210273e+01,-7.425849e+00,3.167203e+00,6.049271e-01,-4.487888e+00,-2.890155e+00,1.300898e+00,-5.189974e+00,-5.507710e+00,-4.296455e+00,-3.346610e+00,2.183311e+00,9.037899e+00,9.545928e+00,9.619345e+00,8.308361e+00,7.395916e+00,7.140711e+00,7.664805e+00,8.229574e+00,6.803583e+00,2.991743e+00
3.581877e+00,6.546471e+00,6.277224e+00,7.345416e+00,6.813794e+00,7.119257e+00,6.311200e+00,6.044158e+00,2.021026e+01,2.583020e+01,2.442443e+01,2.207153e+01,2.613925e+01,3.437851e+01,3.732838e+01,3.538210e+01,3.386147e+01,3.069501e+01,2.597151e+01,2.078279e+01,1.955795e+01,1.263875e+01,5.239320e-01,-2.108501e-01,4.694321e+00,-1.403314e+01,-2.414487e+01,-1.305874e+01,-9.724375e+00,-6.866418e+00,1.390929e+00,3.495562e+00,5.628412e+00,7.534809e+00,8.456735e+00,8.217081e+00,7.173144e+00,7.025494e+00,6.611806e+00,6.426325e+00,6.434607e+00,5.237154e+00,2.152583e+00
3.102553e+00,5.456922e+00,5.228863e+00,5.667470e+00,5.302139e+00,5.326800e+00,4.300853e+00,-1.341750e+01,-1.053130e+01,-1.195832e+01,-1.151604e+01,-1.540589e+01,-1.959169e+01,-2.384049e+01,-2.492544e+01,-2.677081e+01,-2.032709e+01,-1.836564e+01,-1.597585e+01,-2.165610e+01,-1.871078e+01,-2.893880e+00,-1.506724e+00,-1.238657e+01,-3.689661e+00,-9.080812e+00,-1.455151e+01,1.527848e+00,6.632565e+00,9.465519e+00,1.405484e+01,1.322522e+01,1.002205e+01,5.690840e+00,6.585021e+00,6.616018e+00,5.704031e+00,4.955248e+00,4.791420e+00,4.743856e+00,4.208309e+00,3.146129e+00,8.912439e-01
2.604118e+00,4.325321e+00,4.159251e+00,3.650221e+00,3.534469e+00,3.351492e+00,2.269544e+00,-9.006007e+00,-1.699294e+00,8.872606e+00,1.071811e+01,1.005430e+01,1.199657e+01,1.598601e+01,1.803839e+01,1.314841e+01,9.588282e+00,8.811309e+00,8.542806e+00,9.926900e-01,-1.056555e+01,-2.352346e+01,-1.319131e+01,-1.442604e+01,-1.118363e+01,2.940573e+00,7.205498e+00,1.530490e+01,1.225101e+01,1.195117e+01,6.832868e+00,4.135880e+00,3.905075e+00,3.729825e+00,4.203641e+00,4.858684e+00,4.082538e+00,1.583100e+00,1.873789e+00,2.605929e+00,1.746869e+00,8.335042e-01,-5.656142e-01
