Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44
-4.693207e+02,-4.533170e+02,-4.558910e+02,-4.672315e+02,-4.849119e+02,-4.864737e+02,-4.885605e+02,-4.941044e+02,-4.946335e+02,-4.962564e+02,-3.801923e+02,-2.109461e+02,-1.399130e+02,-1.554221e+02,-1.783176e+02,-1.866969e+02,-1.611473e+02,-1.390335e+02,-1.290426e+02,-1.513502e+02,-2.134130e+02,-2.916914e+02,-3.452870e+02,-3.808069e+02,-4.225105e+02,-4.604561e+02,-4.924417e+02,-4.953708e+02,-4.980171e+02,-4.990056e+02,-4.982376e+02,-4.983224e+02,-4.955896e+02,-4.961064e+02,-4.969630e+02,-4.969881e+02,-4.991672e+02,-4.982733e+02,-4.965029e+02,-4.948488e+02,-4.949866e+02,-4.959270e+02,-4.946051e+02,-4.959833e+02
2.260940e+01,3.624696e+01,3.671738e+01,2.855284e+01,1.621512e+01,1.332189e+01,1.269745e+01,1.304041e+01,1.205614e+01,1.012129e+01,1.108893e+02,1.470498e+02,1.235352e+02,9.402039e+01,7.197628e+01,6.923799e+01,7.529015e+01,9.075242e+01,1.229640e+02,1.544552e+02,1.752190e+02,1.818810e+02,1.690778e+02,1.429580e+02,1.003772e+02,5.608694e+01,1.493840e+01,1.119912e+01,7.658667e+00,6.417565e+00,7.466636e+00,7.299176e+00,1.114585e+01,1.032362e+01,9.067289e+00,9.144297e+00,6.166546e+00,7.449390e+00,9.886147e+00,1.218050e+01,1.201013e+01,1.070652e+01,1.254671e+01,1.064455e+01
-7.576118e+00,-1.921977e+00,2.923598e-01,7.527196e-02,3.911757e+00,6.699444e-01,3.053269e+00,1.209726e+01,1.073426e+01,9.387545e+00,-4.777643e+00,-2.319606e+01,-2.958584e+01,-2.090679e+01,-3.709420e+00,3.884560e+00,-5.057468e+00,-1.967459e+01,-1.272622e+01,7.333369e+00,3.467808e+01,5.102231e+01,6.551682e+01,7.202496e+01,6.514996e+01,4.266859e+01,1.262537e+01,9.986307e+00,6.977623e+00,6.106162e+00,7.042142e+00,6.775578e+00,1.054401e+01,9.538936e+00,8.195940e+00,8.515053e+00,5.807813e+00,7.132197e+00,9.396421e+00,1.152770e+01,1.142463e+01,1.021643e+01,1.195450e+01,1.018911e+01
5.200024e+00,9.027212e+00,1.037680e+01,7.957423e+00,9.229558e+00,8.455200e+00,9.914417e+00,1.119755e+01,9.805119e+00,8.542282e+00,-5.650804e+01,-8.696937e+01,-8.233540e+01,-7.221968e+01,-5.611091e+01,-4.675847e+01,-4.169344e+01,-6.233604e+01,-7.634808e+01,-7.842439e+01,-7.327463e+01,-4.541529e+01,-1.621869e+01,5.796081e+00,2.641096e+01,2.455033e+01,9.609884e+00,8.474677e+00,6.142684e+00,5.622828e+00,6.368979e+00,6.052997e+00,9.628229e+00,8.560264e+00,7.192524e+00,7.663742e+00,5.298717e+00,6.652799e+00,8.703604e+00,1.049700e+01,1.048772e+01,9.475801e+00,1.101024e+01,9.461055e+00
2.246619e+01,2.520323e+01,2.517214e+01,2.213407e+01,1.685932e+01,1.953381e+01,1.900872e+01,1.059179e+01,9.472601e+00,7.877500e+00,-2.540826e+01,-4.140675e+01,-5.428228e+01,-5.277718e+01,-5.133731e+01,-5.312170e+01,-5.959365e+01,-6.833995e+01,-7.754074e+01,-7.474187e+01,-6.031920e+01,-5.027651e+01,-3.635288e+01,-2.445367e+01,-1.158045e+00,6.360493e+00,6.716513e+00,7.102003e+00,5.388348e+00,5.006241e+00,5.495427e+00,5.269544e+00,8.491912e+00,7.665064e+00,6.407770e+00,6.750563e+00,4.716049e+00,6.054461e+00,7.907157e+00,9.166594e+00,9.254545e+00,8.550899e+00,9.768312e+00,8.500860e+00
7.779243e+00,1.073418e+01,9.260266e+00,1.088843e+01,9.366915e+00,1.126605e+01,1.206258e+01,1.009457e+01,9.143982e+00,7.454930e+00,1.259600e+01,5.041269e+01,6.152787e+01,7.100065e+01,8.287958e+01,8.064282e+01,7.744925e+01,6.953407e+01,6.081597e+01,5.264757e+01,4.534644e+01,1.256469e+01,-1.266302e+01,-2.092433e+01,-1.374283e+01,-8.001640e+00,4.491566e+00,6.052308e+00,4.772798e+00,4.290968e+00,4.482944e+00,4.503386e+00,7.213886e+00,6.954796e+00,5.920190e+00,5.828590e+00,4.093650e+00,5.359898e+00,7.040912e+00,7.631956e+00,7.796309e+00,7.476236e+00,8.290730e+00,7.356347e+00
-4.740605e+00,-6.462131e+00,-5.266273e+00,-7.464844e-02,8.436416e-01,-1.883662e+00,1.278158e+00,9.415707e+00,8.455486e+00,7.082247e+00,6.155702e+00,-2.883649e+01,-4.064176e+01,-3.871840e+01,-3.989133e+01,-3.935063e+01,-4.245803e+01,-4.904076e+01,-5.420853e+01,-5.661591e+01,-4.500077e+01,-1.669574e+01,-4.756976e+00,-7.313993e+00,-1.675454e+01,-1.642796e+01,3.032508e+00,5.192737e+00,4.163795e+00,3.504102e+00,3.400768e+00,3.754399e+00,5.845439e+00,6.310299e+00,5.499890e+00,4.833208e+00,3.412938e+00,4.569944e+00,6.070803e+00,5.994836e+00,6.194757e+00,6.254554e+00,6.642310e+00,6.078931e+00
9.947724e+00,7.224998e+00,9.997674e+00,1.275048e+01,6.254503e+00,2.546812e+00,5.040349e+00,8.395802e+00,7.560828e+00,6.472501e+00,-9.735807e+00,-2.393116e+00,9.028453e+00,1.251570e+01,1.559933e+01,2.150969e+01,2.143020e+01,2.152128e+01,1.783377e+01,9.847687e+00,8.087349e+00,-3.243359e+00,-6.179564e+00,-3.012835e+00,-1.705003e+01,-1.883888e+01,2.071216e+00,4.221029e+00,3.365977e+00,2.670775e+00,2.319907e+00,2.982734e+00,4.420530e+00,5.494723e+00,4.790494e+00,3.661073e+00,2.631640e+00,3.681810e+00,4.947890e+00,4.352752e+00,4.536146e+00,4.886630e+00,4.890332e+00,4.722522e+00
1.480245e+01,1.793806e+01,2.278382e+01,2.230936e+01,1.192675e+01,1.276485e+01,1.332826e+01,6.981414e+00,6.488918e+00,5.470910e+00,1.016830e-01,-1.221644e+01,-2.106433e+01,-2.067706e+01,-2.187427e+01,-1.981602e+01,-2.100724e+01,-2.344090e+01,-2.545140e+01,-3.041583e+01,-2.304455e+01,-1.376289e+01,-1.344318e+01,-9.385616e+00,-1.698890e+01,-1.672831e+01,1.220783e+00,2.910834e+00,2.294058e+00,1.822883e+00,1.307097e+00,2.174643e+00,2.979511e+00,4.335157e+00,3.580632e+00,2.279645e+00,1.730570e+00,2.712204e+00,3.675411e+00,2.790517e+00,2.904953e+00,3.406107e+00,3.106520e+00,3.343473e+00
-5.840363e+00,1.140757e+00,6.895894e+00,7.323270e+00,4.606421e+00,7.274645e+00,8.425537e+00,5.248674e+00,4.983303e+00,4.186236e+00,1.982092e+01,2.311412e+01,3.004682e+01,3.126274e+01,2.662770e+01,2.378841e+01,2.548520e+01,2.441700e+01,2.047593e+01,8.268150e+00,-5.696118e+00,-1.053493e+01,-1.334023e+01,-1.568009e+01,-1.476015e+01,-1.236144e+01,2.191386e-01,1.283941e+00,1.064159e+00,1.003033e+00,4.193044e-01,1.387647e+00,1.587882e+00,2.862107e+00,1.974529e+00,7.862664e-01,7.461736e-01,1.707031e+00,2.338078e+00,1.374868e+00,1.378030e+00,1.890717e+00,1.367082e+00,1.999629e+00
