Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45
-4.762901e+02,-4.716475e+02,-4.716383e+02,-4.737256e+02,-4.734572e+02,-4.750689e+02,-4.749125e+02,-4.699331e+02,-3.652643e+02,-2.500954e+02,-1.785917e+02,-1.636011e+02,-1.693578e+02,-1.791312e+02,-1.992324e+02,-2.114538e+02,-2.213444e+02,-2.155496e+02,-2.136524e+02,-2.106594e+02,-2.033184e+02,-1.942798e+02,-1.811552e+02,-1.900194e+02,-2.313613e+02,-2.634132e+02,-3.012031e+02,-3.485618e+02,-3.799951e+02,-4.080035e+02,-4.390251e+02,-4.619656e+02,-4.710899e+02,-4.750375e+02,-4.754771e+02,-4.748879e+02,-4.742574e+02,-4.754188e+02,-4.741107e+02,-4.741845e+02,-4.748600e+02,-4.740810e+02,-4.755472e+02,-4.747410e+02,-4.754579e+02
8.959209e+00,1.537010e+01,1.534491e+01,1.248814e+01,1.286849e+01,1.064598e+01,1.088056e+01,1.680535e+01,1.109807e+02,1.557482e+02,1.458818e+02,1.271442e+02,1.163642e+02,1.099410e+02,1.054086e+02,1.079240e+02,1.054963e+02,1.060850e+02,1.077874e+02,1.089927e+02,1.064849e+02,1.050451e+02,1.212414e+02,1.354142e+02,1.402115e+02,1.615257e+02,1.671525e+02,1.384822e+02,1.109228e+02,8.491550e+01,5.115487e+01,2.540567e+01,1.518898e+01,1.061063e+01,1.005972e+01,1.082220e+01,1.177341e+01,1.017702e+01,1.201001e+01,1.193063e+01,1.079677e+01,1.200838e+01,9.974325e+00,1.115164e+01,1.014961e+01
8.669767e+00,1.463839e+01,1.450720e+01,1.191491e+01,1.229342e+01,1.023808e+01,1.051167e+01,1.349046e+01,2.006311e+01,1.346985e+01,-3.421103e+00,-2.157350e+01,-2.175821e+01,-4.989200e+00,9.418295e+00,8.669315e+00,2.532149e+00,-9.533956e-01,-3.676172e+00,-4.382811e+00,-6.254564e+00,-1.878093e+01,-3.223193e+01,-3.068322e+01,-7.909308e+00,1.831575e+01,3.318428e+01,4.008660e+01,3.936694e+01,3.788950e+01,2.612062e+01,1.600365e+01,1.240082e+01,1.009326e+01,9.635841e+00,1.028272e+01,1.130651e+01,9.845322e+00,1.162825e+01,1.162206e+01,1.020740e+01,1.149846e+01,9.580755e+00,1.086658e+01,9.899509e+00
8.199750e+00,1.349894e+01,1.321670e+01,1.100277e+01,1.136523e+01,9.577753e+00,9.912210e+00,9.165699e+00,-4.140263e+01,-6.584091e+01,-7.237790e+01,-6.533540e+01,-5.431577e+01,-4.837614e+01,-4.461021e+01,-4.462998e+01,-4.142756e+01,-3.859863e+01,-3.931625e+01,-3.813120e+01,-3.649310e+01,-4.128976e+01,-4.989697e+01,-5.566602e+01,-5.960190e+01,-5.136802e+01,-3.257772e+01,-1.483684e+01,-1.095433e+01,-3.517636e+00,1.734047e+00,6.246982e+00,9.690584e+00,9.502747e+00,8.981064e+00,9.603023e+00,1.055247e+01,9.306759e+00,1.100965e+01,1.111965e+01,9.707592e+00,1.067545e+01,8.943810e+00,1.040114e+01,9.490781e+00
7.567122e+00,1.205390e+01,1.160691e+01,9.809681e+00,1.012747e+01,8.693147e+00,9.104486e+00,5.137405e+00,-4.142748e+01,-5.745302e+01,-5.601924e+01,-4.846357e+01,-4.395443e+01,-4.390209e+01,-3.842530e+01,-3.715425e+01,-3.612928e+01,-3.687259e+01,-3.520959e+01,-3.492280e+01,-3.429665e+01,-3.737458e+01,-3.728482e+01,-3.436292e+01,-3.467138e+01,-2.729624e+01,-1.866085e+01,-9.408842e+00,-1.538310e+01,-1.758694e+01,-9.863975e+00,3.591828e-01,7.821712e+00,8.871307e+00,8.157843e+00,8.790556e+00,9.546049e+00,8.582022e+00,1.017973e+01,1.044068e+01,9.259171e+00,9.577929e+00,8.090867e+00,9.769440e+00,8.935277e+00
6.795799e+00,1.041556e+01,9.821758e+00,8.404719e+00,8.637374e+00,7.621605e+00,8.118311e+00,2.499726e+00,-1.467495e+00,2.207882e+01,3.077380e+01,4.052241e+01,4.119341e+01,4.129955e+01,4.186770e+01,4.120055e+01,3.929190e+01,4.280915e+01,4.911334e+01,5.007355e+01,4.894553e+01,4.498570e+01,4.516693e+01,4.780241e+01,4.237122e+01,2.686014e+01,1.355912e+01,9.025486e+00,3.693856e+00,-7.758981e+00,-7.329848e+00,-6.072538e-01,6.468274e+00,8.047794e+00,7.229052e+00,7.713530e+00,8.333152e+00,7.698686e+00,9.172221e+00,9.608196e+00,8.475725e+00,8.256636e+00,7.058051e+00,8.990421e+00,8.248981e+00
5.914546e+00,8.686033e+00,7.987451e+00,6.859599e+00,6.962668e+00,6.407690e+00,6.989619e+00,1.802743e+00,2.938891e+00,-1.416667e+01,-1.892625e+01,-1.678929e+01,-1.513826e+01,-1.117085e+01,-8.076465e+00,-4.341389e+00,-2.822239e+00,-4.379388e+00,-8.261872e-01,-1.014257e+00,-9.891405e+00,-1.470058e+01,-1.632761e+01,-1.695368e+01,-1.566630e+01,-1.138135e+01,6.357986e-01,1.052895e+01,1.454767e+01,6.401885e+00,1.325336e+00,1.830967e+00,5.387623e+00,6.975612e+00,6.244288e+00,6.357937e+00,6.968335e+00,6.689934e+00,8.027319e+00,8.650013e+00,7.237568e+00,6.771441e+00,5.888224e+00,8.087128e+00,7.451427e+00
4.955602e+00,6.942534e+00,6.192352e+00,5.241719e+00,5.177556e+00,5.100908e+00,5.758904e+00,2.912667e+00,-1.452980e+00,8.550976e+00,1.036341e+01,7.884870e+00,1.443263e+01,1.267610e+01,4.258103e+00,1.937287e-01,3.038207e+00,3.349060e+00,7.248919e+00,1.100296e+01,7.881321e+00,6.551749e+00,9.805354e+00,1.099155e+01,5.512022e+00,2.045625e+00,-2.546119e-01,5.067723e+00,9.328045e+00,9.948004e+00,7.014964e+00,5.501703e+00,5.000792e+00,5.824875e+00,5.233104e+00,4.920173e+00,5.511769e+00,5.592995e+00,6.789488e+00,7.597440e+00,5.917022e+00,5.187827e+00,4.628613e+00,7.085808e+00,6.564993e+00
3.953207e+00,5.231861e+00,4.479981e+00,3.610038e+00,3.358573e+00,3.753183e+00,4.469392e+00,5.070468e+00,-1.860573e+00,5.726403e+00,1.174666e+01,1.521996e+01,1.785322e+01,1.841282e+01,1.625904e+01,1.659551e+01,2.142179e+01,2.272292e+01,2.404078e+01,2.109243e+01,1.399579e+01,8.801251e+00,1.634614e+01,1.997112e+01,1.507600e+01,8.041117e+00,6.105304e+00,4.694791e+00,5.533441e-01,3.705752e+00,6.731074e+00,8.673885e+00,5.472632e+00,4.782510e+00,4.207094e+00,3.593237e+00,4.026008e+00,4.447438e+00,5.505193e+00,6.483917e+00,4.876039e+00,3.573137e+00,3.328277e+00,6.014899e+00,5.614107e+00
2.942056e+00,3.574872e+00,2.856247e+00,2.014212e+00,1.580386e+00,2.416283e+00,3.165172e+00,7.141593e+00,1.144306e+01,-8.840008e+00,-1.452081e+01,-1.123613e+01,-1.110344e+01,-1.083144e+01,-2.847843e+00,5.135309e-01,1.752074e+00,-3.364841e+00,-6.741233e+00,-6.290027e+00,-4.263542e+00,-4.253381e+00,-1.339330e+00,-3.654280e-01,2.044650e+00,2.899613e+00,5.118826e+00,6.300557e+00,-6.270057e-01,-2.200545e+00,3.719519e+00,1.000737e+01,5.792772e+00,3.804815e+00,3.169333e+00,2.360731e+00,2.572690e+00,3.293359e+00,4.220511e+00,5.343575e+00,3.982386e+00,1.992782e+00,2.035551e+00,4.903987e+00,4.624398e+00
