Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.683674e+02,-3.255206e+02,-2.605574e+02,-2.464169e+02,-2.592141e+02,-2.664792e+02,-2.793767e+02,-2.900443e+02,-3.021922e+02,-3.128679e+02,-3.301642e+02,-3.507057e+02,-3.849117e+02,-4.279080e+02,-4.502647e+02,-4.582696e+02,-4.658351e+02,-4.682697e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02,-4.685764e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.613192e-01,1.578138e+02,2.063315e+02,1.985442e+02,1.689288e+02,1.673352e+02,1.644122e+02,1.537357e+02,1.442729e+02,1.464728e+02,1.450968e+02,1.314911e+02,9.924315e+01,5.212814e+01,2.425115e+01,1.376579e+01,3.768732e+00,4.220574e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.696728e-01,5.752507e+01,5.163512e+01,2.997256e+01,1.172676e+01,2.045427e+01,3.024737e+01,3.170960e+01,3.521804e+01,4.445451e+01,4.965076e+01,5.474300e+01,5.347770e+01,3.784760e+01,1.961904e+01,1.147753e+01,3.451532e+00,3.874771e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.849654e-02,-3.051126e+01,-4.945997e+01,-4.987754e+01,-3.874792e+01,-3.394000e+01,-2.613337e+01,-1.696931e+01,-1.375827e+01,-1.706343e+01,-2.126771e+01,-1.099505e+01,6.222087e+00,1.945444e+01,1.284699e+01,8.108628e+00,2.945302e+00,3.319265e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.003412e-02,-6.085415e+01,-7.731799e+01,-7.696339e+01,-5.795429e+01,-4.893826e+01,-4.218654e+01,-3.685654e+01,-3.983981e+01,-4.427763e+01,-4.545228e+01,-3.688955e+01,-2.235323e+01,2.524966e+00,5.139665e+00,4.227211e+00,2.281756e+00,2.584119e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.620224e-01,-3.981841e+01,-3.927238e+01,-4.190498e+01,-3.270492e+01,-2.878681e+01,-2.439535e+01,-2.134720e+01,-2.415978e+01,-2.990966e+01,-2.926264e+01,-3.028674e+01,-2.859770e+01,-8.891108e+00,-2.199171e+00,4.535164e-01,1.501674e+00,1.709121e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.176504e-01,-8.746870e+00,-6.351777e+00,-8.898084e+00,-7.084271e+00,-9.997201e+00,-1.830729e+01,-2.513633e+01,-2.674905e+01,-2.234656e+01,-1.759759e+01,-1.936595e+01,-2.203358e+01,-1.367867e+01,-8.039885e+00,-2.666506e+00,6.517975e-01,7.416259e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.381658e-01,3.451219e-01,-1.170999e+01,-1.627302e+01,-1.908150e+01,-2.721095e+01,-2.956407e+01,-3.293996e+01,-3.277206e+01,-2.557415e+01,-2.218652e+01,-1.820890e+01,-1.414453e+01,-1.355159e+01,-1.165214e+01,-4.767112e+00,-2.185026e-01,-2.660069e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.279030e-01,-1.139509e+01,-1.692231e+01,-1.533607e+01,-1.011281e+01,-1.418682e+01,-1.891693e+01,-1.987955e+01,-1.694514e+01,-1.624696e+01,-2.084909e+01,-1.842710e+01,-1.057358e+01,-1.164091e+01,-1.283144e+01,-5.725070e+00,-1.060470e+00,-1.259229e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.880385e-01,-2.494699e+01,-2.312188e+01,-1.953288e+01,-1.299965e+01,-1.238445e+01,-1.484602e+01,-1.666586e+01,-1.548723e+01,-1.801873e+01,-1.599685e+01,-1.453276e+01,-1.089172e+01,-1.063719e+01,-1.190116e+01,-5.665694e+00,-1.828845e+00,-2.184329e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
