Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-3.861947e+02,-2.829023e+02,-2.490375e+02,-2.569623e+02,-2.583093e+02,-2.528414e+02,-2.392115e+02,-2.388105e+02,-2.628873e+02,-3.171713e+02,-3.752391e+02,-4.188871e+02,-4.509348e+02,-4.762413e+02,-4.844004e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02,-4.848268e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.085708e+02,1.950890e+02,1.996802e+02,1.615102e+02,1.527399e+02,1.822987e+02,2.110852e+02,2.119712e+02,2.043018e+02,1.718961e+02,1.231727e+02,7.854800e+01,4.325028e+01,1.141624e+01,5.562910e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.821529e+01,3.549019e+01,1.473645e+01,-3.191311e+00,2.966930e+00,1.536642e+01,2.727101e+01,2.630138e+01,3.588250e+01,4.383747e+01,4.807424e+01,4.175274e+01,3.059211e+01,9.367776e+00,4.236515e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.385647e+01,-5.957312e+01,-5.340796e+01,-3.464137e+01,-2.640177e+01,-3.859248e+01,-5.840132e+01,-5.960297e+01,-6.231274e+01,-5.718607e+01,-2.553376e+01,2.507176e-01,1.357614e+01,6.351936e+00,2.260419e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.439735e+01,-6.519142e+01,-6.092508e+01,-5.414138e+01,-5.112657e+01,-6.732751e+01,-8.342839e+01,-8.265755e+01,-9.017435e+01,-9.047628e+01,-6.226934e+01,-2.897647e+01,-3.282688e+00,2.873736e+00,-5.367830e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.790576e+01,-2.236249e+01,-2.468065e+01,-2.886748e+01,-3.005297e+01,-3.478258e+01,-4.005423e+01,-3.937298e+01,-4.495131e+01,-5.792952e+01,-5.815047e+01,-3.848407e+01,-1.613531e+01,-5.200946e-01,-2.342753e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.651619e+00,-3.912646e+00,-7.023963e+00,-1.385968e+01,-1.996562e+01,-1.863035e+01,-2.100434e+01,-2.806002e+01,-2.677304e+01,-2.508414e+01,-3.481399e+01,-3.244215e+01,-2.292832e+01,-3.351641e+00,-4.250866e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.342741e-01,-8.516938e+00,-1.249600e+01,-1.720892e+01,-1.493947e+01,-1.476483e+01,-1.835316e+01,-2.677934e+01,-2.796186e+01,-1.870415e+01,-1.642583e+01,-2.139440e+01,-2.371307e+01,-5.298599e+00,-5.485872e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.129563e+01,-1.721476e+01,-1.351831e+01,-8.249182e+00,1.284123e+00,-6.108394e-01,-4.551023e+00,-6.456363e+00,-7.868667e+00,-1.680114e+01,-1.224017e+01,-1.438550e+01,-2.015496e+01,-6.238866e+00,-5.865033e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.278928e+01,-2.837560e+01,-2.781482e+01,-2.763347e+01,-1.949078e+01,-2.522039e+01,-2.694993e+01,-2.620269e+01,-2.322549e+01,-2.469528e+01,-1.694005e+01,-1.402231e+01,-1.460079e+01,-6.246359e+00,-5.342723e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.001462e+01,-2.315040e+01,-2.619229e+01,-2.167007e+01,-1.878896e+01,-2.439576e+01,-2.231576e+01,-2.532952e+01,-3.305139e+01,-3.086923e+01,-2.184124e+01,-1.689462e+01,-9.167895e+00,-5.544690e+00,-4.014560e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.893120e+00,-5.511991e+00,-3.139820e+00,-7.804914e+00,-1.197231e+01,-5.680031e+00,-7.187665e+00,-1.045821e+01,-1.953799e+01,-2.566762e+01,-2.292355e+01,-1.768648e+01,-5.184890e+00,-4.435279e+00,-2.100163e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
