Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.132751e+02,-4.996387e+02,-5.006255e+02,-5.021611e+02,-5.041505e+02,-5.003342e+02,-4.507356e+02,-2.821859e+02,-1.548299e+02,-8.498478e+01,-7.006570e+01,-8.625500e+01,-1.055964e+02,-1.273358e+02,-1.574539e+02,-1.941602e+02,-2.408852e+02,-2.804713e+02,-3.256177e+02,-3.511092e+02,-3.625710e+02,-3.711059e+02,-3.802944e+02,-3.903602e+02,-3.946861e+02,-3.975165e+02,-4.101443e+02,-4.303035e+02,-4.561525e+02,-4.869955e+02,-4.935931e+02,-4.981896e+02,-4.997947e+02,-5.064710e+02,-5.096239e+02
3.592081e+01,4.856263e+01,4.983270e+01,4.990144e+01,4.878164e+01,5.244859e+01,6.277238e+01,9.372309e+01,9.650931e+01,8.703471e+01,7.912455e+01,7.617490e+01,7.134424e+01,7.760071e+01,9.515919e+01,1.185767e+02,1.370421e+02,1.524644e+02,1.671735e+02,1.633545e+02,1.557674e+02,1.405755e+02,1.281408e+02,1.142564e+02,1.016076e+02,8.957234e+01,6.791467e+01,5.183281e+01,4.700191e+01,3.733001e+01,4.454053e+01,4.574541e+01,4.558464e+01,4.307383e+01,4.182504e+01
6.158617e+00,8.083042e+00,1.172050e+01,1.476831e+01,1.605094e+01,1.554352e+01,-3.916839e+01,-9.251468e+01,-1.003954e+02,-1.046547e+02,-1.050402e+02,-9.987003e+01,-9.183247e+01,-7.516867e+01,-5.687563e+01,-4.304276e+01,-2.662292e+01,-4.822889e-01,3.174152e+01,5.324493e+01,5.962523e+01,5.723390e+01,5.128356e+01,4.225834e+01,3.398713e+01,2.143081e+01,4.017502e+00,-2.982988e+00,4.578419e+00,7.659679e+00,1.057944e+01,1.142893e+01,7.728417e+00,8.299898e+00,1.041455e+01
-7.346852e-01,-7.387667e-01,-1.038927e+00,1.010959e+00,2.537140e+00,-1.336350e+00,-1.941488e+01,-2.481291e+01,-2.620253e+01,-2.375665e+01,-1.421998e+01,-1.390810e+00,-1.002850e+00,-3.885978e+00,-1.550506e+01,-2.163334e+01,-2.484431e+01,-2.956818e+01,-2.631761e+01,-3.354027e+00,1.804345e+01,4.711998e+01,5.676408e+01,5.795233e+01,6.167326e+01,5.886757e+01,5.000658e+01,4.115783e+01,3.072068e+01,1.422365e+01,9.164312e-01,-1.534326e+00,-4.958385e+00,-4.143698e+00,-3.328565e+00
9.903381e+00,1.422686e+01,9.712198e+00,8.525240e+00,9.906138e+00,6.228480e+00,4.185199e+01,1.257651e+00,-1.759632e+01,-1.863012e+01,-1.527853e+01,-8.603405e+00,-1.180349e+01,-1.577688e+01,-2.204295e+01,-2.694038e+01,-2.763126e+01,-2.846853e+01,-2.129860e+01,-3.427803e+01,-4.197636e+01,-3.214033e+01,-2.080753e+01,-1.126161e+01,-8.425335e+00,-4.365149e+00,-1.092655e+01,-1.698480e+01,-1.526139e+01,-1.254899e+01,-1.112647e+01,-4.844492e+00,1.383286e-01,5.627651e+00,3.164939e+00
1.242723e+01,1.719687e+01,1.627417e+01,1.399304e+01,1.602445e+01,1.427845e+01,3.502048e+01,3.328432e+01,3.508612e+01,4.024578e+01,4.870567e+01,5.691686e+01,5.566238e+01,4.811086e+01,4.846301e+01,4.440860e+01,3.755995e+01,2.760085e+01,1.479028e+01,2.836580e+00,-9.235304e+00,-1.463977e+01,-9.274288e+00,2.297570e+00,9.215982e+00,2.143243e+01,2.152684e+01,1.577615e+01,1.598042e+01,1.858997e+01,1.436112e+01,1.459361e+01,1.524488e+01,1.518225e+01,1.082484e+01
3.918646e+00,4.966800e+00,1.039650e+01,9.794081e+00,1.060377e+01,9.124023e+00,-1.333576e+01,-2.703301e+01,-3.482970e+01,-3.633602e+01,-3.379755e+01,-3.143467e+01,-3.092586e+01,-4.072393e+01,-4.458346e+01,-4.458006e+01,-3.163516e+01,-2.197973e+01,-2.364379e+01,-1.647727e+01,-1.526060e+01,-5.137912e+00,4.113358e+00,1.592468e+01,2.511563e+01,3.352926e+01,3.599497e+01,3.167033e+01,2.950679e+01,2.449441e+01,1.815579e+01,1.482050e+01,1.326382e+01,1.113677e+01,9.339437e+00
-3.825834e-01,-1.238553e+00,3.135975e+00,4.109318e+00,1.852527e+00,-4.347879e-02,-1.512943e+01,-1.258485e+01,-8.339805e+00,-5.401149e+00,-4.101051e+00,-2.763599e+00,3.693058e+00,1.146420e+01,8.322481e+00,3.867354e+00,9.048213e+00,1.242054e+01,3.376904e+00,-1.776715e+01,-3.768116e+01,-5.053287e+01,-5.093865e+01,-3.878473e+01,-3.245373e+01,-2.778466e+01,-2.642287e+01,-2.954445e+01,-2.405925e+01,-1.188114e+01,-2.065956e+00,2.147353e+00,4.890856e+00,4.103801e+00,5.007349e+00
2.413714e+00,1.399998e+00,-3.383375e-01,-8.282792e-02,-2.713415e+00,-2.826836e+00,1.785328e+01,3.009417e+01,2.101823e+01,1.721310e+01,1.459874e+01,1.059609e+01,1.080641e+01,1.489587e+01,1.225587e+01,7.009291e+00,-3.464397e-01,-6.093266e+00,-8.223228e+00,1.386390e+00,9.230043e+00,1.879223e-01,-9.846277e+00,-4.890875e+00,6.656180e+00,1.164141e+01,1.226540e+01,1.265855e+01,9.455688e+00,1.051792e+01,7.435351e+00,4.790651e+00,5.342364e+00,2.392302e+00,2.338033e+00
1.202742e+00,-8.591728e-01,-3.599632e+00,-4.794665e+00,-4.434078e+00,-2.232594e+00,7.989535e+00,7.494077e+00,1.074642e+01,1.149850e+01,7.644247e+00,2.155025e+00,1.134518e+01,2.082481e+01,2.647238e+01,2.400528e+01,1.032985e+01,1.632112e+00,8.681292e+00,8.427751e+00,8.133933e+00,1.318875e+01,8.168200e+00,2.091743e+00,6.828900e+00,3.467861e+00,1.705741e+00,8.896646e+00,9.402218e+00,1.023104e+00,-4.536175e+00,-9.022827e+00,-5.000998e+00,-7.696478e-01,-2.553731e+00
