Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.124440e+02,-4.940372e+02,-5.018243e+02,-4.998725e+02,-4.966339e+02,-4.953969e+02,-4.916245e+02,-4.544306e+02,-2.111235e+02,-7.636006e+01,-2.484955e+01,-2.687486e+01,-6.387548e+01,-9.747187e+01,-1.171033e+02,-1.558232e+02,-2.002077e+02,-2.328012e+02,-2.638747e+02,-3.025218e+02,-3.469533e+02,-3.853203e+02,-4.213972e+02,-4.471617e+02,-4.653853e+02,-4.869367e+02,-4.941471e+02,-4.937249e+02,-4.918505e+02,-4.900619e+02,-5.013599e+02
7.006149e+01,8.028328e+01,7.058067e+01,7.321683e+01,7.938248e+01,7.812651e+01,7.765621e+01,8.824376e+01,9.012683e+01,8.068959e+01,6.496559e+01,4.709893e+01,4.551677e+01,5.519780e+01,7.224513e+01,1.001274e+02,1.287667e+02,1.613142e+02,1.870010e+02,2.050915e+02,2.115598e+02,1.989393e+02,1.647140e+02,1.361413e+02,1.171357e+02,8.985235e+01,8.091370e+01,8.068127e+01,8.341782e+01,8.460181e+01,7.874223e+01
1.485454e+01,6.572327e+00,2.556178e+00,5.710954e+00,1.008782e+01,5.555134e+00,1.430683e-01,-1.122751e+01,-4.291286e+01,-5.251788e+01,-5.580613e+01,-5.322061e+01,-3.535892e+01,-2.268727e+01,-1.441872e+01,-1.012946e+01,-7.856823e+00,-3.376576e+00,9.081253e+00,2.476943e+01,3.885961e+01,5.933131e+01,5.702649e+01,4.541048e+01,3.408099e+01,1.439181e+01,9.955955e+00,5.844806e+00,6.751997e+00,6.392647e+00,1.327575e+01
-8.045424e-01,-4.547678e+00,-4.241077e+00,-1.525926e+00,-3.032048e+00,-4.656425e+00,-6.398445e+00,-2.006096e+01,-5.235808e+01,-5.505769e+01,-4.855431e+01,-3.460357e+01,-3.117256e+01,-3.392926e+01,-3.026485e+01,-1.945600e+01,-1.667867e+01,-1.925410e+01,-3.383570e+01,-3.758428e+01,-2.399510e+01,-1.541836e+00,1.950742e+01,2.377093e+01,1.238108e+01,-8.504362e-01,2.521435e-01,-6.054687e+00,-8.042896e+00,-9.665653e+00,-4.190571e+00
1.017554e+01,1.294583e+01,1.148217e+01,1.283507e+01,1.022392e+01,1.186133e+01,1.155959e+01,-1.799268e+00,-3.588746e+01,-3.858001e+01,-3.410812e+01,-2.202741e+01,-2.183792e+01,-2.578596e+01,-3.190631e+01,-3.318432e+01,-3.487273e+01,-3.468917e+01,-4.017702e+01,-4.085692e+01,-2.632515e+01,-1.263619e+01,1.302323e+01,2.628232e+01,2.011553e+01,1.212022e+01,1.505488e+01,1.439497e+01,1.277892e+01,8.473192e+00,9.193227e+00
1.207400e+01,1.212346e+01,1.204316e+01,1.412654e+01,1.493106e+01,1.461932e+01,1.329239e+01,1.051274e+01,3.237708e+01,4.043906e+01,5.090144e+01,6.299872e+01,6.920689e+01,7.173589e+01,7.314078e+01,7.367268e+01,6.570229e+01,5.000957e+01,3.322857e+01,1.131258e+01,-1.099796e+01,-1.584296e+01,-6.948859e+00,4.284567e+00,9.440185e+00,1.151770e+01,1.338327e+01,1.839746e+01,1.893598e+01,1.426186e+01,1.387337e+01
2.790132e+00,3.237754e+00,7.170221e+00,7.614789e+00,1.228733e+01,1.121170e+01,1.128831e+01,7.814634e+00,-3.862040e+01,-4.974083e+01,-5.258862e+01,-5.564384e+01,-5.368294e+01,-5.289528e+01,-5.033427e+01,-4.985958e+01,-5.285058e+01,-3.938117e+01,-2.476696e+01,-9.659626e+00,-6.091232e-01,-7.234035e+00,-1.567930e+01,-1.438866e+01,-7.154511e+00,6.225821e+00,8.243006e+00,1.163558e+01,1.304579e+01,1.151453e+01,9.184221e+00
-3.631530e+00,-1.011746e+00,2.291091e+00,-2.055595e+00,2.641612e+00,3.688003e+00,3.597200e+00,1.581903e+01,3.958126e+01,5.253551e+01,5.714359e+01,5.309931e+01,4.692607e+01,4.403743e+01,3.959856e+01,3.684926e+01,3.260746e+01,2.244317e+01,2.163024e+01,1.610628e+01,4.223800e+00,-1.763915e+00,-1.074291e+01,-1.700997e+01,-1.616337e+01,1.295486e+00,5.086955e+00,5.297874e+00,6.646811e+00,7.189747e+00,5.088534e+00
-3.970339e+00,-2.839379e+00,2.530635e-01,-4.278187e+00,-4.626586e+00,-4.070291e+00,-4.873015e+00,5.492589e+00,2.348882e+00,2.516707e+00,1.671805e+00,-1.243209e+00,-7.259000e+00,-1.048307e+01,-1.688453e+01,-1.984560e+01,-1.322962e+01,-8.428829e+00,-9.760570e+00,-9.365021e+00,-7.624193e+00,-7.190314e+00,-1.344169e+01,-2.124402e+01,-2.171241e+01,-6.211101e+00,-1.984487e+00,-1.018854e+00,-7.628195e-01,5.072594e-03,1.957126e+00
-5.304301e+00,-3.890960e+00,7.771286e-01,-8.101264e-01,-3.565343e+00,-4.537123e+00,-3.460995e+00,-7.059935e+00,-7.978791e+00,-7.092803e+00,-1.006886e+01,-1.196258e+01,-8.285254e+00,-2.203590e+00,-9.490752e-02,-2.414724e+00,-8.970570e+00,-1.258562e+01,-1.322871e+01,-1.038558e+01,-6.118942e+00,-1.031842e+01,-1.819587e+01,-2.489434e+01,-2.108974e+01,-8.855892e+00,-7.810053e+00,-4.647142e+00,-5.385198e+00,-5.183674e+00,-2.398319e+00
