Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.306717e+02,-5.099142e+02,-5.094689e+02,-5.078624e+02,-4.897311e+02,-2.654276e+02,-9.923821e+01,-3.577494e+01,-2.591425e+01,-3.496716e+01,-7.185305e+01,-8.722932e+01,-8.934918e+01,-8.995319e+01,-9.542014e+01,-1.106179e+02,-1.317249e+02,-1.712845e+02,-2.280570e+02,-2.988867e+02,-3.489071e+02,-4.047401e+02,-4.535229e+02,-4.850799e+02,-4.922360e+02,-4.996973e+02,-5.051290e+02,-5.008488e+02,-5.028906e+02,-5.222626e+02
5.843262e+01,7.197003e+01,7.581886e+01,7.885275e+01,8.573509e+01,8.898425e+01,8.029332e+01,6.916370e+01,5.445756e+01,4.310646e+01,4.797874e+01,4.742763e+01,4.036046e+01,5.103635e+01,7.076491e+01,8.930901e+01,1.184901e+02,1.523445e+02,1.768221e+02,1.950146e+02,2.037554e+02,1.815748e+02,1.370593e+02,9.807917e+01,8.507134e+01,8.051502e+01,8.046758e+01,8.368901e+01,8.265981e+01,7.032765e+01
1.410057e+01,8.217808e+00,1.398244e+01,1.869743e+01,8.630113e+00,-4.546104e+01,-6.188519e+01,-6.306380e+01,-6.496167e+01,-6.514933e+01,-4.952859e+01,-3.996079e+01,-3.483171e+01,-3.482852e+01,-4.077988e+01,-3.409066e+01,-2.028815e+01,-4.718086e+00,1.160946e+01,3.146568e+01,4.048421e+01,4.861488e+01,4.382620e+01,1.806088e+01,5.660101e+00,6.882607e+00,1.237443e+01,1.167196e+01,1.413825e+01,1.973406e+01
6.536123e+00,1.813861e+00,2.205421e+00,6.781876e+00,6.519296e+00,-3.901027e+01,-3.937545e+01,-3.857515e+01,-3.337095e+01,-2.363975e+01,-1.994591e+01,-1.605094e+01,-1.261367e+01,-9.497522e+00,-1.764330e+01,-2.354090e+01,-3.843657e+01,-4.085397e+01,-3.289167e+01,-1.668360e+01,-1.119568e+01,1.165478e+00,1.159141e+01,3.296581e+00,-1.062638e-01,-1.988992e+00,-3.792070e+00,-3.241228e+00,6.344913e-01,9.656256e-01
1.896039e+01,1.830598e+01,1.588382e+01,1.687049e+01,1.950331e+01,-2.951643e+01,-3.806663e+01,-3.541046e+01,-3.191800e+01,-2.873444e+01,-3.091334e+01,-2.749767e+01,-2.332634e+01,-2.051044e+01,-2.579938e+01,-3.344976e+01,-4.869383e+01,-5.215600e+01,-3.952609e+01,-2.240487e+01,-1.141073e+01,-7.832224e-01,7.630291e+00,1.691065e+01,1.980793e+01,1.697378e+01,1.323172e+01,1.690349e+01,1.889074e+01,1.129686e+01
1.850353e+01,1.756721e+01,2.009324e+01,1.748511e+01,1.304590e+01,4.690297e+01,5.298939e+01,5.925780e+01,7.282463e+01,7.711405e+01,7.936433e+01,7.796206e+01,7.501459e+01,7.845049e+01,8.248954e+01,8.008244e+01,7.650919e+01,6.522954e+01,4.779618e+01,2.003183e+01,-1.362841e+00,-1.228710e+01,-8.059581e+00,9.957293e+00,1.515977e+01,1.676328e+01,1.895880e+01,2.015250e+01,2.041101e+01,1.822958e+01
7.461116e+00,8.767496e+00,1.305112e+01,1.037283e+01,6.875504e+00,-4.045934e+01,-5.897774e+01,-5.937099e+01,-5.530682e+01,-5.544929e+01,-5.552900e+01,-5.554816e+01,-5.812833e+01,-6.651730e+01,-7.377539e+01,-8.009183e+01,-7.134010e+01,-6.308405e+01,-5.453668e+01,-3.498873e+01,-1.846681e+01,-2.317724e+01,-2.152391e+01,-2.893762e+00,6.186632e+00,9.675508e+00,1.341432e+01,9.102237e+00,1.038596e+01,1.288016e+01
2.426211e+00,4.288037e+00,3.010263e+00,2.814117e+00,3.589309e+00,3.513545e+01,4.824006e+01,5.353617e+01,5.007098e+01,4.977310e+01,4.812316e+01,4.584112e+01,4.230502e+01,4.206709e+01,4.079957e+01,3.069984e+01,2.556026e+01,2.301697e+01,1.020047e+01,-8.043221e+00,-1.455812e+01,-2.333357e+01,-2.015230e+01,-3.810679e+00,5.151376e+00,6.499668e+00,1.050364e+01,6.316004e+00,7.444151e+00,6.611018e+00
3.642613e+00,3.724163e+00,7.467825e-01,2.978607e+00,4.790486e+00,1.417339e+01,6.423851e+00,5.072278e+00,9.349892e-01,-2.629911e-01,-2.978710e+00,-3.489683e+00,3.449385e-01,6.085335e+00,8.677429e+00,5.999015e+00,-3.197450e+00,-9.069477e+00,-6.378519e+00,-1.017696e+01,-1.482865e+01,-1.373906e+01,-1.130105e+01,-2.368233e+00,9.873834e-01,7.740331e-01,6.438456e+00,8.261418e+00,7.664310e+00,4.526606e+00
-1.053077e+00,-7.578505e-01,1.279805e+00,4.245477e+00,2.691655e+00,-1.914663e+01,-1.677469e+01,-1.791696e+01,-1.756541e+01,-1.688000e+01,-9.739229e+00,-8.311904e+00,-5.019169e+00,2.241306e+00,1.143108e+01,1.675036e+01,1.679916e+01,1.289903e+01,1.641455e+01,1.842247e+01,7.645362e+00,-2.441091e+00,-6.459225e+00,-5.896406e+00,-6.221801e+00,-6.257374e+00,-3.149140e+00,1.723723e+00,2.867509e+00,2.795260e+00
-9.805316e+00,-8.111311e+00,-3.360559e+00,-2.624662e+00,-6.546002e+00,-1.789401e+01,-1.972256e+01,-1.965146e+01,-1.655128e+01,-1.816087e+01,-2.065955e+01,-2.170334e+01,-1.762249e+01,-1.573085e+01,-1.184079e+01,1.261276e+00,1.296523e+01,1.866713e+01,1.667213e+01,1.404525e+01,7.766292e+00,3.115730e+00,-2.901474e+00,-4.263611e+00,-7.544703e+00,-7.580961e+00,-7.722105e+00,-7.027415e+00,-4.164999e+00,-6.781971e-01
-1.067408e+01,-7.874341e+00,-4.309505e+00,-6.858177e+00,-6.661558e+00,7.593071e+00,1.204338e+01,1.295590e+01,1.324080e+01,6.355194e+00,-1.884113e+00,-1.763235e+00,3.436921e+00,6.285407e+00,6.581827e+00,1.275487e+01,1.573398e+01,1.242376e+01,2.329659e-01,-2.580116e+00,1.820068e+00,4.863709e+00,4.248781e+00,2.811844e+00,-4.986997e+00,-3.427104e+00,-3.558137e+00,-6.878083e+00,-6.034389e+00,-3.643855e+00
-6.039884e+00,-4.604500e+00,-2.927421e+00,-3.790543e+00,-1.298336e+00,-6.163030e+00,-1.303952e+01,-1.385464e+01,-1.793833e+01,-2.227905e+01,-1.752858e+01,-2.069669e+01,-2.976982e+01,-3.301503e+01,-3.512492e+01,-3.671906e+01,-2.792387e+01,-1.108455e+01,3.856439e+00,5.111016e+00,9.197378e-01,1.414137e+00,5.877220e+00,3.996939e+00,-4.529672e+00,-1.587211e+00,-2.552845e+00,-4.122755e+00,-2.909748e+00,-4.470810e+00
