Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.596352e+02,-3.398669e+02,-2.312989e+02,-1.958239e+02,-1.854388e+02,-1.783649e+02,-2.042776e+02,-2.619611e+02,-3.197610e+02,-3.681646e+02,-4.013136e+02,-4.291042e+02,-4.506541e+02,-4.776880e+02,-5.012481e+02,-5.206320e+02,-5.406415e+02,-5.555797e+02,-5.607912e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02,-5.608296e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.540691e+00,1.588436e+02,1.970545e+02,1.866606e+02,1.739417e+02,1.939209e+02,2.075195e+02,2.083713e+02,2.084587e+02,1.982618e+02,1.774755e+02,1.507428e+02,1.232605e+02,9.286542e+01,7.151012e+01,5.249944e+01,2.740025e+01,7.204820e+00,5.309835e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.139026e+00,-3.125776e+01,-6.919878e+01,-8.225060e+01,-8.959558e+01,-8.355016e+01,-5.977566e+01,-2.192387e+01,2.107824e+01,5.712988e+01,7.315678e+01,7.212708e+01,5.537569e+01,4.199908e+01,4.384008e+01,4.143243e+01,2.410324e+01,6.563300e+00,4.935761e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.947731e-01,-7.238473e+01,-6.843381e+01,-5.644861e+01,-5.178980e+01,-5.109080e+01,-5.211349e+01,-5.031695e+01,-4.760798e+01,-3.374704e+01,-1.080877e+01,5.651176e+00,6.137389e+00,7.113584e+00,2.092794e+01,2.799704e+01,1.909115e+01,5.551411e+00,4.331921e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.540131e-02,-3.471946e+01,-3.477498e+01,-4.696751e+01,-5.274772e+01,-5.691370e+01,-6.123460e+01,-5.816378e+01,-5.276138e+01,-4.954032e+01,-3.696396e+01,-1.901404e+01,-4.683357e+00,2.469203e+00,1.080982e+01,1.576400e+01,1.299764e+01,4.248947e+00,3.526860e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.458565e-01,4.422405e+00,-6.235335e-01,4.973735e+00,8.558664e+00,6.426249e+00,-3.317384e+00,-1.054283e+01,-1.839580e+01,-2.488378e+01,-2.663500e+01,-1.567753e+01,-3.866827e-01,7.264436e+00,5.884790e+00,5.829041e+00,6.548381e+00,2.755996e+00,2.558161e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.145894e-01,-9.586273e+00,-1.171586e+01,-1.237740e+01,-7.501159e+00,-1.523976e+00,5.370254e+00,9.529058e+00,-1.970894e+00,-9.418982e+00,-1.663017e+01,-1.268161e+01,-7.008689e+00,1.212294e-01,-2.481864e+00,-2.258284e+00,4.413189e-01,1.183015e+00,1.471695e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.082720e+00,-9.770597e+00,-3.691037e+00,-6.725198e+00,-1.212616e+01,-2.115461e+01,-2.166462e+01,-1.897952e+01,-1.599934e+01,-1.830045e+01,-1.841858e+01,-1.937249e+01,-2.257609e+01,-1.524040e+01,-1.232051e+01,-8.621885e+00,-4.759010e+00,-3.598403e-01,3.183997e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.271299e+00,-2.590976e+01,-3.329713e+01,-2.891834e+01,-3.214719e+01,-3.785542e+01,-2.971681e+01,-2.208043e+01,-2.118048e+01,-2.472931e+01,-2.162342e+01,-2.553221e+01,-2.941847e+01,-2.262368e+01,-1.638944e+01,-1.253675e+01,-8.693450e+00,-1.772858e+00,-8.476965e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.375212e+00,-1.220396e+01,-9.721692e+00,-9.814899e+00,-1.422385e+01,-1.809374e+01,-1.745632e+01,-2.042492e+01,-2.504894e+01,-2.227276e+01,-1.950342e+01,-2.334629e+01,-2.298022e+01,-1.825372e+01,-1.383879e+01,-1.353331e+01,-1.123543e+01,-2.975237e+00,-1.971779e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.353959e+00,8.405456e+00,2.229814e+01,2.496944e+01,2.259850e+01,1.229636e+01,-3.310643e+00,-1.633396e+01,-2.250293e+01,-1.934172e+01,-1.740207e+01,-1.775706e+01,-1.520642e+01,-1.237370e+01,-1.107358e+01,-1.241272e+01,-1.247285e+01,-3.911124e+00,-3.001562e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154888e+00,-2.579080e+01,-3.611152e+01,-2.894823e+01,-2.086967e+01,-1.783913e+01,-1.803707e+01,-1.382581e+01,-1.022766e+01,-1.427606e+01,-1.969298e+01,-1.577379e+01,-1.401807e+01,-1.205503e+01,-1.231431e+01,-1.080449e+01,-1.265360e+01,-4.552418e+00,-3.889041e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.542586e-01,-1.769232e+01,-1.198818e+01,-9.153463e+00,-4.851388e+00,9.507642e-01,-1.354844e+00,-7.378530e+00,-9.472815e+00,-1.552972e+01,-2.029799e+01,-1.565279e+01,-1.474701e+01,-1.383535e+01,-1.445224e+01,-9.857958e+00,-1.211078e+01,-4.898445e+00,-4.593298e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
