Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.345496e+02,-3.213133e+02,-2.156444e+02,-1.917237e+02,-1.936087e+02,-2.007332e+02,-2.437160e+02,-2.946837e+02,-3.378423e+02,-3.689638e+02,-3.962601e+02,-4.279034e+02,-4.645201e+02,-4.973807e+02,-5.153788e+02,-5.300790e+02,-5.345286e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02,-5.346928e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.459420e-01,1.512356e+02,1.869044e+02,1.784816e+02,1.737068e+02,1.852188e+02,1.917324e+02,2.030271e+02,2.018274e+02,1.828448e+02,1.570186e+02,1.243107e+02,8.724351e+01,4.947546e+01,2.608612e+01,6.315702e+00,2.283040e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.970363e-03,-3.994958e+01,-6.747543e+01,-7.643816e+01,-7.413991e+01,-5.872990e+01,-2.798950e+01,1.495099e+01,5.236458e+01,6.984871e+01,7.085762e+01,6.462277e+01,5.827834e+01,4.041097e+01,2.260345e+01,5.710858e+00,2.166664e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.343802e-01,-7.720935e+01,-7.009914e+01,-5.539409e+01,-4.414433e+01,-4.924266e+01,-5.292870e+01,-5.384560e+01,-4.590062e+01,-2.260107e+01,-2.658396e+00,1.247002e+01,2.742473e+01,2.769223e+01,1.742724e+01,4.774281e+00,1.977079e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.016283e-01,-3.458179e+01,-4.221315e+01,-4.800771e+01,-4.712675e+01,-5.481887e+01,-5.586401e+01,-5.464499e+01,-5.942936e+01,-4.997153e+01,-2.969397e+01,-1.000332e+01,5.906232e+00,1.398164e+01,1.136189e+01,3.602759e+00,1.720691e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.562890e-01,2.256665e+00,4.530047e-01,4.923027e+00,9.379611e+00,9.159523e+00,2.420007e+00,-1.659637e+01,-2.998951e+01,-3.214930e+01,-2.365493e+01,-1.259867e+01,-5.339741e+00,1.669789e+00,5.290768e+00,2.312598e+00,1.406162e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.380524e-02,-1.184646e+01,-1.646326e+01,-1.491939e+01,-1.112719e+01,-8.624177e+00,-5.051160e+00,-1.083436e+01,-1.103990e+01,-1.311462e+01,-1.625079e+01,-1.588208e+01,-1.197997e+01,-7.650875e+00,2.758384e-03,1.023932e+00,1.044120e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.217587e-01,-9.428939e+00,-3.453497e+00,-6.145488e+00,-1.982521e+01,-2.672230e+01,-2.709153e+01,-1.954054e+01,-1.501059e+01,-1.300572e+01,-2.062397e+01,-2.563578e+01,-1.839334e+01,-1.332308e+01,-3.951564e+00,-1.548840e-01,6.467986e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.991444e-01,-1.386657e+01,-1.714750e+01,-1.405932e+01,-2.225418e+01,-2.560769e+01,-2.201767e+01,-1.924499e+01,-2.309902e+01,-2.273098e+01,-2.737939e+01,-3.219363e+01,-2.405853e+01,-1.548504e+01,-6.343132e+00,-1.140617e+00,2.276221e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.652883e-01,6.584890e-01,-1.644754e-01,-2.679412e+00,-1.307286e+01,-2.298226e+01,-2.803073e+01,-3.286851e+01,-2.933731e+01,-2.872403e+01,-2.659483e+01,-2.849113e+01,-2.611843e+01,-1.482530e+01,-7.271790e+00,-1.884158e+00,-1.992453e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.932467e-02,1.220754e+01,2.300160e+01,2.440647e+01,1.788715e+01,4.948442e+00,-1.169764e+01,-3.192364e+01,-3.095040e+01,-2.833591e+01,-2.107030e+01,-1.966475e+01,-2.332114e+01,-1.234326e+01,-7.101207e+00,-2.374135e+00,-6.193803e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.082507e-01,-2.952693e+01,-4.377589e+01,-3.976473e+01,-2.926578e+01,-2.146789e+01,-1.487493e+01,-1.806656e+01,-2.196836e+01,-2.423338e+01,-1.753478e+01,-1.400770e+01,-1.696030e+01,-9.148477e+00,-6.341953e+00,-2.634531e+00,-1.018587e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.950534e-01,-1.826608e+01,-1.379090e+01,-1.143149e+01,-3.495462e+00,4.090131e+00,-5.750710e-01,-5.634124e+00,-1.274018e+01,-1.611285e+01,-1.491758e+01,-1.164448e+01,-9.358381e+00,-6.288138e+00,-5.514302e+00,-2.717132e+00,-1.383377e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
