Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-3.314096e+02,-2.035029e+02,-1.737413e+02,-1.885938e+02,-1.878855e+02,-2.205907e+02,-2.852966e+02,-3.424004e+02,-3.857072e+02,-4.226438e+02,-4.515395e+02,-4.715999e+02,-4.697917e+02,-4.920598e+02,-5.473610e+02,-5.594157e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02,-5.596364e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.596691e+02,1.998856e+02,1.968843e+02,1.840365e+02,2.033804e+02,2.114875e+02,2.146360e+02,2.076354e+02,1.871581e+02,1.540461e+02,1.238220e+02,1.022206e+02,9.694105e+01,7.356552e+01,1.668942e+01,3.046795e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.273380e+01,-8.376974e+01,-9.649838e+01,-9.170972e+01,-7.924026e+01,-4.827525e+01,-4.594995e+00,3.122259e+01,6.202380e+01,6.647195e+01,5.997517e+01,5.336973e+01,3.483741e+01,2.720860e+01,1.475396e+01,2.828913e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.097513e+01,-5.908889e+01,-5.097467e+01,-5.268057e+01,-6.389353e+01,-6.976191e+01,-6.753284e+01,-5.659013e+01,-3.251080e+01,-6.940438e+00,6.675396e+00,1.290749e+01,-7.247499e+00,-6.199848e+00,1.177230e+01,2.477427e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.122491e+01,-3.777528e+01,-4.452608e+01,-4.627013e+01,-5.227403e+01,-5.780779e+01,-5.328153e+01,-5.040800e+01,-5.180168e+01,-3.270061e+01,-1.299036e+01,-1.700782e+00,-9.774896e+00,-1.035743e+01,8.074932e+00,2.009089e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.713458e+00,-1.013966e+01,-8.397117e+00,3.909832e-02,5.006545e+00,7.683887e+00,-1.106910e+00,-1.920567e+01,-2.704365e+01,-2.579686e+01,-1.191504e+01,-1.302564e+00,3.235637e+00,-6.018773e-01,4.058781e+00,1.446334e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.065740e+01,-1.689783e+01,-1.833317e+01,-1.864676e+01,-1.544768e+01,-7.839798e+00,-1.739744e+00,-6.629835e+00,-8.438171e+00,-1.775532e+01,-1.326174e+01,-4.705750e+00,3.242196e+00,1.044771e+00,1.338303e-01,8.160088e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.206866e+01,-1.400112e+01,-1.799363e+01,-2.061758e+01,-2.448959e+01,-2.730118e+01,-2.072453e+01,-1.306309e+01,-1.270173e+01,-2.034772e+01,-2.281123e+01,-1.612739e+01,-1.013188e+01,-8.529236e+00,-3.330214e+00,1.482083e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.101327e+01,-2.758965e+01,-2.357475e+01,-2.764872e+01,-3.198982e+01,-2.374160e+01,-1.747733e+01,-2.231342e+01,-2.494233e+01,-2.504683e+01,-3.037264e+01,-2.583053e+01,-1.922861e+01,-1.650387e+01,-6.049427e+00,-5.252749e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.524448e+00,-3.171099e+00,-2.973952e+00,-9.736389e+00,-2.116328e+01,-2.770937e+01,-3.201135e+01,-3.278218e+01,-2.903974e+01,-2.501191e+01,-2.913567e+01,-2.652028e+01,-1.647490e+01,-1.478227e+01,-7.856763e+00,-1.172410e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
