Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.787133e+02,-4.557972e+02,-4.569852e+02,-4.590113e+02,-4.631418e+02,-4.615254e+02,-4.574149e+02,-3.285930e+02,-2.139954e+02,-1.758808e+02,-1.674607e+02,-1.330812e+02,-1.063292e+02,-9.357922e+01,-1.108629e+02,-1.448180e+02,-1.948337e+02,-2.760609e+02,-3.718168e+02,-4.329145e+02,-4.509864e+02,-4.502376e+02,-4.561980e+02,-4.532154e+02,-4.444421e+02,-4.454162e+02
7.479652e+01,9.083528e+01,8.858153e+01,8.409706e+01,8.372475e+01,8.541606e+01,8.787508e+01,1.177603e+02,1.354562e+02,1.439591e+02,1.404771e+02,1.263760e+02,1.319770e+02,1.583996e+02,1.783348e+02,1.826519e+02,1.763385e+02,1.619031e+02,1.421867e+02,1.073473e+02,9.168587e+01,9.355726e+01,8.543001e+01,8.676208e+01,1.006673e+02,1.057233e+02
1.718363e+01,1.323691e+01,1.139130e+01,9.188093e+00,1.285123e+01,1.248412e+01,1.063692e+01,-6.300338e+01,-6.769114e+01,-5.578616e+01,-3.764635e+01,-4.635947e+01,-6.679443e+01,-8.065985e+01,-7.010669e+01,-5.722149e+01,-4.285847e+01,-1.404119e+01,9.876378e+00,8.847271e+00,7.130618e+00,9.747833e+00,4.847302e+00,5.216614e+00,1.869648e+01,2.689439e+01
1.507763e-01,-7.478923e-01,-8.158938e-01,4.060741e+00,2.326524e+00,-6.358706e-01,-2.344068e+00,4.956867e-01,1.900448e-01,-6.800385e+00,-2.016362e+01,-2.477792e+01,-2.858087e+01,-4.359541e+01,-5.165636e+01,-4.880048e+01,-3.980330e+01,-3.667781e+01,-1.887350e+01,-8.687986e+00,-5.572039e+00,-4.881907e+00,-5.182335e+00,-3.796226e-01,6.539877e+00,6.804908e+00
1.363262e+01,1.677853e+01,1.662247e+01,2.201670e+01,1.832372e+01,1.480518e+01,1.465062e+01,5.908754e+01,4.153807e+01,2.103124e+01,-7.286691e+00,-1.714823e+01,-1.444721e+01,-1.787379e+01,-2.513617e+01,-2.753566e+01,-2.028291e+01,-1.721434e+01,-3.854759e+00,9.684155e+00,1.479753e+01,1.277206e+01,1.241082e+01,1.774987e+01,1.786509e+01,1.547827e+01
2.134227e+01,1.713635e+01,1.561662e+01,1.626024e+01,1.558159e+01,1.442569e+01,1.568444e+01,1.525186e+01,2.756351e+01,4.568484e+01,6.038048e+01,6.694720e+01,6.629546e+01,6.181001e+01,4.488682e+01,2.926956e+01,2.027056e+01,9.702703e+00,1.345450e+00,1.245730e+01,1.663461e+01,1.370831e+01,1.140045e+01,1.249725e+01,1.094052e+01,9.312820e+00
1.984912e+01,1.405227e+01,1.208512e+01,1.009492e+01,9.248693e+00,1.075109e+01,1.370292e+01,-3.597358e+01,-4.860537e+01,-4.915285e+01,-3.975992e+01,-4.307108e+01,-4.178370e+01,-3.341913e+01,-3.228341e+01,-3.612044e+01,-3.413084e+01,-2.385089e+01,-9.683802e+00,1.194111e+01,1.363462e+01,9.890532e+00,8.459545e+00,6.689300e+00,6.118255e+00,1.415625e+00
1.774492e+01,1.729400e+01,1.486388e+01,1.212575e+01,1.325668e+01,1.427110e+01,1.691234e+01,-1.655914e+01,-1.585959e+01,-3.415678e-02,7.940712e+00,1.151222e+01,1.539364e+01,1.643422e+01,1.403694e+01,1.001820e+01,5.181225e+00,6.404280e+00,2.635562e+00,1.212111e+01,1.326406e+01,9.499327e+00,8.547341e+00,6.458439e+00,6.651575e+00,1.781034e+00
1.413786e+01,1.374940e+01,1.138148e+01,1.100921e+01,1.648124e+01,1.422195e+01,1.458315e+01,5.663454e+00,-4.544716e+00,-3.265844e+00,-6.086669e+00,-5.981475e+00,-4.147620e+00,-1.372885e+00,5.806494e-01,2.492921e-01,-6.686687e-01,8.353941e-01,6.837142e+00,1.236610e+01,8.591282e+00,6.412444e+00,5.865724e+00,4.324651e+00,3.700781e+00,-1.219431e+00
7.499600e+00,5.604701e+00,5.122209e+00,7.686904e+00,1.100964e+01,7.202985e+00,5.448936e+00,7.153275e+00,3.348095e+00,4.338701e+00,1.216351e+01,1.480082e+01,1.300586e+01,9.072130e+00,1.082134e+01,1.476999e+01,1.795055e+01,1.647510e+01,1.592745e+01,1.237998e+01,5.236230e+00,3.626315e+00,5.427608e+00,3.651138e+00,-3.427603e-01,-7.894528e+00
-1.762299e+00,2.006083e-01,4.657423e-01,-5.195903e-01,1.026863e+00,1.916564e-01,-3.548558e+00,-1.283050e+01,-1.770369e+01,-1.909140e+01,-1.241213e+01,-1.037933e+01,-1.554763e+01,-2.209203e+01,-1.687290e+01,-7.409119e+00,-7.603138e-01,-6.678516e+00,-1.269367e+00,4.641745e-01,1.625524e+00,7.561435e-01,1.502265e+00,8.862317e-01,-4.313780e+00,-9.421956e+00
-8.662441e+00,-3.542425e+00,-5.573607e+00,-1.036643e+01,-4.112580e+00,-1.163597e+00,-5.887065e+00,-4.842729e+00,-9.074610e+00,-1.927649e+01,-2.247081e+01,-2.126797e+01,-2.186201e+01,-2.255919e+01,-1.557515e+01,-1.823643e+01,-2.327845e+01,-2.100393e+01,-1.327786e+01,-1.260463e+01,-4.355738e+00,-4.556675e+00,-7.241916e+00,-4.004565e+00,-5.520350e+00,-6.883359e+00
