Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.619809e+02,-4.452938e+02,-4.445009e+02,-4.432317e+02,-4.461301e+02,-4.492466e+02,-4.504440e+02,-4.538108e+02,-4.375475e+02,-2.951533e+02,-2.087018e+02,-1.758797e+02,-1.467022e+02,-1.402622e+02,-1.188690e+02,-8.265099e+01,-7.878686e+01,-1.016181e+02,-1.367038e+02,-1.939600e+02,-2.648270e+02,-3.312540e+02,-3.847454e+02,-4.293810e+02,-4.360681e+02,-4.477886e+02,-4.617935e+02,-4.634857e+02,-4.627885e+02,-4.647656e+02,-4.617770e+02,-4.619095e+02,-4.622501e+02,-4.588235e+02,-4.636678e+02
5.685188e+01,7.085227e+01,7.070315e+01,7.083569e+01,6.966193e+01,6.695624e+01,6.601770e+01,6.240192e+01,6.693756e+01,1.150852e+02,1.223268e+02,1.207115e+02,1.174643e+02,1.135875e+02,1.120387e+02,1.298256e+02,1.473554e+02,1.528349e+02,1.519493e+02,1.500298e+02,1.456699e+02,1.330179e+02,1.036098e+02,7.241331e+01,6.906279e+01,6.250891e+01,5.544579e+01,5.630089e+01,5.574998e+01,5.301105e+01,5.513070e+01,5.482708e+01,5.501514e+01,5.830648e+01,5.484412e+01
2.102403e+01,2.065415e+01,1.946078e+01,1.582605e+01,1.724747e+01,1.771396e+01,1.830015e+01,1.572128e+01,-1.965887e+00,-4.834602e+01,-4.845806e+01,-4.268611e+01,-5.989754e+01,-6.486165e+01,-7.655562e+01,-9.611635e+01,-9.018042e+01,-6.458028e+01,-4.594692e+01,-2.099342e+01,-1.898270e+00,-1.127248e+01,-1.799176e+01,-3.469335e+00,5.301153e+00,1.108075e+01,2.021877e+01,2.290302e+01,2.053166e+01,1.769498e+01,1.552442e+01,1.566186e+01,1.675466e+01,1.833150e+01,1.958685e+01
4.590343e+00,2.886073e+00,3.906720e+00,-1.507915e+00,-3.453206e+00,-2.538709e+00,-1.488891e+00,-3.872789e+00,-9.255532e+00,-5.590542e+00,-1.146931e+00,-8.432313e+00,-1.464011e+01,-1.182603e+01,-1.424617e+01,-2.756961e+01,-4.128944e+01,-4.512395e+01,-4.130172e+01,-3.727936e+01,-3.151099e+01,-2.629938e+01,-2.695404e+01,-8.970455e+00,-5.828403e+00,1.495322e+00,1.065929e+01,8.358627e+00,7.295862e+00,3.844279e+00,-1.141013e-01,1.450202e+00,2.329382e+00,4.477603e+00,5.208621e+00
6.604928e+00,9.321959e+00,1.302646e+01,1.188970e+01,6.777997e+00,4.731834e+00,4.345489e+00,3.990121e+00,2.164703e+01,3.317393e+01,2.689595e+00,-1.356267e+01,-1.471376e+01,-1.571815e+01,-2.148305e+01,-2.364058e+01,-3.422395e+01,-4.345437e+01,-4.202208e+01,-2.921738e+01,-1.370903e+01,6.105003e+00,1.632324e+01,2.069975e+01,1.992802e+01,1.883226e+01,1.644836e+01,1.302242e+01,1.469205e+01,1.064968e+01,9.832892e+00,1.188818e+01,1.169720e+01,1.407885e+01,1.229970e+01
9.719296e+00,8.906019e+00,1.111341e+01,1.764195e+01,1.459522e+01,1.056837e+01,8.752814e+00,1.018200e+01,2.444561e+01,2.721572e+01,3.521399e+01,4.707869e+01,6.320549e+01,6.600572e+01,6.982899e+01,7.156096e+01,6.376649e+01,5.442917e+01,4.757432e+01,4.567316e+01,3.559483e+01,1.573463e+01,8.017065e+00,1.430823e+01,2.009344e+01,1.811679e+01,1.317937e+01,1.627544e+01,1.835561e+01,1.549061e+01,1.881012e+01,1.874737e+01,1.721046e+01,1.834738e+01,1.800829e+01
1.014827e+01,2.972487e+00,4.419507e-01,9.745972e+00,9.656428e+00,5.972619e+00,4.631145e+00,4.907323e+00,2.670287e+00,-3.080435e+01,-4.338473e+01,-3.757519e+01,-3.163577e+01,-3.176122e+01,-3.266952e+01,-3.680197e+01,-3.744036e+01,-4.216909e+01,-4.627122e+01,-3.824859e+01,-2.844282e+01,-2.077230e+01,-1.796045e+01,-7.002590e+00,6.233941e+00,8.462461e+00,7.190856e+00,1.136558e+01,1.107727e+01,1.240155e+01,1.541553e+01,1.252663e+01,9.760317e+00,9.718253e+00,1.298311e+01
7.639962e+00,1.897719e+00,-2.443173e+00,2.291939e+00,3.155360e+00,-5.229146e-01,-6.968465e-01,-1.176351e+00,-3.699768e+00,-1.741701e+01,-5.856054e+00,-1.745912e+00,1.059714e+00,4.554960e+00,3.434623e+00,-1.221081e+00,-1.359195e+00,-1.421704e+00,-4.328917e+00,5.848670e-02,-5.826585e-01,-4.115664e+00,-3.583641e+00,2.377599e+00,2.812874e+00,7.789407e+00,9.722389e+00,5.360524e+00,2.562080e+00,9.323484e+00,9.079098e+00,5.881708e+00,3.164874e+00,9.498539e-01,4.348268e+00
-1.293907e+00,-1.356498e+00,-1.573598e+00,-1.891999e+00,-5.541861e-02,-2.923375e+00,-2.796918e+00,-2.218615e+00,4.602458e+00,5.070216e+00,1.062633e+01,1.061172e+01,1.596528e+01,1.774413e+01,1.819419e+01,2.027182e+01,1.726831e+01,1.488188e+01,1.902560e+01,1.486027e+01,9.551361e+00,1.780318e+01,2.225155e+01,1.939782e+01,8.976243e+00,9.535172e+00,1.012187e+01,1.104612e+00,-1.776222e+00,7.366551e+00,6.588517e+00,5.811081e+00,4.804978e+00,-8.858282e-01,-1.546125e+00
-9.730652e+00,-8.046579e+00,-3.870632e+00,-5.027118e+00,-2.841662e+00,-2.656507e+00,-2.511162e+00,-1.857503e+00,5.007670e+00,-8.961796e+00,-1.159988e+00,8.219534e+00,9.299286e+00,4.963705e+00,1.189149e+00,5.057211e+00,4.018727e+00,3.770197e+00,8.526491e+00,8.883825e+00,1.110052e+01,1.084679e+01,1.833281e+01,9.644978e+00,6.680308e+00,2.609486e+00,9.524539e-01,-2.728455e+00,-3.130354e+00,3.117699e+00,4.454901e+00,6.445139e+00,6.760280e+00,6.117831e-01,-4.139751e+00
-7.516672e+00,-6.896802e+00,-4.952322e+00,-6.052186e+00,-5.388835e+00,-4.074127e+00,-4.499849e+00,-3.992063e+00,-2.016836e+00,-1.639142e+01,-1.410096e+01,-1.203778e+01,-1.674051e+01,-2.012669e+01,-2.342807e+01,-2.019125e+01,-1.790141e+01,-1.496458e+01,-7.500150e+00,-5.605495e+00,-1.718967e+00,-1.726959e+00,-1.601860e+00,-7.160609e+00,-6.589140e-01,-3.483608e+00,-6.151919e+00,-4.917152e+00,-2.748600e+00,-1.454349e+00,-2.554102e-01,2.701548e+00,2.446581e+00,2.546124e-01,-5.297601e+00
5.894129e-01,1.450574e+00,-2.230061e+00,-4.906046e+00,-5.200216e+00,-6.022443e+00,-8.719885e+00,-7.787748e+00,-5.795880e+00,-1.160316e+01,-1.760945e+01,-2.154384e+01,-2.552028e+01,-2.925156e+01,-2.523395e+01,-2.332533e+01,-2.301811e+01,-2.166229e+01,-2.201098e+01,-2.039999e+01,-2.248561e+01,-1.719298e+01,-7.502511e+00,-5.428117e+00,-3.989809e+00,-1.725549e+00,-3.971341e+00,-4.945704e+00,-2.064919e+00,-2.775909e+00,-4.362285e+00,-3.200079e+00,-4.076655e+00,-2.717994e+00,-6.266904e+00
6.043815e+00,7.540498e+00,3.387324e+00,-1.060873e-01,-8.431336e-01,-2.406308e+00,-6.615221e+00,-7.810596e+00,-5.941508e+00,-3.847782e+00,-1.047549e+01,-2.069569e+01,-2.295670e+01,-1.758626e+01,-1.587686e+01,-1.941426e+01,-1.481701e+01,-1.455170e+01,-1.852174e+01,-1.802753e+01,-1.791658e+01,-9.072950e+00,3.428172e-01,1.948083e+00,-3.922353e+00,1.402031e+00,-3.506979e-02,-4.184692e+00,-1.561399e+00,-1.051958e+00,-3.921143e+00,-6.141814e+00,-5.751264e+00,-3.364822e+00,-4.566091e+00
