Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.992718e+02,-4.879679e+02,-4.892910e+02,-4.916909e+02,-4.892334e+02,-4.856387e+02,-4.870213e+02,-4.915072e+02,-4.908598e+02,-4.632122e+02,-2.957421e+02,-1.892556e+02,-1.419067e+02,-1.079038e+02,-8.961082e+01,-1.099450e+02,-1.133190e+02,-8.310947e+01,-8.177727e+01,-1.347747e+02,-2.313696e+02,-3.159273e+02,-3.703537e+02,-4.184395e+02,-4.651530e+02,-4.886823e+02,-4.942164e+02,-4.937696e+02,-4.934290e+02,-4.926668e+02,-4.925539e+02,-4.960004e+02
1.952163e+01,3.179152e+01,3.015557e+01,2.657832e+01,2.973191e+01,3.465989e+01,3.268449e+01,2.776114e+01,2.715759e+01,4.280458e+01,9.887691e+01,9.356027e+01,6.619886e+01,3.256007e+01,2.572336e+01,4.215041e+01,4.326534e+01,4.910090e+01,7.088727e+01,1.002845e+02,1.371026e+02,1.444040e+02,1.255628e+02,9.264053e+01,4.998214e+01,2.820950e+01,2.373865e+01,2.349055e+01,2.389732e+01,2.616555e+01,2.804147e+01,2.422163e+01
1.575333e+01,2.115047e+01,1.992539e+01,1.600946e+01,1.834438e+01,2.253577e+01,2.119791e+01,1.891734e+01,1.543306e+01,2.707318e+00,-3.649178e+01,-3.063396e+01,-2.108952e+01,-2.210673e+01,-3.833222e+01,-3.655428e+01,-3.329123e+01,-5.275265e+01,-6.338107e+01,-5.100964e+01,-2.244283e+01,-1.549761e+00,7.708323e+00,1.479550e+01,1.383834e+01,1.338364e+01,1.501826e+01,1.285401e+01,1.296857e+01,1.701570e+01,2.176723e+01,2.005586e+01
1.236396e+01,1.468803e+01,1.397351e+01,9.924551e+00,1.138123e+01,1.432312e+01,1.476268e+01,1.351490e+01,8.605457e+00,5.823990e-01,-2.694576e+01,-2.490280e+01,-2.802479e+01,-1.995954e+01,-2.144126e+01,-1.934965e+01,-2.767283e+01,-3.738058e+01,-5.045754e+01,-5.717956e+01,-3.703071e+01,-2.311824e+01,-2.113541e+01,-1.842570e+01,-2.880510e+00,6.841898e+00,1.111366e+01,7.543867e+00,7.021927e+00,1.048438e+01,1.567345e+01,1.537681e+01
9.566566e+00,1.326830e+01,1.374440e+01,9.886086e+00,1.091233e+01,1.320520e+01,1.510312e+01,1.283562e+01,8.496689e+00,2.519555e+01,3.595308e+01,8.456178e+00,-8.887733e+00,-2.102432e+01,-2.939983e+01,-2.986322e+01,-2.691595e+01,-2.752391e+01,-2.220462e+01,-1.667308e+01,-9.630253e+00,9.996064e-01,1.160816e+00,-2.896619e+00,2.957947e+00,9.770631e+00,1.282499e+01,9.482196e+00,8.099609e+00,8.480003e+00,1.153271e+01,1.166819e+01
6.269374e+00,1.076702e+01,1.284340e+01,9.414197e+00,1.054006e+01,1.342398e+01,1.493407e+01,1.213348e+01,8.751470e+00,2.253266e+01,1.574763e+01,3.184123e+01,3.756105e+01,4.486731e+01,5.036329e+01,5.235383e+01,5.580705e+01,5.136580e+01,4.790092e+01,3.842049e+01,2.266849e+01,5.409244e+00,6.980550e+00,9.930700e+00,7.698323e+00,1.129812e+01,1.320261e+01,1.163394e+01,9.809243e+00,7.498210e+00,8.573472e+00,9.118629e+00
2.834170e+00,4.996038e+00,7.433819e+00,4.609714e+00,5.889002e+00,9.236383e+00,9.647146e+00,8.835823e+00,5.917320e+00,-2.481815e+00,-1.369854e+01,-2.550480e+01,-3.403194e+01,-3.138501e+01,-3.196131e+01,-2.889878e+01,-3.117093e+01,-4.333135e+01,-4.297124e+01,-3.412167e+01,-2.207674e+01,-1.148498e+01,-8.678322e+00,1.357110e+00,1.482600e+00,6.342891e+00,8.333983e+00,8.905239e+00,7.747965e+00,5.401286e+00,5.943256e+00,7.081632e+00
7.666963e-01,5.224557e-01,1.525485e+00,-6.593842e-01,4.656590e-01,2.392714e+00,3.357789e+00,5.406929e+00,3.267453e+00,-8.960973e+00,-5.539382e-01,2.662569e+00,6.936337e+00,1.450834e+01,2.122192e+01,2.712503e+01,3.019718e+01,2.284474e+01,1.101613e+01,1.989784e+00,-9.950775e+00,-1.211038e+01,-8.584905e+00,-3.616342e+00,-2.556990e+00,1.459221e+00,2.619843e+00,4.239765e+00,4.522136e+00,3.986281e+00,4.195637e+00,5.028376e+00
2.817309e-02,4.069428e-01,2.786689e-01,-1.620623e+00,-5.232418e-01,-1.114102e+00,1.669770e+00,3.872089e+00,3.230250e+00,4.888496e+00,2.913001e+00,7.932846e+00,7.705169e+00,5.233778e+00,4.918633e+00,6.927742e+00,4.303182e+00,4.086015e+00,2.557711e+00,3.939310e+00,6.694000e+00,1.236767e+01,1.050119e+01,5.203613e+00,3.168640e+00,2.100994e+00,1.511652e+00,2.507099e+00,3.486997e+00,4.455472e+00,3.864205e+00,2.935422e+00
-1.073701e+00,1.284955e+00,2.226959e+00,3.219265e-02,1.981108e+00,5.659322e-01,3.241020e+00,2.318033e+00,2.562434e+00,9.786887e+00,1.751447e+01,2.235886e+01,2.644827e+01,2.686117e+01,2.489063e+01,2.127270e+01,2.128985e+01,2.959049e+01,3.108458e+01,2.502755e+01,1.666759e+01,1.007353e+01,7.919291e+00,8.654346e+00,7.515607e+00,3.615242e+00,3.302230e+00,2.970424e+00,2.798660e+00,4.399589e+00,3.854757e+00,9.694651e-01
-3.001317e+00,-8.159280e-01,1.899987e+00,-5.929942e-01,2.911136e+00,3.245275e+00,2.604443e+00,-9.456526e-01,-1.683084e+00,-7.018051e+00,-2.655204e+01,-2.625360e+01,-2.871732e+01,-3.286721e+01,-4.031346e+01,-4.235902e+01,-3.775203e+01,-2.609297e+01,-1.313161e+01,-1.060989e+01,-1.201631e+01,-1.340094e+01,-5.976638e+00,-1.221540e+00,1.604676e+00,-2.852753e-01,2.238523e+00,1.612376e+00,-7.055116e-01,1.583390e+00,2.535260e+00,-8.417631e-01
-4.068145e+00,-4.244250e+00,-1.861364e+00,-3.548018e+00,8.984618e-01,2.956206e+00,-1.102715e+00,-3.425099e+00,-6.101474e+00,-1.240737e+01,-7.927417e+00,-1.039995e+01,-1.400711e+01,-1.580243e+01,-1.237516e+01,-9.194731e+00,-8.657011e+00,-9.671082e+00,-3.171903e+00,-5.336709e+00,-7.323811e+00,-6.303862e+00,-7.323853e+00,-8.898405e+00,-6.009421e+00,-6.710574e+00,-2.237633e+00,-1.532130e+00,-4.934711e+00,-1.879237e+00,6.455706e-02,-2.495488e+00
