Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52,Coeff 53,Coeff 54,Coeff 55,Coeff 56
-5.221454e+02,-5.090500e+02,-5.075490e+02,-5.024367e+02,-5.045215e+02,-5.042786e+02,-5.046782e+02,-5.055602e+02,-5.029637e+02,-5.047693e+02,-5.044125e+02,-5.033166e+02,-5.030445e+02,-5.036263e+02,-5.074557e+02,-5.042899e+02,-5.010224e+02,-4.972626e+02,-3.374553e+02,-2.071580e+02,-1.608322e+02,-1.523688e+02,-1.579954e+02,-1.757817e+02,-1.777397e+02,-1.773020e+02,-1.854647e+02,-1.832643e+02,-1.717307e+02,-1.520275e+02,-1.328968e+02,-1.052544e+02,-6.576664e+01,-4.547842e+01,-7.042943e+01,-1.020694e+02,-9.724112e+01,-1.124791e+02,-1.481360e+02,-1.890217e+02,-2.446454e+02,-3.197599e+02,-4.055202e+02,-4.566493e+02,-4.910393e+02,-5.014273e+02,-5.006685e+02,-5.027422e+02,-5.050684e+02,-5.062333e+02,-5.067992e+02,-5.105962e+02,-5.079062e+02,-5.069398e+02,-5.066076e+02,-5.060145e+02
2.745432e+01,3.979801e+01,4.160237e+01,4.699480e+01,4.497540e+01,4.534868e+01,4.432798e+01,4.300516e+01,4.477153e+01,4.403182e+01,4.488628e+01,4.599983e+01,4.465070e+01,4.368514e+01,4.020012e+01,4.471547e+01,4.675220e+01,4.784822e+01,9.603097e+01,1.131254e+02,1.033520e+02,8.717467e+01,8.331553e+01,8.336049e+01,9.043167e+01,8.853934e+01,7.972015e+01,7.770809e+01,7.900500e+01,7.935482e+01,8.185397e+01,8.391259e+01,8.570753e+01,8.460829e+01,7.525989e+01,6.129693e+01,3.901022e+01,2.659044e+01,3.086471e+01,4.262754e+01,5.556517e+01,7.181396e+01,7.477747e+01,6.259927e+01,5.081185e+01,4.722113e+01,4.847468e+01,4.802435e+01,4.645402e+01,4.395559e+01,4.281834e+01,3.862946e+01,4.141100e+01,4.301013e+01,4.294607e+01,4.323867e+01
1.608967e+01,1.746207e+01,1.816043e+01,2.035737e+01,1.966814e+01,1.979026e+01,1.755494e+01,1.677118e+01,1.626531e+01,1.804842e+01,1.945888e+01,2.025991e+01,1.595739e+01,1.439637e+01,1.478669e+01,1.930896e+01,1.714752e+01,1.233350e+01,-5.873534e+01,-5.154441e+01,-4.278931e+01,-3.950289e+01,-3.197912e+01,-2.290601e+01,-1.844977e+01,-1.841696e+01,-2.208911e+01,-2.370749e+01,-3.227798e+01,-4.853525e+01,-6.001060e+01,-7.688753e+01,-9.915642e+01,-1.086519e+02,-9.149483e+01,-6.484947e+01,-6.200968e+01,-6.344339e+01,-6.948241e+01,-6.838786e+01,-6.940249e+01,-5.985850e+01,-3.643958e+01,-1.202501e+01,8.769678e+00,1.846210e+01,2.025228e+01,2.398782e+01,2.484095e+01,2.073472e+01,1.925645e+01,1.825402e+01,1.954010e+01,2.130344e+01,2.002232e+01,1.923463e+01
7.293149e+00,4.579441e+00,3.912481e+00,4.620588e+00,4.344355e+00,3.875488e+00,3.789679e-01,1.099144e+00,2.082611e+00,3.327142e+00,4.333503e+00,5.634475e+00,1.077616e+00,-8.720787e-01,1.562292e+00,5.082236e+00,1.885525e+00,-1.704722e+00,-1.302030e+01,-1.302939e+01,-1.603710e+01,-1.762417e+01,-2.016076e+01,-2.399936e+01,-2.167220e+01,-1.984070e+01,-1.782717e+01,-1.686360e+01,-1.575666e+01,-1.780496e+01,-2.152788e+01,-3.023042e+01,-3.342311e+01,-2.375350e+01,-1.412259e+01,-1.534499e+01,-1.314654e+01,-9.973338e+00,-6.152905e+00,-6.342010e+00,-1.374288e+01,-2.068152e+01,-1.421187e+01,-7.303248e+00,-1.502223e+00,2.482318e+00,3.834522e+00,8.767012e+00,9.611370e+00,4.921478e+00,4.226716e+00,6.981620e+00,7.081428e+00,8.453552e+00,6.607549e+00,5.408111e+00
5.298995e+00,5.861236e+00,4.920326e+00,5.434175e+00,5.766985e+00,5.236455e+00,1.573366e+00,3.195414e+00,6.725639e+00,5.802139e+00,4.952948e+00,6.004182e+00,4.543809e+00,3.997142e+00,5.421296e+00,6.169355e+00,4.087975e+00,5.980634e+00,1.997923e+01,2.132653e+00,-1.072293e+01,-1.979710e+01,-1.773216e+01,-2.030183e+01,-1.853519e+01,-1.530587e+01,-1.124697e+01,-1.694621e+01,-2.187843e+01,-2.490275e+01,-2.784016e+01,-2.644405e+01,-2.927221e+01,-3.109249e+01,-3.429261e+01,-2.590171e+01,-2.068755e+01,-1.336362e+01,-2.963448e+00,5.473753e+00,1.843886e+01,3.986221e+01,4.853443e+01,3.111193e+01,1.083511e+01,5.234194e+00,3.521075e+00,6.841172e+00,6.961159e+00,3.572371e+00,4.628345e+00,9.528379e+00,7.340994e+00,7.888290e+00,6.906775e+00,6.451444e+00
7.385513e+00,1.058669e+01,1.065904e+01,1.077768e+01,1.207056e+01,1.222937e+01,9.836432e+00,1.096890e+01,1.315018e+01,1.182993e+01,9.243153e+00,8.513805e+00,1.002578e+01,1.214967e+01,1.247693e+01,1.048857e+01,8.628263e+00,1.275115e+01,-1.173586e+01,3.810904e+00,2.059070e+01,2.866393e+01,3.373643e+01,3.169111e+01,3.335830e+01,3.664679e+01,4.149437e+01,4.602567e+01,4.904748e+01,5.129316e+01,5.226962e+01,5.307499e+01,5.344879e+01,5.149564e+01,4.878683e+01,4.201490e+01,3.884745e+01,3.111209e+01,2.469492e+01,2.537413e+01,2.033713e+01,8.981084e+00,5.844883e-01,9.952387e+00,1.427475e+01,1.144534e+01,6.375280e+00,7.904325e+00,8.875401e+00,8.115458e+00,1.019577e+01,1.469813e+01,1.116124e+01,1.027910e+01,9.814980e+00,1.006731e+01
8.898098e+00,1.036125e+01,1.161517e+01,1.106126e+01,1.197861e+01,1.233458e+01,1.145270e+01,1.232690e+01,1.057676e+01,1.015269e+01,8.245155e+00,6.448652e+00,7.559934e+00,1.059036e+01,1.229210e+01,9.628264e+00,7.948954e+00,1.123665e+01,-2.906661e+01,-4.697997e+01,-5.527235e+01,-5.640987e+01,-5.514649e+01,-5.021052e+01,-4.738876e+01,-4.369786e+01,-4.047246e+01,-4.061609e+01,-4.437693e+01,-4.880528e+01,-5.243413e+01,-5.661160e+01,-5.586644e+01,-5.070197e+01,-4.404998e+01,-3.109229e+01,-3.455285e+01,-2.825555e+01,-1.897963e+01,-1.353517e+01,-1.150830e+01,-1.758322e+01,-1.525890e+01,-6.463172e+00,8.660587e+00,9.578804e+00,5.238583e+00,5.318368e+00,7.093248e+00,8.915746e+00,1.037574e+01,1.332955e+01,1.253493e+01,1.007377e+01,8.251659e+00,7.648179e+00
8.324550e+00,7.372629e+00,9.220065e+00,7.468586e+00,7.139599e+00,6.680516e+00,6.179291e+00,7.840648e+00,4.702826e+00,4.088498e+00,5.043771e+00,4.533533e+00,2.971702e+00,4.354178e+00,7.674537e+00,5.299620e+00,5.318035e+00,8.628916e+00,5.014946e+00,1.549062e+01,2.836998e+01,3.180859e+01,2.849295e+01,3.049784e+01,3.243699e+01,3.815553e+01,4.147150e+01,3.970130e+01,3.546617e+01,3.084299e+01,2.968689e+01,4.126939e+01,4.605431e+01,5.153590e+01,5.545226e+01,4.500061e+01,3.306700e+01,3.293053e+01,3.548608e+01,3.937293e+01,3.738172e+01,2.484037e+01,1.461645e+01,1.016713e+01,5.870314e+00,3.583168e+00,3.456485e+00,2.398208e+00,3.120218e+00,5.999418e+00,6.865018e+00,8.902617e+00,1.115336e+01,8.499868e+00,5.695687e+00,3.199343e+00
6.734321e+00,6.652402e+00,8.017433e+00,4.378433e+00,4.225178e+00,3.624678e+00,2.718170e+00,4.216045e+00,2.545291e+00,1.314898e+00,4.326759e+00,5.367324e+00,2.770266e+00,3.248701e+00,5.004900e+00,2.479052e+00,3.456762e+00,6.587958e+00,8.188076e+00,4.597074e+00,3.724720e+00,3.475613e+00,5.414779e+00,7.184438e+00,3.568733e+00,2.372681e+00,-9.934107e-01,-2.829294e+00,-9.808138e-01,1.300699e+00,-3.608046e+00,-4.319043e+00,-6.248198e+00,-6.551956e+00,-7.524668e+00,-1.065223e+01,-1.474467e+01,-8.652408e+00,3.113588e+00,9.580954e+00,1.009340e+01,1.775610e+01,2.706397e+01,1.923201e+01,2.089043e+00,6.751339e-01,3.495825e+00,3.231254e+00,2.583302e+00,4.322168e+00,6.823307e+00,8.494827e+00,8.403252e+00,6.630758e+00,5.544832e+00,2.297176e+00
4.513763e+00,7.235225e+00,6.599842e+00,2.404089e+00,3.490386e+00,4.760678e+00,4.206647e+00,3.411466e+00,1.997563e+00,1.685647e+00,3.998357e+00,4.597247e+00,3.892770e+00,6.104314e+00,4.427198e+00,2.496628e+00,1.941620e+00,2.387721e+00,4.048031e+00,1.487311e+01,2.405595e+01,3.000706e+01,3.250922e+01,3.045477e+01,2.655659e+01,2.820985e+01,2.425921e+01,2.446240e+01,2.242850e+01,1.953676e+01,1.448333e+01,1.193320e+01,7.423006e+00,2.808282e-01,-1.027715e+01,-8.293227e+00,2.003777e+00,-2.805059e-01,-1.167469e+00,6.354148e+00,4.323709e+00,-3.493577e+00,-1.029968e+01,-1.068532e+01,-4.096555e+00,7.742095e-02,2.962001e+00,5.589948e+00,4.948650e+00,4.426897e+00,1.006821e+01,1.080788e+01,5.874379e+00,3.763514e+00,4.783989e+00,2.585229e+00
