Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-5.051538e+02,-4.776224e+02,-4.738814e+02,-4.773325e+02,-4.709790e+02,-4.692468e+02,-4.758646e+02,-4.812005e+02,-4.798830e+02,-4.694101e+02,-3.622852e+02,-1.982350e+02,-1.186252e+02,-1.005791e+02,-1.062248e+02,-1.001237e+02,-8.388570e+01,-7.350924e+01,-7.130455e+01,-7.728129e+01,-5.925912e+01,-2.145350e+01,-7.842433e-02,-2.405404e+01,-9.278150e+01,-1.938095e+02,-2.776082e+02,-3.391914e+02,-3.957097e+02,-4.434549e+02,-4.678603e+02,-4.773278e+02,-4.746226e+02,-4.661109e+02,-4.655698e+02,-4.702797e+02,-4.687239e+02,-4.693066e+02,-4.696947e+02,-4.679927e+02,-4.768694e+02,-4.709719e+02,-4.666559e+02,-4.672617e+02,-4.697101e+02,-4.656581e+02,-4.844277e+02
7.451920e+01,8.998143e+01,9.564995e+01,9.370886e+01,9.446542e+01,9.699448e+01,9.402101e+01,9.132005e+01,9.310770e+01,1.006249e+02,8.732022e+01,9.099831e+01,8.576201e+01,7.502504e+01,6.915640e+01,6.599384e+01,6.840707e+01,6.730196e+01,5.709909e+01,5.512193e+01,5.965302e+01,7.263550e+01,9.106333e+01,1.112250e+02,1.301697e+02,1.451282e+02,1.431926e+02,1.457135e+02,1.302106e+02,1.117013e+02,9.955651e+01,9.130750e+01,9.283436e+01,1.003470e+02,1.026933e+02,1.010179e+02,1.039568e+02,1.036220e+02,1.004222e+02,1.022389e+02,9.743452e+01,9.863465e+01,9.781656e+01,9.590110e+01,9.535501e+01,9.884191e+01,8.991193e+01
4.372102e+00,-2.589237e+00,3.841942e+00,5.562223e+00,2.946790e-01,2.233076e+00,6.647667e+00,7.687833e+00,7.271583e+00,5.526922e+00,-3.540812e+01,-2.153208e+01,-6.847919e+00,1.275862e+00,-9.670056e-01,-8.723204e+00,-2.096257e+01,-2.640586e+01,-2.408067e+01,-2.143744e+01,-3.050365e+01,-5.114730e+01,-6.765034e+01,-7.739954e+01,-7.155208e+01,-4.836865e+01,-3.482238e+01,-3.974689e+01,-3.740226e+01,-1.147473e+01,3.085590e+00,2.463839e+00,1.181783e+00,4.032701e+00,7.746540e+00,9.008691e+00,7.725031e+00,8.983460e+00,5.745203e+00,7.557325e+00,1.367825e+01,9.336256e+00,3.289501e+00,2.706469e+00,3.164855e+00,4.477051e+00,1.027422e+01
-6.539281e+00,-6.501152e+00,-7.258397e-02,-2.325283e-01,3.360103e-01,2.781400e+00,8.073988e+00,6.525045e+00,1.126181e+00,-3.362796e+00,1.552189e+00,-2.290607e+01,-4.152207e+01,-4.772845e+01,-4.905377e+01,-4.869097e+01,-4.677529e+01,-4.258560e+01,-3.568958e+01,-3.337624e+01,-2.879567e+01,-3.815575e+01,-5.342575e+01,-5.525645e+01,-5.439949e+01,-4.309523e+01,-3.104311e+01,-3.467999e+01,-3.370316e+01,-1.182963e+01,5.277575e-01,-2.308819e-01,3.543686e-01,1.863297e+00,3.840405e+00,1.556717e+00,-3.989773e+00,-3.965302e+00,-1.689152e+00,1.175696e+00,5.481350e+00,3.774315e+00,2.977290e+00,5.034854e+00,2.355240e+00,4.628192e+00,2.479304e+00
1.716872e+01,1.818432e+01,1.907464e+01,1.901178e+01,2.326424e+01,2.557279e+01,2.824140e+01,2.605987e+01,2.456833e+01,1.967710e+01,5.324796e+01,2.935792e+01,1.265148e+01,3.886085e+00,-1.052206e-01,-1.210533e+00,6.993369e-01,2.560636e+00,8.829851e+00,7.024774e+00,4.794739e+00,3.231131e+00,-6.639034e+00,-4.678691e+00,5.440683e+00,7.237136e+00,3.535038e+00,5.801912e+00,1.591934e+01,2.216665e+01,2.236801e+01,2.088364e+01,2.349991e+01,2.374050e+01,2.094987e+01,1.834223e+01,1.848060e+01,1.664723e+01,1.820322e+01,1.999548e+01,1.783204e+01,1.596699e+01,2.012217e+01,2.030598e+01,1.630271e+01,1.837201e+01,1.614280e+01
2.598119e+01,1.983569e+01,1.517107e+01,1.620523e+01,2.257661e+01,2.273162e+01,2.127505e+01,2.087607e+01,2.195411e+01,1.949586e+01,7.433264e+00,5.612474e+00,1.888475e+01,2.960250e+01,4.202650e+01,4.575924e+01,5.028528e+01,5.490620e+01,5.762589e+01,5.775271e+01,5.829568e+01,5.180201e+01,5.171998e+01,5.430508e+01,5.753107e+01,4.892795e+01,3.626890e+01,3.174097e+01,2.960728e+01,2.240983e+01,1.807295e+01,1.799842e+01,2.152269e+01,2.111403e+01,1.544663e+01,1.648703e+01,2.216521e+01,1.889947e+01,1.661412e+01,1.921077e+01,1.759509e+01,1.492773e+01,1.871208e+01,2.247790e+01,1.924335e+01,1.736237e+01,2.095369e+01
1.693580e+01,1.548228e+01,1.318180e+01,1.446125e+01,1.669289e+01,1.510230e+01,1.353123e+01,1.468308e+01,1.475511e+01,1.073088e+01,-1.000475e+01,-3.480429e+01,-4.090820e+01,-3.309766e+01,-2.506303e+01,-2.589046e+01,-2.401421e+01,-2.743425e+01,-3.449490e+01,-3.770435e+01,-3.878085e+01,-4.074865e+01,-4.206644e+01,-4.252542e+01,-3.650545e+01,-2.428836e+01,-6.933581e+00,2.804411e+00,8.874054e+00,1.164841e+01,1.176899e+01,1.127074e+01,1.365561e+01,1.313931e+01,1.105025e+01,1.511567e+01,1.754762e+01,1.172171e+01,1.029861e+01,1.528629e+01,1.465900e+01,1.253688e+01,1.272197e+01,2.016508e+01,2.075229e+01,1.680657e+01,1.529749e+01
3.896407e+00,4.067093e+00,7.156753e+00,8.751163e+00,3.914501e+00,2.929082e+00,6.894623e+00,9.733715e+00,8.837266e+00,1.834523e+00,8.090632e+00,4.412136e+00,9.163940e+00,1.754209e+01,2.466017e+01,2.920348e+01,3.261982e+01,2.997623e+01,2.363354e+01,2.874922e+01,3.119855e+01,3.193770e+01,2.592110e+01,2.647880e+01,2.498505e+01,2.220568e+01,2.054420e+01,1.546661e+01,9.692371e+00,7.796797e+00,1.012101e+01,6.450657e+00,4.109603e+00,3.177120e+00,2.833833e+00,6.282936e+00,7.929895e+00,1.954114e+00,1.605066e+00,6.460545e+00,7.308369e+00,4.127284e+00,-1.611784e+00,6.384501e-01,4.586342e+00,8.458817e-01,-1.818502e+00
-8.679062e-01,-1.013306e+00,-1.995329e-01,2.865213e+00,-1.201975e-01,1.258051e+00,5.825065e+00,3.654214e+00,2.622108e+00,1.682361e+00,4.421331e-01,-4.683670e+00,2.690515e+00,6.303152e+00,4.198442e+00,6.152583e+00,7.467126e+00,1.278480e+00,-9.115383e+00,-1.081536e+01,-1.199259e+01,-1.012344e+01,-1.533660e+01,-1.851678e+01,-1.393296e+01,-9.125999e+00,-7.499481e+00,4.008724e+00,1.551079e+01,1.234418e+01,1.218654e+01,9.041988e+00,3.878756e+00,2.500770e+00,-1.226613e+00,-3.130077e-01,1.303581e+00,1.878546e+00,-1.535596e+00,-2.797810e-01,4.468508e+00,4.694887e+00,-1.583333e+00,-3.794960e+00,-2.757585e+00,-3.876223e+00,-1.812493e+00
2.464919e+00,5.838718e+00,3.411104e+00,7.531299e+00,7.002810e+00,1.053401e+01,1.163109e+01,5.406144e+00,2.214559e+00,4.374539e+00,2.027073e+01,1.848159e+01,1.691708e+01,1.987026e+01,1.924139e+01,1.584169e+01,1.227617e+01,5.984040e+00,2.816565e+00,5.536858e+00,5.722111e+00,8.415699e+00,2.524387e+00,-3.714200e+00,-1.140209e+00,3.407409e+00,3.242204e+00,2.893679e+00,7.179342e+00,9.158925e+00,1.109727e+01,1.089656e+01,1.111265e+01,8.010184e+00,4.451103e+00,4.934774e+00,2.252497e+00,5.024487e+00,1.404983e+00,2.010793e+00,4.360157e+00,7.220500e+00,3.578795e+00,3.102982e+00,4.337314e+00,6.140674e+00,8.754158e+00
