Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.735267e+02,-4.508909e+02,-4.479357e+02,-4.224823e+02,-3.700442e+02,-2.986712e+02,-2.398805e+02,-2.053562e+02,-1.927422e+02,-1.883967e+02,-1.755231e+02,-1.347282e+02,-8.302084e+01,-4.283025e+01,-3.106956e+01,-6.624065e+01,-1.368814e+02,-2.247265e+02,-2.994478e+02,-3.671151e+02,-4.313173e+02,-4.566895e+02,-4.568761e+02,-4.526183e+02,-4.523928e+02,-4.516262e+02,-4.515225e+02,-4.534256e+02,-4.757264e+02
8.727532e+01,9.949380e+01,1.033051e+02,1.109552e+02,1.164834e+02,1.110542e+02,9.234442e+01,6.490376e+01,4.591897e+01,3.899186e+01,5.511585e+01,8.259406e+01,1.031915e+02,1.162874e+02,1.410204e+02,1.580052e+02,1.598902e+02,1.624889e+02,1.520886e+02,1.414429e+02,1.118811e+02,9.584375e+01,9.522106e+01,9.657492e+01,9.832838e+01,1.006222e+02,1.029012e+02,1.017261e+02,9.077797e+01
-5.639981e+00,-1.194020e+01,-9.187688e+00,-2.131461e+01,-2.609750e+01,-3.898814e+01,-4.828811e+01,-4.204385e+01,-3.134669e+01,-2.378685e+01,-1.426930e+01,-1.583956e+01,-4.797683e+01,-9.607954e+01,-1.115165e+02,-9.773325e+01,-7.306598e+01,-4.669054e+01,-3.368003e+01,-3.046066e+01,-2.054476e+01,-1.059043e+01,-1.065376e+01,-1.239096e+01,-1.196787e+01,-1.124256e+01,-8.046290e+00,-6.575545e+00,2.417550e+00
-3.954489e+00,-4.433320e+00,-6.027394e+00,-1.528636e+00,1.616528e+01,3.126193e+01,3.551434e+01,4.442907e+01,5.014230e+01,4.115435e+01,4.478721e+01,4.972569e+01,3.253369e+01,5.556192e+00,-9.381958e+00,-1.882144e+01,-2.415534e+01,-2.608506e+01,-3.375914e+01,-3.077166e+01,-2.000691e+01,-6.671607e+00,-5.582957e+00,-5.322824e+00,-1.059846e+01,-1.245982e+01,-1.403225e+01,-1.021188e+01,-6.773830e+00
2.008552e+01,2.064050e+01,1.620144e+01,1.944333e+01,2.234543e+00,-1.885807e+01,-2.541762e+01,-2.666020e+01,-2.236819e+01,-2.868213e+01,-3.289960e+01,-4.150088e+01,-4.589655e+01,-4.230905e+01,-4.980026e+01,-5.316359e+01,-4.638602e+01,-2.354917e+01,-1.403990e+01,-5.067133e+00,6.577415e+00,1.607466e+01,1.591945e+01,1.437047e+01,9.649741e+00,9.837009e+00,5.864644e+00,7.603817e+00,9.514611e+00
1.061567e+01,9.602294e+00,1.149081e+01,8.057552e+00,8.961434e+00,1.127985e+01,1.203582e+01,1.353627e+01,1.459945e+01,1.217317e+01,6.538167e+00,4.238214e+00,6.182805e+00,2.468242e+01,3.431604e+01,3.835984e+01,3.614476e+01,2.225241e+01,1.611393e+01,9.351034e+00,7.431409e+00,1.149568e+01,1.265122e+01,9.321178e+00,8.538433e+00,5.873835e+00,6.295349e+00,5.702767e+00,6.577087e+00
6.502567e+00,6.273680e+00,9.364214e+00,1.363465e+01,1.400221e+01,1.385582e+01,1.885711e+01,1.931715e+01,1.467949e+01,7.237818e+00,-1.118809e+00,-8.111392e+00,-2.082091e+01,-1.700937e+01,-1.280684e+01,-1.876278e+01,-2.436288e+01,-2.170806e+01,-8.651802e+00,-5.617185e-01,8.634933e+00,1.322084e+01,1.651855e+01,1.116709e+01,9.357682e+00,7.201938e+00,9.549141e+00,9.205465e+00,5.170848e+00
1.395759e+01,8.204180e+00,6.234428e+00,1.281539e+01,9.767699e-01,-6.637261e+00,-1.083146e+01,-9.557377e+00,-8.903105e+00,-4.984100e+00,-1.487039e+01,-2.405260e+01,-1.734381e+01,-9.418284e+00,-4.368227e+00,-6.965768e+00,-7.870835e+00,-3.481461e+00,6.866168e-01,-2.814729e+00,3.525126e+00,1.274290e+01,1.229211e+01,6.050726e+00,4.692585e+00,7.760528e+00,8.758715e+00,9.758787e+00,9.369019e+00
1.146034e+01,8.389046e+00,8.914274e+00,1.203290e+01,1.079770e+01,1.018772e+01,1.294405e+01,1.522367e+01,1.665730e+01,2.751893e+01,1.850303e+01,2.366846e+00,1.370674e+01,2.484245e+01,3.747892e+01,4.155707e+01,3.779826e+01,3.059216e+01,1.680710e+01,9.171823e+00,6.893171e+00,9.998495e+00,4.539363e+00,5.240034e+00,8.682755e+00,8.769859e+00,1.104967e+01,1.031585e+01,1.170720e+01
2.249505e+00,6.667409e+00,9.213148e+00,7.475409e+00,1.611507e+00,2.971366e+00,-1.045052e+00,-4.706815e+00,-4.242982e+00,6.198649e+00,3.187860e+00,3.600964e+00,1.168861e+01,1.165506e+01,1.350333e+01,1.357764e+01,1.398681e+01,1.401978e+01,1.453244e+01,1.713916e+01,1.243226e+01,6.851665e+00,3.695266e+00,8.407548e+00,1.189854e+01,6.747750e+00,9.220746e+00,8.757080e+00,8.556869e+00
-6.745627e+00,-4.207699e+00,-5.434907e+00,-6.935029e+00,-1.352184e+01,-1.152940e+01,-8.840571e+00,-6.496655e+00,-6.788825e+00,4.134433e-01,-4.231477e+00,-5.085265e+00,-7.949467e+00,-1.412357e+01,-1.421700e+01,-1.136902e+01,-4.804261e+00,-6.154470e+00,4.655113e-01,1.136024e+01,1.728106e+00,-3.343409e+00,-3.328898e+00,-1.780155e+00,-5.548886e-01,-3.362210e+00,-3.877980e+00,-3.104174e+00,1.778886e-02
-1.128054e+01,-1.109436e+01,-1.027212e+01,-7.472177e+00,-1.024760e+01,-8.431608e+00,-4.531190e+00,-4.291862e-01,4.185130e+00,6.749607e-01,-3.673318e+00,3.155610e+00,5.730114e-01,-6.940256e-01,-5.442435e+00,-1.117360e+01,-1.366674e+01,-1.132347e+01,-9.459011e+00,-7.195364e+00,-7.005919e+00,-7.211893e+00,-7.415208e+00,-4.766622e+00,-3.572017e+00,-5.702007e+00,-8.356346e+00,-7.819172e+00,-5.156041e+00
-7.387983e+00,-6.780892e+00,-2.156618e+00,-1.307932e+00,-5.014948e+00,-9.024075e+00,-7.130299e+00,-9.518892e+00,-1.109896e+01,-2.443888e+01,-2.408731e+01,-1.518182e+01,-2.237507e+01,-2.821249e+01,-2.604695e+01,-2.033643e+01,-2.392917e+01,-2.299892e+01,-1.365453e+01,-1.004842e+01,-1.059749e+01,-2.585050e+00,-3.425491e+00,7.208427e-01,2.656296e+00,-4.673673e-01,-4.149928e+00,-5.170800e+00,-7.686334e+00
