Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.838839e+02,-4.558508e+02,-4.491909e+02,-4.360036e+02,-3.966351e+02,-3.015040e+02,-2.357354e+02,-2.072208e+02,-1.710999e+02,-1.166765e+02,-5.480751e+01,-1.117492e+01,1.438914e+00,-1.899704e+01,-8.068106e+01,-1.611580e+02,-2.416263e+02,-3.455482e+02,-4.326961e+02,-4.595069e+02,-4.570504e+02,-4.492267e+02,-4.383567e+02,-4.250177e+02,-4.232614e+02,-4.400288e+02
8.642393e+01,9.870952e+01,1.026805e+02,1.010400e+02,9.268179e+01,6.618449e+01,4.101029e+01,1.210861e+01,2.457280e+01,6.530821e+01,8.792226e+01,8.332663e+01,7.635422e+01,9.553490e+01,1.208901e+02,1.353064e+02,1.426073e+02,1.449849e+02,1.193502e+02,1.043679e+02,1.014698e+02,1.044020e+02,1.065216e+02,1.017474e+02,1.029523e+02,9.886490e+01
-4.574880e+00,-1.153543e+01,-6.448001e+00,-1.130974e+01,-2.001466e+01,-2.935137e+01,-2.361496e+01,-1.839773e+01,-2.804796e+00,-2.733136e+01,-7.517427e+01,-9.031856e+01,-8.078816e+01,-6.458018e+01,-4.833710e+01,-3.574424e+01,-2.990089e+01,-3.023757e+01,-1.545466e+01,-2.984283e+00,-8.229028e+00,-1.852745e+01,-2.471899e+01,-2.758048e+01,-2.123670e+01,-9.934828e+00
-1.268429e+01,-7.778099e+00,-4.173604e+00,-4.454858e+00,7.474392e+00,3.940928e+01,4.323623e+01,4.701878e+01,6.263144e+01,4.582982e+01,2.098538e+01,8.872549e+00,-1.098865e+01,-2.873940e+01,-3.555679e+01,-3.594853e+01,-3.967686e+01,-3.493606e+01,-2.126367e+01,-7.232379e+00,-7.459254e+00,-1.530045e+01,-1.838255e+01,-4.522339e+00,-1.199914e+00,3.358881e+00
3.460662e+00,6.965732e+00,7.654568e+00,5.773054e+00,-1.398446e+01,-4.391860e+01,-5.283562e+01,-5.511089e+01,-5.404030e+01,-5.418032e+01,-4.007845e+01,-4.451524e+01,-4.599878e+01,-4.498704e+01,-3.446185e+01,-1.822747e+01,-8.216605e-01,2.138228e+00,5.011553e+00,1.226373e+01,1.151861e+01,1.556553e+01,2.003089e+01,1.785415e+01,9.721737e+00,7.158403e+00
2.365327e+00,4.734122e-01,3.195100e+00,5.345556e+00,1.639943e+01,2.683204e+01,2.958097e+01,2.865923e+01,2.353187e+01,8.732691e+00,4.689348e+00,2.727584e+01,3.489219e+01,3.516056e+01,3.735877e+01,3.246391e+01,2.394212e+01,1.176755e+01,1.067116e+01,1.051538e+01,9.904768e+00,1.243274e+01,2.261574e+01,2.073791e+01,1.243077e+01,1.216484e+01
-8.948069e-01,7.062503e+00,1.026753e+01,7.911752e+00,5.528283e+00,8.337690e+00,1.548287e+00,1.432519e+00,-4.243242e+00,-1.094982e+01,-1.792168e+01,-2.228814e+01,-2.243485e+01,-2.521926e+01,-2.249957e+01,-1.684345e+01,-6.360933e+00,4.175645e+00,1.021613e+01,6.401012e+00,1.171951e+01,4.014297e+00,1.509619e+00,2.968606e+00,2.702638e+00,5.328585e+00
4.201170e-01,7.775665e+00,1.372259e+01,9.292874e+00,7.033469e+00,-5.330075e-01,-3.517453e+00,-4.470208e+00,-1.623572e+01,-1.202842e+01,-4.387793e+00,1.175573e+01,1.910020e+01,1.743802e+01,1.606171e+01,8.981127e+00,-2.046668e+00,-5.925427e+00,8.531858e+00,8.492981e+00,9.328950e+00,9.009811e-02,1.879754e+00,5.407515e+00,4.268072e+00,-1.352291e+00
7.810611e+00,1.078942e+01,1.103849e+01,5.858772e+00,1.550423e+01,2.308210e+01,2.170458e+01,2.032777e+01,-1.384051e+00,-6.374583e+00,4.560702e+00,1.529566e+01,2.085134e+01,2.215832e+01,2.205735e+01,2.217836e+01,2.040443e+01,2.506264e+01,1.716271e+01,1.290211e+01,9.962404e+00,1.015314e+01,1.369989e+01,1.697461e+01,1.675560e+01,1.334035e+01
6.748483e+00,6.305553e+00,6.508282e+00,6.469300e+00,-1.229554e+00,-5.586772e+00,-4.175385e+00,-4.543247e+00,-1.901118e+01,-9.077532e+00,-4.995478e+00,5.429390e+00,1.587487e+01,1.769474e+01,1.578639e+01,1.351910e+01,1.339325e+01,1.572105e+01,1.114447e+01,6.992992e+00,6.494963e+00,1.440784e+01,1.679238e+01,1.094958e+01,8.890228e+00,5.139959e+00
