Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.911010e+02,-4.698184e+02,-4.674338e+02,-4.646210e+02,-3.863392e+02,-2.679354e+02,-2.081125e+02,-1.811921e+02,-1.665594e+02,-1.723537e+02,-1.957184e+02,-1.883673e+02,-1.271435e+02,-1.078196e+02,-1.007598e+02,-7.837701e+01,-7.635368e+01,-1.108222e+02,-1.844736e+02,-2.703052e+02,-3.346725e+02,-3.887525e+02,-4.388634e+02,-4.240479e+02,-3.979699e+02,-3.903903e+02,-4.059710e+02,-4.310054e+02
4.361291e+01,5.928979e+01,6.302236e+01,6.686528e+01,5.719101e+01,1.458524e+01,-1.654650e+01,-4.460181e+01,-5.852433e+01,-5.518948e+01,-4.066479e+01,-3.413050e+01,1.216153e+01,6.034748e+01,8.236980e+01,9.417995e+01,1.245929e+02,1.618685e+02,2.003836e+02,2.093561e+02,1.761478e+02,1.344240e+02,8.553826e+01,8.883961e+01,9.682436e+01,9.128017e+01,9.190800e+01,8.259096e+01
1.925194e+01,1.266110e+01,1.620019e+01,1.783624e+01,8.324033e+00,1.704360e+01,3.222780e+01,3.739422e+01,3.415036e+01,3.218958e+01,3.499392e+01,4.516220e+01,3.927530e+01,1.164778e-01,-3.781797e+01,-6.196578e+01,-6.863784e+01,-5.786733e+01,-3.519640e+01,-5.183937e+00,9.873929e+00,1.608019e+01,6.881929e+00,-1.180262e+01,-1.629461e+01,-2.117235e+01,-2.093243e+01,-1.374762e+01
6.841228e+00,-2.894876e+00,-1.288149e+00,-3.244620e+00,1.152339e+01,2.706347e+01,3.911541e+01,3.656115e+01,3.027862e+01,2.998238e+01,2.401996e+01,2.613561e+01,3.002127e+01,2.511538e+01,1.893870e+01,-9.850282e+00,-3.466529e+01,-5.066350e+01,-5.871205e+01,-5.394489e+01,-3.470187e+01,-2.949403e+01,-1.999122e+01,-3.412945e+01,-4.342036e+01,-4.079464e+01,-3.588717e+01,-2.847359e+01
8.047550e+00,7.765058e+00,6.931245e+00,5.237316e+00,-7.682818e+00,-2.740818e+01,-3.098961e+01,-2.670777e+01,-2.190615e+01,-1.704955e+01,-1.965139e+01,-2.637316e+01,-2.967854e+01,-2.357133e+01,-2.924487e+01,-2.671069e+01,-2.254599e+01,-1.966467e+01,-7.788108e+00,9.284330e+00,9.433937e+00,-1.836751e+00,4.769369e+00,1.684017e+01,1.492525e+01,1.734933e+01,2.312648e+01,2.399543e+01
9.939801e+00,1.452355e+01,1.222595e+01,1.411469e+01,6.692628e+00,5.871540e+00,3.657898e+00,1.284154e+01,1.978872e+01,1.998383e+01,2.335223e+01,1.700518e+01,-4.587483e+00,-3.778059e+00,1.402256e+01,2.863308e+01,3.420761e+01,3.048704e+01,3.110905e+01,2.370296e+01,2.239704e+01,2.041574e+01,2.257196e+01,4.723880e+01,5.488678e+01,5.240184e+01,4.839420e+01,4.339911e+01
8.520292e+00,1.320184e+01,1.098143e+01,1.334790e+01,2.962606e+01,1.809375e+01,1.645782e+01,1.914984e+01,1.794774e+01,1.715221e+01,1.628220e+01,8.437645e+00,-2.853014e+00,-1.362808e+01,-1.405813e+01,-8.340311e+00,-1.199914e+01,-1.593094e+01,-1.679385e+01,-4.675517e+00,3.197247e+00,1.184853e+01,1.154234e+01,1.682379e+01,8.592869e+00,6.538029e-01,8.715903e-01,7.220755e+00
8.476341e+00,1.242766e+01,1.224035e+01,1.166429e+01,-4.144883e+00,1.736280e+00,7.336376e+00,1.198017e+01,1.060303e+01,1.808332e+00,-3.359822e+00,-1.243140e+01,-1.671358e+01,-8.592409e+00,9.781806e+00,1.717261e+01,1.392242e+01,6.975544e+00,-3.768592e+00,-6.351779e+00,3.105188e+00,3.770743e+00,-1.838786e+00,-1.636239e+01,-1.276802e+01,-6.740070e+00,-1.406221e+01,-1.631495e+01
8.237335e+00,8.756550e+00,1.109692e+01,9.556273e+00,1.465044e+01,1.524391e+01,1.088099e+01,9.331104e+00,1.080195e+01,9.455717e+00,8.924610e+00,-8.868648e+00,-2.407225e+01,-1.473154e+01,-5.341335e+00,9.409834e+00,1.497183e+01,1.785421e+01,1.683047e+01,7.969489e+00,1.246762e+01,8.851854e+00,1.473069e+00,-1.423962e+01,-8.543971e+00,1.985925e+00,2.275958e+00,4.568911e+00
1.746629e+00,-1.303210e+00,6.585480e-01,6.035074e-01,1.011218e+01,6.173002e+00,6.469125e+00,3.408517e+00,3.640970e+00,2.963758e+00,5.959204e+00,3.660101e-01,-4.898038e+00,1.742413e+00,1.013977e+01,8.807676e+00,8.530616e+00,1.000301e+01,1.292242e+01,1.147218e+01,6.707347e+00,1.037941e+01,9.954202e+00,9.642321e+00,2.404869e+01,2.721668e+01,2.236839e+01,2.231126e+01
