Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.861503e+02,-4.673947e+02,-4.729043e+02,-4.728300e+02,-3.654806e+02,-2.482440e+02,-1.849511e+02,-1.660170e+02,-1.679837e+02,-1.549861e+02,-1.265511e+02,-1.026712e+02,-8.569023e+01,-5.540557e+01,-4.506672e+01,-7.054894e+01,-1.292938e+02,-2.132781e+02,-2.885084e+02,-3.447556e+02,-4.043658e+02,-4.454146e+02,-4.674182e+02,-4.719539e+02,-4.734267e+02,-4.771333e+02,-4.814171e+02
7.705296e+01,9.138838e+01,9.099538e+01,8.790411e+01,3.864898e+01,-6.503511e+00,-3.063585e+01,-4.698137e+01,-6.052193e+01,-6.921230e+01,-3.877370e+01,2.033216e+01,8.856340e+01,8.259850e+01,9.288678e+01,1.278725e+02,1.627636e+02,1.883644e+02,1.900833e+02,1.722973e+02,1.362445e+02,1.093013e+02,9.654172e+01,9.293145e+01,9.441917e+01,9.299072e+01,8.635310e+01
-7.087343e+00,-6.882499e+00,1.499043e+00,-7.354906e-01,8.607531e+00,2.853465e+01,3.434342e+01,3.917340e+01,4.716962e+01,4.503491e+01,5.440582e+01,2.658385e+01,-5.155421e+01,-6.958875e+01,-7.243111e+01,-7.561040e+01,-6.953233e+01,-4.509425e+01,-1.415970e+01,-1.633802e+01,-2.540049e+01,-1.151313e+01,3.629147e+00,5.469868e+00,1.015916e+01,1.175998e+01,6.146493e+00
-1.443828e+01,-1.249558e+01,-9.555538e+00,-8.206014e+00,2.306557e+01,3.088396e+01,2.755251e+01,2.391256e+01,1.824766e+01,1.998267e+01,2.914047e+01,2.304312e+01,2.009939e+01,1.339197e+01,-1.028925e+01,-2.277562e+01,-3.186877e+01,-3.854497e+01,-3.116567e+01,-3.636795e+01,-4.707898e+01,-2.971000e+01,-1.204509e+01,-6.652773e+00,-4.011265e+00,-5.764937e+00,-7.710606e+00
2.017226e+01,2.167301e+01,1.507792e+01,1.159848e+01,8.318431e-01,-1.735371e+01,-2.612006e+01,-2.392095e+01,-2.428599e+01,-2.628956e+01,-3.171691e+01,-2.365844e+01,-2.519738e+01,-3.748895e+01,-4.481475e+01,-3.982445e+01,-2.583568e+01,-9.523868e+00,3.253765e+00,3.452130e+00,1.930902e+00,1.059394e+01,1.070051e+01,1.524357e+01,1.770007e+01,1.407202e+01,1.138483e+01
2.002990e+01,1.577289e+01,1.205606e+01,7.400282e+00,5.982966e-01,1.253185e+01,1.080014e+01,1.384724e+01,1.865506e+01,1.542465e+01,-2.188308e+00,-5.009332e+00,2.509519e+00,3.003367e+01,4.035905e+01,4.772370e+01,4.973750e+01,3.590329e+01,1.464858e+01,1.487272e+01,2.535430e+01,2.840549e+01,1.646656e+01,1.700635e+01,2.152283e+01,1.982522e+01,1.106475e+01
-1.751161e+00,-2.365527e+00,3.257311e+00,7.478624e+00,2.144235e+01,1.043254e+01,7.463163e+00,8.147196e+00,1.053311e+01,7.261147e+00,-1.039841e+01,-1.301162e+01,-1.836727e+01,-3.320776e+01,-4.284605e+01,-4.715589e+01,-4.016783e+01,-2.377906e+01,-4.510826e+00,1.089544e+01,1.506510e+01,1.702257e+01,1.206712e+01,1.066797e+01,1.401479e+01,1.458224e+01,5.886468e+00
1.065789e+00,5.622012e+00,1.101368e+01,1.436999e+01,-1.163459e+00,9.473391e+00,1.239012e+01,1.332574e+01,1.080844e+01,1.559869e+01,-2.355780e+00,-1.023076e+01,-1.245890e+00,1.735180e+01,2.071757e+01,1.504631e+01,-4.117382e-01,-2.092938e+01,-2.205205e+01,-1.496611e+01,-3.247450e+00,2.582993e+00,1.058087e+01,1.049786e+01,1.108107e+01,1.298164e+01,1.026941e+01
1.772294e+01,1.733544e+01,1.427088e+01,1.036658e+01,1.335860e+01,9.690609e+00,1.756859e+00,-9.639673e-01,1.929730e-01,3.189862e-01,-2.071563e+01,-2.086784e+01,4.178588e+00,1.075621e+01,1.934567e+01,1.553994e+01,5.737356e+00,6.764700e-01,2.117288e+00,2.081533e+00,-2.985272e-01,4.123165e+00,1.114604e+01,1.232332e+01,1.196644e+01,1.220889e+01,9.666050e+00
1.447231e+01,9.750132e+00,3.149556e+00,5.377530e-01,5.400474e+00,5.089258e+00,-4.397377e-01,2.468434e+00,8.245216e+00,5.654813e+00,-5.591680e+00,-3.368374e-01,1.936128e-01,5.648274e+00,1.092456e+01,1.229766e+01,1.135735e+01,1.187626e+01,1.056405e+01,7.589905e+00,5.364703e+00,8.666931e+00,6.000264e+00,7.744671e+00,8.901487e+00,6.409553e+00,2.350634e+00
