Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-4.586877e+02,-3.867185e+02,-3.448741e+02,-3.439240e+02,-3.477782e+02,-3.531106e+02,-3.680610e+02,-3.269878e+02,-2.698668e+02,-2.179995e+02,-1.893872e+02,-1.700556e+02,-1.682680e+02,-1.696620e+02,-1.641720e+02,-1.699866e+02,-1.701675e+02,-1.681226e+02,-1.676590e+02,-1.509354e+02,-1.360892e+02,-1.285751e+02,-1.288572e+02,-1.490326e+02,-1.759678e+02,-2.023228e+02,-2.257126e+02,-2.536830e+02,-3.042111e+02,-3.605820e+02,-3.968302e+02,-4.120241e+02,-4.126434e+02,-4.124188e+02,-4.093557e+02,-4.066432e+02,-4.149471e+02,-4.248829e+02
6.714529e+01,6.948218e+01,5.192269e+01,4.509241e+01,4.846220e+01,5.152833e+01,4.280002e+01,9.108934e+01,1.348827e+02,1.578289e+02,1.778218e+02,1.868668e+02,1.824552e+02,1.803722e+02,1.760244e+02,1.725828e+02,1.739073e+02,1.726439e+02,1.684764e+02,1.723055e+02,1.726959e+02,1.701692e+02,1.792177e+02,1.772375e+02,1.755179e+02,1.597141e+02,1.422186e+02,1.368923e+02,1.130430e+02,7.688776e+01,6.159528e+01,5.451462e+01,5.302819e+01,5.709080e+01,6.285266e+01,6.223189e+01,5.935779e+01,5.636198e+01
1.638538e+01,1.391291e+01,2.510379e+01,3.814583e+01,4.095943e+01,3.705198e+01,3.872313e+01,5.611187e+01,3.300954e+01,-4.969772e+00,-3.336816e+01,-5.369619e+01,-5.476917e+01,-5.007008e+01,-5.295153e+01,-5.387033e+01,-5.240029e+01,-5.109745e+01,-5.491836e+01,-6.186026e+01,-6.748252e+01,-7.629349e+01,-8.125655e+01,-8.357220e+01,-7.955598e+01,-7.231866e+01,-7.278381e+01,-7.531553e+01,-6.720704e+01,-5.000748e+01,-2.631429e+01,-1.762700e+01,-1.510534e+01,-1.484380e+01,-9.830284e+00,-1.146744e+01,-6.975443e+00,-3.298519e+00
9.152279e+00,2.921250e+00,-4.845624e+00,-1.246581e+01,-1.880418e+01,-2.078005e+01,-1.924002e+01,-2.043003e+01,-2.069473e+01,-3.767315e+01,-5.410519e+01,-5.963217e+01,-5.808791e+01,-7.162342e+01,-7.717497e+01,-6.917177e+01,-6.450864e+01,-6.999277e+01,-6.792756e+01,-6.487939e+01,-6.924713e+01,-7.221228e+01,-7.274490e+01,-6.682863e+01,-6.081477e+01,-4.490161e+01,-2.448875e+01,-2.444297e+01,-1.770304e+01,1.080615e+00,1.461403e+01,1.523024e+01,1.890813e+01,1.705900e+01,1.929335e+01,1.846923e+01,1.970720e+01,1.976954e+01
1.723972e+01,1.373272e+01,7.772701e+00,3.461483e+00,5.268323e+00,1.295761e+01,1.505134e+01,1.516226e+00,2.070829e+00,6.645571e+00,1.141437e+01,1.953612e+01,2.599873e+01,3.061839e+01,2.900719e+01,2.693046e+01,2.408120e+01,1.957269e+01,1.359157e+01,1.480198e+01,1.673385e+01,1.295986e+01,8.285431e+00,2.720287e+00,2.919317e+00,1.106965e+01,7.846612e+00,1.066552e+00,-1.175691e+00,7.036531e+00,5.015027e+00,4.638696e-02,-8.115869e-01,-1.042901e+00,-2.169064e+00,-7.020826e+00,-5.214407e+00,-7.891911e-01
1.465868e+01,2.248807e+01,2.765363e+01,2.643606e+01,2.073625e+01,1.467644e+01,1.161402e+01,-1.923733e+00,-3.650160e+00,-1.161516e+01,-5.067700e+00,4.279362e+00,1.162269e+01,1.971561e+01,2.014286e+01,2.070158e+01,2.069341e+01,2.677013e+01,2.784549e+01,3.253739e+01,3.295588e+01,3.031051e+01,3.504428e+01,3.814667e+01,4.027636e+01,3.800821e+01,2.666183e+01,1.925296e+01,1.715636e+01,2.411004e+01,2.464721e+01,2.870460e+01,2.980800e+01,2.156579e+01,1.755680e+01,1.611637e+01,1.940239e+01,2.405503e+01
8.029655e+00,1.008550e+01,7.393995e+00,1.473969e+01,2.662620e+01,2.932156e+01,3.264110e+01,1.520522e+01,9.978008e+00,2.555344e+00,1.272489e+00,8.405356e+00,6.805166e+00,5.810924e+00,7.567886e+00,4.759156e+00,-2.041600e+00,-4.025263e+00,-4.908990e+00,-2.442374e+00,-4.994412e+00,-6.708056e+00,-6.317617e+00,-1.082132e+01,-1.440968e+01,-2.012326e+01,-2.200890e+01,-1.560092e+01,-7.117104e+00,1.476611e+00,8.875580e+00,1.050372e+01,1.079165e+01,9.340653e+00,1.055943e+01,1.201176e+01,1.411420e+01,1.645176e+01
7.525346e+00,-1.042885e-01,-6.105820e+00,-7.850796e+00,-5.158063e+00,-4.252400e+00,1.835269e+00,-1.396271e+01,-6.966780e+00,7.149029e+00,1.443752e+01,2.259351e+01,2.228595e+01,2.102118e+01,1.521701e+01,1.499496e+01,2.241968e+01,2.603950e+01,2.651407e+01,3.210963e+01,3.178563e+01,2.573293e+01,1.711177e+01,1.080015e+01,7.514328e+00,4.812955e+00,-1.263710e+00,-5.469032e+00,-4.876935e+00,1.785528e+00,2.052269e+00,-4.765331e+00,-9.007515e+00,-7.245795e+00,-3.529946e+00,-1.722249e+00,-4.819246e-01,-1.336788e+00
6.877145e+00,1.242840e+01,1.303220e+01,1.106132e+01,6.755280e+00,5.414775e+00,7.268513e+00,-1.148440e+01,-1.538423e+01,-3.814465e-01,9.615376e+00,7.864656e+00,-4.366812e+00,-4.608768e+00,-4.340859e+00,-5.878641e+00,-7.474557e+00,-6.263041e+00,-4.522460e+00,-1.353257e+00,-1.519874e+00,-3.020272e+00,-3.750039e+00,-1.579223e+00,2.564668e+00,7.762637e-01,3.227749e+00,1.648902e+01,3.018101e+01,3.661142e+01,3.163334e+01,3.141708e+01,2.926345e+01,2.443992e+01,2.309326e+01,2.752918e+01,2.610379e+01,2.007469e+01
4.585311e+00,5.070176e+00,6.006003e+00,7.168107e+00,6.878062e+00,7.472388e+00,7.182459e+00,-7.078303e+00,-4.715369e+00,3.136415e+00,-3.153054e+00,-6.055851e+00,-5.664178e+00,-5.059835e+00,-2.747859e-01,3.593298e+00,2.365193e+00,-1.314881e+00,-3.182490e+00,-2.970323e+00,-7.951632e+00,-5.138825e+00,-3.443246e+00,-5.547415e+00,-1.080166e+01,-2.450986e+01,-3.352445e+01,-3.631449e+01,-3.312818e+01,-2.763601e+01,-1.783619e+01,-9.476334e+00,-8.337868e+00,-4.528994e+00,-4.368942e+00,-5.401335e+00,-9.324259e+00,-9.166502e+00
