Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42
-5.101732e+02,-4.863357e+02,-4.822930e+02,-4.859140e+02,-4.898200e+02,-4.484962e+02,-4.122845e+02,-4.036241e+02,-4.000003e+02,-3.803130e+02,-3.131421e+02,-2.275472e+02,-1.590525e+02,-1.385236e+02,-1.495388e+02,-1.711900e+02,-1.942821e+02,-2.104561e+02,-2.177655e+02,-2.136327e+02,-2.134564e+02,-1.879596e+02,-1.596765e+02,-1.523623e+02,-1.511190e+02,-1.500257e+02,-1.290960e+02,-1.222850e+02,-1.179460e+02,-1.121305e+02,-1.305407e+02,-1.989758e+02,-2.872158e+02,-3.873383e+02,-4.596439e+02,-4.841999e+02,-4.942643e+02,-4.981345e+02,-4.973346e+02,-4.990222e+02,-4.950133e+02,-5.127849e+02
2.650125e+01,4.175045e+01,4.560888e+01,5.026414e+01,5.849345e+01,6.488409e+01,6.158595e+01,6.019408e+01,5.750503e+01,3.404073e+01,6.739490e+01,1.120564e+02,1.369162e+02,1.446039e+02,1.540706e+02,1.571149e+02,1.639011e+02,1.639411e+02,1.585957e+02,1.596555e+02,1.540614e+02,1.457251e+02,1.362788e+02,1.311938e+02,1.326011e+02,1.333469e+02,1.348936e+02,1.331283e+02,1.253795e+02,1.405055e+02,1.548084e+02,1.483232e+02,1.362146e+02,1.139084e+02,7.518692e+01,6.041662e+01,5.442961e+01,5.078292e+01,5.253696e+01,5.134491e+01,5.490200e+01,4.242046e+01
4.946918e+00,2.628514e-01,4.315228e+00,6.552607e+00,6.561078e+00,-1.928072e+00,1.352785e+01,2.399117e+01,3.318986e+01,2.969408e+01,3.662364e+01,1.428337e+01,-3.409966e+01,-6.656787e+01,-8.455278e+01,-8.944643e+01,-8.702039e+01,-8.046558e+01,-7.455283e+01,-7.037038e+01,-6.949706e+01,-7.826741e+01,-9.128357e+01,-9.184531e+01,-8.937643e+01,-8.885344e+01,-9.928387e+01,-1.054429e+02,-1.014033e+02,-1.020346e+02,-1.019248e+02,-8.628448e+01,-6.710119e+01,-4.769237e+01,-1.490718e+01,-3.349376e-01,4.282538e+00,3.382077e+00,6.763627e+00,6.619459e+00,7.799584e+00,1.187118e+01
7.812992e+00,5.696917e+00,1.330014e+01,1.037888e+01,-1.947129e-01,1.100199e+00,-1.096477e+01,-2.444363e+01,-2.425969e+01,-2.125664e+01,-1.891804e+01,-2.197849e+01,-4.079377e+01,-5.056641e+01,-5.442035e+01,-5.477293e+01,-5.205286e+01,-4.575068e+01,-4.160612e+01,-4.248969e+01,-4.125639e+01,-4.090977e+01,-4.148178e+01,-3.908841e+01,-4.382821e+01,-4.178143e+01,-4.705857e+01,-4.849281e+01,-4.141439e+01,-5.058707e+01,-5.838752e+01,-5.135338e+01,-4.089177e+01,-4.072841e+01,-2.382987e+01,-6.516082e+00,-3.341412e+00,-3.918066e+00,3.062300e-01,-1.874534e-01,1.399535e+00,5.695379e+00
-2.324714e+00,-1.529387e+00,2.749376e+00,8.694744e+00,9.837351e+00,-5.128558e-01,-9.624634e+00,-1.354383e+01,-1.206500e+01,-5.681087e+00,-4.890426e+00,-2.436664e+01,-3.179951e+01,-2.745770e+01,-1.460118e+01,-3.116194e+00,1.636477e+00,6.109486e+00,7.120409e+00,1.190107e+01,1.164145e+01,2.959409e+00,-7.138903e+00,-1.153717e+01,-1.630616e+01,-1.555507e+01,-1.933083e+01,-2.423643e+01,-2.688753e+01,-3.036401e+01,-2.217006e+01,-1.122781e+01,4.179118e-01,9.317537e+00,3.915554e+00,9.052552e+00,7.160548e+00,5.552499e+00,7.837933e+00,8.518662e+00,9.674365e+00,1.139196e+01
2.414413e+01,2.381440e+01,2.054453e+01,1.767850e+01,7.699987e+00,7.212089e+00,1.651277e+01,2.066183e+01,1.748810e+01,2.711353e+01,2.458116e+01,1.439024e+01,1.039967e+01,1.438410e+01,2.483022e+01,3.495046e+01,3.304759e+01,2.983195e+01,2.794810e+01,2.696061e+01,3.026392e+01,4.464894e+01,5.161199e+01,5.342094e+01,5.279956e+01,4.893850e+01,5.278997e+01,5.412056e+01,6.053380e+01,5.919161e+01,4.678632e+01,3.069208e+01,1.367896e+01,2.467142e+00,1.100282e+01,1.067604e+01,9.154083e+00,6.547704e+00,6.793351e+00,8.824909e+00,7.913767e+00,1.137782e+01
1.407902e+01,1.245408e+01,1.046152e+01,6.364671e+00,3.413111e+00,8.454269e+00,1.282614e+01,1.670524e+01,1.457250e+01,9.873426e+00,-8.618033e+00,-1.864656e+01,-2.665193e+01,-1.903572e+01,-1.333709e+01,-9.741271e+00,-7.223265e+00,-9.059946e+00,-1.373886e+01,-1.749795e+01,-1.830910e+01,-2.704530e+01,-3.588624e+01,-3.515398e+01,-3.160752e+01,-2.807177e+01,-2.686449e+01,-2.809108e+01,-3.251588e+01,-3.464364e+01,-3.424851e+01,-2.212793e+01,-1.908624e+01,-2.298132e+00,1.306896e+01,1.147767e+01,1.223894e+01,8.628469e+00,9.778635e+00,9.489334e+00,7.721775e+00,9.364691e+00
6.141707e-01,-7.760022e-01,-2.743557e-01,1.000293e+00,1.807221e+00,-1.078316e+01,-1.392486e+01,-1.465399e+01,-9.066486e+00,-9.638355e+00,-3.436896e+01,-2.755167e+01,-7.274704e+00,6.792041e+00,1.620186e+01,1.548425e+01,1.208148e+01,7.374104e+00,9.222766e+00,1.135267e+01,1.182648e+01,1.116766e+01,1.751836e+01,2.283280e+01,2.077592e+01,1.557992e+01,1.595341e+01,1.787106e+01,2.068021e+01,1.983181e+01,2.013402e+01,2.548112e+01,1.577780e+01,1.747854e+01,1.579753e+01,9.642447e+00,1.011868e+01,8.196886e+00,1.012460e+01,6.917460e+00,4.071034e+00,5.053879e+00
1.851740e+01,2.020430e+01,1.705673e+01,1.256146e+01,5.630831e-01,9.102558e+00,1.126446e+01,8.968249e+00,6.189756e+00,1.333844e+01,-1.845027e+00,-4.556862e+00,2.817096e+00,1.158868e+01,1.451062e+01,1.078804e+01,1.030279e+01,1.075797e+01,1.151314e+01,7.889148e+00,1.072128e+01,1.173835e+01,1.201880e+01,1.529944e+01,1.546634e+01,1.722955e+01,2.008736e+01,1.953186e+01,1.446103e+01,4.968972e+00,-5.688773e+00,-9.429660e+00,-6.208276e+00,7.819492e+00,4.309398e+00,-3.134245e+00,-3.417675e+00,-3.135571e-01,1.459512e+00,-1.248749e+00,-6.469790e+00,-1.764864e+00
-4.661909e+00,-2.505304e+00,-2.119643e+00,-7.501208e-01,2.147635e+00,1.377125e+00,3.659379e+00,-1.839674e+00,-8.684490e+00,-3.402649e+00,-1.357571e+01,-1.634441e+01,-8.283256e+00,-6.531089e+00,-7.919282e+00,-9.354563e+00,-8.533645e+00,-6.578970e+00,-3.604497e+00,-2.572696e+00,1.855727e+00,-3.280153e+00,-8.816066e+00,-1.366103e+01,-1.618362e+01,-1.391377e+01,-1.278631e+01,-1.603689e+01,-1.912590e+01,-2.131044e+01,-2.473537e+01,-2.772367e+01,-3.300483e+01,-1.586359e+01,-8.203717e+00,-7.803941e+00,-6.520503e+00,-7.028486e-01,2.569196e+00,5.899224e-01,-4.172627e+00,-9.279599e-01
