Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37
-5.024008e+02,-4.912637e+02,-4.937473e+02,-4.909802e+02,-4.715721e+02,-3.693799e+02,-2.801278e+02,-2.284700e+02,-2.060930e+02,-2.060884e+02,-1.986387e+02,-1.828047e+02,-1.572493e+02,-1.345876e+02,-1.227145e+02,-1.188640e+02,-1.149813e+02,-1.157132e+02,-1.305741e+02,-1.467399e+02,-1.489322e+02,-1.386235e+02,-1.316691e+02,-1.185573e+02,-1.005970e+02,-7.992284e+01,-7.494940e+01,-1.103397e+02,-1.705406e+02,-2.549729e+02,-3.510500e+02,-4.327972e+02,-4.782744e+02,-4.850840e+02,-4.875536e+02,-4.870857e+02,-4.919720e+02
3.699670e+01,4.711969e+01,4.246197e+01,4.713548e+01,5.519695e+01,5.259093e+00,-4.042595e+01,-6.283233e+01,-7.369441e+01,-7.333857e+01,-3.316906e+01,3.863325e+01,8.479128e+01,9.722224e+01,9.241203e+01,9.003374e+01,9.556544e+01,1.003730e+02,9.610938e+01,8.892287e+01,7.787717e+01,7.042667e+01,6.303764e+01,5.726805e+01,5.206016e+01,5.640258e+01,6.623555e+01,7.469768e+01,9.209575e+01,1.167114e+02,1.210692e+02,9.750141e+01,5.642249e+01,4.842846e+01,4.797614e+01,5.146655e+01,4.804106e+01
1.339374e+01,1.489651e+01,1.177632e+01,1.630737e+01,1.835105e+01,2.915561e+01,4.095593e+01,4.661811e+01,4.738995e+01,4.477253e+01,5.123431e+01,2.891699e+01,-1.794804e+01,-3.708055e+01,-2.874866e+01,-2.747464e+01,-2.355287e+01,-2.072017e+01,-1.976158e+01,-1.466456e+01,-1.477476e+01,-1.616680e+01,-1.375053e+01,-2.081175e+01,-3.565256e+01,-4.942557e+01,-5.681042e+01,-4.975662e+01,-3.010966e+01,-1.191306e+01,1.213825e+00,1.166449e+01,8.584595e+00,6.544408e+00,1.016359e+01,1.646511e+01,1.729303e+01
3.675901e-01,-8.166091e-01,5.934566e-01,2.994843e+00,4.384521e+00,1.880106e+01,3.138678e+01,3.293160e+01,3.240081e+01,3.141362e+01,3.361415e+01,2.355615e+01,1.860445e+01,5.883024e+00,-1.640117e+01,-4.132487e+01,-5.607705e+01,-6.656866e+01,-7.027495e+01,-6.577420e+01,-6.253692e+01,-6.565340e+01,-6.144817e+01,-5.505913e+01,-5.070482e+01,-4.919966e+01,-4.224649e+01,-3.362402e+01,-3.141191e+01,-3.233725e+01,-3.361266e+01,-2.136029e+01,-1.213891e+01,-6.929772e+00,-3.306658e+00,2.736483e-01,6.285746e-01
3.737807e+00,2.345834e+00,3.149364e+00,4.346478e+00,6.104116e+00,-7.133211e+00,-1.147643e+01,-1.785425e+01,-1.984091e+01,-2.320767e+01,-3.348913e+01,-3.330941e+01,-2.518858e+01,-3.120440e+01,-2.739566e+01,-1.479988e+01,-2.721701e+00,1.370734e+00,5.235450e+00,5.236933e+00,1.870209e+00,-7.227001e+00,-1.049775e+01,-1.393699e+01,-1.775677e+01,-1.777345e+01,-2.229457e+01,-2.622707e+01,-2.518937e+01,-1.627050e+01,-9.641407e+00,-9.038332e+00,-3.284547e+00,2.571773e+00,5.358304e+00,5.547078e+00,5.591446e+00
1.119209e+01,9.323928e+00,7.930343e+00,8.881521e+00,6.933189e+00,1.439200e+01,2.099345e+01,2.119119e+01,2.040078e+01,1.683241e+01,7.050951e+00,1.809261e-01,-5.027203e+00,5.108552e+00,2.079976e+01,2.520877e+01,2.469640e+01,2.616677e+01,2.787744e+01,3.229619e+01,3.713583e+01,3.845853e+01,4.158628e+01,4.538401e+01,4.498534e+01,5.127660e+01,5.748102e+01,6.090948e+01,5.120777e+01,2.630670e+01,5.660430e+00,1.411448e-01,9.473243e+00,9.425036e+00,1.323438e+01,1.383516e+01,1.554661e+01
1.134930e+01,1.108034e+01,1.321238e+01,1.374175e+01,1.381605e+01,1.691204e+01,1.980521e+01,2.102520e+01,2.592505e+01,2.825781e+01,2.211488e+01,2.225565e+01,2.528358e+00,-2.150699e+01,-3.724265e+01,-4.752460e+01,-4.781446e+01,-4.645677e+01,-4.329871e+01,-4.156021e+01,-4.257716e+01,-4.614157e+01,-4.940582e+01,-4.904918e+01,-4.455862e+01,-4.298351e+01,-4.675723e+01,-5.149802e+01,-4.618555e+01,-3.446970e+01,-2.139906e+01,-6.280256e-01,1.271930e+01,8.649962e+00,1.267963e+01,1.456021e+01,1.536513e+01
5.348152e+00,7.188867e+00,1.199509e+01,1.329391e+01,6.373661e+00,1.195500e+00,2.788305e+00,1.123631e+00,-3.123908e+00,-4.699929e+00,-1.410175e+01,-1.203150e+01,1.008099e+01,2.574940e+01,3.759103e+01,4.469906e+01,4.945046e+01,5.019254e+01,4.616666e+01,4.171531e+01,3.770165e+01,3.706903e+01,4.112485e+01,4.607037e+01,4.225903e+01,4.049793e+01,4.120428e+01,4.257344e+01,4.041232e+01,2.980104e+01,8.951742e+00,-1.096302e+00,8.366559e+00,4.905500e+00,6.579456e+00,8.696108e+00,7.433338e+00
-9.859133e-02,2.674411e+00,5.436672e+00,7.009797e+00,6.762247e+00,2.175423e+01,1.704649e+01,1.037567e+01,5.425205e+00,7.032310e+00,-1.271779e+01,-2.067773e+01,-1.878154e+01,-7.644957e+00,-2.034677e+00,-2.668553e+00,-4.807963e+00,-7.940181e+00,-9.628633e+00,-1.269525e+01,-1.129207e+01,-1.215375e+01,-1.688559e+01,-1.625186e+01,-1.144389e+01,-1.002163e+01,-9.801039e+00,-1.228356e+01,-1.295211e+01,-1.458015e+01,-1.256623e+01,-5.928259e+00,2.620099e+00,1.372322e-01,-9.868754e-01,1.693874e+00,1.563667e+00
-2.827744e+00,1.828660e+00,5.478433e+00,4.019055e+00,3.903620e+00,2.940520e+00,1.237106e+01,1.041190e+01,7.228206e+00,1.297510e+01,-4.729037e+00,-4.375314e+00,5.593377e-01,4.626410e+00,3.159984e+00,1.469965e+00,1.961813e+00,4.592104e-01,4.284845e+00,5.171326e+00,2.242446e+00,-2.753206e-01,-1.518970e+00,-1.048465e+00,-3.763498e+00,-8.107058e+00,-1.364712e+01,-1.788230e+01,-1.590819e+01,-1.954108e+01,-2.105423e+01,-1.526954e+01,-2.168915e-01,-2.362024e+00,-3.826434e+00,-1.833879e+00,-1.155538e-01
-4.686486e+00,1.099186e+00,8.189157e+00,4.457181e+00,8.658038e-01,6.631067e-01,6.208848e+00,6.989414e+00,3.990415e+00,5.694510e+00,-1.080765e+01,-1.164843e+01,-5.978128e+00,-5.481201e+00,-1.071490e+01,-1.482704e+01,-1.692633e+01,-2.072599e+01,-2.065018e+01,-2.021340e+01,-1.922381e+01,-1.731234e+01,-2.015218e+01,-2.124445e+01,-2.359706e+01,-2.726505e+01,-2.827662e+01,-3.287123e+01,-2.989757e+01,-2.906558e+01,-2.788349e+01,-1.954969e+01,-2.158114e+00,-1.774964e+00,-1.738258e+00,-3.406391e+00,-1.738385e+00
-5.704697e+00,-2.748070e+00,3.784279e+00,3.030435e+00,1.250302e+00,1.105886e+01,1.129839e+01,1.047759e+01,6.971599e+00,-1.090040e+00,-6.908285e+00,3.210897e-01,1.538161e+01,2.891030e+01,2.654885e+01,2.365256e+01,2.154169e+01,1.780959e+01,1.531491e+01,1.041400e+01,6.617644e+00,6.410557e+00,1.747546e+00,2.781323e+00,3.096876e+00,3.478782e+00,2.346540e-01,-6.708874e+00,-5.852223e+00,-5.978570e+00,-7.299095e+00,-1.446910e+01,-5.642255e+00,-1.315490e+00,-1.237129e+00,-5.098748e+00,-2.989222e+00
-4.175482e+00,-4.427762e+00,5.003588e-01,4.627254e+00,-5.287056e+00,-5.854753e+00,-4.136733e+00,1.768553e-01,-1.091901e+00,-1.075362e+01,-1.358058e+01,-1.071117e+01,-1.829454e+00,-1.163290e+01,-1.677719e+01,-1.562285e+01,-1.750398e+01,-1.918299e+01,-2.071289e+01,-2.210448e+01,-2.473388e+01,-2.467462e+01,-2.716731e+01,-3.038879e+01,-3.155605e+01,-3.043625e+01,-2.607051e+01,-2.050756e+01,-6.791119e+00,6.866840e+00,1.031634e+00,-1.339381e+00,-5.862421e+00,-1.607688e+00,-2.131007e+00,-1.753323e+00,9.252065e-01
