Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46
-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.515985e+02,-4.327621e+02,-3.703317e+02,-3.840766e+02,-4.147228e+02,-4.230794e+02,-4.230434e+02,-3.500569e+02,-1.788301e+02,-6.261786e+01,-4.449372e+01,-9.049957e+01,-1.498632e+02,-2.157255e+02,-2.884016e+02,-3.631913e+02,-4.470376e+02,-5.206290e+02,-5.659653e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02,-5.705622e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.873741e+00,4.236646e+01,1.981381e+01,-2.211450e+01,-5.013232e+01,-4.453254e+01,-3.034138e+01,7.070755e+01,1.432182e+02,1.480811e+02,1.648546e+02,1.967234e+02,2.214508e+02,2.278100e+02,2.156658e+02,1.841462e+02,1.260411e+02,5.157846e+01,4.845168e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.895938e+01,-7.904565e+01,-8.232301e+01,-7.185194e+01,-6.468257e+01,-6.751555e+01,-6.974088e+01,-4.664719e+01,-1.123336e+02,-1.168958e+02,-1.138415e+02,-1.014878e+02,-7.646861e+01,-3.521535e+01,-4.086795e+00,1.662872e+01,2.309311e+01,9.138651e+00,8.460028e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.833187e+01,-2.761878e+01,-6.104112e+00,2.377329e+01,4.058026e+01,3.575360e+01,3.912440e+01,4.154373e+01,2.075139e+01,-1.681927e+01,-3.908289e+01,-4.679077e+01,-4.065110e+01,-4.693790e+01,-5.925477e+01,-6.262018e+01,-5.240465e+01,-2.619851e+01,-3.226925e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.152658e+00,-2.545422e+00,-5.338877e+00,-8.783672e+00,-6.406092e+00,-1.015446e+01,-1.002155e+01,-2.533218e+01,-3.767196e+01,-5.110318e+01,-6.310120e+01,-7.578221e+01,-8.263159e+01,-7.945648e+01,-7.692352e+01,-6.974455e+01,-5.926471e+01,-3.466978e+01,-5.240372e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.535753e+01,1.026976e+01,3.978006e+00,-4.750916e+00,-1.150457e+00,-3.450935e+00,-3.888842e+00,-4.071944e+01,-3.334472e+01,-2.588781e+01,-2.340096e+01,-1.960291e+01,-1.545332e+01,-1.590389e+01,-1.551844e+01,-1.657330e+01,-2.049669e+01,-2.060564e+01,-4.410264e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.021241e+00,2.830890e+00,-3.879361e+00,-2.763228e+00,1.257962e+01,1.637335e+01,1.295275e+01,-2.260279e+01,-3.773083e+01,-4.125492e+01,-3.375142e+01,-1.181342e+01,1.102749e+01,2.825235e+01,3.346421e+01,2.599329e+01,1.383888e+01,-2.376323e+00,-1.528576e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.650788e+00,-1.655391e+01,-9.121101e+00,-4.065669e+00,-5.011952e+00,-2.678543e+00,-4.780785e+00,-3.250568e+01,-4.771092e+01,-4.118575e+01,-3.285072e+01,-1.893738e+01,-9.948050e+00,-4.544069e+00,7.132151e+00,1.752648e+01,1.795319e+01,6.731187e+00,1.757576e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.448378e+00,1.013168e+01,9.359018e+00,1.083340e+01,6.451802e+00,4.326725e+00,-2.328739e+00,-1.347083e+01,-1.539371e+01,-2.308779e+01,-2.276971e+01,-2.117684e+01,-9.901258e+00,-1.140101e+01,-9.271079e+00,-2.292313e+00,5.795709e+00,6.707374e+00,3.942834e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.934935e+00,1.818993e+01,1.414990e+01,1.192741e+01,8.751088e-01,-9.225134e+00,-1.540930e+01,-2.952510e+01,-1.870351e+01,4.820115e-01,6.835835e+00,-2.391333e+00,-8.284631e+00,-6.486328e+00,-5.369800e+00,-4.848499e+00,-6.531433e-01,4.037598e+00,4.271736e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
