Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-4.750366e+02,-3.887392e+02,-3.828458e+02,-4.233164e+02,-4.461738e+02,-4.556089e+02,-4.699991e+02,-3.160092e+02,-1.430211e+02,-5.629499e+01,-4.052934e+01,-5.391825e+01,-9.663869e+01,-1.961129e+02,-3.141388e+02,-4.131924e+02,-4.825860e+02,-5.279512e+02,-5.593501e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02,-5.609584e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.092600e+01,1.865402e+01,-3.606815e+00,-3.614582e+01,-4.762052e+01,-4.710380e+01,-4.725506e+01,9.410362e+01,1.354553e+02,1.314742e+02,1.517701e+02,1.724725e+02,1.876421e+02,2.071197e+02,1.797500e+02,1.312123e+02,7.852139e+01,3.542119e+01,2.120640e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.760642e+01,-7.868723e+01,-7.575561e+01,-6.551950e+01,-6.808011e+01,-6.784141e+01,-5.991701e+01,-5.170169e+01,-9.822015e+01,-1.052765e+02,-1.103334e+02,-9.577191e+01,-7.419955e+01,-6.556373e+01,-2.066759e+01,8.075470e+00,1.401422e+01,1.031742e+01,1.714192e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.084898e-01,1.926421e+01,2.854924e+01,4.447079e+01,4.964333e+01,5.007069e+01,5.775093e+01,3.265326e+01,-1.880996e+00,-2.400418e+01,-3.948557e+01,-3.793864e+01,-3.935149e+01,-4.568847e+01,-5.584031e+01,-5.255175e+01,-3.056948e+01,-1.093571e+01,1.192500e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.689536e+01,3.834353e+00,-6.014058e+00,-2.893465e+00,-1.525969e+00,-6.593762e+00,-7.130554e+00,-3.299617e+01,-2.599251e+01,-3.239045e+01,-5.724500e+01,-7.795324e+01,-7.940399e+01,-7.237216e+01,-5.248871e+01,-4.845746e+01,-3.262883e+01,-1.751760e+01,7.085853e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.085542e+00,-5.727074e+00,-1.220500e+01,-6.050013e+00,-3.643811e+00,-8.112947e+00,-1.394150e+01,-4.601994e+01,-2.669553e+01,-1.424298e+01,-1.242646e+01,-1.052625e+01,-9.464561e+00,-1.530246e+01,-7.125367e+00,-5.411266e+00,-1.041519e+01,-1.242758e+01,3.588837e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.760001e+00,-1.054486e+01,-1.204875e+01,-2.087664e+00,8.139906e+00,1.159371e+01,1.243942e+01,-3.539343e+01,-4.628851e+01,-3.752318e+01,-2.458868e+01,-1.662345e+01,-1.239137e+01,7.005762e+00,1.366253e+01,9.103746e+00,9.845918e-01,-5.224684e+00,1.432098e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.855199e+01,-1.562826e+01,-1.117484e+01,-1.698173e+01,-1.364192e+01,-1.066859e+01,-8.586060e+00,-4.378321e+01,-4.207302e+01,-3.081713e+01,-2.396481e+01,-1.642304e+01,-1.284150e+01,-2.714169e+01,-6.820057e+00,-2.269312e+00,-1.427317e+00,-1.093095e+00,-2.291084e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.783081e+00,-1.148887e+00,1.294402e+00,-1.464553e+00,3.264299e+00,5.451938e+00,7.672235e+00,-5.838924e+00,-2.000018e+01,-2.083050e+01,-1.814626e+01,-2.787248e+01,-3.104380e+01,-1.717608e+01,-1.287925e+01,-4.592642e+00,-3.574493e+00,1.452019e+00,-2.510685e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.193144e-01,7.144916e-02,-6.796148e-01,1.720038e+00,4.390814e+00,1.750270e+00,1.500834e+00,-1.361088e+01,4.391229e+00,1.117767e+01,1.254683e+01,7.204543e+00,6.687345e+00,-7.184926e+00,-6.703194e+00,2.307169e+00,-5.108491e-01,4.320172e+00,-6.090215e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.080231e-01,3.720759e+00,-2.515482e+00,-4.915737e+00,-6.663287e+00,-8.325069e+00,-1.004460e+01,-2.140619e+01,-1.040866e+01,-5.925649e+00,4.161079e+00,3.322565e+00,2.756258e+00,1.168010e+01,1.180218e+01,1.049285e+01,3.570415e+00,5.193017e+00,-1.074155e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.416782e+01,2.004805e+01,1.978105e+01,1.533305e+01,6.211418e+00,4.680229e+00,4.418975e+00,-6.801593e+00,-4.333992e+00,-1.090955e-01,-2.745927e+00,-5.721497e+00,-5.901437e+00,-6.843281e+00,-6.790399e+00,-7.920965e+00,-3.413782e+00,6.231945e-01,-1.536586e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.935462e+00,1.003170e+01,5.126785e+00,-6.957898e+00,-1.452920e+01,-8.824743e+00,-5.896873e+00,-9.485471e+00,-6.166892e+00,-1.037111e+01,-1.584758e+01,-1.589323e+01,-1.680694e+01,-1.491606e+01,-1.977451e+01,-2.065060e+01,-1.582251e+01,-8.062817e+00,-1.850646e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
