Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48
-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-4.009294e+02,-3.188327e+02,-3.345393e+02,-4.040269e+02,-4.252719e+02,-4.420527e+02,-4.642719e+02,-2.764135e+02,-1.068731e+02,-4.377683e+01,-4.560730e+01,-8.044239e+01,-1.543344e+02,-2.397271e+02,-3.620234e+02,-4.533600e+02,-4.886784e+02,-5.148896e+02,-5.644104e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02,-5.702708e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.958200e+01,6.508936e+01,4.316761e+01,4.396753e+00,-2.947610e+01,-4.683493e+01,-4.640601e+01,1.203098e+02,1.447328e+02,1.451830e+02,1.602918e+02,1.782861e+02,2.075358e+02,1.998850e+02,1.742993e+02,1.169256e+02,8.448877e+01,5.746786e+01,7.848454e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.708914e+01,-8.420827e+01,-8.467133e+01,-7.496967e+01,-7.741676e+01,-8.012714e+01,-6.914635e+01,-6.846611e+01,-9.678397e+01,-9.944424e+01,-1.003936e+02,-8.964574e+01,-8.746492e+01,-5.334643e+01,3.977038e+00,2.306642e+01,2.345440e+01,1.769682e+01,6.651616e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.334956e+00,1.388378e+01,2.024650e+01,2.166888e+01,3.007729e+01,3.994183e+01,5.014489e+01,3.056375e+01,3.128266e+00,-1.768127e+01,-3.813358e+01,-4.784486e+01,-4.202788e+01,-5.351026e+01,-5.707652e+01,-3.144351e+01,-1.355733e+01,-3.819365e+00,5.008018e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.437016e+00,-1.534489e+00,-5.113712e+00,-1.132936e+01,-9.997877e+00,-6.607871e+00,-5.474723e+00,-2.877181e+01,-3.282767e+01,-3.987190e+01,-5.341303e+01,-6.322561e+01,-7.711758e+01,-6.531682e+01,-4.700539e+01,-2.522474e+01,-1.359419e+01,-1.845119e+00,3.286860e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.267742e+00,-4.420234e+00,-8.717554e+00,-1.473743e+01,-5.898112e+00,3.057958e+00,-9.715086e-01,-4.354311e+01,-3.225404e+01,-2.476274e+01,-2.030889e+01,-1.438350e+01,-1.092241e+01,-9.770423e+00,-7.474446e-01,-7.324432e-01,-5.176250e+00,1.581798e+00,1.770991e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.880198e+00,-6.425096e+00,-8.637869e+00,-1.496272e+01,-1.491573e+00,1.032677e+01,8.029631e+00,-3.446946e+01,-4.583022e+01,-4.390735e+01,-3.828227e+01,-2.379090e+01,-4.934589e+00,5.115925e+00,7.446495e+00,2.965104e+00,-7.995618e+00,-3.818441e+00,5.679200e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.893358e+01,-1.229054e+01,-7.295887e+00,-1.074185e+01,-6.420775e+00,-1.056830e+01,-1.514317e+01,-3.468328e+01,-2.848895e+01,-2.495189e+01,-2.371000e+01,-2.287325e+01,-2.937495e+01,-2.289248e+01,-1.259776e+01,-7.798300e+00,-1.162172e+01,-6.744356e+00,-3.853821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.786281e+00,1.462691e+00,2.709625e+00,1.108083e-01,-2.631294e+00,1.841871e+00,9.665323e+00,-5.951571e+00,-1.685322e+01,-1.535019e+01,-1.648370e+01,-2.496332e+01,-2.060407e+01,-1.984561e+01,-1.500100e+01,-9.405435e+00,-3.887067e+00,-4.221205e-01,-1.235988e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.077411e+00,3.572829e-01,-5.016557e-01,-8.713745e+00,-1.009083e+01,-3.290506e+00,7.179416e-01,-2.357709e+01,-2.890724e+00,7.052631e+00,1.143180e+01,6.750984e+00,-7.262367e+00,-7.787543e+00,-2.300802e+00,1.691861e+00,6.437233e+00,5.075880e+00,-2.099843e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.615279e+00,-4.533053e+00,-2.559630e+00,-9.297522e+00,-1.059755e+01,-7.980828e+00,-1.175006e+01,-2.933099e+01,-2.978007e+01,-1.702696e+01,3.401505e+00,1.185837e+01,1.774611e+01,1.214233e+01,1.033306e+01,9.249161e+00,5.395916e+00,1.326594e+00,-2.981725e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
