Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.493427e+02,-3.916443e+02,-3.162669e+02,-3.112205e+02,-3.054429e+02,-2.997135e+02,-3.115954e+02,-3.090879e+02,-1.857060e+02,-7.859270e+01,-2.330277e+01,-3.826149e+01,-1.096406e+02,-1.989448e+02,-3.215371e+02,-4.237314e+02,-5.005819e+02,-5.627613e+02,-5.738442e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.745421e+02,-5.423005e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.017888e+00,1.850238e+00,-3.106486e+01,-6.463036e+01,-7.263235e+01,-8.379886e+01,-9.600247e+01,-8.578600e+01,5.612138e+01,1.417128e+02,1.570138e+02,1.791683e+02,2.156772e+02,2.160898e+02,1.899611e+02,1.363938e+02,7.443764e+01,1.347390e+01,7.530304e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.642288e+01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.894295e+01,-8.291777e+01,-8.670327e+01,-8.557864e+01,-7.821135e+01,-8.335977e+01,-8.031178e+01,-7.486176e+01,-6.439977e+01,-1.013731e+02,-9.505051e+01,-9.372969e+01,-9.935829e+01,-6.259273e+01,-8.555353e+00,1.381091e+01,1.456515e+01,5.476476e+00,1.627578e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.211782e+01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.962989e+00,4.008220e+01,5.664935e+01,6.051107e+01,6.078647e+01,7.094664e+01,7.762448e+01,7.096359e+01,6.705717e+01,1.466791e+01,-1.579786e+01,-3.116579e+01,-2.727038e+01,-3.322822e+01,-4.569489e+01,-4.203910e+01,-2.337413e+01,-3.568064e+00,-5.040157e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.572380e+01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.254751e+01,1.099463e+01,5.644041e-01,-1.070000e+01,-3.046840e+01,-2.923814e+01,-2.555030e+01,-3.200152e+01,-3.958145e+01,-4.666956e+01,-4.755050e+01,-5.485474e+01,-6.706476e+01,-6.146630e+01,-5.318589e+01,-4.268660e+01,-2.509143e+01,-9.795605e+00,-9.312295e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.784324e+01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.502579e+00,-7.331661e+00,-6.762203e+00,-1.125821e+01,-2.053772e+01,-1.906387e+01,-1.906066e+01,-1.511840e+01,-4.372874e+01,-3.531773e+01,-2.804474e+01,-1.895877e+01,-1.296030e+01,-1.950085e+01,-1.582993e+01,-1.408863e+01,-1.354749e+01,-1.110256e+01,-9.168853e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.605817e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.898596e+01,-1.528371e+01,-9.108469e+00,1.486313e+00,4.678487e+00,6.030138e+00,6.411691e+00,1.796786e+01,-2.608335e+01,-3.895168e+01,-4.288073e+01,-3.484098e+01,-1.129073e+01,1.091979e+01,1.784847e+01,4.872768e+00,-9.870733e+00,-7.771104e+00,-4.687279e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.073239e+01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.308221e-01,4.035791e+00,2.797879e+00,3.547106e+00,5.286422e+00,7.733438e+00,4.916028e+00,1.049257e+01,-2.833456e+01,-2.548125e+01,-1.991711e+01,-2.415629e+01,-2.691130e+01,-1.803891e+01,-2.716973e+00,-5.085217e+00,-1.094513e+01,-1.887330e+00,1.998783e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.716647e+01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.620980e+01,2.480147e+01,1.631691e+01,6.334223e+00,-1.606225e+00,-2.989629e+00,-5.161663e+00,-2.829439e+00,-1.943603e+01,-1.964497e+01,-1.951312e+01,-2.334916e+01,-2.206838e+01,-2.199548e+01,-2.886969e+01,-1.532925e+01,-3.947154e+00,3.776389e+00,7.717054e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.257125e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.506968e+00,7.577247e-01,6.948739e-01,-4.816565e+00,-5.748074e+00,6.334609e-01,-1.329093e+00,-9.883599e+00,-2.457829e+01,-1.220072e+01,1.856751e+00,3.103103e+00,-8.966889e+00,-1.069183e+01,-1.434128e+01,-3.278831e+00,7.535724e+00,6.834049e+00,9.764396e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.250193e+00
