Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.153187e+02,-4.961290e+02,-4.980541e+02,-4.970661e+02,-4.937441e+02,-4.904420e+02,-4.981594e+02,-3.619964e+02,-2.316344e+02,-1.525613e+02,-1.174100e+02,-8.230826e+01,-8.132841e+01,-1.072525e+02,-1.209448e+02,-1.291186e+02,-1.364866e+02,-1.390640e+02,-1.299447e+02,-1.107078e+02,-8.229792e+01,-5.349947e+01,-3.218108e+01,-1.749977e+01,-1.947334e+01,-4.409710e+01,-1.038627e+02,-1.890842e+02,-2.760149e+02,-3.611520e+02,-4.258366e+02,-4.651835e+02,-4.870962e+02,-4.903569e+02,-4.875399e+02,-4.855737e+02
7.223076e+01,8.292827e+01,8.252454e+01,8.344681e+01,8.918806e+01,9.121043e+01,8.454988e+01,6.659404e+01,6.038914e+01,8.354337e+01,9.467077e+01,9.519582e+01,8.519682e+01,7.231348e+01,6.984832e+01,6.928040e+01,6.910269e+01,7.099997e+01,6.863870e+01,7.057481e+01,7.754498e+01,9.296178e+01,1.056593e+02,1.037048e+02,9.336591e+01,9.032573e+01,1.031580e+02,1.297579e+02,1.471332e+02,1.576950e+02,1.314833e+02,1.081036e+02,9.353616e+01,8.851759e+01,9.188412e+01,9.507787e+01
2.180193e+01,1.825893e+01,1.968837e+01,1.633866e+01,1.900767e+01,1.887486e+01,2.119581e+01,-4.082361e+01,-3.752328e+01,-9.557503e+00,-1.565883e+00,-2.028552e+01,-1.370499e+01,1.007800e+01,1.670184e+01,1.877692e+01,1.966514e+01,2.036560e+01,1.759595e+01,1.220369e+00,-1.767021e+01,-3.713099e+01,-5.354108e+01,-6.742207e+01,-7.386005e+01,-7.278458e+01,-5.583508e+01,-2.949341e+01,-1.919616e+01,-1.938742e+01,-8.284060e+00,1.171786e+01,2.210953e+01,1.770953e+01,1.853453e+01,2.353618e+01
8.469417e+00,9.748268e+00,1.003152e+01,4.725940e+00,2.437762e+00,4.351941e+00,9.373456e+00,-2.503429e+01,-2.175513e+01,-1.817629e+01,-2.536003e+01,-3.802566e+01,-3.720021e+01,-2.735630e+01,-2.517529e+01,-2.184444e+01,-1.627006e+01,-1.909403e+01,-2.315084e+01,-2.620571e+01,-3.268012e+01,-4.692745e+01,-4.812663e+01,-4.049198e+01,-3.033258e+01,-1.987162e+01,-1.283125e+01,-2.060102e+01,-2.288110e+01,-2.009619e+01,-2.497559e+01,-4.900784e+00,1.115490e+01,9.832839e+00,5.337341e+00,9.023149e+00
2.191573e+01,2.112560e+01,2.026278e+01,2.116300e+01,2.000072e+01,2.169118e+01,2.154688e+01,6.657478e+01,5.204915e+01,2.347738e+01,4.909880e-01,-7.928485e+00,-1.075836e+01,-1.329402e+01,-1.123764e+01,-1.369914e+01,-6.863196e+00,-2.044628e+00,-1.690174e+00,1.536064e+00,3.810291e+00,-4.173712e+00,-6.746772e+00,-1.318236e+01,-1.338451e+01,-1.305962e+01,-8.621911e+00,-6.600470e+00,5.112012e+00,1.099239e+01,1.062498e+01,1.458050e+01,2.284247e+01,2.404635e+01,1.718617e+01,1.718698e+01
2.494631e+01,2.244863e+01,2.026237e+01,2.461570e+01,2.463326e+01,2.198418e+01,1.980104e+01,2.054767e+01,2.213123e+01,2.969865e+01,4.842500e+01,5.706407e+01,5.357400e+01,5.321367e+01,5.552237e+01,5.692687e+01,5.016872e+01,4.980448e+01,5.587527e+01,6.404168e+01,6.235135e+01,6.317767e+01,6.837032e+01,7.168221e+01,7.282012e+01,6.770693e+01,6.127340e+01,5.549772e+01,3.560350e+01,1.600113e+01,2.020777e+01,1.992146e+01,1.812310e+01,1.941509e+01,1.785466e+01,1.875849e+01
1.633168e+01,1.884012e+01,1.653695e+01,1.790085e+01,1.763772e+01,1.198977e+01,1.097482e+01,4.197008e+00,-1.804493e+01,-3.303186e+01,-3.324491e+01,-3.299628e+01,-3.346339e+01,-2.998163e+01,-2.598656e+01,-1.998364e+01,-1.929939e+01,-2.162284e+01,-2.663428e+01,-2.900365e+01,-3.063730e+01,-3.190777e+01,-3.564054e+01,-3.552926e+01,-3.265873e+01,-2.599208e+01,-1.963787e+01,-8.338628e+00,-6.187416e+00,1.380895e+01,2.540751e+01,2.423441e+01,1.500563e+01,1.601691e+01,1.725600e+01,1.570994e+01
1.255303e+01,1.616084e+01,1.369761e+01,1.265821e+01,1.428052e+01,9.698510e+00,9.408929e+00,1.793286e+01,9.813044e+00,9.676130e+00,1.159045e+01,2.123098e+01,2.544320e+01,3.099589e+01,3.626424e+01,3.655260e+01,3.770507e+01,3.391682e+01,3.375843e+01,3.596928e+01,3.978650e+01,4.586437e+01,4.972053e+01,4.885719e+01,4.992436e+01,4.671232e+01,4.218984e+01,3.612535e+01,2.867210e+01,2.054310e+01,3.326031e+01,2.769995e+01,1.803796e+01,1.829721e+01,1.498226e+01,6.444304e+00
1.222720e+01,1.396881e+01,1.063345e+01,1.066160e+01,1.351184e+01,1.271431e+01,1.418047e+01,-4.145972e+00,-5.364066e+00,-2.410209e+00,3.746997e-01,-8.511554e-01,-1.764984e+00,3.794704e+00,5.103850e+00,3.418268e+00,-2.201805e-01,-4.054850e+00,-4.111305e+00,-6.553990e+00,-1.084687e+01,-9.941108e+00,-1.291011e+01,-1.319423e+01,-1.261514e+01,-1.100322e+01,-2.708148e+00,2.091263e-01,2.287087e+00,1.108659e+01,2.346289e+01,1.928035e+01,1.537456e+01,1.445175e+01,9.437825e+00,2.168210e+00
9.394304e+00,9.361012e+00,8.752228e+00,9.421045e+00,1.080964e+01,1.272383e+01,1.309816e+01,2.614782e+01,1.755108e+01,1.154525e+01,2.326401e+01,3.068676e+01,3.638301e+01,3.910515e+01,4.040262e+01,3.992618e+01,3.901226e+01,3.596245e+01,3.394375e+01,2.925768e+01,2.077083e+01,1.695834e+01,1.746491e+01,1.541606e+01,7.608492e+00,-1.811236e+00,-1.188420e+01,-1.399064e+01,-6.607717e+00,-2.591490e+00,-4.672639e-01,4.135739e+00,9.835923e+00,9.636667e+00,7.100067e+00,5.054875e+00
