Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.096064e+02,-5.019382e+02,-5.019123e+02,-4.995535e+02,-5.008437e+02,-5.047993e+02,-5.093589e+02,-4.222486e+02,-2.489908e+02,-1.703855e+02,-1.419882e+02,-1.209996e+02,-9.623520e+01,-9.278346e+01,-1.114228e+02,-1.254847e+02,-1.431865e+02,-1.497877e+02,-1.496056e+02,-1.308745e+02,-1.161140e+02,-1.109876e+02,-1.011653e+02,-7.998424e+01,-5.619370e+01,-3.342435e+01,-1.540823e+01,-4.206459e+01,-1.107701e+02,-1.791807e+02,-2.613167e+02,-3.561558e+02,-4.385397e+02,-4.831281e+02,-5.042807e+02,-5.086339e+02,-5.094899e+02,-4.955916e+02,-4.703081e+02,-4.541220e+02
7.711839e+01,8.102809e+01,8.092177e+01,8.301826e+01,8.510670e+01,8.284538e+01,7.824149e+01,8.524039e+01,9.319360e+01,1.053335e+02,1.069628e+02,9.451433e+01,9.032837e+01,8.302892e+01,6.915182e+01,6.609285e+01,6.628491e+01,6.445912e+01,6.644408e+01,6.506481e+01,6.244351e+01,6.020266e+01,6.420496e+01,7.514268e+01,8.253526e+01,8.006478e+01,7.311255e+01,8.078302e+01,9.764084e+01,1.120079e+02,1.274135e+02,1.366651e+02,1.215535e+02,9.248927e+01,7.897346e+01,7.673108e+01,7.301967e+01,7.518303e+01,7.483551e+01,6.861922e+01
3.121016e+01,2.589484e+01,2.454862e+01,2.440460e+01,2.892114e+01,3.109722e+01,3.140070e+01,-3.299626e+01,-5.097929e+01,-3.553962e+01,-7.147192e+00,-5.984082e+00,-2.174612e+01,-1.214507e+01,3.512768e+00,1.260907e+01,2.126091e+01,1.870745e+01,1.426193e+01,1.002979e+01,-1.695958e+00,-8.802169e+00,-1.613650e+01,-3.847945e+01,-5.670275e+01,-6.794173e+01,-8.278827e+01,-8.001204e+01,-6.564017e+01,-4.032155e+01,-2.058374e+01,-1.578284e+01,-3.834045e+00,1.058820e+01,2.343325e+01,2.516099e+01,2.014632e+01,2.081668e+01,1.589404e+01,1.139209e+01
1.674446e+01,1.274473e+01,9.728289e+00,8.481765e+00,8.134985e+00,9.222733e+00,1.360295e+01,-8.644855e+00,-3.375222e+01,-2.488755e+01,-2.356440e+01,-3.195711e+01,-4.047308e+01,-3.716845e+01,-3.110182e+01,-3.181804e+01,-2.737072e+01,-2.141288e+01,-1.919457e+01,-2.514382e+01,-2.431544e+01,-2.741721e+01,-2.176543e+01,-2.377533e+01,-2.910328e+01,-3.179648e+01,-2.981179e+01,-2.137402e+01,-1.431626e+01,-2.220731e+01,-2.937474e+01,-3.453241e+01,-2.594492e+01,-1.181976e+01,7.053638e+00,6.098231e+00,4.896774e+00,2.378073e+00,-3.264685e-01,4.940294e+00
2.073301e+01,2.282740e+01,2.175917e+01,2.106349e+01,1.950259e+01,1.757778e+01,2.065563e+01,4.927608e+01,4.571954e+01,3.415173e+01,1.359609e+01,-7.996086e-01,-3.060116e+00,-3.535548e+00,-9.746606e+00,-1.148826e+01,-7.692513e+00,-3.407177e+00,-2.910326e+00,-5.508281e+00,-9.189718e+00,-1.301515e+01,-1.178469e+01,-1.139658e+01,-1.325778e+01,-1.479173e+01,-1.464772e+01,-1.037159e+01,-5.405515e+00,2.169574e+00,1.027934e+01,1.417680e+01,1.246059e+01,1.009670e+01,1.877495e+01,1.663516e+01,1.681561e+01,2.218531e+01,2.729994e+01,3.424915e+01
1.292683e+01,1.823753e+01,2.280898e+01,2.410542e+01,2.697370e+01,2.591179e+01,2.443603e+01,2.275202e+01,2.217673e+00,7.330157e+00,2.284543e+01,4.238154e+01,4.659717e+01,4.716183e+01,4.698833e+01,5.089946e+01,5.304682e+01,5.269933e+01,5.435442e+01,5.729799e+01,6.365887e+01,6.860107e+01,6.828030e+01,6.406117e+01,6.863272e+01,6.925310e+01,6.715614e+01,6.717929e+01,5.938345e+01,5.159084e+01,3.596048e+01,2.199781e+01,2.169872e+01,2.180767e+01,2.110753e+01,2.359645e+01,2.082447e+01,1.380022e+01,1.500587e+00,-3.625930e+00
3.093334e+00,9.438786e+00,1.608194e+01,1.978230e+01,2.254284e+01,2.331379e+01,1.984043e+01,6.919146e+00,-1.065976e+01,-1.403887e+01,-1.472169e+01,-1.238995e+01,-8.662334e+00,-1.459233e+01,-1.981972e+01,-1.951107e+01,-1.391382e+01,-1.692944e+01,-2.146257e+01,-2.378787e+01,-2.590738e+01,-2.849031e+01,-3.134910e+01,-3.519250e+01,-3.370427e+01,-3.468440e+01,-3.278024e+01,-2.772889e+01,-1.998219e+01,-1.447533e+01,-7.098582e+00,1.030729e+01,1.726918e+01,2.056148e+01,1.491569e+01,1.830583e+01,1.490641e+01,1.400835e+01,2.113413e+01,3.060053e+01
7.765099e+00,1.272318e+01,1.540335e+01,1.971649e+01,1.840754e+01,1.748796e+01,1.559396e+01,6.063573e+00,5.360239e+00,4.312469e+00,7.013824e+00,1.383676e+01,3.062631e+01,3.478515e+01,3.516707e+01,2.794062e+01,2.547016e+01,2.457113e+01,2.512258e+01,3.527032e+01,3.843063e+01,3.776585e+01,4.100929e+01,4.577838e+01,5.171040e+01,5.097350e+01,5.058954e+01,5.194106e+01,4.874632e+01,3.711277e+01,2.653645e+01,1.597859e+01,1.930708e+01,2.060385e+01,1.407861e+01,1.177903e+01,1.031325e+01,5.759764e+00,3.818893e+00,-5.111865e-01
1.368035e+01,1.481962e+01,1.459851e+01,1.747570e+01,1.588514e+01,1.362032e+01,1.378958e+01,6.637745e+00,-1.072594e+01,-5.846401e+00,3.278224e+00,4.799908e+00,8.437929e+00,4.477770e+00,1.819645e+00,-3.669382e+00,-7.388640e+00,-7.226057e+00,-9.594252e+00,-6.327152e+00,-3.227564e+00,-3.590624e+00,-6.823683e+00,-9.044390e+00,-1.366349e+01,-1.955349e+01,-1.835122e+01,-1.706012e+01,-1.033591e+01,-1.115135e+01,-8.999446e+00,7.686488e+00,1.462621e+01,1.428069e+01,1.321685e+01,8.857634e+00,8.185570e+00,8.986509e+00,1.246607e+01,8.382020e+00
8.081799e+00,7.177449e+00,7.830176e+00,1.017629e+01,1.066863e+01,1.173535e+01,1.270056e+01,3.190170e+01,3.237532e+01,2.321320e+01,1.774829e+01,1.823379e+01,1.863432e+01,2.529493e+01,3.055451e+01,3.094242e+01,2.967779e+01,3.759090e+01,3.115382e+01,2.620993e+01,2.727716e+01,2.902012e+01,2.031209e+01,1.744574e+01,1.708881e+01,1.947504e+01,1.368069e+01,4.179350e+00,-1.443074e+00,-5.979201e+00,-9.191179e+00,-1.052872e+01,-2.445252e+00,2.904296e-02,7.174774e+00,7.334379e+00,7.856946e+00,2.342963e+00,1.612869e+00,5.470424e+00
