Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.982883e+02,-4.918098e+02,-4.869388e+02,-4.626844e+02,-3.127544e+02,-2.264341e+02,-1.839527e+02,-1.215447e+02,-7.766966e+01,-8.584892e+01,-1.093836e+02,-1.310768e+02,-1.413690e+02,-1.313317e+02,-1.135027e+02,-1.086294e+02,-1.249979e+02,-1.524142e+02,-2.058389e+02,-2.983511e+02,-3.834054e+02,-4.376914e+02,-4.747044e+02,-4.794273e+02,-4.789583e+02,-4.797368e+02,-4.935348e+02
1.363465e+01,2.059396e+01,2.632051e+01,4.005823e+01,8.673427e+01,8.411103e+01,6.515428e+01,8.757748e+01,7.326871e+01,3.515609e+01,2.357338e+01,2.263777e+01,2.748336e+01,2.716505e+01,3.398832e+01,4.746101e+01,7.169960e+01,1.019507e+02,1.263440e+02,1.350455e+02,1.095880e+02,6.954785e+01,3.425537e+01,2.836266e+01,2.832090e+01,2.843389e+01,1.489628e+01
1.161004e+01,1.444260e+01,1.728784e+01,-4.360017e-01,-5.815435e+01,-5.199641e+01,-3.259452e+01,-3.234443e+01,-4.532838e+01,-3.960302e+01,-2.629663e+01,-2.062884e+01,-1.964610e+01,-2.057746e+01,-3.349171e+01,-5.440518e+01,-6.016837e+01,-4.976085e+01,-2.503275e+01,-4.572843e+00,4.639476e+00,1.164995e+01,9.150462e+00,6.119393e+00,4.895380e+00,5.645534e+00,3.136312e+00
9.917107e+00,1.090608e+01,1.080826e+01,-5.888526e+00,-5.091665e+01,-5.362747e+01,-4.449972e+01,-5.594411e+01,-4.244904e+01,-3.013270e+01,-2.467278e+01,-2.658082e+01,-2.927865e+01,-2.641790e+01,-2.201934e+01,-2.361770e+01,-3.302477e+01,-4.388092e+01,-4.988318e+01,-4.645653e+01,-3.032676e+01,-1.724706e+01,-1.239757e+00,3.409892e-03,-9.712699e-01,-3.041461e+00,-1.135569e+00
8.559140e+00,1.073335e+01,9.407524e+00,1.811788e+01,2.995490e+01,1.883441e+01,3.274029e+00,-2.091489e+01,-3.019163e+01,-2.988134e+01,-2.474935e+01,-1.884947e+01,-2.092774e+01,-2.348274e+01,-2.741192e+01,-2.239245e+01,-2.403714e+01,-2.492647e+01,-1.648360e+01,-1.402964e+00,-3.163527e+00,-9.117037e+00,5.883729e+00,9.446002e+00,1.063928e+01,6.272714e+00,4.171522e+00
6.667081e+00,1.015152e+01,9.566867e+00,2.707684e+01,1.319568e+01,1.574842e+01,2.731216e+01,4.238023e+01,5.340813e+01,5.842297e+01,5.436618e+01,5.044938e+01,4.905542e+01,5.540607e+01,6.040940e+01,6.259516e+01,6.047152e+01,5.726869e+01,5.237369e+01,3.174645e+01,1.209714e+01,2.372758e+00,1.217261e+01,1.399283e+01,1.675900e+01,1.542526e+01,9.585922e+00
4.365310e+00,7.086116e+00,7.423928e+00,7.151463e+00,-1.714335e+01,-3.391924e+01,-4.016636e+01,-2.685231e+01,-2.672243e+01,-2.637614e+01,-2.789862e+01,-3.369019e+01,-3.647710e+01,-4.108709e+01,-4.107515e+01,-4.573049e+01,-5.389290e+01,-5.233786e+01,-5.115235e+01,-3.230193e+01,-7.076705e+00,-2.859631e-01,7.258701e+00,6.005218e+00,6.787961e+00,1.067834e+01,7.817490e+00
2.837011e+00,3.654649e+00,3.140271e+00,-1.209459e+01,-2.576644e+00,5.231227e+00,2.617638e+00,3.326875e+00,1.220548e+01,2.287729e+01,2.443224e+01,2.534898e+01,2.563136e+01,2.926174e+01,3.177010e+01,3.169290e+01,2.884554e+01,2.247063e+01,1.147124e+01,-1.547557e-01,-6.016366e+00,-2.910036e+00,-4.629429e-01,-2.127336e+00,-5.583310e+00,-1.035297e+00,2.207318e+00
2.484917e+00,2.117578e+00,-7.916583e-01,-9.103760e+00,-8.942088e+00,-8.876892e+00,-3.138373e+00,-2.759248e+00,-2.851861e+00,4.896217e-01,2.861953e+00,1.522568e+00,4.848067e-01,2.880146e-01,-3.792300e+00,-4.922646e+00,-6.535509e+00,-4.179409e-01,4.840720e+00,1.124379e+00,7.814075e+00,4.206541e+00,-1.814290e+00,-1.496073e+00,-6.259892e+00,-5.577202e+00,-1.739725e-01
2.244264e+00,1.533349e+00,-3.094204e+00,7.912521e-01,1.710235e+01,2.254897e+01,1.144729e+01,-4.372279e+00,6.027249e-01,9.933542e+00,1.069626e+01,7.977618e+00,1.077240e+01,1.874306e+01,2.121032e+01,1.778131e+01,1.213348e+01,1.075697e+01,9.483317e+00,5.658340e+00,9.522142e+00,9.382570e+00,-1.394888e-01,1.237203e+00,2.957157e-01,-1.554306e+00,1.418073e+00
