Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.010898e+02,-4.922564e+02,-4.792635e+02,-3.705676e+02,-2.603744e+02,-1.948425e+02,-1.399971e+02,-1.105875e+02,-9.575204e+01,-8.825431e+01,-1.250308e+02,-1.637928e+02,-1.482352e+02,-1.385162e+02,-1.392808e+02,-1.554897e+02,-2.011639e+02,-2.497456e+02,-2.951393e+02,-3.498481e+02,-4.097332e+02,-4.611553e+02,-4.920456e+02,-4.972503e+02,-4.972365e+02,-5.018157e+02
2.096623e+01,2.949113e+01,3.311775e+01,6.610567e+01,7.112357e+01,7.966265e+01,9.439313e+01,6.931828e+01,3.852794e+01,2.908585e+01,3.198650e+01,3.517641e+01,2.896111e+01,4.050520e+01,6.784241e+01,9.724335e+01,1.168292e+02,1.359144e+02,1.374091e+02,1.267663e+02,9.830760e+01,5.725885e+01,3.027287e+01,2.448505e+01,2.374823e+01,2.011242e+01
1.367373e+01,1.442576e+01,2.882398e-01,-5.870992e+01,-5.050613e+01,-2.582773e+01,-3.225333e+01,-3.782818e+01,-4.221363e+01,-4.565496e+01,-3.809639e+01,-3.180670e+01,-3.981399e+01,-5.578891e+01,-6.696663e+01,-6.574313e+01,-5.404712e+01,-2.145025e+01,-3.772750e+00,-2.914836e+00,4.411764e+00,1.347187e+01,1.518815e+01,1.306776e+01,1.166860e+01,1.291050e+01
1.009471e+01,6.683154e+00,2.760521e+00,-3.101463e+01,-3.419765e+01,-2.769754e+01,-3.179217e+01,-2.171230e+01,-1.393427e+01,-1.499082e+01,-2.075455e+01,-2.294725e+01,-1.778458e+01,-1.876068e+01,-3.504061e+01,-4.867384e+01,-5.056342e+01,-5.305933e+01,-5.512529e+01,-4.622169e+01,-2.230026e+01,-5.965205e+00,4.863423e+00,6.154802e+00,6.284651e+00,8.667783e+00
1.159322e+01,9.879478e+00,2.393358e+01,4.879723e+01,2.197775e+01,-3.037367e+00,-1.315442e+01,-1.793987e+01,-1.945724e+01,-1.993793e+01,-1.216448e+01,-9.540981e+00,-1.571404e+01,-2.106134e+01,-2.346725e+01,-2.150574e+01,-1.712114e+01,-4.134323e+00,1.047457e+01,1.031123e+01,5.800568e+00,1.057662e+00,3.932680e+00,6.484254e+00,9.075216e+00,8.886734e+00
1.303065e+01,1.456753e+01,2.130622e+01,2.794420e+01,1.930078e+01,2.755462e+01,4.086548e+01,5.101942e+01,5.370147e+01,5.114993e+01,4.341337e+01,4.411359e+01,5.392894e+01,5.008920e+01,4.666623e+01,4.249107e+01,3.742201e+01,2.743142e+01,2.021898e+01,1.542702e+01,1.050976e+01,5.376536e+00,6.643681e+00,8.181304e+00,1.086508e+01,9.503671e+00
1.026791e+01,1.205895e+01,-2.397776e-01,-2.153880e+01,-3.642805e+01,-3.663605e+01,-2.631423e+01,-2.633939e+01,-3.405205e+01,-3.473911e+01,-3.590024e+01,-3.898800e+01,-4.306290e+01,-4.142917e+01,-3.869322e+01,-3.987329e+01,-3.463788e+01,-3.070184e+01,-2.733767e+01,-1.858611e+01,-1.496370e+01,-2.410439e+00,6.392519e+00,6.172299e+00,6.124926e+00,7.321200e+00
5.140928e+00,4.559694e+00,-5.089813e+00,-4.390490e-02,2.009932e+00,4.882237e+00,8.285456e+00,1.872775e+01,2.109152e+01,2.375378e+01,2.865099e+01,2.794779e+01,2.621801e+01,2.592862e+01,2.284185e+01,1.735426e+01,1.292637e+01,2.873685e+00,-8.533818e+00,-1.578741e+01,-1.706568e+01,-5.065248e+00,3.212019e+00,2.211495e+00,9.240967e-02,3.873491e+00
1.873359e+00,-2.145519e-01,7.983908e+00,6.836374e-01,3.759873e+00,9.820099e+00,1.270332e+01,7.704082e+00,7.582611e+00,1.374372e+01,1.743033e+01,1.727023e+01,1.509559e+01,1.569484e+01,2.039553e+01,1.998070e+01,1.818252e+01,1.329088e+01,4.720198e+00,8.785405e+00,1.051178e+01,4.200935e+00,7.492449e-01,3.216124e-01,-5.084694e-01,1.939908e+00
1.142787e+00,1.371020e-01,9.675300e+00,1.874130e+01,1.679684e+01,9.476854e-01,1.022288e+00,1.118330e+01,1.355323e+01,1.170402e+01,4.825069e+00,3.155550e+00,6.425941e+00,9.471476e+00,1.347994e+01,1.587023e+01,1.805913e+01,1.749447e+01,2.138219e+01,2.118829e+01,2.140667e+01,1.019358e+01,-2.914178e-01,1.827213e-01,2.067539e+00,9.274267e-01
1.764177e-01,1.383451e+00,-4.499359e+00,1.154114e+00,-8.390657e-01,-1.183368e+01,-2.614995e+01,-4.048398e+01,-4.268460e+01,-4.424531e+01,-4.362377e+01,-4.321703e+01,-4.225066e+01,-3.243816e+01,-1.973116e+01,-1.648868e+01,-1.883477e+01,-2.119420e+01,-1.996584e+01,-9.110332e+00,1.134881e+00,3.738193e+00,-2.390146e+00,-1.554683e+00,6.071959e-01,-1.728327e+00
-2.414511e+00,8.986652e-02,-1.010908e+01,-1.203261e+01,-3.761185e+00,-1.017647e+01,-2.059227e+01,-2.052664e+01,-1.778082e+01,-1.240071e+01,-8.873966e+00,-1.508821e+01,-2.186647e+01,-2.513625e+01,-2.438455e+01,-1.430997e+01,-9.461579e+00,-7.842965e+00,-1.218114e+01,-1.764212e+01,-1.676594e+01,-4.781782e+00,-6.349413e+00,-5.211483e+00,-5.517327e+00,-5.724574e+00
-4.762007e+00,-2.329554e+00,-4.971884e-01,-9.424752e+00,-9.761625e+00,-1.476192e+01,-2.626162e+01,-3.277765e+01,-3.648949e+01,-3.445628e+01,-2.756007e+01,-2.728458e+01,-3.260496e+01,-3.634856e+01,-3.787004e+01,-3.354002e+01,-2.827314e+01,-2.766341e+01,-2.219555e+01,-1.898074e+01,-1.371229e+01,-5.931048e+00,-9.518545e+00,-7.256782e+00,-9.137235e+00,-7.476968e+00
