Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.390162e+02,-5.325730e+02,-5.375778e+02,-5.400225e+02,-5.400225e+02,-5.190193e+02,-3.954327e+02,-3.378647e+02,-3.444284e+02,-3.856525e+02,-3.079374e+02,-1.861778e+02,-1.472345e+02,-1.595281e+02,-1.836548e+02,-1.623684e+02,-1.503154e+02,-1.888853e+02,-2.787612e+02,-3.753624e+02,-4.530381e+02,-5.138154e+02,-5.397458e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02,-5.400225e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.030561e-01,2.140880e+00,4.301975e-01,0.000000e+00,0.000000e+00,8.816722e+00,8.063075e+01,1.153764e+02,1.089938e+02,8.772821e+01,1.725305e+02,1.950418e+02,1.853402e+02,1.620337e+02,1.545061e+02,1.868530e+02,2.216130e+02,2.323014e+02,2.178215e+02,1.642892e+02,9.614899e+01,3.374655e+01,3.658636e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.065080e+00,-8.260715e+00,-3.177838e+00,0.000000e+00,0.000000e+00,-2.151392e+01,-8.917331e+01,-9.384757e+01,-8.708795e+01,-7.645202e+01,-2.600378e+01,-6.594362e+01,-8.200027e+01,-8.804731e+01,-7.491559e+01,-7.033326e+01,-5.683188e+01,-3.976301e+01,-6.848584e+00,2.420714e+01,3.607562e+01,2.476476e+01,2.934129e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.501337e-01,-3.769960e+00,-1.091730e+00,0.000000e+00,0.000000e+00,-1.733476e+01,-7.923331e+01,-7.170309e+01,-6.014481e+01,-6.340807e+01,-5.569159e+01,-3.109271e+01,-1.473447e+01,-5.362185e+00,-3.297327e+00,-2.784863e+01,-3.991983e+01,-5.891534e+01,-8.879214e+01,-6.948187e+01,-1.538774e+01,1.265475e+01,1.843942e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.817884e-01,4.986935e+00,2.512098e+00,0.000000e+00,0.000000e+00,7.938423e+00,4.831044e+00,4.430942e+00,4.146380e+00,-1.138273e+00,-3.254087e+01,-5.121680e+01,-6.039957e+01,-5.985910e+01,-6.224574e+01,-8.236337e+01,-8.939595e+01,-8.699319e+01,-8.209402e+01,-7.020636e+01,-3.318437e+01,5.960360e-01,5.449395e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.897189e-02,2.463899e+00,1.308780e+00,0.000000e+00,0.000000e+00,1.228652e+01,1.331975e+01,2.470076e+00,-1.231858e+00,1.822251e+00,-1.212578e+01,-1.476299e+01,-5.290266e+00,-1.658931e+00,-1.692260e+00,-8.922625e+00,-2.217542e+01,-3.393330e+01,-2.926838e+01,-2.479557e+01,-2.593476e+01,-8.695782e+00,-7.781084e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.662868e-01,-3.820317e+00,-1.838841e+00,0.000000e+00,0.000000e+00,-4.282366e+00,-1.516095e+01,-1.987546e+01,-1.915123e+01,-1.360702e+01,-5.770450e+00,-1.799349e-01,2.671653e+00,3.545400e+00,5.805836e+00,8.461572e+00,3.605010e+00,9.279013e-01,-4.709225e+00,-3.028282e+00,-1.794403e+01,-1.380249e+01,-1.940798e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.403134e-01,-1.134743e+00,-1.161740e+00,0.000000e+00,0.000000e+00,-7.542148e+00,-1.338858e+01,-1.724752e+01,-1.440804e+01,-7.903399e+00,-1.691917e+01,-2.398560e+01,-2.808875e+01,-3.125517e+01,-3.140772e+01,-3.198440e+01,-4.347256e+01,-4.696839e+01,-3.832767e+01,-2.209232e+01,-2.077606e+01,-1.485883e+01,-2.786946e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.298833e+00,4.302939e+00,1.444401e+00,0.000000e+00,0.000000e+00,7.513863e+00,8.010361e+00,3.317259e+00,3.749778e+00,4.625140e+00,-3.137931e+01,-3.417002e+01,-2.893075e+01,-2.935097e+01,-2.844464e+01,-2.705101e+01,-3.392039e+01,-4.001003e+01,-4.571503e+01,-4.460187e+01,-2.599946e+01,-1.319280e+01,-3.211636e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.382780e-01,1.658137e+00,9.561650e-01,0.000000e+00,0.000000e+00,1.123733e+01,1.741440e+01,1.925283e+01,1.924625e+01,1.720920e+01,-1.404150e+01,-1.699902e+01,-1.759596e+01,-1.609690e+01,-1.496944e+01,-1.620966e+01,-1.913611e+01,-1.967563e+01,-2.869020e+01,-4.028914e+01,-2.213417e+01,-1.057670e+01,-3.176398e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
