Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.989643e+02,-4.872148e+02,-4.845623e+02,-4.823242e+02,-4.829497e+02,-4.638242e+02,-3.586639e+02,-2.052887e+02,-1.181743e+02,-7.957687e+01,-7.629201e+01,-1.064383e+02,-1.222430e+02,-9.612034e+01,-9.383159e+01,-1.070262e+02,-1.419650e+02,-2.045677e+02,-2.809088e+02,-3.399968e+02,-3.904433e+02,-4.476530e+02,-4.861583e+02,-4.932662e+02,-4.897528e+02,-4.905750e+02,-4.905945e+02,-4.911461e+02,-4.902849e+02
2.296406e+01,3.557786e+01,3.833553e+01,4.017136e+01,3.985853e+01,6.439545e+01,1.275854e+02,1.288943e+02,9.296432e+01,5.452650e+01,3.538500e+01,3.322283e+01,2.157278e+01,2.243352e+01,4.438489e+01,8.194446e+01,1.142515e+02,1.385978e+02,1.544741e+02,1.474244e+02,1.196442e+02,7.004730e+01,3.608208e+01,3.101238e+01,3.518124e+01,3.264725e+01,3.154516e+01,3.104970e+01,3.261082e+01
1.389639e+01,1.926214e+01,1.994999e+01,1.961373e+01,1.975213e+01,3.771560e+01,7.466995e+00,-8.092130e+00,-1.644369e+01,-2.953540e+01,-3.455153e+01,-2.512363e+01,-2.178498e+01,-3.910307e+01,-4.789710e+01,-4.773641e+01,-3.795696e+01,-1.561538e+01,3.711138e+00,1.496008e+01,2.018886e+01,1.766972e+01,1.726848e+01,2.102270e+01,2.377978e+01,1.835033e+01,1.571380e+01,1.587931e+01,1.774818e+01
8.662090e+00,1.095197e+01,1.001393e+01,9.623928e+00,8.821499e+00,1.865236e+01,-6.562572e+00,-1.644781e+01,-1.590306e+01,-9.957645e+00,-7.858243e+00,-1.193071e+01,-2.083939e+01,-2.293016e+01,-3.032797e+01,-4.612623e+01,-5.543562e+01,-4.823363e+01,-4.016631e+01,-2.834748e+01,-2.388059e+01,-7.226837e+00,6.501602e+00,1.316540e+01,1.527546e+01,8.154297e+00,5.873847e+00,6.750356e+00,8.086567e+00
9.010494e+00,1.260500e+01,1.132357e+01,1.289358e+01,1.113118e+01,1.405502e+01,3.906649e+01,7.473439e-01,-2.342457e+01,-2.851416e+01,-3.531513e+01,-3.594204e+01,-2.915549e+01,-2.683911e+01,-2.212595e+01,-2.017017e+01,-2.973402e+01,-2.853679e+01,-5.811031e+00,9.038138e+00,-4.654938e-01,3.890080e+00,7.579841e+00,1.084822e+01,1.268985e+01,7.010198e+00,6.251864e+00,7.674525e+00,8.362256e+00
9.946023e+00,1.390034e+01,1.412397e+01,1.655862e+01,1.541063e+01,1.398776e+01,3.212250e+01,2.762487e+01,2.594527e+01,3.243553e+01,3.604061e+01,4.079493e+01,4.851060e+01,5.028237e+01,4.905478e+01,5.207776e+01,4.616689e+01,3.685374e+01,2.435256e+01,1.494795e+01,7.884255e+00,1.091612e+01,1.051123e+01,1.164571e+01,1.232118e+01,1.038866e+01,9.767882e+00,1.128639e+01,1.229698e+01
7.768203e+00,9.155237e+00,1.259659e+01,1.347182e+01,1.334109e+01,9.411974e+00,-2.045414e+01,-4.133813e+01,-4.352895e+01,-3.946646e+01,-3.917088e+01,-4.197426e+01,-3.312910e+01,-2.871771e+01,-3.235366e+01,-3.494802e+01,-3.353626e+01,-3.101751e+01,-2.388398e+01,-1.415639e+01,-5.375133e+00,2.424364e+00,8.390698e+00,1.193320e+01,1.095884e+01,1.207973e+01,9.899457e+00,1.077707e+01,1.249399e+01
4.059906e+00,3.291582e+00,9.370432e+00,9.005749e+00,8.343500e+00,2.413557e+00,-1.561563e+01,-9.528500e+00,5.834551e-01,1.094488e+01,1.525065e+01,2.347991e+01,3.665158e+01,3.216452e+01,2.772936e+01,2.044822e+01,1.719513e+01,6.532170e+00,-7.096130e+00,-1.624630e+01,-1.261763e+01,-3.213763e+00,5.204216e+00,1.072588e+01,9.744823e+00,1.106319e+01,7.805413e+00,7.685971e+00,9.054424e+00
1.546078e+00,1.513529e+00,6.773258e+00,7.858534e+00,5.705109e+00,-1.837437e+00,4.448351e+00,6.755665e+00,1.122388e+01,1.498597e+01,1.487278e+01,1.816637e+01,1.508087e+01,1.529862e+01,1.491664e+01,1.011889e+01,1.221195e+01,1.531393e+01,1.586084e+01,5.884116e+00,7.234201e+00,9.767130e+00,5.711240e+00,8.676049e+00,1.018200e+01,9.677968e+00,6.772749e+00,6.403973e+00,6.684209e+00
1.311446e-01,1.690645e+00,3.080230e+00,6.128176e+00,3.715374e+00,-4.172705e+00,1.065411e+01,1.669870e+01,2.345345e+01,3.172160e+01,2.975018e+01,2.342665e+01,1.328045e+01,1.910945e+01,2.457070e+01,2.355660e+01,2.599384e+01,2.439408e+01,2.194540e+01,1.798088e+01,1.788861e+01,1.998908e+01,6.444922e+00,5.859851e+00,1.020660e+01,8.397375e+00,5.653291e+00,6.242797e+00,6.653214e+00
