Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.166255e+02,-5.015938e+02,-4.918951e+02,-4.725652e+02,-3.394397e+02,-2.376487e+02,-1.796937e+02,-1.539814e+02,-1.188036e+02,-9.577650e+01,-9.732711e+01,-1.200981e+02,-1.479309e+02,-1.454629e+02,-1.292466e+02,-1.313088e+02,-1.581204e+02,-2.169081e+02,-2.837452e+02,-3.485667e+02,-4.070322e+02,-4.605250e+02,-4.678735e+02,-4.460826e+02,-4.430312e+02,-4.601291e+02,-4.925044e+02
2.527520e+01,3.986444e+01,5.298467e+01,7.244359e+01,1.387906e+02,1.423144e+02,1.132831e+02,8.111798e+01,6.363726e+01,5.277701e+01,4.497067e+01,4.509489e+01,5.444027e+01,5.022296e+01,5.392954e+01,6.987047e+01,9.973526e+01,1.320172e+02,1.442078e+02,1.409295e+02,1.132836e+02,7.341454e+01,5.781438e+01,5.626096e+01,5.895614e+01,6.060997e+01,4.408672e+01
1.688948e+01,1.924748e+01,3.020861e+01,3.856396e+01,-2.089170e+01,-2.326180e+01,-2.513885e+01,-2.975367e+01,-3.014302e+01,-3.899518e+01,-4.009933e+01,-3.664968e+01,-3.936988e+01,-3.362216e+01,-4.049783e+01,-5.167399e+01,-5.190186e+01,-3.873367e+01,-1.467273e+01,-5.803087e+00,5.639192e-01,1.231885e+01,3.456604e+00,-7.905937e+00,-8.235357e+00,-5.149031e-01,1.104860e+01
1.061190e+01,7.755195e+00,1.532141e+01,2.479877e+01,-2.537817e+01,-3.326548e+01,-2.568153e+01,-2.362802e+01,-2.140332e+01,-2.143712e+01,-2.519910e+01,-2.014886e+01,-1.707530e+01,-1.604936e+01,-1.978568e+01,-3.305936e+01,-4.032121e+01,-4.448231e+01,-3.232473e+01,-2.481390e+01,-2.450647e+01,-9.351063e+00,1.413837e+00,-6.099465e-01,-4.849769e+00,-7.995813e+00,8.840178e-01
8.537415e+00,8.830364e+00,1.349072e+01,2.855468e+01,4.470161e+01,1.411238e+01,-1.445975e+01,-2.273689e+01,-1.615968e+01,-1.454443e+01,-1.926567e+01,-1.896999e+01,-9.631590e+00,-9.677362e+00,-1.033476e+01,-1.134481e+01,-1.126990e+01,-4.641928e+00,6.619894e+00,1.796331e+01,1.042013e+01,5.075009e+00,2.111396e+01,3.364848e+01,3.483322e+01,2.238353e+01,1.138151e+01
8.232329e+00,1.146665e+01,1.405959e+01,2.416546e+01,3.811547e+01,4.071471e+01,4.199059e+01,3.895803e+01,4.389151e+01,5.169360e+01,5.523501e+01,5.056514e+01,4.761865e+01,5.758125e+01,5.568806e+01,4.663288e+01,3.933105e+01,3.763914e+01,2.617056e+01,1.772959e+01,1.656119e+01,1.264322e+01,1.860530e+01,1.112516e+01,1.646341e+01,2.332506e+01,1.678557e+01
7.767710e+00,8.778954e+00,8.027419e+00,7.266666e+00,-1.864727e+01,-3.714579e+01,-4.076468e+01,-3.729240e+01,-2.917933e+01,-2.395553e+01,-2.540787e+01,-3.136271e+01,-3.064864e+01,-2.938516e+01,-2.909371e+01,-3.306643e+01,-3.948503e+01,-3.631659e+01,-2.309689e+01,-7.487782e+00,-2.258650e+00,6.157854e+00,1.217400e+01,8.556544e+00,1.009605e+01,9.856380e+00,1.038593e+01
7.376188e+00,4.582219e+00,-1.661816e+00,-4.619485e+00,-6.332175e+00,-3.226967e+00,4.709548e+00,1.368477e+01,1.558623e+01,1.906936e+01,2.265185e+01,3.098662e+01,3.208160e+01,3.019223e+01,2.396070e+01,2.248651e+01,1.541166e+01,1.114116e+01,8.129721e+00,5.471237e-01,-5.469087e-02,7.931187e+00,1.133424e+01,1.132233e+01,1.009500e+01,3.627897e+00,4.001197e+00
6.740551e+00,3.163667e+00,-7.890598e+00,-5.335115e+00,7.562003e+00,7.867383e+00,1.333456e+01,1.525415e+01,1.679805e+01,1.634623e+01,1.647576e+01,1.882301e+01,1.636982e+01,1.665673e+01,1.921201e+01,1.936075e+01,1.789189e+01,1.966164e+01,1.745825e+01,8.167135e+00,1.598434e+01,1.802535e+01,6.091484e+00,1.483637e+00,-6.676795e-01,-7.108275e-01,1.931268e+00
4.473269e+00,2.527802e+00,-9.487043e+00,-6.269573e+00,1.365322e+01,1.293427e+01,1.350091e+01,1.221788e+01,1.381933e+01,1.369349e+01,1.633525e+01,1.452444e+01,5.319947e+00,1.870508e+00,1.076533e+01,1.865234e+01,1.939711e+01,1.382023e+01,1.836743e+01,1.563699e+01,1.537839e+01,1.612457e+01,5.084483e+00,-3.870315e-01,-1.977444e-01,1.213310e-01,-2.923998e-01
1.206586e+00,-5.110180e-02,-9.724937e+00,-1.222687e+01,-9.035585e+00,-1.736255e+01,-1.997691e+01,-1.336608e+01,-6.706569e+00,-1.712725e+01,-2.461934e+01,-2.770374e+01,-2.993341e+01,-3.397021e+01,-2.434995e+01,-1.475963e+01,-1.449569e+01,-1.100560e+01,-1.233171e+01,-9.104668e+00,-2.847481e+00,1.277749e-01,4.062188e+00,7.427455e+00,5.430913e+00,-2.177990e+00,-2.116813e+00
9.162687e-02,-2.452271e+00,-9.753325e+00,-1.394331e+01,-1.660851e+01,-9.605187e+00,-8.463718e+00,-1.120164e+01,-2.103536e+01,-2.991930e+01,-2.902497e+01,-1.770234e+01,-1.174255e+01,-2.466168e+01,-3.246958e+01,-2.968163e+01,-2.692107e+01,-2.588090e+01,-2.078684e+01,-1.582320e+01,-1.448762e+01,-1.145494e+01,-5.721820e+00,8.267204e-02,9.922150e-01,1.497018e-01,-4.036022e-01
2.501886e+00,-1.196915e+00,-8.276430e+00,-7.055024e+00,-4.405917e+00,-7.473605e+00,-1.458137e+01,-1.919173e+01,-2.410652e+01,-2.517411e+01,-2.266594e+01,-1.548901e+01,-7.854126e+00,-1.262019e+01,-1.867042e+01,-2.328575e+01,-2.858956e+01,-2.707496e+01,-2.042075e+01,-1.813734e+01,-1.338895e+01,-9.296220e+00,-1.114113e+01,-1.620704e+01,-1.369348e+01,-1.928846e+00,2.050101e+00
