Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23
-4.051407e+02,-3.459437e+02,-3.249490e+02,-2.661825e+02,-1.944714e+02,-1.578396e+02,-1.361238e+02,-1.118087e+02,-8.905152e+01,-7.712921e+01,-4.806783e+01,-1.613482e+01,-1.455448e+01,-4.688937e+01,-1.113294e+02,-1.859660e+02,-2.633152e+02,-3.383663e+02,-3.795327e+02,-4.053496e+02,-4.142235e+02,-4.203365e+02,-4.275038e+02
1.062750e+02,1.112698e+02,1.156469e+02,1.266771e+02,1.524581e+02,1.673069e+02,1.565894e+02,1.388622e+02,1.224064e+02,1.147801e+02,9.637793e+01,9.362344e+01,9.715457e+01,1.093632e+02,1.204576e+02,1.302820e+02,1.331210e+02,1.272608e+02,1.195824e+02,1.073191e+02,1.043423e+02,1.050158e+02,1.055885e+02
-1.892393e+01,-8.067125e+00,-3.175650e+00,-1.797416e+01,-4.238126e+01,-3.926507e+01,-2.102541e+01,-1.900305e+01,-2.720361e+01,-3.577957e+01,-3.245742e+01,-2.386666e+01,-1.490508e+01,1.178721e-01,6.895600e+00,2.364426e+00,-3.041765e+00,-1.571344e+01,-1.695031e+01,-1.219787e+01,-4.677869e+00,1.449324e+00,5.144856e+00
7.266213e+00,5.099803e+00,4.791797e+00,6.983669e+00,6.929420e+00,9.251328e+00,5.086366e-01,-1.308697e+00,7.115941e+00,7.693924e+00,-1.201455e+01,-3.939134e+01,-5.050497e+01,-4.731923e+01,-4.343723e+01,-2.897767e+01,-1.936060e+01,-1.261840e+01,-4.661228e+00,-1.571580e+00,4.180968e+00,2.223608e+00,5.238102e+00
2.779740e+01,2.656468e+01,2.210425e+01,1.737159e+01,1.583985e+01,4.303510e+00,-1.159978e+01,-1.901407e+01,-2.316080e+01,-2.388514e+01,-2.908973e+01,-3.285991e+01,-3.667339e+01,-3.122915e+01,-1.978129e+01,-1.285215e+01,-5.162187e+00,5.232321e+00,1.628809e+01,1.745033e+01,1.712201e+01,1.877850e+01,1.767582e+01
1.138880e+01,1.375860e+01,1.314127e+01,2.616193e+01,3.042516e+01,3.105997e+01,3.423595e+01,4.848755e+01,6.645766e+01,7.436145e+01,7.739253e+01,7.070825e+01,6.334685e+01,5.271249e+01,3.915288e+01,1.624574e+01,9.685205e+00,3.091980e+00,1.414023e+00,9.169150e+00,1.055093e+01,1.275125e+01,7.883008e+00
7.249546e+00,5.733880e+00,7.691201e+00,7.033638e+00,-1.059089e+01,-2.366855e+01,-3.045236e+01,-3.097310e+01,-3.531649e+01,-3.864053e+01,-4.347481e+01,-4.956173e+01,-4.833901e+01,-4.597939e+01,-3.778573e+01,-2.879815e+01,-1.866379e+01,-1.978220e+00,7.126224e+00,1.611224e+01,1.876089e+01,2.022836e+01,1.595327e+01
-6.139359e-01,-7.142550e-01,6.005701e+00,1.021045e+01,-1.788931e+01,-2.878904e+01,-7.982104e+00,1.262786e+01,1.632790e+01,1.556884e+01,1.902500e+01,2.253577e+01,2.077814e+01,1.696932e+01,1.780270e+01,1.062175e+01,-1.984375e+00,-6.865767e+00,-5.946807e-01,6.922379e+00,2.318697e+00,-1.122532e+00,1.810352e+00
1.740606e+00,-4.296334e+00,-5.996942e+00,-5.932162e+00,-4.223839e+00,-2.941036e+00,-6.116619e-01,5.472806e+00,3.371432e+00,-3.966355e-01,-5.798746e+00,-5.589782e+00,-4.051496e+00,2.175054e+00,3.187648e+00,1.220325e+00,2.708529e+00,1.166326e+01,9.067410e+00,1.409617e+01,8.409985e+00,7.067472e+00,8.416500e+00
1.904068e+00,4.401287e-01,1.625207e+00,9.629532e+00,1.753176e+01,1.745059e+01,1.045142e+01,1.325709e+01,1.820131e+01,1.794163e+01,1.815953e+01,1.938214e+01,2.149823e+01,2.867313e+01,2.436467e+01,1.700169e+01,1.593629e+01,1.512663e+01,5.353096e+00,-6.952155e-02,-1.832420e+00,2.607909e+00,3.383281e+00
-1.741356e+01,-1.916713e+01,-1.663176e+01,-1.236275e+01,-1.703655e+01,-1.673259e+01,-1.779223e+01,-1.418804e+01,-1.444731e+01,-1.473809e+01,-1.869319e+01,-1.671494e+01,-1.189693e+01,-7.562679e+00,-8.047695e+00,-7.358523e+00,7.671118e-01,3.121255e+00,-6.596608e-01,-5.490011e+00,-2.651031e+00,-2.162410e+00,-8.712203e+00
-3.826340e+00,2.875324e-01,-5.159197e+00,-1.461404e+00,-4.161132e+00,-5.031014e+00,-8.212398e+00,-1.156830e+01,-1.142661e+01,-9.694933e+00,-6.866144e+00,-9.846863e+00,-8.536991e+00,-7.911134e+00,-1.068134e+01,-1.037018e+01,-8.909502e+00,-1.390175e+01,-1.560670e+01,-8.681906e+00,-2.719505e+00,-8.934905e+00,-1.145756e+01
7.354218e-01,-2.355662e+00,-1.060632e+01,-8.643731e+00,-6.122499e+00,-8.746813e+00,-1.153562e+01,-9.672852e+00,-4.696948e+00,-5.122224e+00,-3.993121e+00,-7.250230e+00,-9.744663e+00,-1.341601e+01,-1.411582e+01,-1.422498e+01,-1.556435e+01,-1.789809e+01,-1.387450e+01,-6.626333e+00,-3.906374e+00,-5.912572e+00,-2.812630e+00
