Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.536184e+02,-5.248866e+02,-5.145461e+02,-5.038878e+02,-4.070807e+02,-2.645423e+02,-1.811227e+02,-1.089210e+02,-6.413427e+01,-6.816914e+01,-5.951823e+01,-2.515888e+01,-2.885601e+01,-5.640714e+01,-1.050357e+02,-1.821658e+02,-2.691245e+02,-3.498802e+02,-4.196502e+02,-4.746404e+02,-4.958736e+02,-5.041635e+02,-5.087184e+02,-5.116868e+02,-4.992837e+02,-4.927310e+02,-4.921649e+02,-4.935710e+02,-5.002733e+02,-5.263964e+02
5.994269e+01,8.174599e+01,8.666299e+01,9.759718e+01,1.053674e+02,1.061721e+02,1.005464e+02,6.504809e+01,3.791228e+01,2.497124e+01,1.896460e+01,4.384449e+01,6.910964e+01,8.868375e+01,1.034412e+02,1.147827e+02,1.359220e+02,1.500845e+02,1.340743e+02,1.030208e+02,8.741200e+01,7.988554e+01,7.509387e+01,7.549154e+01,7.997086e+01,8.191647e+01,8.600241e+01,8.954005e+01,8.690546e+01,7.271240e+01
1.615635e+01,1.708205e+01,2.087515e+01,2.866467e+01,-1.688994e+01,-2.819788e+01,-2.667741e+01,-3.039058e+01,-4.203979e+01,-3.358128e+01,-4.132468e+01,-6.113451e+01,-5.040695e+01,-3.789470e+01,-3.478345e+01,-2.659040e+01,-1.182543e+01,-5.976471e+00,-5.804163e+00,2.139713e+00,1.207867e+00,-2.789097e+00,-6.386782e+00,-3.896152e+00,-1.620605e+01,-2.570271e+01,-2.124798e+01,-1.506005e+01,-1.190848e+01,-4.895030e-01
1.606888e+00,6.704945e+00,1.188971e+01,1.709652e+01,4.582718e+00,1.057202e+00,-6.854236e+00,-1.492488e+01,-2.195705e+01,-2.287546e+01,-2.955556e+01,-5.225572e+01,-6.354226e+01,-5.623386e+01,-4.712077e+01,-3.074220e+01,-1.897748e+01,-1.578678e+01,-1.659274e+01,-8.540642e+00,-9.523509e+00,-6.632611e+00,-4.533023e+00,-1.176120e+00,-4.715384e+00,-1.058588e+01,-1.109525e+01,-1.046802e+01,-8.779593e+00,-3.406794e+00
1.176519e+01,1.982370e+01,1.644770e+01,2.140785e+01,5.416478e+01,2.428734e+01,-1.463665e+01,-2.418179e+01,-2.169061e+01,-2.084561e+01,-1.850949e+01,-2.417220e+01,-3.783133e+01,-4.131739e+01,-3.795727e+01,-3.468796e+01,-2.903792e+01,-1.633669e+01,-5.981002e+00,-4.303425e+00,-4.312750e+00,-5.757247e-01,3.758503e+00,8.156688e+00,1.654852e+01,2.151046e+01,2.197071e+01,2.301673e+01,2.703210e+01,2.307489e+01
1.477980e+01,1.514508e+01,1.737238e+01,2.884289e+01,4.598496e+01,3.948989e+01,4.013091e+01,5.100654e+01,5.540729e+01,5.967551e+01,7.259869e+01,7.160365e+01,6.293145e+01,5.651311e+01,5.938879e+01,6.297812e+01,5.385145e+01,4.006592e+01,2.535467e+01,1.975446e+01,2.429296e+01,2.057417e+01,1.766572e+01,1.342450e+01,1.402963e+01,1.757369e+01,1.888062e+01,1.866931e+01,2.284930e+01,2.074347e+01
6.274115e+00,2.327596e+00,1.723192e+00,8.491367e+00,-9.785685e+00,-4.775797e+01,-5.910114e+01,-5.833345e+01,-5.198750e+01,-4.978889e+01,-4.549403e+01,-4.893145e+01,-5.613171e+01,-5.626135e+01,-5.445334e+01,-5.005009e+01,-3.640009e+01,-1.053510e+01,-6.322781e-01,5.903409e+00,1.954748e+01,2.454805e+01,2.214257e+01,1.742296e+01,1.433975e+01,1.378652e+01,1.201642e+01,8.388561e+00,8.077702e+00,6.259893e+00
1.768902e+00,-1.149101e+00,-7.206917e+00,-5.025786e+00,-1.321234e+01,-1.399279e+00,1.290585e+01,2.191800e+01,2.677863e+01,2.726000e+01,3.478693e+01,3.673884e+01,3.196570e+01,2.748565e+01,2.274620e+01,1.797885e+01,1.098462e+01,-2.889133e+00,-8.907726e+00,-7.794238e+00,2.414437e+00,4.383640e+00,6.921840e-01,9.861691e-01,-2.035916e+00,-2.829038e+00,-2.897092e+00,1.450976e+00,3.026884e+00,2.430726e-01
2.567719e+00,-1.129990e+00,-7.209640e-01,5.677850e+00,3.881721e+00,-1.027045e+01,-1.132462e+01,-6.133620e+00,-3.177022e+00,-5.157660e+00,-8.199211e+00,-8.528351e+00,-5.551349e+00,-4.233265e+00,-1.296530e+00,5.755686e+00,1.201113e+01,1.689894e+01,1.671491e+01,1.523205e+01,9.583532e+00,2.913398e-01,-5.123949e+00,-8.359225e+00,-1.305242e+01,-1.515383e+01,-1.423513e+01,-7.623977e+00,-3.795343e+00,-3.505832e+00
6.670365e-01,-3.797753e+00,-7.297827e+00,-7.364745e+00,1.701051e+01,1.839935e+01,1.889463e+01,1.920946e+01,2.110916e+01,1.949952e+01,1.585236e+01,1.230964e+01,1.427685e+01,2.005323e+01,2.802832e+01,2.939927e+01,1.477963e+01,6.196849e+00,8.803481e+00,6.859082e+00,6.404451e-01,-9.308462e-01,-9.239941e-01,-1.963871e+00,6.139858e+00,6.634638e+00,5.433295e+00,4.290998e+00,1.449929e-01,-3.030276e+00
