Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-4.809347e+02,-4.549328e+02,-4.656066e+02,-4.806277e+02,-4.892435e+02,-4.965316e+02,-4.872701e+02,-4.775519e+02,-4.267438e+02,-2.976530e+02,-2.303845e+02,-2.074433e+02,-2.031384e+02,-1.984085e+02,-1.956445e+02,-1.942252e+02,-1.985893e+02,-1.933733e+02,-1.879618e+02,-1.964222e+02,-1.937478e+02,-1.659574e+02,-1.386956e+02,-1.017964e+02,-7.164703e+01,-6.236277e+01,-1.033362e+02,-1.815095e+02,-2.656615e+02,-3.455203e+02,-4.092791e+02,-4.528046e+02,-4.833362e+02,-4.903757e+02,-4.851910e+02,-4.838839e+02,-4.945843e+02,-4.963583e+02,-4.962029e+02,-5.008534e+02,-5.177178e+02
7.438107e+01,8.842474e+01,8.352131e+01,7.436469e+01,6.924120e+01,6.660034e+01,7.962338e+01,9.052080e+01,1.036951e+02,1.463206e+02,1.487056e+02,1.329864e+02,1.211775e+02,1.186595e+02,1.208517e+02,1.141412e+02,1.106879e+02,1.139185e+02,1.175864e+02,1.262448e+02,1.260320e+02,1.196881e+02,1.258491e+02,1.411910e+02,1.402486e+02,1.403870e+02,1.394332e+02,1.534381e+02,1.661225e+02,1.573530e+02,1.312541e+02,1.014203e+02,8.269280e+01,8.200256e+01,9.068792e+01,8.964629e+01,7.517635e+01,7.177002e+01,7.489880e+01,6.810399e+01,5.494264e+01
3.907752e+00,3.463930e+00,1.806060e+00,-3.948099e-01,3.477010e+00,7.976409e+00,2.040055e+01,2.877773e+01,-4.764728e+00,-4.545422e+01,-4.818604e+01,-3.565391e+01,-2.994885e+01,-3.093732e+01,-3.262862e+01,-3.352704e+01,-3.493224e+01,-3.465506e+01,-3.993461e+01,-4.308078e+01,-4.946189e+01,-6.793118e+01,-8.197221e+01,-1.067129e+02,-1.273426e+02,-1.354489e+02,-1.108284e+02,-5.569347e+01,-3.245081e+01,-2.331082e+01,-1.556297e+01,-4.832512e+00,9.171555e+00,1.911738e+01,2.734533e+01,2.350437e+01,1.433136e+01,1.010885e+01,1.431674e+01,1.045917e+01,1.189748e+01
8.088105e-01,8.641714e+00,3.895267e+00,-1.589251e+00,5.672330e-01,-2.707455e+00,8.083617e+00,1.699694e+01,2.929057e+01,2.205693e+01,8.142714e+00,-5.763966e+00,-1.410801e+01,-1.804774e+01,-1.298853e+01,-8.370691e+00,-1.646320e+01,-1.907844e+01,-1.269349e+01,-1.417060e+01,-2.239437e+01,-2.152984e+01,-1.807262e+01,-3.070899e+01,-3.346950e+01,-3.003735e+01,-1.973561e+01,-1.496093e+01,-1.519600e+01,-2.500780e+01,-2.989196e+01,-2.215568e+01,-7.836134e+00,-1.521138e+00,3.002512e+00,2.261599e+00,6.153998e-01,-2.790239e+00,-3.345818e+00,-2.646369e+00,-3.919246e-01
1.253622e+01,9.970148e+00,1.046960e+01,1.318305e+01,1.448773e+01,5.836650e+00,1.324636e+01,1.832979e+01,4.572269e+01,3.985764e+01,1.223311e+01,-6.186963e+00,-1.134589e+01,-1.591295e+01,-1.479574e+01,-1.560492e+01,-1.201523e+01,-1.007069e+01,-4.737687e+00,3.376688e+00,6.203474e+00,-2.328612e+00,-6.048548e+00,-8.194061e+00,-1.488278e+01,-2.191204e+01,-1.694556e+01,-3.471077e+00,1.996135e+01,1.715790e+01,1.066334e+01,4.431097e+00,8.901138e+00,1.025535e+01,1.383806e+01,1.764725e+01,1.623954e+01,1.402303e+01,1.247267e+01,1.256141e+01,1.152672e+01
1.881454e+01,1.504592e+01,1.007830e+01,1.294235e+01,1.788148e+01,1.640621e+01,1.866820e+01,1.657846e+01,1.093456e+01,-1.375438e+01,-2.274195e+00,1.812791e+01,2.639455e+01,2.601659e+01,2.870671e+01,3.430297e+01,3.617594e+01,3.607394e+01,3.469872e+01,3.020065e+01,2.905386e+01,3.466312e+01,4.120009e+01,4.057108e+01,4.232320e+01,4.547336e+01,4.967321e+01,4.778149e+01,3.434766e+01,1.773006e+01,1.652692e+01,1.133505e+01,1.367510e+01,1.500297e+01,1.787035e+01,2.298213e+01,1.912743e+01,1.798375e+01,1.992227e+01,1.801523e+01,1.890170e+01
9.357163e+00,1.240058e+01,1.128328e+01,1.304532e+01,1.083194e+01,1.087623e+01,1.038908e+01,5.785026e+00,-5.650328e+00,-2.611568e+01,-3.476086e+01,-3.123608e+01,-2.435201e+01,-2.595734e+01,-2.425579e+01,-2.308412e+01,-2.366129e+01,-2.133644e+01,-2.221849e+01,-2.532319e+01,-2.620340e+01,-2.499615e+01,-2.663465e+01,-2.632024e+01,-2.701242e+01,-3.062770e+01,-2.824510e+01,-1.469445e+01,-5.928854e+00,6.397817e+00,1.595290e+01,1.450781e+01,1.321189e+01,1.020584e+01,5.895446e+00,9.510805e+00,1.183240e+01,1.289261e+01,1.434960e+01,1.450921e+01,1.612843e+01
8.295758e-01,-5.383389e+00,3.250176e+00,1.453179e+01,5.559952e+00,1.834111e-01,6.542002e-01,-2.430722e+00,-1.854277e+00,-8.981168e+00,-5.014784e+00,-6.723411e+00,-2.290453e+00,2.720397e+00,4.488986e+00,8.223953e+00,1.131475e+01,1.229676e+01,1.525375e+01,8.703693e+00,6.094214e+00,1.214132e+01,1.917641e+01,1.958267e+01,1.891704e+01,2.122632e+01,2.260389e+01,2.690466e+01,2.703345e+01,2.339893e+01,2.136894e+01,2.020392e+01,1.553475e+01,8.872635e+00,-3.426057e+00,-3.350888e+00,7.705529e+00,1.263888e+01,1.090617e+01,1.009498e+01,8.719513e+00
1.461333e+01,6.427171e+00,4.611142e+00,1.042303e+01,9.191102e+00,7.825893e+00,5.375396e+00,3.152598e+00,8.879354e+00,9.866943e+00,2.066610e+01,2.600967e+01,2.628938e+01,2.256602e+01,2.033026e+01,1.444222e+01,1.187095e+01,8.775316e+00,1.368797e+01,2.330665e+01,2.052520e+01,1.761108e+01,1.918185e+01,1.141874e+01,7.108721e+00,6.225354e+00,4.176586e+00,2.550467e+00,1.340871e+00,6.644270e+00,1.410290e+01,1.283160e+01,1.030973e+01,9.134703e+00,-3.276326e+00,-5.476661e+00,5.676158e+00,1.293340e+01,1.008904e+01,2.797665e+00,4.604781e-02
1.397615e+01,9.236596e+00,1.699425e+00,-2.059651e+00,-6.936228e-02,4.154689e+00,-4.242667e+00,-6.488561e+00,-1.056016e+00,6.314087e+00,9.632378e+00,1.583054e+01,1.757815e+01,1.147558e+01,1.052681e+01,1.066070e+01,1.462751e+01,1.540317e+01,1.379689e+01,1.595143e+00,2.703053e+00,2.689179e+00,-3.040597e+00,-4.511779e+00,-4.835116e+00,-1.047690e+01,-1.576622e+01,-1.221858e+01,-2.837656e+00,-4.193195e+00,-1.800743e+00,7.591530e-01,2.030391e+00,5.816458e+00,-1.745691e+00,-9.671938e-01,5.536215e+00,9.917833e+00,6.311970e+00,-4.979650e-01,-3.532647e+00
