Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-5.367168e+02,-5.166566e+02,-5.121077e+02,-5.121662e+02,-5.020942e+02,-3.888338e+02,-2.981761e+02,-2.595229e+02,-2.202066e+02,-2.004231e+02,-2.003367e+02,-2.016921e+02,-1.997523e+02,-1.974622e+02,-1.986604e+02,-1.896198e+02,-1.776440e+02,-1.687193e+02,-1.607308e+02,-1.566154e+02,-1.555368e+02,-1.415419e+02,-1.300820e+02,-1.213325e+02,-9.224429e+01,-6.291249e+01,-5.677942e+01,-9.103099e+01,-1.269642e+02,-1.669735e+02,-2.124191e+02,-2.753842e+02,-3.578469e+02,-4.232531e+02,-4.809547e+02,-5.192302e+02,-5.256624e+02,-5.269694e+02,-5.261223e+02,-5.251653e+02,-5.250237e+02,-5.245640e+02,-5.256600e+02,-5.243973e+02,-5.231440e+02,-5.192828e+02,-5.213397e+02
5.046997e+01,6.953650e+01,7.533258e+01,7.525130e+01,7.163647e+01,9.812817e+01,1.227330e+02,1.268540e+02,1.060573e+02,8.765308e+01,7.723665e+01,7.278094e+01,6.852160e+01,6.645145e+01,6.404368e+01,5.995910e+01,5.890515e+01,5.126607e+01,4.923216e+01,5.047028e+01,4.729299e+01,4.919411e+01,5.074162e+01,5.520845e+01,5.617228e+01,5.110923e+01,4.708527e+01,4.796462e+01,5.867238e+01,8.267529e+01,1.171278e+02,1.267285e+02,1.310440e+02,1.203048e+02,8.509464e+01,6.155294e+01,5.909559e+01,5.753216e+01,5.987838e+01,5.862277e+01,5.617757e+01,5.608556e+01,5.788690e+01,5.938680e+01,5.891386e+01,6.185336e+01,6.293940e+01
2.461845e+01,2.719184e+01,3.279611e+01,3.368054e+01,1.510291e+01,-2.853497e+01,-1.948016e+01,-9.675232e+00,-1.256201e+01,-1.112898e+01,-5.806505e-01,4.396400e+00,3.504182e+00,7.327861e+00,5.205218e+00,-4.976004e-01,4.985014e-01,-3.171891e+00,-6.829781e+00,-9.931087e+00,-1.203310e+01,-1.402664e+01,-1.438334e+01,-2.580277e+01,-6.120298e+01,-8.143393e+01,-8.137401e+01,-6.324340e+01,-6.254644e+01,-6.298032e+01,-6.545235e+01,-6.020076e+01,-5.245835e+01,-3.306183e+01,-9.225295e+00,1.405507e+01,2.191188e+01,2.200111e+01,2.552015e+01,2.205533e+01,1.725857e+01,1.657010e+01,2.131562e+01,2.136155e+01,1.761778e+01,1.708631e+01,2.272276e+01
7.735965e+00,3.810551e+00,1.074893e+01,1.409811e+01,1.428125e+01,6.356172e+00,-1.892601e+00,-4.533059e+00,-9.919760e+00,-1.048087e+01,-1.319196e+01,-2.069386e+01,-2.076246e+01,-2.350447e+01,-3.148578e+01,-3.441734e+01,-3.056449e+01,-3.023520e+01,-3.200363e+01,-3.272852e+01,-3.333745e+01,-3.379599e+01,-3.735073e+01,-3.471958e+01,-3.638232e+01,-3.714740e+01,-3.183633e+01,-3.121177e+01,-3.091853e+01,-2.313911e+01,-1.425551e+01,-2.180293e+01,-3.567331e+01,-4.859539e+01,-3.412091e+01,-5.722754e+00,3.247896e+00,5.550387e+00,7.794312e+00,8.429239e+00,6.696705e+00,6.901869e+00,8.059247e+00,5.633303e+00,2.347682e+00,2.356279e+00,4.589703e+00
5.308206e+00,5.656694e+00,1.252983e+01,1.764112e+01,3.063917e+01,6.236859e+01,3.482242e+01,6.729058e+00,-1.378572e+01,-1.044708e+01,-9.330236e+00,-3.889175e+00,-9.470033e-01,-8.264871e-01,2.662119e+00,-3.885037e-02,-1.886116e+00,-6.366115e-01,5.757174e+00,8.297421e+00,8.177403e+00,1.512423e+01,1.755904e+01,1.859885e+01,1.484864e+01,8.417953e+00,6.667594e+00,4.237383e+00,4.722324e+00,5.843513e+00,6.096604e+00,1.365433e+01,1.451544e+01,4.467699e+00,-4.421146e+00,3.982125e+00,7.290696e+00,9.063463e+00,9.079571e+00,1.479342e+01,1.606460e+01,1.661030e+01,1.551017e+01,1.176849e+01,1.119705e+01,1.320130e+01,9.775899e+00
6.725966e+00,1.187599e+01,1.584415e+01,1.984928e+01,1.908477e+01,-1.287868e+01,-1.384084e+01,9.038826e+00,2.885102e+01,2.860570e+01,3.104503e+01,3.168476e+01,3.424837e+01,3.409467e+01,3.104693e+01,2.884357e+01,2.693398e+01,2.784562e+01,3.303978e+01,3.086852e+01,2.509492e+01,2.500941e+01,2.651437e+01,2.819024e+01,2.831575e+01,2.887312e+01,3.348177e+01,3.857767e+01,4.438310e+01,4.307838e+01,3.874088e+01,3.170396e+01,1.229411e+01,9.415988e+00,1.135262e+01,1.454162e+01,1.355098e+01,1.216418e+01,1.102672e+01,1.588149e+01,1.565652e+01,1.468183e+01,1.822073e+01,1.561350e+01,1.532409e+01,1.625100e+01,1.363609e+01
4.633768e+00,9.676399e+00,1.168609e+01,1.285458e+01,7.076265e+00,-3.031202e+01,-4.453091e+01,-5.152481e+01,-5.108707e+01,-4.933303e+01,-4.093247e+01,-3.122665e+01,-3.084249e+01,-2.896507e+01,-3.024826e+01,-3.211676e+01,-4.100120e+01,-4.917113e+01,-4.525721e+01,-4.371150e+01,-4.874532e+01,-5.031361e+01,-4.454226e+01,-3.115540e+01,-2.171420e+01,-2.789413e+01,-3.375526e+01,-3.306442e+01,-2.944167e+01,-2.978935e+01,-3.195242e+01,-2.154853e+01,-8.712731e+00,2.710963e-01,1.089071e+01,1.580235e+01,1.169872e+01,8.623647e+00,7.165234e+00,8.156520e+00,6.200906e+00,4.212910e+00,1.160113e+01,1.139022e+01,9.016279e+00,7.510519e+00,8.780008e+00
2.183652e+00,3.745367e+00,6.999995e+00,6.135764e+00,1.175611e+01,1.225468e+01,1.806211e+01,1.915178e+01,2.093622e+01,2.419453e+01,2.505008e+01,2.584423e+01,2.614260e+01,1.709871e+01,1.772856e+01,2.001524e+01,2.177787e+01,2.381461e+01,2.610451e+01,2.633770e+01,2.859315e+01,2.806006e+01,3.011432e+01,3.024406e+01,3.063111e+01,3.507884e+01,3.872915e+01,4.446939e+01,4.440724e+01,3.993147e+01,3.387497e+01,2.726126e+01,2.410253e+01,1.929469e+01,2.070659e+01,1.534892e+01,7.889930e+00,6.173503e+00,4.685851e+00,4.425724e+00,3.714805e+00,2.796072e+00,6.968410e+00,9.091724e+00,6.417871e+00,5.049941e+00,5.929785e+00
2.644630e+00,7.342764e-01,4.432967e+00,2.968525e+00,8.479394e+00,-1.082863e+01,-1.199023e+01,-4.639297e+00,2.235207e+00,1.096548e+01,9.189701e+00,7.243082e+00,6.803202e+00,-3.267610e-01,1.445983e+00,5.182278e+00,3.046635e+00,2.219781e+00,5.957417e+00,4.746758e+00,3.503253e+00,1.006857e+00,-3.504098e+00,-2.167350e+00,3.354867e-01,-4.168123e+00,-7.101665e+00,-1.036999e+01,-1.434561e+01,-1.635614e+01,-9.687845e+00,1.238560e+00,1.299601e+01,2.514843e+01,2.486744e+01,1.274780e+01,6.645833e+00,6.895761e+00,5.429520e+00,5.632414e+00,6.883947e+00,7.003506e+00,5.286114e+00,9.004362e+00,8.884066e+00,9.152382e+00,7.237921e+00
2.449367e+00,-5.404729e-01,-8.040190e-02,-1.330576e+00,-5.569871e+00,1.904256e+00,9.954015e+00,1.109037e+01,1.980462e+01,2.462871e+01,1.729515e+01,1.801406e+01,2.011878e+01,2.176303e+01,2.363266e+01,1.997860e+01,1.386387e+01,1.018750e+01,1.478538e+01,1.233414e+01,9.961264e+00,1.432906e+01,1.141571e+01,1.345644e+01,1.566562e+01,9.444004e+00,4.230203e+00,-2.093619e+00,-2.372977e+00,-8.700274e+00,-1.072192e+01,-1.345519e+01,-8.332878e+00,2.616062e-01,5.457334e+00,3.341993e+00,4.956956e+00,5.500895e+00,3.430581e+00,3.744548e+00,6.613409e+00,6.121844e+00,1.466948e+00,4.553116e+00,6.803139e+00,7.232581e+00,5.379977e+00
-2.538772e+00,-4.676079e+00,-7.280982e+00,-7.561022e+00,-1.152077e+01,-6.894086e+00,-1.189896e+01,-1.305084e+01,-1.090061e+01,-1.111783e+01,-1.422914e+01,-1.781849e+01,-2.059864e+01,-2.166132e+01,-1.915364e+01,-1.483103e+01,-1.579070e+01,-1.771895e+01,-1.575693e+01,-1.699599e+01,-1.509052e+01,-1.673710e+01,-1.675627e+01,-1.840745e+01,-2.332936e+01,-2.945835e+01,-3.325946e+01,-3.475018e+01,-2.668487e+01,-2.532907e+01,-2.319349e+01,-1.957677e+01,-1.234079e+01,-1.619240e+01,-1.392266e+01,-6.898220e+00,9.534658e-01,-7.274863e-02,-2.999401e+00,-8.796971e-01,4.131668e+00,2.722221e+00,-1.467806e+00,-1.686354e+00,7.506498e-01,5.918835e-01,3.809196e-01
-9.730732e+00,-1.131427e+01,-1.359450e+01,-1.234449e+01,-9.878572e+00,2.553128e+00,1.441893e+01,7.279471e+00,-8.425707e-01,1.768318e+00,4.433997e+00,1.213939e+00,-3.967374e+00,-3.265744e+00,-2.152424e+00,-2.451265e+00,1.775899e+00,2.083655e+00,6.260830e+00,4.816868e+00,2.970212e-01,-4.817994e+00,-4.454081e+00,-8.453482e+00,-1.534343e+01,-1.711345e+01,-1.221301e+01,-6.560174e+00,-1.397407e+00,-4.017450e+00,-1.743629e+01,-2.002589e+01,-1.179514e+01,-8.342657e+00,-1.257238e+01,-8.768007e+00,-2.734539e+00,-5.782998e+00,-8.222818e+00,-2.665899e+00,3.693336e+00,2.115687e+00,-1.342189e-01,-3.165270e+00,-1.994800e+00,-1.997932e+00,-2.039438e+00
-1.222066e+01,-1.409697e+01,-1.608755e+01,-1.372282e+01,-9.457414e+00,-1.604153e+01,-2.122235e+01,-1.797675e+01,-1.634855e+01,-1.940388e+01,-1.261255e+01,-1.300846e+01,-1.641298e+01,-1.631067e+01,-1.259633e+01,-9.440989e+00,-8.388458e+00,-6.553243e+00,-1.350509e+01,-2.093487e+01,-1.736607e+01,-1.593015e+01,-1.974501e+01,-2.425781e+01,-2.776686e+01,-1.826044e+01,-7.659273e+00,1.742891e+00,5.616977e+00,6.815199e+00,1.188442e+01,1.475822e+01,1.128993e+01,1.832832e+00,-3.317384e+00,-2.474614e+00,-3.487011e+00,-7.137168e+00,-7.452167e+00,-1.840806e+00,3.181437e+00,1.703012e+00,8.628706e-01,-1.429337e+00,-1.637300e+00,-2.141479e+00,-2.018514e+00
