Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52
-4.993643e+02,-4.889788e+02,-4.739397e+02,-4.591824e+02,-4.652148e+02,-4.736533e+02,-4.821781e+02,-3.676652e+02,-2.409765e+02,-1.968906e+02,-1.949801e+02,-1.970154e+02,-1.968949e+02,-1.995445e+02,-1.979808e+02,-1.907620e+02,-1.837925e+02,-1.855397e+02,-1.740472e+02,-1.589416e+02,-1.493223e+02,-1.460787e+02,-1.392430e+02,-1.296962e+02,-1.122542e+02,-8.542319e+01,-6.080720e+01,-3.423947e+01,-3.322583e+01,-6.234273e+01,-1.188978e+02,-1.934899e+02,-2.611680e+02,-3.377685e+02,-4.123235e+02,-4.695068e+02,-5.082597e+02,-5.148870e+02,-5.147273e+02,-5.037442e+02,-4.900210e+02,-4.915373e+02,-4.945776e+02,-4.953736e+02,-5.039802e+02,-5.109585e+02,-5.102931e+02,-5.082462e+02,-5.094226e+02,-5.112376e+02,-5.145462e+02,-5.256614e+02
6.916441e+01,7.944507e+01,8.742632e+01,9.579578e+01,9.942566e+01,9.975868e+01,8.875815e+01,1.033207e+02,1.095174e+02,9.184723e+01,6.946736e+01,5.856158e+01,5.640508e+01,6.026676e+01,6.022414e+01,6.168686e+01,5.789076e+01,5.385883e+01,4.696648e+01,4.247070e+01,4.680328e+01,4.933895e+01,4.893819e+01,4.522532e+01,4.549855e+01,4.624896e+01,4.468795e+01,5.021381e+01,4.806022e+01,4.529115e+01,6.685053e+01,1.037904e+02,1.289106e+02,1.302034e+02,1.130045e+02,7.360487e+01,5.118100e+01,4.833775e+01,4.736904e+01,5.253029e+01,5.918273e+01,5.790048e+01,5.757198e+01,5.746110e+01,5.412473e+01,5.122938e+01,5.176692e+01,5.571522e+01,5.412374e+01,5.308424e+01,5.050021e+01,4.024008e+01
3.307859e+01,3.738710e+01,2.825683e+01,2.150790e+01,3.880758e+01,5.619872e+01,4.927133e+01,-3.881718e+01,-3.869650e+01,-1.820819e+01,7.009089e+00,1.209580e+01,1.286828e+01,1.468552e+01,1.322551e+01,8.613758e+00,6.220428e+00,1.366642e+00,-2.597041e+00,-9.520222e+00,-1.116470e+01,-1.261505e+01,-1.335798e+01,-2.263457e+01,-3.484772e+01,-5.710232e+01,-7.390013e+01,-8.557732e+01,-8.965625e+01,-8.684061e+01,-8.263524e+01,-6.639493e+01,-5.181823e+01,-4.148209e+01,-2.716387e+01,-1.293596e+01,1.161662e+01,2.011795e+01,1.834739e+01,1.622515e+01,1.654354e+01,1.408400e+01,1.052269e+01,9.169540e+00,1.440389e+01,2.023817e+01,1.988678e+01,2.259804e+01,2.219960e+01,2.385358e+01,2.420520e+01,2.359953e+01
3.651837e+00,9.652819e+00,7.900307e+00,6.504438e+00,1.457833e+01,2.718579e+01,2.564230e+01,2.484151e+01,2.527650e+00,-1.295600e+01,-2.674590e+01,-3.341732e+01,-2.755531e+01,-2.285170e+01,-1.726744e+01,-1.645500e+01,-1.882653e+01,-1.893596e+01,-1.919730e+01,-2.257162e+01,-2.560051e+01,-3.113929e+01,-3.269892e+01,-3.271130e+01,-3.654462e+01,-3.820258e+01,-3.624384e+01,-3.800042e+01,-3.804769e+01,-3.393536e+01,-3.125969e+01,-2.633501e+01,-2.649959e+01,-2.845947e+01,-3.601174e+01,-2.713686e+01,-4.192708e+00,7.068148e+00,7.134377e+00,-2.214421e-01,-1.156558e+00,1.297133e+00,5.708101e+00,4.145522e+00,4.005560e+00,8.323070e+00,7.459042e+00,4.904060e+00,7.369730e+00,1.021929e+01,1.015287e+01,1.278822e+01
-5.159538e+00,5.954303e+00,2.121336e+01,2.905247e+01,2.193237e+01,1.958179e+01,1.980842e+01,5.951685e+01,3.141263e+01,1.081893e+01,5.562798e-01,1.037575e+00,9.262646e-01,-1.507299e+00,2.879519e-02,2.733022e+00,3.666482e+00,1.510062e+00,2.755037e+00,7.311573e+00,6.002032e+00,1.072057e+01,1.619538e+01,1.589328e+01,1.023676e+01,7.762625e+00,5.646765e+00,5.588556e+00,-1.380620e+00,-6.904415e+00,-6.101184e-01,1.083800e+01,2.014573e+01,2.511979e+01,2.194965e+01,1.171646e+01,7.167018e+00,1.146373e+01,1.270588e+01,1.160209e+01,1.595678e+01,1.599942e+01,1.774880e+01,1.425540e+01,1.157708e+01,1.239003e+01,1.253136e+01,8.302023e+00,1.245977e+01,1.497702e+01,1.301664e+01,1.197541e+01
4.790441e-01,9.939631e+00,2.099347e+01,2.394511e+01,1.736784e+01,1.620817e+01,1.601208e+01,4.070184e+00,-5.906019e+00,-1.565744e+00,1.898975e+01,2.987515e+01,3.710041e+01,4.333966e+01,4.492652e+01,4.614262e+01,4.318586e+01,4.315413e+01,4.501449e+01,4.704737e+01,4.678661e+01,4.753580e+01,4.547214e+01,4.682226e+01,4.960236e+01,4.717234e+01,4.615278e+01,4.392925e+01,4.863814e+01,5.818456e+01,5.625229e+01,4.587190e+01,4.301530e+01,3.655207e+01,2.904290e+01,2.760446e+01,1.865141e+01,1.660993e+01,1.613928e+01,1.347786e+01,1.207168e+01,1.051058e+01,1.395830e+01,1.152762e+01,1.285646e+01,1.359096e+01,1.661885e+01,1.633178e+01,1.775788e+01,1.925850e+01,1.785366e+01,1.406396e+01
7.061388e+00,7.906704e+00,-1.068506e+00,-6.949272e+00,-6.125134e+00,2.361198e+00,6.200965e+00,-1.452644e+01,-3.271542e+01,-4.058288e+01,-4.083495e+01,-3.569080e+01,-3.175137e+01,-3.210115e+01,-3.323901e+01,-3.482482e+01,-3.908715e+01,-4.241725e+01,-4.363706e+01,-4.339394e+01,-4.616011e+01,-4.485281e+01,-3.989339e+01,-3.559587e+01,-2.844790e+01,-2.799091e+01,-3.089388e+01,-3.370173e+01,-3.094813e+01,-2.758903e+01,-2.395868e+01,-2.142281e+01,-1.577228e+01,-4.260851e+00,6.701157e+00,1.484887e+01,1.605844e+01,1.491352e+01,1.266058e+01,1.009674e+01,1.181003e+01,1.152462e+01,1.404620e+01,1.278152e+01,1.082061e+01,8.817359e+00,1.483548e+01,1.752007e+01,1.394515e+01,1.345317e+01,1.440164e+01,1.281740e+01
7.212407e+00,1.375486e+00,-1.382542e+01,-2.041781e+01,-2.122026e+01,-1.476195e+01,-4.346056e+00,-3.264792e+00,6.544288e+00,1.202439e+01,1.134719e+01,1.263815e+01,1.626662e+01,2.015767e+01,1.971089e+01,1.760269e+01,2.101948e+01,2.239371e+01,2.115501e+01,2.417416e+01,2.947459e+01,3.050974e+01,3.051175e+01,3.353860e+01,3.194059e+01,3.443591e+01,3.808148e+01,3.833909e+01,3.615229e+01,2.998237e+01,2.831212e+01,1.851410e+01,8.326898e+00,1.586851e+00,4.492221e+00,9.241986e+00,7.626064e+00,1.081732e+01,9.065986e+00,6.042470e+00,8.082499e+00,9.495124e+00,1.382055e+01,1.429318e+01,8.639558e+00,3.872635e+00,1.037474e+01,1.348986e+01,8.110722e+00,5.248878e+00,7.557730e+00,9.563822e+00
1.035871e+00,-4.342283e+00,-6.963562e+00,-9.599658e+00,-1.780133e+01,-2.003289e+01,-9.144437e+00,9.646160e-01,-6.732730e-01,8.907051e+00,1.322798e+01,1.059825e+01,5.617644e+00,2.102442e+00,-1.704546e+00,-5.138855e+00,-1.109968e+00,1.509371e+00,1.053359e+00,9.039183e-01,8.945900e-01,-3.667617e+00,-6.462794e+00,-5.551456e+00,-5.781682e+00,-6.242776e+00,-4.673489e+00,-6.398829e+00,-1.721807e+01,-2.732145e+01,-2.382037e+01,-1.452781e+01,-1.277519e+01,-1.207200e+01,4.486453e+00,8.713169e+00,9.921388e-01,6.235297e+00,6.621321e+00,4.871605e+00,2.044946e+00,1.399862e+00,1.313164e+00,8.518659e-01,1.632850e+00,1.065252e+00,5.301792e+00,8.688241e+00,5.131677e+00,1.978285e+00,4.813880e+00,7.576414e+00
-8.106496e+00,-9.581938e+00,-2.699073e+00,-2.482724e+00,-1.205392e+01,-1.654522e+01,-1.088813e+01,-3.705633e+00,4.018773e+00,6.622530e+00,2.116449e+01,2.395103e+01,1.877375e+01,2.153479e+01,2.611620e+01,2.521969e+01,2.431582e+01,2.529215e+01,2.382164e+01,1.936862e+01,1.359975e+01,1.032448e+01,1.345397e+01,1.799550e+01,1.866305e+01,1.648870e+01,1.165110e+01,6.352119e+00,1.252384e+00,-1.700556e-01,-2.728877e+00,-6.498583e+00,-1.100482e+01,-1.355449e+01,-8.782715e+00,-3.458918e+00,-4.648217e+00,1.449462e-01,3.221356e+00,1.335254e+00,-3.072021e+00,-2.892221e+00,-6.706585e+00,-7.497480e+00,-2.743677e+00,1.617912e+00,2.792792e+00,4.594943e+00,2.094313e+00,1.636795e+00,5.084062e+00,5.924025e+00
