Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.008034e+02,-4.656636e+02,-4.478899e+02,-4.428235e+02,-4.230173e+02,-3.344376e+02,-2.576726e+02,-2.194162e+02,-2.068780e+02,-2.104538e+02,-2.174861e+02,-2.335395e+02,-2.701062e+02,-3.182772e+02,-3.636272e+02,-3.980405e+02,-4.322645e+02,-4.720952e+02,-4.997614e+02,-5.146405e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02,-5.196649e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.575608e+01,6.954512e+01,8.960364e+01,9.250720e+01,1.082411e+02,1.523586e+02,1.777170e+02,1.787872e+02,1.738770e+02,1.782805e+02,1.940369e+02,2.141252e+02,2.137839e+02,1.949638e+02,1.629570e+02,1.324829e+02,9.960805e+01,5.851179e+01,2.675158e+01,6.855320e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.310454e+01,5.156297e+01,5.984203e+01,5.576059e+01,5.085239e+01,-1.584485e+01,-4.602677e+01,-6.009182e+01,-6.318774e+01,-5.560895e+01,-4.529255e+01,-2.365277e+01,4.570174e+00,2.915825e+01,4.051818e+01,4.566009e+01,4.576111e+01,3.764434e+01,2.284155e+01,6.135365e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.901237e+01,2.868575e+01,2.597245e+01,2.028983e+01,1.050768e+01,-3.889707e+01,-4.346982e+01,-4.043888e+01,-4.040114e+01,-4.378761e+01,-6.042716e+01,-7.793701e+01,-7.705618e+01,-6.611076e+01,-4.846664e+01,-2.395698e+01,-3.495748e-01,1.641434e+01,1.717222e+01,5.032791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.391819e+01,7.989052e+00,6.849304e-01,-2.250940e+00,-2.057405e+00,2.054506e+01,5.934039e+00,-1.930373e+01,-4.540935e+01,-6.112767e+01,-7.336920e+01,-7.747036e+01,-7.315285e+01,-6.607615e+01,-5.648001e+01,-3.864118e+01,-1.499247e+01,3.626140e+00,1.076222e+01,3.676843e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.341400e+00,-5.749063e+00,-1.111363e+01,-1.210309e+01,-4.924186e+00,2.007484e+01,7.369641e+00,8.936664e-01,-8.072533e+00,-1.102325e+01,-1.567669e+01,-2.022162e+01,-2.134451e+01,-2.055719e+01,-1.886422e+01,-1.469194e+01,-5.137911e+00,-3.931479e-01,4.624578e+00,2.218204e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.807510e+00,-1.170317e+01,-1.256569e+01,-1.228248e+01,-8.236125e+00,-1.701062e+01,-2.137162e+01,-1.524079e+01,-1.010240e+01,1.573931e+00,8.705420e+00,8.687814e+00,4.875043e+00,2.571544e+00,3.086312e+00,5.420415e+00,5.100851e+00,-1.335712e+00,-4.698622e-01,8.056629e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.223616e+00,-1.249376e+01,-1.017114e+01,-7.139248e+00,-9.190191e+00,-1.908838e+01,-2.983117e+01,-3.797773e+01,-3.712670e+01,-3.433019e+01,-3.401443e+01,-2.668180e+01,-2.193921e+01,-1.647119e+01,-1.015377e+01,-4.167168e-01,7.238775e-01,-4.098484e+00,-4.125371e+00,-4.355159e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.414650e+00,-1.204597e+01,-8.941509e+00,-3.932663e+00,-8.175309e+00,-8.736317e+00,-2.862654e+01,-3.632120e+01,-3.357511e+01,-2.491183e+01,-2.466843e+01,-2.803242e+01,-2.849365e+01,-3.187574e+01,-3.109643e+01,-1.888379e+01,-1.285165e+01,-8.696011e+00,-6.324452e+00,-1.419838e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.584034e+00,-1.317850e+01,-1.063873e+01,-6.978295e+00,-8.919847e+00,-1.541516e+01,-9.833877e+00,-3.519363e+00,-7.556164e+00,-1.393880e+01,-1.610235e+01,-1.864690e+01,-1.951013e+01,-2.734394e+01,-3.084599e+01,-2.614811e+01,-2.130223e+01,-1.204486e+01,-7.325264e+00,-2.109822e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
