Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.552454e+02,-5.552454e+02,-5.552454e+02,-5.389094e+02,-4.903562e+02,-4.573860e+02,-4.430795e+02,-4.118022e+02,-3.167066e+02,-2.388001e+02,-2.059635e+02,-1.988441e+02,-1.937753e+02,-1.817104e+02,-1.896033e+02,-2.237097e+02,-2.865534e+02,-3.595271e+02,-4.069070e+02,-4.525539e+02,-5.019595e+02,-5.281680e+02,-5.458482e+02,-5.525737e+02,-5.546893e+02,-5.552454e+02,-5.552454e+02,-5.552454e+02,-5.552454e+02,-5.552454e+02,-5.552454e+02
0.000000e+00,0.000000e+00,0.000000e+00,2.215003e+01,8.130788e+01,1.108915e+02,1.198028e+02,1.309290e+02,1.670397e+02,1.751480e+02,1.632979e+02,1.525888e+02,1.548050e+02,1.772724e+02,1.950849e+02,2.054562e+02,2.015662e+02,1.832987e+02,1.533056e+02,1.160609e+02,6.744179e+01,3.586612e+01,1.277997e+01,3.701068e+00,7.722993e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,1.941117e+01,5.517921e+01,5.539821e+01,4.951276e+01,1.879490e+01,-3.664131e+01,-5.582159e+01,-5.899792e+01,-6.230235e+01,-6.653913e+01,-6.313752e+01,-4.711610e+01,-2.979038e+01,-3.239327e+00,2.447333e+01,3.981720e+01,5.043030e+01,4.716583e+01,2.928472e+01,1.133163e+01,3.472367e+00,7.302884e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,1.522288e+01,2.535376e+01,9.324331e+00,1.043860e+00,-1.440653e+01,-4.516705e+01,-3.399940e+01,-2.100754e+01,-1.438331e+01,-1.593929e+01,-3.289391e+01,-4.476884e+01,-4.957055e+01,-5.248186e+01,-5.469887e+01,-3.700849e+01,-6.500068e+00,2.282210e+01,2.025975e+01,9.167861e+00,3.102797e+00,6.620755e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,1.008556e+01,2.384066e+00,-1.317061e+01,-2.012786e+01,3.948704e+00,1.803635e+01,-2.179060e+01,-5.381910e+01,-6.649911e+01,-7.963817e+01,-9.232594e+01,-1.005622e+02,-9.271021e+01,-7.408806e+01,-5.489639e+01,-4.503972e+01,-2.634012e+01,2.717433e+00,1.072854e+01,6.604171e+00,2.609146e+00,5.702885e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,4.583423e+00,-1.047147e+01,-1.082580e+01,-1.397258e+01,7.013125e+00,2.051570e+01,1.242533e+01,1.437180e+01,1.414475e+01,6.631729e+00,6.683784e+00,4.721585e-01,-1.039926e+01,-1.604441e+01,-1.647746e+01,-1.670815e+01,-1.691846e+01,-8.912712e+00,2.326085e+00,3.979096e+00,2.013746e+00,4.584607e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-7.057073e-01,-1.670620e+01,-5.508981e+00,-3.290546e+00,-1.169262e+01,-3.377296e+01,-2.816106e+01,-1.858406e+01,-1.240005e+01,-5.475583e+00,7.911464e+00,8.199309e+00,8.754313e+00,9.880991e+00,2.995054e+00,-1.431503e-01,-5.348845e+00,-1.275264e+01,-3.765121e+00,1.584277e+00,1.343358e+00,3.308696e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-5.294730e+00,-2.128806e+01,-1.621791e+01,-1.110244e+01,-2.058285e+01,-1.979855e+01,-2.839228e+01,-2.977028e+01,-2.514964e+01,-2.554696e+01,-2.940052e+01,-3.381029e+01,-3.836824e+01,-3.116535e+01,-1.806419e+01,-1.051850e+01,-7.578776e+00,-1.219939e+01,-6.951753e+00,-3.886389e-01,6.278656e-01,1.923799e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-8.851027e+00,-2.598270e+01,-2.803215e+01,-1.872832e+01,-1.382179e+01,-1.257877e+01,-2.079884e+01,-2.252123e+01,-2.019546e+01,-1.019037e+01,-1.882669e+01,-2.522884e+01,-2.585104e+01,-2.775218e+01,-2.806480e+01,-2.506370e+01,-1.715198e+01,-1.043094e+01,-7.481807e+00,-1.871907e+00,-1.011843e-01,4.823253e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-1.122915e+01,-2.905024e+01,-3.097258e+01,-2.185037e+01,-8.700310e+00,-1.817925e+01,-1.589783e+01,-1.348688e+01,-1.957093e+01,-1.902856e+01,-1.988624e+01,-2.361995e+01,-2.304951e+01,-1.982370e+01,-2.131342e+01,-2.433127e+01,-1.992972e+01,-9.003691e+00,-6.432588e+00,-2.912426e+00,-8.121028e-01,-9.615768e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
