Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.797476e+02,-4.737457e+02,-4.691663e+02,-4.679221e+02,-4.691446e+02,-4.611432e+02,-4.510161e+02,-4.452122e+02,-4.399306e+02,-3.464925e+02,-2.616123e+02,-2.092978e+02,-1.579329e+02,-1.330620e+02,-1.591597e+02,-1.515051e+02,-1.179083e+02,-1.089108e+02,-1.290787e+02,-1.739557e+02,-2.405487e+02,-3.106088e+02,-3.804001e+02,-4.365823e+02,-4.674721e+02,-4.664715e+02,-4.633626e+02,-4.617212e+02,-4.568766e+02,-4.562344e+02,-4.521592e+02,-4.641128e+02
1.092941e+01,1.797744e+01,2.357096e+01,2.472955e+01,2.210289e+01,3.315011e+01,4.771500e+01,5.459116e+01,5.942048e+01,1.015121e+02,1.458769e+02,1.709073e+02,1.822115e+02,1.592716e+02,1.239429e+02,1.055444e+02,8.650279e+01,8.042305e+01,9.671618e+01,1.175335e+02,1.312604e+02,1.296696e+02,9.976707e+01,5.191488e+01,2.300907e+01,2.288390e+01,2.609409e+01,2.790795e+01,3.278757e+01,3.372543e+01,3.600220e+01,2.671974e+01
7.509377e+00,1.146125e+01,1.492413e+01,1.489356e+01,1.100673e+01,2.147202e+01,3.568493e+01,4.005882e+01,4.083681e+01,-3.201532e+01,-6.042937e+01,-6.673155e+01,-8.464967e+01,-9.912572e+01,-8.900903e+01,-1.092939e+02,-9.980869e+01,-6.491774e+01,-3.551686e+01,-2.326081e+01,-4.780347e-01,7.548591e+00,8.190747e+00,1.135004e+01,9.133630e+00,7.064109e+00,8.261387e+00,1.052997e+01,1.170934e+01,1.084116e+01,8.280645e+00,1.029402e+01
4.575066e+00,6.161592e+00,7.379063e+00,6.581016e+00,3.136204e+00,1.294000e+01,2.474126e+01,2.816906e+01,2.924630e+01,-1.444515e+01,-1.970618e+01,-2.817735e+01,-4.036066e+01,-3.399460e+01,-2.517154e+01,-2.155571e+01,-3.951482e+01,-5.995285e+01,-6.523102e+01,-6.072646e+01,-5.014774e+01,-3.676873e+01,-2.308977e+01,-8.966759e+00,1.675846e-01,-7.498355e-01,-1.039267e-01,5.143638e-01,4.661400e-01,-8.402172e-01,-3.365988e+00,-1.294141e+00
3.496612e+00,4.638175e+00,4.483335e+00,3.508201e+00,1.813771e+00,1.042689e+01,1.832719e+01,2.331131e+01,2.811666e+01,5.650957e+01,5.109502e+01,2.127444e+01,-8.067699e+00,-2.616978e+01,-3.330892e+01,-2.176949e+01,-1.359423e+01,-1.959289e+01,-2.526548e+01,-2.455720e+01,-1.311758e+01,4.114712e-01,-1.685320e+00,-4.066435e+00,3.701659e-01,2.102507e+00,3.564902e+00,4.153763e+00,5.505975e+00,3.019278e+00,1.884658e+00,-2.255139e+00
3.813587e+00,5.606194e+00,5.320286e+00,4.234967e+00,3.654212e+00,9.619392e+00,1.399029e+01,2.155484e+01,2.751496e+01,4.559693e+01,1.950777e+01,6.727312e+00,1.304016e+01,1.271054e+01,1.109678e+01,2.438792e+01,3.118836e+01,3.230667e+01,3.039048e+01,2.524843e+01,1.428648e+01,7.795918e+00,5.468371e+00,2.409810e+00,4.083769e+00,5.901128e+00,8.048294e+00,1.039724e+01,1.198665e+01,8.975205e+00,6.833241e+00,2.444643e+00
4.236050e+00,6.281099e+00,6.662164e+00,5.351908e+00,4.859589e+00,6.534886e+00,8.563022e+00,1.780022e+01,2.013853e+01,2.650653e+00,-1.506840e+01,-1.621105e+01,-6.639246e+00,-5.241204e+00,-1.006254e+01,-1.594860e+01,-2.420461e+01,-3.470847e+01,-4.158781e+01,-3.742455e+01,-3.648153e+01,-2.792191e+01,-9.573900e+00,-5.407858e-01,4.982646e+00,4.456554e+00,6.869895e+00,1.175777e+01,1.080017e+01,7.464615e+00,5.490055e+00,5.922516e+00
3.919196e+00,5.300516e+00,6.091019e+00,4.686218e+00,4.594548e+00,1.605372e+00,2.133153e+00,1.146151e+01,9.660910e+00,1.968171e-01,-1.085913e+01,-1.787325e+01,-1.840281e+01,-8.307799e+00,2.380274e+00,5.406973e-01,4.322565e+00,3.569975e+00,2.872463e+00,3.597164e+00,-4.582972e-01,-7.318375e+00,-8.045700e+00,-2.290608e+00,3.005216e+00,1.619912e+00,4.336117e+00,9.333447e+00,5.646849e+00,2.934651e+00,3.878655e+00,6.735974e+00
2.740882e+00,3.150356e+00,3.314610e+00,1.845174e+00,2.866937e+00,-3.559236e+00,-3.656717e+00,4.514297e+00,2.123328e+00,1.217225e+01,-6.693631e-01,3.089602e+00,9.706388e+00,1.914942e+01,2.737379e+01,3.287045e+01,2.355171e+01,1.493439e+01,1.416953e+01,1.390758e+01,1.865642e+01,1.092734e+01,1.030246e+01,2.098034e+00,1.264650e+00,1.721052e+00,4.036980e+00,5.793947e+00,3.455407e+00,2.218873e+00,3.994182e+00,6.658699e+00
9.269328e-01,7.497430e-01,-3.582132e-01,-2.121930e+00,-5.615119e-01,-8.984838e+00,-8.593468e+00,-2.445567e+00,-3.169179e+00,3.749166e+00,-6.142930e+00,-4.033913e+00,-2.168225e+00,1.122257e+00,5.016205e+00,8.771288e+00,1.013888e+01,9.383239e+00,1.242604e+01,1.122285e+01,1.045833e+01,1.573546e+01,1.202804e+01,2.407372e+00,1.894062e-01,2.102278e+00,2.384289e+00,2.811152e+00,3.686701e+00,3.059573e+00,2.306833e+00,5.580049e+00
-1.135469e+00,-1.399867e+00,-3.218207e+00,-4.925333e+00,-4.086067e+00,-1.403667e+01,-1.306865e+01,-9.461985e+00,-9.641113e+00,-1.355939e+01,-1.432156e+01,-1.874103e+01,-2.278845e+01,-2.751129e+01,-3.231956e+01,-2.363153e+01,-2.341420e+01,-2.267926e+01,-2.525573e+01,-1.902803e+01,-1.614622e+01,-1.361905e+01,-4.007192e+00,-5.170969e+00,-2.047610e+00,-9.970602e-01,-3.070903e+00,-2.336322e+00,-2.828551e-01,-6.265515e-01,-2.360526e+00,2.215181e+00
-2.902117e+00,-2.901196e+00,-4.148335e+00,-4.555771e+00,-4.569203e+00,-1.568124e+01,-1.564687e+01,-1.443094e+01,-1.557471e+01,-1.509852e+01,-1.453281e+01,-1.023937e+01,-1.840862e+01,-1.786039e+01,-1.707965e+01,-1.935090e+01,-9.822439e+00,-8.737186e+00,-1.312305e+01,-1.098321e+01,-1.051493e+01,-8.562090e+00,-8.443491e+00,-9.158169e+00,-5.079066e+00,-5.039180e+00,-7.280898e+00,-5.011481e+00,-5.372181e+00,-7.545356e+00,-7.245430e+00,-2.003880e+00
-3.920215e+00,-3.283403e+00,-3.067839e+00,-1.676115e+00,-1.636307e+00,-1.213545e+01,-1.419353e+01,-1.455887e+01,-1.647818e+01,-9.797993e-01,-5.748822e+00,-1.205213e+01,-1.793803e+01,-9.360329e+00,-9.918865e+00,-2.664380e+01,-2.793394e+01,-2.030866e+01,-1.580956e+01,-9.342361e+00,-5.820133e+00,-1.575321e+00,2.686202e+00,-3.314856e+00,-5.956738e+00,-4.979314e+00,-5.084216e+00,-5.760173e+00,-7.553607e+00,-9.918039e+00,-8.177297e+00,-3.760992e+00
