Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44
-5.145522e+02,-4.960041e+02,-4.948728e+02,-4.310541e+02,-2.877917e+02,-2.353378e+02,-2.299165e+02,-2.227945e+02,-1.944380e+02,-1.887184e+02,-1.967000e+02,-1.926900e+02,-1.934494e+02,-1.918971e+02,-1.864711e+02,-1.684950e+02,-1.627340e+02,-1.624662e+02,-1.511251e+02,-1.301604e+02,-1.046551e+02,-9.149454e+01,-9.433425e+01,-8.392210e+01,-7.437188e+01,-6.968530e+01,-7.734957e+01,-1.398583e+02,-2.363008e+02,-3.407586e+02,-4.147407e+02,-4.660259e+02,-4.964147e+02,-5.044058e+02,-5.111762e+02,-5.114165e+02,-5.096137e+02,-5.105282e+02,-5.095207e+02,-5.074436e+02,-5.055401e+02,-5.044137e+02,-5.065644e+02,-5.058124e+02
3.677777e+01,5.607816e+01,5.827667e+01,9.561257e+01,1.282059e+02,1.358713e+02,1.315573e+02,1.258989e+02,1.200265e+02,9.896071e+01,7.973475e+01,6.489356e+01,5.936179e+01,5.402861e+01,5.967279e+01,5.766951e+01,5.479074e+01,5.251200e+01,4.666724e+01,4.008132e+01,4.534686e+01,4.864409e+01,4.589266e+01,3.905761e+01,3.510109e+01,4.137167e+01,6.147644e+01,7.938921e+01,1.023023e+02,1.196449e+02,1.097832e+02,7.111267e+01,4.721812e+01,4.105460e+01,3.547091e+01,3.621224e+01,3.907041e+01,3.739750e+01,3.940154e+01,4.226258e+01,4.379602e+01,4.394009e+01,4.234687e+01,4.356595e+01
2.620964e+01,3.247756e+01,3.550233e+01,-3.068167e+00,-4.592445e+01,-3.960228e+01,-2.182831e+01,-2.277502e+01,-3.112705e+01,-1.171565e+01,8.327378e+00,1.308370e+01,1.508646e+01,1.316939e+01,1.021459e+01,7.447715e+00,6.444244e+00,6.488926e+00,2.648463e+00,-8.539452e+00,-2.094285e+01,-2.775144e+01,-3.133158e+01,-3.990959e+01,-4.917510e+01,-6.413474e+01,-7.323033e+01,-6.224846e+01,-4.813059e+01,-2.424681e+01,-3.144257e+00,3.173587e+00,1.179819e+01,1.430780e+01,1.574770e+01,1.875536e+01,2.184173e+01,1.930013e+01,2.148146e+01,2.445795e+01,2.399890e+01,2.162006e+01,2.261815e+01,2.471685e+01
1.654898e+01,1.638157e+01,1.925448e+01,-1.462516e+01,-2.760107e+01,-2.487300e+01,-3.057270e+01,-3.815211e+01,-3.394979e+01,-2.665953e+01,-2.343346e+01,-2.748745e+01,-3.398242e+01,-3.375211e+01,-3.743884e+01,-4.311265e+01,-4.823178e+01,-5.286758e+01,-5.948997e+01,-5.614391e+01,-6.302808e+01,-6.858687e+01,-7.461823e+01,-7.012576e+01,-6.185868e+01,-6.399063e+01,-6.052382e+01,-4.611549e+01,-3.355890e+01,-2.567652e+01,-2.601721e+01,-1.938756e+01,-1.764016e+00,3.187503e+00,7.432438e+00,1.177875e+01,1.431490e+01,1.146165e+01,1.131429e+01,1.444317e+01,1.358218e+01,1.079907e+01,1.263083e+01,1.605351e+01
1.140990e+01,1.291454e+01,1.534112e+01,2.676041e+01,3.981693e+01,3.649766e+01,1.999386e+01,-2.038939e+00,-1.611826e+01,-1.607854e+01,-1.468149e+01,-7.655681e+00,-1.024756e+01,-1.028112e+01,-2.094591e+00,-5.448315e+00,-6.686592e+00,3.269018e+00,1.076990e+01,1.485200e+01,1.474112e+01,1.658063e+01,1.350348e+01,1.150640e+01,1.258412e+01,8.966928e+00,9.954138e-01,8.950269e-01,1.012892e+01,2.214059e+01,1.520749e+01,3.610140e+00,8.040327e+00,9.832781e+00,1.260974e+01,1.603724e+01,1.767042e+01,1.634337e+01,1.273842e+01,1.466953e+01,1.507984e+01,1.463819e+01,1.511489e+01,1.853501e+01
9.024318e+00,1.169880e+01,1.488644e+01,2.800878e+01,1.269553e+01,9.943035e+00,2.731842e+01,4.531039e+01,5.171729e+01,5.264156e+01,4.795681e+01,4.582003e+01,4.569043e+01,4.315673e+01,4.902452e+01,5.004808e+01,4.490831e+01,4.952082e+01,5.652225e+01,5.403114e+01,5.390775e+01,5.247044e+01,5.369288e+01,5.282513e+01,5.916911e+01,5.694554e+01,5.714142e+01,6.342765e+01,5.764053e+01,4.476528e+01,2.927586e+01,2.132100e+01,1.671157e+01,1.600653e+01,1.679319e+01,1.786792e+01,1.844821e+01,2.013164e+01,1.598839e+01,1.504961e+01,1.618242e+01,1.826662e+01,1.711438e+01,1.874602e+01
5.965298e+00,4.817970e+00,9.974012e+00,-2.843080e+00,-2.049770e+01,-3.255354e+01,-4.583508e+01,-4.840035e+01,-4.544543e+01,-4.195604e+01,-4.055873e+01,-3.826889e+01,-3.508524e+01,-3.233233e+01,-2.753706e+01,-2.669280e+01,-3.301628e+01,-3.632775e+01,-3.535783e+01,-3.683540e+01,-3.196219e+01,-3.299291e+01,-3.123111e+01,-3.079943e+01,-3.047543e+01,-3.085178e+01,-3.108160e+01,-2.481821e+01,-2.261327e+01,-1.283784e+01,9.414713e+00,1.574879e+01,1.387922e+01,1.231094e+01,1.144034e+01,1.093552e+01,1.015938e+01,1.394065e+01,1.339415e+01,1.025585e+01,1.029522e+01,1.263414e+01,1.087428e+01,1.105549e+01
1.514480e+00,-3.497166e+00,3.399215e+00,-6.594193e+00,4.074413e-01,2.664410e+00,1.128186e+01,1.235032e+01,1.546092e+01,1.954361e+01,2.219921e+01,2.333528e+01,1.973059e+01,2.078785e+01,2.435456e+01,2.328971e+01,1.975597e+01,1.894605e+01,2.628762e+01,2.970251e+01,3.352868e+01,3.289867e+01,2.894878e+01,3.137846e+01,2.962332e+01,2.851629e+01,2.760925e+01,2.708644e+01,1.585286e+01,7.294815e+00,5.772609e+00,8.335163e+00,8.118551e+00,5.189915e+00,2.949952e+00,2.934103e+00,1.815485e+00,4.951960e+00,8.036222e+00,5.612894e+00,4.090685e+00,4.803900e+00,2.964959e+00,3.430519e+00
-2.245868e+00,-6.102084e+00,1.099928e+00,1.162152e+01,-2.738229e+00,-2.660701e+00,1.732464e+00,1.113904e+00,-4.137311e+00,-7.912257e+00,-7.598776e+00,-6.523350e+00,-6.927899e+00,-7.179708e+00,-5.079182e-01,-1.687261e+00,-4.470930e+00,-3.610045e+00,-4.798111e+00,-3.483262e+00,4.082429e-02,-4.997878e+00,-6.341943e+00,-2.962745e+00,-4.562541e+00,-9.542593e+00,-1.247805e+01,-1.518780e+01,-1.224168e+01,6.121132e-01,8.643892e+00,8.247544e+00,4.535994e+00,1.397923e+00,-5.155909e-02,1.558766e+00,2.721536e+00,3.416211e+00,5.889438e+00,5.947546e+00,4.037685e+00,3.308394e+00,1.240568e+00,2.402957e+00
-3.550864e+00,-3.797009e+00,1.878650e+00,9.550631e+00,1.368124e+01,1.683479e+01,1.742524e+01,1.885884e+01,2.496794e+01,2.926954e+01,2.788104e+01,2.664090e+01,2.848544e+01,2.551852e+01,2.290453e+01,1.529803e+01,1.336359e+01,1.732310e+01,1.553040e+01,1.197262e+01,1.088285e+01,9.885500e+00,9.428282e+00,9.280039e+00,9.147494e+00,3.591930e+00,2.100831e+00,-3.355128e+00,-9.310677e+00,-1.028653e+01,-2.067856e+00,3.953840e+00,6.819474e-01,3.691204e-01,1.773463e+00,4.110588e+00,8.437714e+00,7.096595e+00,6.289170e+00,7.636272e+00,6.014825e+00,4.933182e+00,2.747494e+00,3.817752e+00
