Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-5.513172e+02,-5.246384e+02,-4.985964e+02,-4.835039e+02,-4.866681e+02,-5.011535e+02,-4.283255e+02,-2.915893e+02,-2.092623e+02,-1.760554e+02,-1.601897e+02,-1.492680e+02,-1.442723e+02,-1.735408e+02,-1.778926e+02,-1.698877e+02,-1.591601e+02,-1.595538e+02,-1.640593e+02,-1.701798e+02,-1.798581e+02,-1.795387e+02,-1.746816e+02,-1.642583e+02,-1.430227e+02,-1.264956e+02,-1.183485e+02,-1.190580e+02,-1.180547e+02,-9.095643e+01,-6.132425e+01,-5.816628e+01,-6.826402e+01,-1.144133e+02,-1.761699e+02,-2.434940e+02,-3.451405e+02,-4.257011e+02,-4.769250e+02,-5.159175e+02,-5.260239e+02,-5.253959e+02,-5.276778e+02,-5.312073e+02,-5.329931e+02,-5.297151e+02,-5.300782e+02
4.467381e+01,5.848862e+01,8.064053e+01,9.229558e+01,8.482355e+01,6.728768e+01,7.263353e+01,9.112888e+01,9.676694e+01,8.921288e+01,9.583464e+01,1.061232e+02,9.368018e+01,7.318248e+01,5.405737e+01,4.693051e+01,4.656422e+01,4.074223e+01,4.028289e+01,3.988747e+01,3.944907e+01,3.964712e+01,3.881534e+01,4.309345e+01,4.064140e+01,3.869562e+01,3.822464e+01,3.709821e+01,4.055056e+01,3.890074e+01,3.626491e+01,2.925057e+01,3.802669e+01,6.377012e+01,9.625664e+01,1.231399e+02,1.365103e+02,1.325160e+02,9.920602e+01,7.534964e+01,6.856204e+01,7.121059e+01,6.934835e+01,6.497244e+01,6.186564e+01,6.392958e+01,6.349476e+01
1.686347e+01,1.442601e+01,3.014471e+01,3.687215e+01,3.132090e+01,2.054773e+01,-5.127007e+01,-5.813894e+01,-4.074655e+01,-2.246577e+01,-2.054500e+01,-3.270920e+01,-2.464879e+01,3.183550e+00,7.122316e+00,5.905560e+00,-2.723296e-01,-5.026914e+00,-2.270183e+00,4.458934e+00,1.689975e-01,5.387906e+00,4.235042e+00,-2.819076e+00,-1.151778e+01,-1.384305e+01,-1.462221e+01,-1.903254e+01,-2.711050e+01,-4.409426e+01,-5.924079e+01,-5.948114e+01,-6.846623e+01,-6.437405e+01,-5.251244e+01,-4.708197e+01,-3.305026e+01,-2.064102e+01,-9.011974e+00,1.187608e+01,1.752164e+01,2.116491e+01,2.255211e+01,1.918133e+01,1.562192e+01,1.424541e+01,1.494579e+01
7.054561e+00,1.597888e+01,3.483198e+01,4.224417e+01,4.485229e+01,3.906548e+01,1.905162e+01,-1.677850e+00,-6.659867e-01,-4.848756e+00,-2.198599e+01,-2.853637e+01,-3.171825e+01,-2.730273e+01,-2.656764e+01,-3.031065e+01,-3.812176e+01,-4.171699e+01,-4.180032e+01,-4.048443e+01,-3.901517e+01,-3.556810e+01,-3.748625e+01,-4.302090e+01,-4.000549e+01,-3.420105e+01,-3.416894e+01,-3.779334e+01,-3.984520e+01,-3.531097e+01,-3.532829e+01,-2.618497e+01,-3.305627e+01,-3.272523e+01,-3.112762e+01,-2.459672e+01,-3.328843e+01,-3.889894e+01,-3.005911e+01,-8.579842e+00,6.482323e-01,1.592701e+00,5.867059e+00,2.936954e+00,2.503700e-01,-9.492872e-01,1.406186e+00
1.013913e+01,9.954350e+00,8.419023e+00,7.809453e+00,1.164213e+01,7.497131e+00,4.134990e+01,3.519616e+01,2.570312e+01,1.355262e+01,-9.514348e-01,-1.831168e+01,-2.197754e+01,-1.503855e+01,-1.519239e+01,-1.068711e+01,-6.627365e+00,-4.586940e+00,-3.682773e+00,-3.363027e+00,2.116205e+00,7.439651e+00,8.582953e+00,6.190195e+00,3.979854e+00,7.444371e+00,3.010414e+00,1.992076e+00,5.960824e+00,7.602919e+00,3.499319e+00,2.123701e+00,-2.727135e+00,-6.660059e+00,-2.820365e-01,8.655914e+00,9.154163e+00,1.028772e+01,5.907353e+00,7.698161e+00,1.287809e+01,1.318815e+01,1.771047e+01,1.557434e+01,1.401852e+01,1.361636e+01,1.510969e+01
1.645752e+01,1.360548e+01,7.992231e+00,1.118049e+01,1.273298e+01,1.087359e+01,8.884941e+00,-4.187241e+00,5.944219e+00,2.183763e+01,3.098749e+01,4.175899e+01,4.375998e+01,3.436906e+01,3.411206e+01,4.200847e+01,4.504785e+01,4.621438e+01,4.649842e+01,4.151632e+01,4.172898e+01,4.860829e+01,4.282454e+01,4.078859e+01,4.120533e+01,4.247345e+01,4.621798e+01,4.460467e+01,4.246813e+01,4.246514e+01,4.542663e+01,4.610844e+01,4.740905e+01,5.635138e+01,5.337480e+01,4.402814e+01,3.777447e+01,1.683297e+01,1.693575e+01,1.670591e+01,1.724686e+01,2.069403e+01,2.245522e+01,2.258183e+01,2.157364e+01,1.977098e+01,1.813558e+01
1.323971e+01,2.258921e+01,2.970396e+01,3.409409e+01,3.393847e+01,3.420543e+01,5.459260e+00,-1.524769e+01,-3.309048e+01,-4.725719e+01,-4.530707e+01,-4.325371e+01,-4.211646e+01,-3.581391e+01,-3.839269e+01,-4.210305e+01,-4.071518e+01,-4.331700e+01,-4.726025e+01,-4.581118e+01,-4.175660e+01,-4.082233e+01,-4.274353e+01,-4.014456e+01,-4.195307e+01,-4.484245e+01,-4.182616e+01,-4.111641e+01,-3.838961e+01,-3.090740e+01,-2.945230e+01,-2.876475e+01,-2.915922e+01,-2.601610e+01,-1.836360e+01,-1.928126e+01,-1.486762e+01,3.305374e+00,7.986496e+00,1.268246e+01,9.162758e+00,1.180494e+01,9.780321e+00,1.204421e+01,1.144888e+01,8.905078e+00,5.992146e+00
-6.045923e-02,-1.888532e+00,-3.894441e+00,-6.274077e+00,-8.958899e+00,-1.060641e+01,3.231322e-01,-2.735606e-01,-4.039627e+00,-8.341969e-01,1.056869e+01,1.479223e+01,2.156794e+01,2.075018e+01,1.631266e+01,1.508886e+01,1.750252e+01,1.961913e+01,2.362991e+01,2.490532e+01,2.880604e+01,3.386719e+01,3.455996e+01,3.784767e+01,4.002031e+01,3.342811e+01,3.023681e+01,3.011971e+01,3.376334e+01,4.139906e+01,4.245788e+01,4.086019e+01,4.089827e+01,4.016918e+01,3.200238e+01,2.778003e+01,2.070941e+01,1.063294e+01,1.100793e+01,1.211267e+01,6.563292e+00,2.651166e+00,-1.450552e+00,6.507597e-01,3.185779e-01,-6.153831e-01,-1.557517e+00
-2.002347e+00,-7.001623e+00,-1.379841e+01,-7.598563e+00,-1.026771e+01,-1.469019e+01,8.762514e+00,-1.287956e+01,-1.555768e+01,-1.036852e+01,-1.059703e+00,1.404286e+00,6.117153e-01,2.772805e-01,-8.978348e-01,3.302320e-01,2.593874e+00,4.902236e+00,5.587993e+00,3.905133e+00,2.363544e+00,7.761503e-01,5.002981e-02,3.519704e+00,3.447508e+00,-5.275917e-01,-4.620122e+00,-8.839591e+00,-8.690834e+00,-5.279215e+00,-6.146716e+00,-9.783298e+00,-1.470235e+01,-1.925925e+01,-1.863198e+01,-1.126570e+01,5.860080e-01,8.122551e+00,1.265867e+01,1.027462e+01,8.612356e+00,1.417692e+00,-1.838179e+00,-8.008544e-01,-1.228871e+00,-1.016455e+00,6.604109e-01
5.427088e+00,1.387811e+01,9.476940e+00,1.484936e+01,1.328209e+01,1.166372e+01,1.591301e+01,9.980089e+00,1.163153e+01,1.171539e+01,1.487189e+01,2.451008e+01,3.379962e+01,3.325074e+01,2.540062e+01,1.922142e+01,1.887011e+01,2.056548e+01,1.519567e+01,1.304723e+01,1.003585e+01,1.114556e+01,1.022138e+01,1.085838e+01,1.230116e+01,1.326313e+01,1.053586e+01,8.661388e+00,9.521192e+00,7.919698e+00,6.599886e+00,5.255637e-01,-2.427003e+00,-4.934388e+00,-7.079082e+00,-1.073727e+01,-9.836643e+00,-5.683193e+00,-1.150393e+00,-1.235820e+00,4.068971e+00,6.022382e-01,-8.895731e-02,1.446652e+00,9.003854e-01,2.787892e-01,2.973351e+00
4.477612e+00,2.228590e+00,-1.337425e+01,-1.778459e+01,-1.809482e+01,-1.662530e+01,-1.772585e+01,-2.167985e+01,-1.146679e+01,-8.230852e+00,-1.212411e+01,-1.041865e+01,-1.543201e+01,-1.693431e+01,-1.900004e+01,-2.227620e+01,-1.895474e+01,-1.815356e+01,-1.862958e+01,-1.711030e+01,-1.183838e+01,-8.616233e+00,-1.203383e+01,-1.640790e+01,-1.986156e+01,-1.538005e+01,-1.251176e+01,-1.596192e+01,-1.637525e+01,-2.098564e+01,-2.816844e+01,-3.492274e+01,-3.483693e+01,-2.661115e+01,-2.449039e+01,-2.436794e+01,-2.086374e+01,-1.658308e+01,-1.347180e+01,-1.070907e+01,-2.879271e+00,-2.597459e+00,-1.142708e+00,1.116449e+00,1.739475e-01,-1.190980e+00,3.086326e-01
8.203865e-01,-9.722143e+00,-2.375360e+01,-2.026573e+01,-1.880007e+01,-2.172465e+01,-1.951508e-01,1.161460e+01,1.070803e+01,6.134263e+00,-1.205774e+00,-6.130560e+00,-4.345197e+00,-1.462074e+00,2.229951e+00,4.278457e+00,7.283194e+00,6.332734e+00,5.133259e+00,1.474655e+00,1.509815e+00,7.454155e-01,6.672453e-01,2.354456e+00,1.307419e+00,2.759100e+00,1.613496e+00,-2.104200e+00,-9.582819e-01,-2.960797e+00,-8.496840e+00,-1.181385e+01,-1.080784e+01,-8.731244e+00,-1.522358e+01,-2.518183e+01,-2.384480e+01,-1.124057e+01,-1.134563e+01,-8.574665e+00,-3.250897e+00,-3.222552e+00,-1.286093e+00,-2.116072e-01,-2.017469e+00,-2.383948e+00,-3.262046e+00
-5.162067e-01,-7.925346e-01,-4.679588e+00,-1.607275e+00,-1.513426e-01,-4.512877e+00,3.557662e+00,-6.354733e+00,-8.651426e+00,-9.243780e+00,-1.411072e+01,-1.575208e+01,-1.840827e+01,-1.881210e+01,-1.401562e+01,-9.963842e+00,-7.852420e+00,-9.871409e+00,-1.431541e+01,-1.220829e+01,-1.296284e+01,-1.591832e+01,-1.267420e+01,-1.229089e+01,-1.382319e+01,-1.611685e+01,-1.638458e+01,-1.784375e+01,-1.927484e+01,-1.855438e+01,-2.124224e+01,-1.821511e+01,-5.199473e+00,6.670538e+00,9.145279e+00,1.460919e+00,-9.652741e-01,1.035058e+00,-2.712387e+00,-2.740064e+00,-3.023490e-01,-1.043638e+00,-4.428782e-01,-7.127061e-01,-2.650475e+00,-1.132987e+00,-2.152598e+00
