Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.951477e+02,-4.801082e+02,-4.788022e+02,-4.717882e+02,-4.727489e+02,-4.782676e+02,-4.789538e+02,-4.760849e+02,-4.756559e+02,-4.808255e+02,-4.844791e+02,-4.818120e+02,-3.496294e+02,-2.407049e+02,-1.754473e+02,-1.285740e+02,-1.103897e+02,-1.113470e+02,-1.001686e+02,-8.905820e+01,-9.793111e+01,-1.332011e+02,-1.898407e+02,-2.585426e+02,-3.299241e+02,-3.884905e+02,-4.413839e+02,-4.718036e+02,-4.780685e+02,-4.769290e+02,-4.805358e+02,-4.804821e+02,-4.776833e+02,-4.771606e+02,-4.763585e+02
3.417712e+01,4.700792e+01,4.915948e+01,5.628793e+01,5.558637e+01,4.913156e+01,4.869534e+01,5.175156e+01,5.293256e+01,4.834666e+01,4.491386e+01,4.467447e+01,8.061914e+01,1.090127e+02,1.201638e+02,1.259707e+02,1.049286e+02,7.145932e+01,6.482487e+01,8.708759e+01,1.093823e+02,1.287278e+02,1.479799e+02,1.524482e+02,1.507912e+02,1.197447e+02,7.731213e+01,5.453719e+01,5.176934e+01,5.331184e+01,4.820729e+01,4.645401e+01,4.963476e+01,5.183668e+01,5.596699e+01
1.853515e+01,1.718761e+01,2.003912e+01,2.089989e+01,2.065999e+01,1.847102e+01,1.946423e+01,2.072652e+01,2.178393e+01,2.208319e+01,2.258705e+01,1.750886e+01,-1.542085e+01,-1.157134e+01,-9.545761e+00,-2.250228e+01,-2.231861e+01,-1.891544e+01,-2.924293e+01,-3.267104e+01,-2.957212e+01,-2.374353e+01,-1.047483e+01,2.056877e+00,1.392808e+00,5.996243e+00,9.146930e+00,1.828448e+01,2.514044e+01,2.606795e+01,2.184819e+01,1.694090e+01,1.846071e+01,2.303843e+01,3.037998e+01
9.660028e+00,4.810810e+00,6.930859e+00,3.913397e+00,3.161048e+00,5.373346e+00,7.080424e+00,7.707809e+00,7.014364e+00,8.796872e+00,1.290344e+01,1.062924e+01,-4.997433e+00,-1.178973e+01,-3.602559e+01,-5.462388e+01,-3.851644e+01,-1.764374e+01,-2.056601e+01,-3.244993e+01,-3.968729e+01,-3.677734e+01,-3.847974e+01,-3.057400e+01,-2.267426e+01,-1.852519e+01,-1.110281e+01,4.331889e+00,1.279689e+01,1.323684e+01,1.180460e+01,5.942501e+00,5.420261e+00,9.250076e+00,1.363204e+01
1.012672e+01,1.121406e+01,1.071885e+01,9.512968e+00,9.531303e+00,1.155800e+01,1.179964e+01,1.305936e+01,1.088963e+01,1.022640e+01,1.580350e+01,1.997970e+01,4.338298e+01,2.728845e+01,5.483921e+00,-1.187344e+01,-2.482717e+01,-3.859481e+01,-3.853337e+01,-3.914946e+01,-4.771537e+01,-3.715461e+01,-2.683428e+01,-1.494423e+01,8.769115e+00,1.251944e+01,8.523563e+00,1.127037e+01,1.548010e+01,1.760983e+01,1.927079e+01,1.482781e+01,1.204984e+01,1.241214e+01,1.030947e+01
1.055268e+01,1.476043e+01,1.290925e+01,1.491241e+01,1.739554e+01,1.596682e+01,1.461805e+01,1.645250e+01,1.363190e+01,1.118690e+01,1.583119e+01,2.140835e+01,2.824036e+01,2.908300e+01,4.775913e+01,5.942772e+01,7.143155e+01,7.505182e+01,8.335448e+01,8.223537e+01,6.754111e+01,6.312044e+01,6.137657e+01,4.715927e+01,2.429185e+01,2.122721e+01,1.837234e+01,1.447841e+01,1.629873e+01,2.142718e+01,2.316888e+01,2.060015e+01,1.717276e+01,1.579586e+01,9.367247e+00
4.974314e+00,6.768373e+00,5.630931e+00,7.432534e+00,1.098659e+01,8.676620e+00,8.013812e+00,1.004921e+01,7.602022e+00,6.402481e+00,8.770794e+00,9.798481e+00,-3.508340e+01,-5.040714e+01,-3.922235e+01,-3.243650e+01,-3.729184e+01,-4.563892e+01,-4.717600e+01,-4.421850e+01,-4.330691e+01,-4.203415e+01,-3.685976e+01,-2.535560e+01,-5.307678e+00,5.000720e+00,7.010727e+00,7.606323e+00,9.791464e+00,1.528296e+01,1.381538e+01,1.275088e+01,1.122393e+01,1.021237e+01,4.394390e+00
-1.191679e+00,-4.513953e-01,-6.872360e-01,-1.623505e+00,2.733037e-01,8.836780e-01,1.233825e+00,3.680649e+00,3.503190e+00,3.870198e+00,4.013684e+00,1.872216e+00,-4.271183e+00,-8.453328e+00,-8.496487e+00,-8.628414e+00,8.159332e+00,2.369751e+01,2.461146e+01,2.018045e+01,1.696771e+01,9.674240e+00,2.847090e+00,1.250811e+00,-1.695339e+00,-3.212558e+00,1.113358e-01,2.081257e+00,4.299721e+00,6.817080e+00,3.182087e+00,3.065420e+00,2.992912e+00,2.997867e+00,4.893157e-02
-3.865983e-01,2.259274e+00,2.327137e+00,4.928148e-01,8.393526e-01,3.331777e+00,1.756489e+00,4.044098e+00,6.883868e+00,7.354422e+00,6.020751e+00,5.665402e+00,-6.730816e+00,-6.348298e+00,-1.709412e+00,8.886049e-01,-1.532208e+00,-1.275455e+00,8.129157e-01,-5.248459e+00,-9.233973e+00,-5.943980e+00,2.686741e+00,1.136504e+01,5.278912e+00,6.001148e+00,8.260914e+00,3.129275e+00,3.604074e+00,3.710180e+00,2.302505e+00,2.024618e+00,9.375888e-01,2.224124e+00,4.829567e-01
5.854828e+00,7.925970e+00,7.232242e+00,8.641159e+00,9.491791e+00,1.031862e+01,5.437528e+00,5.443522e+00,8.827976e+00,1.000781e+01,8.377628e+00,8.998556e+00,1.992939e+01,2.447436e+01,2.446671e+01,2.249731e+01,1.775377e+01,1.765866e+01,2.392199e+01,2.318987e+01,1.945982e+01,1.805463e+01,1.314536e+01,1.011663e+01,1.097092e+01,1.243018e+01,1.257353e+01,5.391368e+00,2.853205e+00,2.983480e+00,5.584357e+00,4.792145e+00,3.496616e+00,3.468309e+00,2.837534e+00
9.351366e+00,7.133860e+00,5.789975e+00,1.008067e+01,1.100771e+01,1.080834e+01,6.245161e+00,2.762694e+00,2.818204e+00,5.710692e+00,5.348234e+00,2.925338e+00,-1.305424e+01,-1.355811e+01,-9.750784e+00,-7.691918e+00,-1.005301e+01,-1.425722e+01,-1.047327e+01,-6.146729e+00,-3.807278e+00,-2.227697e+00,4.685429e+00,8.886113e+00,6.745886e+00,1.857804e+00,3.023540e+00,3.417185e+00,-4.309651e-01,-2.599146e-01,3.244119e+00,3.506472e+00,5.266590e+00,1.712905e+00,3.871156e+00
6.096627e+00,1.448420e+00,1.294667e+00,2.921869e+00,1.719860e+00,3.533877e+00,3.456380e+00,-1.561547e+00,-4.140218e+00,-1.667363e+00,-5.372354e-01,-5.182352e+00,-1.668404e+00,-2.411045e-01,-8.437508e+00,-2.275221e+01,-2.917010e+01,-2.621214e+01,-2.495936e+01,-2.227703e+01,-1.826471e+01,-1.827352e+01,-1.708559e+01,-1.507187e+01,-1.570609e+01,-1.434340e+01,-8.148438e+00,-2.167301e+00,-2.855702e+00,-3.676341e+00,-2.636347e+00,-3.169452e-01,4.348855e+00,3.477634e-01,4.893723e+00
-6.301269e-02,-1.718771e+00,-4.912448e-01,-3.754273e+00,-6.314019e+00,-3.614549e+00,-1.434497e-01,-3.935860e+00,-3.345121e+00,-3.728442e+00,-3.283736e+00,-5.993206e+00,-1.114536e+01,-1.398005e+01,-1.979520e+01,-3.228682e+01,-3.199238e+01,-3.055483e+01,-3.153241e+01,-2.666004e+01,-2.215495e+01,-2.223417e+01,-2.287989e+01,-1.696618e+01,-1.593651e+01,-1.901617e+01,-1.085320e+01,-5.577400e+00,-1.639342e+00,-2.364561e+00,-3.102545e+00,-7.524441e-01,3.449020e+00,2.248766e+00,7.402960e+00
