Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.816387e+02,-5.604078e+02,-5.356627e+02,-5.015114e+02,-4.469148e+02,-3.938830e+02,-2.982093e+02,-2.574091e+02,-2.454845e+02,-2.179243e+02,-2.182199e+02,-2.175614e+02,-2.035692e+02,-2.163670e+02,-2.480474e+02,-2.949092e+02,-3.488085e+02,-3.922817e+02,-4.315932e+02,-4.799656e+02,-5.238998e+02,-5.640241e+02,-5.906152e+02,-5.923003e+02,-5.923003e+02,-5.917161e+02,-5.913691e+02,-5.923003e+02
1.458832e+01,4.269442e+01,7.222092e+01,1.064470e+02,1.298957e+02,1.544191e+02,2.000378e+02,2.071817e+02,2.183057e+02,2.420720e+02,2.463526e+02,2.443929e+02,2.562639e+02,2.590325e+02,2.584901e+02,2.514354e+02,2.313749e+02,1.999537e+02,1.682003e+02,1.254203e+02,8.092645e+01,3.646016e+01,2.333204e+00,0.000000e+00,0.000000e+00,8.244953e-01,1.313644e+00,0.000000e+00
1.316799e+01,3.601923e+01,5.265584e+01,6.138370e+01,4.172166e+01,8.612474e+00,-6.783530e+01,-8.750626e+01,-7.894960e+01,-7.563269e+01,-7.495842e+01,-7.202385e+01,-6.420016e+01,-4.732872e+01,-2.852528e+01,-1.424483e+00,2.505191e+01,3.889033e+01,4.734200e+01,5.358512e+01,4.477064e+01,2.705747e+01,2.186327e+00,0.000000e+00,0.000000e+00,8.189771e-01,1.303797e+00,0.000000e+00
1.095428e+01,2.654217e+01,3.056615e+01,2.619010e+01,1.892669e+01,-6.883761e+00,-5.815445e+01,-5.668021e+01,-5.382707e+01,-7.437386e+01,-8.645925e+01,-8.582436e+01,-8.878175e+01,-8.460284e+01,-8.406131e+01,-8.576344e+01,-7.862820e+01,-5.390734e+01,-3.319345e+01,-2.568078e+00,1.091588e+01,1.479902e+01,1.950950e+00,0.000000e+00,0.000000e+00,8.098156e-01,1.287470e+00,0.000000e+00
8.156394e+00,1.616124e+01,1.381811e+01,8.281433e+00,8.869324e-01,1.412403e+01,3.241475e+01,1.786433e+01,5.289504e+00,-2.309936e+01,-3.794858e+01,-5.011294e+01,-6.571917e+01,-6.912141e+01,-6.537058e+01,-6.201308e+01,-5.788456e+01,-4.521361e+01,-3.653241e+01,-1.807507e+01,-6.962737e+00,3.235538e+00,1.640490e+00,0.000000e+00,0.000000e+00,7.970713e-01,1.264785e+00,0.000000e+00
5.028511e+00,6.626294e+00,4.657679e+00,-1.331552e+00,-7.305667e+00,1.491203e+01,2.684218e+01,1.043636e+01,3.852236e-02,5.027591e+00,9.035465e+00,3.530138e+00,2.206050e+00,1.808173e-01,-5.180459e+00,-7.853879e+00,-7.115752e+00,-7.764556e+00,-7.405045e+00,-1.031392e+01,-1.135291e+01,-4.949568e+00,1.272392e+00,0.000000e+00,0.000000e+00,7.808193e-01,1.235907e+00,0.000000e+00
1.838578e+00,-9.172244e-01,4.504423e-01,-5.230189e+00,-6.839233e+00,-1.321413e+01,-3.328119e+01,-4.211044e+01,-4.261894e+01,-2.639149e+01,-9.886544e+00,-6.910666e+00,-1.488388e-01,1.899605e-01,2.032443e+00,-1.146239e+00,2.831382e+00,1.072441e+00,3.227817e+00,-5.268534e+00,-1.080614e+01,-8.771630e+00,8.669062e-01,0.000000e+00,0.000000e+00,7.611637e-01,1.201057e+00,0.000000e+00
-1.162852e+00,-6.104312e+00,-2.361166e+00,-3.620380e+00,-6.037736e+00,-2.187569e+01,-2.796844e+01,-3.460500e+01,-3.871218e+01,-3.965391e+01,-4.178428e+01,-4.465356e+01,-4.157431e+01,-4.539090e+01,-4.538300e+01,-3.993400e+01,-2.250024e+01,-1.428520e+01,-8.292431e+00,-7.852409e+00,-8.788090e+00,-8.922789e+00,4.456918e-01,0.000000e+00,0.000000e+00,7.382220e-01,1.160497e+00,0.000000e+00
-3.769026e+00,-9.221688e+00,-5.251001e+00,-2.341243e+00,-7.724750e+00,-7.064964e+00,5.099333e+00,3.598245e+00,-4.248343e+00,-1.142715e+01,-1.890031e+01,-2.315258e+01,-2.280603e+01,-2.446795e+01,-3.009885e+01,-3.725819e+01,-3.774368e+01,-2.787378e+01,-1.854103e+01,-8.574745e+00,-4.435673e+00,-7.083946e+00,3.034921e-02,0.000000e+00,0.000000e+00,7.121330e-01,1.114526e+00,0.000000e+00
-5.835265e+00,-1.087956e+01,-7.731906e+00,-4.822275e+00,-1.317193e+01,-2.275324e+00,-1.514469e+00,-4.806482e+00,-8.159465e+00,-1.323854e+01,-1.380855e+01,-8.838488e+00,-1.044915e+01,-1.068686e+01,-1.147496e+01,-1.887362e+01,-2.922258e+01,-2.552161e+01,-1.641278e+01,-4.549607e+00,5.276569e-01,-5.034529e+00,-3.589975e-01,0.000000e+00,0.000000e+00,6.830723e-01,1.063483e+00,0.000000e+00
-7.286896e+00,-1.165780e+01,-9.251325e+00,-8.546077e+00,-1.501751e+01,-1.253232e+01,-1.282728e+01,-1.332551e+01,-1.437646e+01,-1.337028e+01,-1.221620e+01,-6.850886e+00,-2.805345e+00,-3.921424e+00,-1.052188e+01,-1.470055e+01,-1.159536e+01,-1.062501e+01,-8.730574e+00,-2.320631e+00,1.297316e+00,-3.988307e+00,-7.049801e-01,0.000000e+00,0.000000e+00,6.512028e-01,1.007748e+00,0.000000e+00
-8.116996e+00,-1.188409e+01,-1.024272e+01,-1.215225e+01,-1.518637e+01,-1.668751e+01,-1.556624e+01,-1.630477e+01,-1.452652e+01,-1.513776e+01,-1.307112e+01,-1.034550e+01,-5.155749e+00,3.915231e-01,2.244053e+00,-1.186139e+00,5.074117e-01,-1.859216e-01,-4.451680e+00,-5.400657e+00,-3.672623e+00,-4.341884e+00,-9.940122e-01,0.000000e+00,0.000000e+00,6.167222e-01,9.477296e-01,0.000000e+00
-8.375166e+00,-1.161531e+01,-1.146480e+01,-1.562824e+01,-1.489169e+01,-1.482835e+01,-1.312894e+01,-1.359744e+01,-4.716483e+00,-9.480895e+00,-1.645860e+01,-1.607054e+01,-1.438182e+01,-8.946853e+00,-5.691203e+00,-5.020878e+00,-7.362273e+00,-6.161597e+00,-6.383694e+00,-9.676748e+00,-1.000703e+01,-5.780208e+00,-1.217006e+00,0.000000e+00,0.000000e+00,5.798442e-01,8.838645e-01,0.000000e+00
