Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.730750e+02,-5.144723e+02,-4.814843e+02,-4.252110e+02,-3.395876e+02,-2.762209e+02,-2.336278e+02,-2.163497e+02,-1.824253e+02,-1.675123e+02,-1.935403e+02,-2.301742e+02,-2.595566e+02,-2.601513e+02,-2.848735e+02,-3.384077e+02,-4.183832e+02,-5.058221e+02,-5.663944e+02,-5.871588e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02,-5.884368e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.087236e+01,9.362146e+01,1.282341e+02,1.444900e+02,1.667364e+02,1.800221e+02,2.021253e+02,2.127171e+02,2.258435e+02,2.326637e+02,2.216610e+02,2.091881e+02,2.056916e+02,2.298769e+02,2.390487e+02,2.222969e+02,1.702430e+02,9.197941e+01,2.905136e+01,1.764422e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.842471e+01,6.578489e+01,7.416527e+01,8.408445e+00,-4.653656e+01,-5.203156e+01,-5.750346e+01,-6.791624e+01,-7.281223e+01,-6.198887e+01,-5.108273e+01,-3.505688e+01,-2.470598e+01,-1.389060e+01,3.898610e-01,1.111667e+01,2.871162e+01,3.662541e+01,2.335330e+01,1.638278e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.469355e+01,3.306740e+01,2.123712e+01,-1.666212e+01,-2.325179e+01,-1.009621e+01,-2.559633e+01,-4.379854e+01,-5.718867e+01,-4.791556e+01,-3.825784e+01,-2.973669e+01,-3.614101e+01,-5.924567e+01,-7.299966e+01,-8.328838e+01,-6.436455e+01,-1.039570e+01,1.563437e+01,1.437101e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.014023e+01,6.909790e+00,-7.090489e+00,2.643049e+01,3.192078e+01,3.774243e+00,-2.234468e+01,-3.467686e+01,-6.795601e+01,-8.387065e+01,-8.488138e+01,-7.730090e+01,-7.544035e+01,-8.906734e+01,-8.659859e+01,-7.801114e+01,-6.503082e+01,-2.649109e+01,7.451860e+00,1.173669e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.300225e+00,-7.728408e+00,-1.099550e+01,2.123297e+01,8.348085e+00,1.797093e+00,-2.808280e-01,8.197237e+00,6.581830e+00,-2.622104e+00,-3.399174e+00,-1.966208e+00,-4.965507e+00,-1.362290e+01,-1.990884e+01,-2.411730e+01,-2.178975e+01,-2.046585e+01,-1.634642e-01,8.643090e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.976748e-01,-1.305280e+01,-6.874246e+00,-2.021805e+01,-2.761079e+01,-3.401939e+01,-3.499834e+01,-2.059338e+01,-4.491596e+00,-3.598697e+00,3.386858e+00,7.624920e+00,7.626871e+00,5.345057e+00,1.915515e-01,-4.893182e+00,-6.578267e+00,-1.481404e+01,-6.575890e+00,5.275495e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.234496e+00,-1.454529e+01,-8.660230e+00,-2.785337e+01,-2.284959e+01,-2.932883e+01,-3.393936e+01,-4.057471e+01,-4.021001e+01,-3.964347e+01,-4.335213e+01,-3.817186e+01,-3.375267e+01,-4.374001e+01,-4.745797e+01,-3.891018e+01,-3.117239e+01,-1.937321e+01,-1.122005e+01,1.826077e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.214532e+00,-1.634357e+01,-1.714636e+01,-8.959513e+00,-9.371888e+00,-9.051851e+00,-1.056028e+01,-1.981154e+01,-2.581563e+01,-2.867382e+01,-2.928711e+01,-2.857987e+01,-2.309122e+01,-3.338594e+01,-4.113400e+01,-4.328729e+01,-4.886145e+01,-2.564429e+01,-1.366381e+01,-1.520812e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.141914e+00,-1.921353e+01,-2.459269e+01,-7.077806e+00,-6.192492e+00,-1.366191e+01,-1.335906e+01,-9.098914e+00,-1.096392e+01,-1.630182e+01,-2.414848e+01,-3.172450e+01,-3.071138e+01,-2.809446e+01,-2.509134e+01,-2.770370e+01,-3.568453e+01,-2.297176e+01,-1.401659e+01,-4.602231e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.093103e+00,-2.152959e+01,-2.552927e+01,-2.114891e+01,-1.304488e+01,-8.007828e+00,-2.129502e+00,1.948979e+00,2.275708e+00,4.504688e+00,6.060941e-01,-3.266509e+00,-7.919695e+00,-9.681595e+00,-1.729900e+01,-2.026830e+01,-1.165572e+01,-1.320263e+01,-1.308675e+01,-7.286715e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.285624e+00,-2.141434e+01,-2.136237e+01,-2.747741e+01,-2.161950e+01,-2.109672e+01,-2.526947e+01,-2.261154e+01,-1.399243e+01,-7.577928e+00,-7.047265e-01,7.853476e+00,1.232448e+01,1.102516e+01,9.807276e-01,-6.295437e-01,-8.349921e-01,-6.989673e+00,-1.191304e+01,-9.481565e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.018600e+00,-1.819869e+01,-1.642705e+01,-2.182027e+01,-1.834931e+01,-9.518944e+00,-1.211952e+01,-1.200696e+01,-7.964898e+00,-5.808781e+00,-7.164237e+00,-3.310302e+00,-8.829930e-01,-3.161555e+00,-8.717008e+00,-9.535332e+00,-1.038711e+01,-9.708082e+00,-1.103713e+01,-1.113533e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
