Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-5.157990e+02,-4.965204e+02,-4.957838e+02,-4.932248e+02,-4.923955e+02,-4.925182e+02,-4.940901e+02,-4.406722e+02,-3.444035e+02,-2.632963e+02,-1.544264e+02,-9.958482e+01,-8.091579e+01,-8.309927e+01,-1.012212e+02,-8.177261e+01,-5.361106e+01,-3.118026e+01,-4.979419e+01,-1.200553e+02,-2.167403e+02,-2.920564e+02,-3.589007e+02,-4.192239e+02,-4.674276e+02,-4.925949e+02,-4.954503e+02,-4.940199e+02,-5.080300e+02
3.982223e+01,5.728032e+01,5.682822e+01,5.814021e+01,6.008582e+01,6.134096e+01,6.076548e+01,9.489519e+01,1.082544e+02,1.006654e+02,7.401086e+01,5.071287e+01,2.959317e+01,2.595352e+01,3.180936e+01,1.715235e+01,1.823223e+01,3.939485e+01,6.291148e+01,9.052206e+01,1.274959e+02,1.339319e+02,1.311210e+02,1.142884e+02,7.861337e+01,5.921331e+01,5.916212e+01,6.073623e+01,4.805523e+01
1.826541e+01,1.962352e+01,1.709428e+01,1.555099e+01,1.748816e+01,1.967886e+01,2.185550e+01,3.142941e+01,1.252110e+01,-7.014888e+00,-2.300581e+01,-3.068766e+01,-3.521687e+01,-2.906330e+01,-2.035810e+01,-1.732883e+01,-3.237111e+01,-5.394459e+01,-5.618431e+01,-3.811162e+01,-1.459486e+01,9.424447e+00,1.165219e+01,1.138775e+01,1.206312e+01,1.767038e+01,2.256948e+01,2.255036e+01,2.135178e+01
5.537085e+00,2.290550e+00,1.061749e+00,-6.024277e-02,-2.685397e-01,-3.288928e-01,2.408458e+00,3.375334e+01,4.239172e+01,4.089185e+01,2.720039e+01,1.868897e+01,1.312034e+01,3.577847e+00,-5.655676e+00,-1.218610e+01,-2.014973e+01,-3.567338e+01,-3.987508e+01,-3.656701e+01,-2.594277e+01,-1.691620e+01,-1.218698e+01,-1.217075e+01,-3.499917e+00,4.119178e+00,7.266966e+00,5.093599e+00,6.145321e+00
7.081392e+00,7.249899e+00,9.673782e+00,9.163431e+00,8.092878e+00,6.703354e+00,7.976439e+00,2.150978e+01,8.140446e+00,-1.397400e+00,-1.261642e+01,-2.182936e+01,-2.652522e+01,-2.105379e+01,-9.002597e+00,-3.443872e+00,-7.944232e+00,-6.714221e+00,-6.116220e+00,-1.017700e+01,-4.712231e+00,1.005323e+01,2.173297e+01,2.268224e+01,2.047421e+01,1.486481e+01,1.437539e+01,1.161867e+01,8.009365e+00
1.308419e+01,1.331202e+01,1.593450e+01,1.423790e+01,1.487342e+01,1.569999e+01,1.605999e+01,1.252694e+01,7.221251e+00,1.265277e+01,1.906709e+01,2.703158e+01,3.849945e+01,4.688353e+01,4.676376e+01,5.082748e+01,4.927359e+01,4.848243e+01,4.855130e+01,4.576573e+01,3.177955e+01,2.819032e+01,2.470677e+01,2.580663e+01,2.746130e+01,1.966311e+01,1.948662e+01,1.760988e+01,1.263787e+01
1.419358e+01,1.211378e+01,1.040795e+01,8.069006e+00,9.746829e+00,1.230873e+01,1.309304e+01,1.481633e+01,2.815218e+01,1.383013e+01,-2.060604e+01,-3.132072e+01,-3.028207e+01,-2.943226e+01,-3.298399e+01,-3.177560e+01,-2.431037e+01,-2.060966e+01,-1.646257e+01,-1.495103e+01,-8.016565e+00,5.548605e+00,1.267008e+01,9.793940e+00,9.945420e+00,1.246608e+01,1.325576e+01,1.014000e+01,8.606737e+00
1.067946e+01,9.181793e+00,4.937044e+00,3.068226e+00,3.926520e+00,5.285946e+00,6.197333e+00,4.059512e+00,8.506229e+00,1.468961e+01,2.968803e+01,3.342784e+01,3.478912e+01,3.526898e+01,3.855791e+01,3.501916e+01,2.439847e+01,1.885497e+01,1.701889e+01,1.195735e+01,2.935923e+00,-3.642415e+00,-5.583342e+00,-1.796611e+00,-7.736760e-01,6.681039e+00,5.739660e+00,-4.874734e-01,9.328246e-03
7.336916e+00,6.592096e+00,4.694962e+00,3.666794e+00,4.075130e+00,4.613376e+00,4.306796e+00,-4.178273e+00,-7.280391e+00,-1.485836e+01,-2.372718e+01,-2.130100e+01,-1.141158e+01,-4.249138e+00,-3.891852e+00,-3.843478e+00,-3.019130e+00,-4.177917e+00,-6.604090e+00,-7.933809e+00,-7.078736e+00,-9.842045e-01,4.760870e+00,6.420285e+00,3.590581e+00,6.005804e+00,3.179941e+00,-2.155337e+00,-3.320049e+00
5.533115e+00,2.556535e+00,3.148346e+00,4.145532e+00,5.516427e+00,7.297394e+00,5.472473e+00,-1.777456e+01,-6.985174e+00,-6.657417e+00,1.390843e+00,9.299627e+00,9.189288e+00,1.290197e+01,1.740084e+01,2.024686e+01,2.971550e+01,3.188129e+01,3.098349e+01,2.765495e+01,1.393264e+01,7.138971e+00,5.193314e+00,4.334002e+00,5.507841e+00,5.025736e+00,2.261009e+00,3.051613e+00,3.560699e-01
