Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.182619e+02,-5.042517e+02,-5.049778e+02,-5.075154e+02,-5.001252e+02,-4.001232e+02,-3.193359e+02,-2.738045e+02,-2.129336e+02,-1.227326e+02,-7.963009e+01,-8.036301e+01,-9.662543e+01,-1.167879e+02,-9.178477e+01,-6.855689e+01,-5.548440e+01,-7.454287e+01,-1.270441e+02,-2.075789e+02,-3.061656e+02,-3.757150e+02,-4.317791e+02,-4.809424e+02,-5.009104e+02,-4.993942e+02,-4.969688e+02,-4.986013e+02,-5.003385e+02,-5.045539e+02
4.443547e+01,5.635629e+01,5.541330e+01,5.304723e+01,6.223479e+01,1.084071e+02,1.138287e+02,1.020204e+02,8.947665e+01,6.565008e+01,4.309573e+01,3.079663e+01,2.970491e+01,3.255992e+01,2.153814e+01,1.753665e+01,2.876035e+01,5.062503e+01,9.150908e+01,1.353166e+02,1.572673e+02,1.393882e+02,1.109961e+02,7.238277e+01,5.784789e+01,5.970288e+01,6.009838e+01,5.658311e+01,5.606203e+01,5.419297e+01
2.551451e+01,2.378560e+01,2.294708e+01,2.297164e+01,2.894006e+01,2.842135e+01,1.213553e+01,-6.750304e-01,-1.649952e+01,-3.003689e+01,-3.908983e+01,-3.799822e+01,-3.049047e+01,-2.960455e+01,-2.858122e+01,-4.088505e+01,-5.670094e+01,-5.642406e+01,-4.928620e+01,-3.429308e+01,-4.484134e+00,5.647418e+00,5.354690e+00,1.297178e+01,2.110008e+01,2.280726e+01,1.852797e+01,1.446896e+01,1.661412e+01,1.975226e+01
1.226209e+01,6.116968e+00,5.353313e+00,7.321938e+00,1.022494e+01,3.468357e+01,4.247881e+01,4.453455e+01,3.197795e+01,1.475254e+01,5.342041e+00,1.054782e+00,-7.990290e+00,-1.067870e+01,-1.081070e+01,-1.278677e+01,-2.298631e+01,-2.934559e+01,-3.234732e+01,-2.741424e+01,-2.815763e+01,-1.616867e+01,-1.957062e+01,-7.028453e+00,5.752357e+00,7.232837e+00,2.780174e+00,1.451601e+00,3.744504e+00,4.850302e+00
9.763691e+00,8.153373e+00,7.655071e+00,1.102150e+01,1.301850e+01,8.657837e+00,-1.959577e+00,-3.612249e+00,-7.330921e+00,-1.270280e+01,-1.754203e+01,-1.559458e+01,-9.536169e+00,1.258073e+00,2.249849e+00,-3.242353e+00,-3.389153e+00,-3.118344e+00,-9.344817e+00,-8.875341e+00,3.749390e+00,1.872883e+01,1.681760e+01,1.214663e+01,1.379754e+01,1.329340e+01,1.204970e+01,1.302169e+01,1.491290e+01,1.234765e+01
1.185299e+01,1.348415e+01,1.322229e+01,1.669780e+01,1.837696e+01,9.065337e-01,-3.725504e+00,2.281432e-01,1.116632e+01,2.188593e+01,2.889111e+01,3.494736e+01,3.625356e+01,3.926744e+01,4.718692e+01,4.819126e+01,4.902420e+01,5.105730e+01,5.088890e+01,4.631851e+01,3.959014e+01,3.061093e+01,3.004658e+01,2.529868e+01,2.011488e+01,1.718507e+01,1.786871e+01,1.756865e+01,1.984637e+01,1.873252e+01
1.240856e+01,1.252450e+01,1.168723e+01,1.240896e+01,1.106390e+01,4.356341e+00,1.747480e+01,1.665144e+01,-9.980997e+00,-3.510567e+01,-3.488381e+01,-3.170182e+01,-3.189891e+01,-3.431302e+01,-3.338099e+01,-2.869216e+01,-2.424831e+01,-2.261926e+01,-2.454361e+01,-1.814872e+01,-5.717187e+00,-2.356210e+00,9.408583e+00,1.613906e+01,1.348221e+01,1.113388e+01,1.217272e+01,9.816171e+00,1.097981e+01,1.240998e+01
1.071651e+01,8.837755e+00,6.484294e+00,3.152148e+00,-2.838350e+00,-1.020107e+01,-7.155824e+00,4.511196e+00,1.821424e+01,2.874823e+01,3.220890e+01,3.201498e+01,3.450075e+01,3.036592e+01,2.996999e+01,2.353588e+01,2.418811e+01,2.219428e+01,1.427430e+01,8.198859e+00,1.705997e+00,-5.108510e+00,-7.212719e-01,5.466469e+00,4.735210e+00,4.978592e+00,7.314617e+00,5.477583e+00,3.722102e+00,3.598311e+00
7.577085e+00,5.812150e+00,2.396317e+00,-1.786091e+00,-9.555214e+00,-1.248473e+01,-1.575736e+01,-1.676552e+01,-1.567501e+01,-2.099964e+01,-1.431614e+01,-8.036061e+00,-4.190387e+00,-6.594080e+00,-5.317432e+00,-9.863997e+00,-1.087356e+01,-1.404172e+01,-1.997476e+01,-1.654093e+01,-3.991918e+00,4.847306e+00,9.968842e+00,5.963137e+00,3.359998e+00,3.841427e+00,7.603089e+00,8.102410e+00,4.288124e+00,1.521798e+00
2.637870e+00,2.270044e+00,5.425629e-02,-7.952322e-01,-7.333739e+00,-1.566912e+01,-3.714363e+00,-2.489046e+00,1.463869e+00,3.967562e+00,1.012130e+01,7.770126e+00,5.440720e+00,3.766285e-01,9.126188e+00,2.131001e+01,2.547645e+01,2.736729e+01,2.270076e+01,2.059924e+01,7.497895e+00,9.621622e+00,1.458588e+01,8.220873e+00,5.968496e+00,4.340187e+00,6.500228e+00,8.309801e+00,4.363394e+00,2.190700e+00
-3.415032e+00,-1.736988e+00,-6.209143e-01,1.515636e+00,-5.078633e+00,-3.428403e+01,-4.289266e+01,-4.707000e+01,-4.196883e+01,-2.840126e+01,-2.635497e+01,-2.812013e+01,-2.580163e+01,-2.343329e+01,-2.160781e+01,-1.902004e+01,-2.034292e+01,-2.066135e+01,-2.098967e+01,-1.930275e+01,-1.258277e+01,-7.201509e+00,4.824885e+00,3.926185e+00,5.659625e+00,3.560437e+00,1.493519e+00,2.048739e+00,-2.737050e-01,2.698545e-01
-7.605934e+00,-3.919403e+00,-2.005669e-01,1.188592e+00,-6.859337e+00,5.368405e+00,2.344812e+01,2.962671e+01,1.296500e+01,2.348307e+00,-1.531651e+00,-5.839677e+00,-7.711154e+00,-1.148412e+01,-1.421101e+01,-1.586456e+01,-1.352669e+01,-1.222752e+01,-9.099980e+00,-1.225972e+01,-8.557164e+00,-6.121011e+00,-5.603518e+00,-2.872647e+00,1.296143e+00,1.051014e+00,-3.431651e+00,-4.733850e+00,-3.314198e+00,-1.385463e+00
-7.115467e+00,-3.049105e+00,-1.691002e-01,-1.152915e+00,-7.231556e+00,-2.185978e+01,-3.401090e+01,-3.272670e+01,-2.815396e+01,-3.052083e+01,-2.994315e+01,-3.070329e+01,-3.083201e+01,-2.702869e+01,-2.492115e+01,-2.531154e+01,-2.362854e+01,-2.514332e+01,-2.132962e+01,-1.336659e+01,-7.255395e+00,-1.151643e+01,-1.089223e+01,-5.612661e+00,-2.644194e+00,-1.697938e+00,-4.341550e+00,-4.319751e+00,9.192522e-01,1.262376e+00
