Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50
-4.851875e+02,-4.658460e+02,-4.656193e+02,-4.684360e+02,-4.672942e+02,-4.671259e+02,-4.678200e+02,-4.690157e+02,-4.658732e+02,-4.636502e+02,-4.561585e+02,-4.406908e+02,-4.134799e+02,-3.670170e+02,-3.274023e+02,-3.009951e+02,-2.757529e+02,-2.588664e+02,-2.365780e+02,-1.723084e+02,-1.159955e+02,-1.070147e+02,-1.158739e+02,-1.211107e+02,-1.215441e+02,-1.119126e+02,-9.488058e+01,-9.503230e+01,-9.377962e+01,-8.244715e+01,-5.437233e+01,-3.829951e+01,-3.703439e+01,-3.454693e+01,-3.094054e+01,-2.537049e+01,-1.677805e+01,-6.867249e+00,-1.885075e+01,-6.777928e+01,-1.344681e+02,-1.911634e+02,-2.788133e+02,-3.704845e+02,-4.413064e+02,-4.672509e+02,-4.733013e+02,-4.760773e+02,-4.753340e+02,-4.795727e+02
4.982386e+01,6.566626e+01,6.453323e+01,6.076566e+01,6.411154e+01,6.257554e+01,6.069972e+01,6.121687e+01,6.436825e+01,6.656314e+01,7.346922e+01,9.257361e+01,1.235479e+02,1.438634e+02,1.416297e+02,1.363859e+02,1.291888e+02,1.177475e+02,1.007949e+02,1.076510e+02,9.834389e+01,7.749788e+01,6.847749e+01,6.981940e+01,6.498634e+01,6.113847e+01,6.168101e+01,5.892827e+01,5.735915e+01,4.781364e+01,4.901252e+01,4.950079e+01,4.451334e+01,3.498145e+01,3.140116e+01,3.203992e+01,4.018362e+01,4.586271e+01,5.885806e+01,7.328500e+01,9.720316e+01,1.251482e+02,1.439714e+02,1.302608e+02,8.792842e+01,6.576524e+01,6.013527e+01,5.875623e+01,5.970079e+01,5.464238e+01
2.240351e+01,2.161779e+01,2.014846e+01,1.791378e+01,1.954246e+01,1.746017e+01,1.705556e+01,1.908767e+01,1.836300e+01,1.868190e+01,2.170497e+01,3.573461e+01,5.929282e+01,5.189099e+01,3.470257e+01,2.102228e+01,1.061868e+01,5.203757e+00,5.998252e+00,-6.944290e+00,-1.253835e+01,-1.804330e+01,-1.548163e+01,-1.342377e+01,-5.084741e+00,-3.098993e+00,-7.285650e+00,-1.233173e+01,-1.485435e+01,-2.031566e+01,-3.865938e+01,-4.678371e+01,-4.264737e+01,-4.765994e+01,-5.244378e+01,-5.031081e+01,-5.108794e+01,-6.801085e+01,-7.967143e+01,-6.112360e+01,-4.381088e+01,-4.239871e+01,-2.280504e+01,-4.908995e+00,1.577150e+01,1.824271e+01,1.774950e+01,1.979266e+01,2.183197e+01,1.946840e+01
9.835084e+00,2.974859e+00,2.555888e+00,4.186401e+00,1.454805e+00,-1.895991e-01,1.195956e+00,3.442094e+00,9.429151e-01,8.707213e-01,4.584222e+00,1.653547e+01,3.462688e+01,4.411356e+01,5.312723e+01,5.665367e+01,6.134066e+01,6.631628e+01,6.306227e+01,2.921648e+01,9.948573e+00,4.105888e+00,-4.685407e+00,-1.214790e+01,-1.432787e+01,-1.674811e+01,-1.739007e+01,-1.771413e+01,-1.666811e+01,-1.172848e+01,-1.708688e+01,-1.959488e+01,-1.584928e+01,-1.403443e+01,-1.665879e+01,-1.345808e+01,-8.237750e+00,-8.430574e+00,-1.332304e+01,-1.077545e+01,-1.698380e+01,-2.194503e+01,-2.704515e+01,-2.534181e+01,-1.407095e+01,-3.828721e+00,-1.988141e+00,-1.695137e+00,2.485403e+00,3.918158e+00
1.163318e+01,4.907631e+00,4.374464e+00,8.896446e+00,6.740436e+00,6.404476e+00,7.884964e+00,5.929381e+00,6.186341e+00,7.203564e+00,9.320150e+00,1.971942e+01,2.321914e+01,2.112657e+01,1.668270e+01,1.208953e+01,5.474560e+00,-2.169649e+00,-1.249308e+01,-2.952897e+01,-2.920131e+01,-2.302985e+01,-1.679172e+01,-1.221299e+01,-5.058352e+00,-4.183195e+00,-2.039733e+00,-1.550967e+00,-1.656897e+00,-2.961901e+00,-2.025064e+00,1.960426e+00,4.333197e+00,4.700130e-01,-3.409718e+00,-4.123165e+00,-2.908066e+00,-2.092562e+00,-1.194877e+00,-1.423537e+00,1.010186e+00,5.845844e+00,9.218725e+00,9.805453e+00,1.883049e+00,5.613801e+00,7.201792e+00,1.827577e+00,5.362121e+00,9.993536e+00
1.709108e+01,1.545441e+01,1.635715e+01,1.821559e+01,1.713022e+01,1.711359e+01,1.975782e+01,1.477142e+01,1.662160e+01,1.845526e+01,1.582899e+01,1.936030e+01,1.226920e+01,-6.879376e+00,-1.829963e+01,-1.779335e+01,-1.574182e+01,-1.271396e+01,-6.611887e+00,-1.955164e-01,-3.531678e-01,5.375186e+00,1.590629e+01,1.617260e+01,1.794864e+01,1.964430e+01,1.566141e+01,1.495682e+01,1.578421e+01,1.185279e+01,1.518621e+01,1.684977e+01,1.776402e+01,1.541903e+01,1.460997e+01,1.604979e+01,1.692373e+01,1.350323e+01,1.498354e+01,1.572738e+01,9.673612e+00,1.335046e+00,-3.363657e+00,7.772151e+00,1.731675e+01,1.837634e+01,1.921706e+01,1.053019e+01,1.067838e+01,1.584913e+01
1.446517e+01,1.541928e+01,1.717846e+01,1.511472e+01,1.509932e+01,1.608998e+01,1.782202e+01,1.328477e+01,1.484846e+01,1.750171e+01,1.291749e+01,8.214417e+00,3.588133e+00,-1.903673e+00,-1.229642e+01,-1.162223e+01,-7.383923e+00,-5.219605e+00,-3.238891e+00,-1.395294e+01,-1.800463e+01,-1.031489e+01,-6.382355e+00,-5.036913e+00,-1.002317e+00,-2.264457e+00,-8.841688e+00,-3.635067e+00,-3.784100e+00,-9.798432e+00,-7.131169e+00,-4.243078e+00,-3.768578e+00,-5.863326e+00,-6.131193e+00,-4.906252e+00,-3.053885e+00,-5.331995e+00,-6.262579e+00,-5.869537e+00,-2.804226e+00,-1.049254e+00,-3.406786e+00,-1.489573e+00,1.302313e+01,1.780717e+01,1.752655e+01,1.052894e+01,1.010461e+01,1.298583e+01
5.348638e+00,3.772200e+00,4.395046e+00,3.115108e+00,3.837495e+00,4.175286e+00,3.770288e+00,2.147495e+00,2.543279e+00,6.279212e+00,3.555355e+00,-5.480900e+00,-5.735020e+00,2.952345e+00,4.945909e+00,5.995996e+00,9.446393e+00,7.289149e+00,6.725664e+00,8.583153e+00,1.292201e+01,2.244628e+01,2.657627e+01,2.701224e+01,2.542552e+01,2.613702e+01,2.225229e+01,2.445277e+01,2.123663e+01,1.888676e+01,1.893984e+01,1.968470e+01,2.129231e+01,2.358507e+01,2.224902e+01,2.266510e+01,1.898420e+01,1.507532e+01,1.163516e+01,1.289546e+01,1.023598e+01,6.946424e+00,-6.556374e+00,-2.148069e+00,5.144843e+00,1.043057e+01,9.260086e+00,6.143555e+00,9.110347e+00,9.550968e+00
3.712035e+00,3.512286e+00,3.437287e+00,3.109395e+00,1.075263e+00,1.819703e+00,2.638128e+00,1.267501e+00,-1.458955e-01,3.979172e+00,4.507794e+00,-6.306153e+00,-7.668891e+00,-5.877967e+00,8.258835e-01,-1.067457e+00,-6.465000e+00,-1.044330e+01,-1.261375e+01,-1.534754e+01,-1.635890e+01,-1.036741e+01,-1.188396e+01,-1.458448e+01,-1.600049e+01,-1.312766e+01,-1.557626e+01,-1.872431e+01,-2.288362e+01,-2.389632e+01,-2.215815e+01,-2.058332e+01,-1.952171e+01,-2.080119e+01,-2.197896e+01,-2.059082e+01,-2.300514e+01,-2.459830e+01,-2.847795e+01,-2.725786e+01,-2.455104e+01,-1.638479e+01,-9.418843e+00,-1.258713e+00,3.150628e+00,4.232667e+00,3.922070e+00,3.606598e+00,8.224915e+00,8.675461e+00
6.312031e+00,5.461931e+00,4.191670e+00,1.909105e+00,1.107650e+00,3.982246e+00,3.719321e+00,1.060167e+00,-4.616284e-02,3.724289e+00,5.622933e+00,-4.043001e+00,-8.291815e+00,-1.255495e+01,-1.073022e+01,-7.981430e+00,-6.971352e+00,-8.671926e+00,-8.224777e+00,-1.986280e+00,3.667806e+00,6.143076e+00,9.146857e+00,9.251210e+00,9.770885e+00,8.899554e+00,6.842006e+00,5.207816e+00,4.011600e+00,3.053787e+00,6.483742e+00,6.562925e+00,4.336097e+00,1.012416e+00,-2.237720e+00,-1.403340e+00,-2.743766e+00,-5.966669e+00,-1.397029e+01,-1.910309e+01,-1.590395e+01,-1.653902e+01,-1.907629e+01,-1.268181e+01,-7.937115e-02,-7.546968e-01,6.348099e-01,1.273638e+00,3.602758e+00,5.724279e+00
