Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.420502e+02,-5.420502e+02,-5.420502e+02,-5.420502e+02,-5.420502e+02,-5.420502e+02,-5.400336e+02,-4.857659e+02,-4.207018e+02,-3.674102e+02,-3.270565e+02,-2.854983e+02,-2.095532e+02,-1.862918e+02,-1.856378e+02,-1.739284e+02,-1.871677e+02,-2.241740e+02,-2.809599e+02,-3.481046e+02,-3.967737e+02,-4.127188e+02,-4.376760e+02,-4.865514e+02,-5.252889e+02,-5.403915e+02,-5.419677e+02,-5.420502e+02,-5.420502e+02,-5.420502e+02,-5.420502e+02,-5.420502e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.779773e+00,6.856806e+01,1.168041e+02,1.276561e+02,1.391943e+02,1.481761e+02,1.666938e+02,1.686596e+02,1.687874e+02,1.879466e+02,2.045009e+02,2.102927e+02,2.002707e+02,1.800984e+02,1.512440e+02,1.380721e+02,1.145065e+02,6.577521e+01,2.257793e+01,2.303985e+00,1.147389e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.566883e+00,4.590430e+01,3.993301e+01,-1.593979e+00,-2.937775e+01,-3.393890e+01,-5.344452e+01,-6.448740e+01,-7.807681e+01,-9.159314e+01,-7.853189e+01,-4.990901e+01,-1.787664e+01,1.523941e+01,3.939384e+01,4.314515e+01,4.268840e+01,3.613632e+01,1.937874e+01,2.179932e+00,1.088902e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.224684e+00,2.791297e+01,2.055130e+01,1.533032e+01,8.201778e+00,1.062413e+01,2.632006e+00,-4.706489e+00,-1.809348e+01,-4.150996e+01,-5.863956e+01,-6.319317e+01,-6.402884e+01,-5.800384e+01,-3.565672e+01,-2.533630e+01,-1.294783e+01,8.284588e+00,1.460804e+01,1.978527e+00,9.936222e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.771368e+00,1.558526e+01,1.242301e+01,1.253312e+01,9.127956e+00,-8.956804e+00,-3.397951e+01,-3.992267e+01,-4.058612e+01,-4.839003e+01,-5.697204e+01,-5.632869e+01,-4.987023e+01,-4.012488e+01,-3.605326e+01,-3.070984e+01,-2.211540e+01,-3.389713e+00,8.989429e+00,1.707545e+00,8.647690e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.230954e+00,-2.939150e-01,-7.582237e+00,-1.504757e+01,-1.968161e+01,-1.675439e+01,-1.140380e+01,-4.548723e+00,6.176931e+00,6.315185e-01,-6.427611e+00,-1.275569e+01,-1.069470e+01,-6.598513e+00,-2.895946e+00,-1.253294e+00,-3.414857e-01,1.100650e+00,3.326959e+00,1.377419e+00,7.066961e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.319827e-01,-1.874193e+01,-2.510352e+01,-1.521742e+01,-6.455741e+00,-1.139214e+01,-3.166773e+01,-4.047002e+01,-1.856224e+01,-1.531643e+00,3.416216e+00,4.220576e+00,3.789227e+00,5.164963e+00,1.012663e+01,1.510212e+01,1.696846e+01,9.641506e+00,-1.646448e+00,1.000785e+00,5.247444e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.908086e-03,-2.780072e+01,-3.580404e+01,-3.757048e+01,-3.366278e+01,-3.678836e+01,-4.083350e+01,-3.947662e+01,-3.347329e+01,-2.606240e+01,-2.318314e+01,-1.814206e+01,-1.257789e+01,-6.631338e+00,-4.051502e+00,3.602919e+00,1.208274e+01,9.708630e+00,-5.397481e+00,5.919651e-01,3.250622e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.146209e-01,-2.418290e+01,-2.321063e+01,-2.696333e+01,-2.318026e+01,-2.176954e+01,-8.007961e+00,6.181799e-01,-3.808667e+00,-5.518718e+00,-6.453370e+00,-9.708427e+00,-1.435488e+01,-1.734810e+01,-1.822332e+01,-1.517813e+01,-5.628074e+00,-1.197675e+00,-7.671428e+00,1.663639e-01,1.143965e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.197541e+00,-1.967899e+01,-9.817333e+00,6.312266e+00,1.846751e+01,1.619156e+01,4.014358e+00,-4.758816e+00,-8.352535e+00,-1.324666e+01,-1.642641e+01,-1.660430e+01,-1.305262e+01,-1.056203e+01,-1.704152e+01,-2.110885e+01,-1.873543e+01,-1.493946e+01,-8.507597e+00,-2.601351e-01,-1.001346e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.713132e+00,-2.297946e+01,-2.931207e+01,-2.957502e+01,-2.421012e+01,-1.504577e+01,-5.068357e+00,2.588536e-01,7.263816e+00,1.669444e+00,-6.400888e+00,-1.192934e+01,-9.178329e+00,-7.659832e+00,-1.092636e+01,-1.607756e+01,-2.046150e+01,-2.124487e+01,-8.192322e+00,-6.718640e-01,-3.112822e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.135588e+00,-2.678218e+01,-4.039261e+01,-4.814639e+01,-4.288066e+01,-4.474635e+01,-4.018097e+01,-2.943222e+01,-1.666740e+01,-1.231575e+01,-1.176062e+01,-1.257341e+01,-1.886332e+01,-1.794708e+01,-1.266440e+01,-1.195260e+01,-1.519654e+01,-1.689700e+01,-7.165178e+00,-1.053945e+00,-5.119120e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.444381e+00,-2.133316e+01,-1.782021e+01,-5.620329e+00,2.157664e+00,8.807234e+00,-1.128525e+00,-9.962475e+00,-1.646609e+01,-1.939883e+01,-2.066600e+01,-1.913216e+01,-2.182309e+01,-2.043886e+01,-1.934652e+01,-1.209324e+01,-9.251083e+00,-7.621947e+00,-5.903533e+00,-1.392887e+00,-6.952446e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
