Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.188822e+02,-5.068496e+02,-4.950106e+02,-4.385269e+02,-2.988498e+02,-1.875872e+02,-1.210316e+02,-9.659323e+01,-7.776493e+01,-9.292058e+01,-1.052096e+02,-7.380374e+01,-5.126970e+01,-4.766458e+01,-7.348676e+01,-1.305418e+02,-2.039317e+02,-2.806660e+02,-3.527787e+02,-4.259477e+02,-4.866852e+02,-5.053963e+02,-5.040412e+02,-4.995345e+02,-5.027344e+02,-5.021303e+02,-5.069204e+02
3.173160e+01,4.324714e+01,4.902538e+01,4.428738e+01,4.090791e+01,5.625010e+01,4.360302e+01,2.318258e+01,5.934174e+00,1.125495e+01,1.008681e+01,1.002475e+00,1.634205e+01,4.423682e+01,8.105166e+01,1.132856e+02,1.392814e+02,1.508599e+02,1.470368e+02,1.141414e+02,6.207025e+01,4.394913e+01,4.426755e+01,4.938609e+01,4.711865e+01,4.641096e+01,4.260361e+01
1.886395e+01,2.105059e+01,2.318464e+01,3.388226e+01,3.351544e+01,1.242306e+01,-1.347198e+01,-2.652036e+01,-3.305114e+01,-2.813636e+01,-1.624839e+01,-1.726377e+01,-3.970299e+01,-5.797778e+01,-5.608257e+01,-3.886205e+01,-7.281754e+00,1.822047e+01,1.706799e+01,1.980026e+01,2.250870e+01,1.851107e+01,1.684396e+01,1.964194e+01,2.020604e+01,1.767596e+01,1.895782e+01
9.172022e+00,9.218457e+00,4.667323e+00,-2.393565e+00,9.293443e-01,-6.208294e-01,1.043378e+00,-1.750172e+00,-4.877674e+00,-1.250540e+01,-1.372420e+01,-1.457494e+01,-2.007940e+01,-3.256480e+01,-4.529876e+01,-4.812972e+01,-3.923881e+01,-3.101694e+01,-2.203175e+01,-1.407694e+01,2.698254e+00,3.671201e+00,2.861729e+00,4.503302e+00,4.163749e+00,2.929662e+00,5.654809e+00
7.919011e+00,1.239054e+01,1.566379e+01,2.478269e+01,1.443183e+01,-2.529985e+00,-3.074569e+01,-3.424302e+01,-2.886975e+01,-2.213544e+01,-1.253720e+01,-1.887572e+01,-1.979755e+01,-1.712630e+01,-1.985629e+01,-1.932327e+01,-8.810369e+00,-6.657146e-01,5.734866e+00,5.116437e+00,6.324510e+00,6.125605e+00,7.090537e+00,8.983224e+00,7.141088e+00,8.266939e+00,8.788277e+00
1.189258e+01,1.750018e+01,1.866354e+01,4.115000e+00,-8.344915e+00,7.414935e-01,2.363977e+01,3.870836e+01,4.637051e+01,4.499124e+01,5.162952e+01,5.497301e+01,5.025503e+01,4.822707e+01,4.342275e+01,3.901924e+01,3.309047e+01,2.822528e+01,1.524534e+01,1.307497e+01,1.008944e+01,1.298073e+01,1.364824e+01,1.597143e+01,1.613011e+01,1.709045e+01,1.579591e+01
1.456558e+01,1.410694e+01,1.197995e+01,1.978250e+01,1.185286e+00,-1.637737e+01,-2.903699e+01,-2.695967e+01,-2.609477e+01,-3.082786e+01,-3.499139e+01,-3.283923e+01,-3.334173e+01,-3.838412e+01,-4.144044e+01,-3.971013e+01,-3.343668e+01,-2.344582e+01,-7.949421e+00,1.310768e+00,4.384067e+00,1.199342e+01,1.135082e+01,1.342169e+01,1.671091e+01,1.580091e+01,1.473406e+01
1.288265e+01,6.099649e+00,2.621909e-01,6.558006e+00,5.102448e+00,1.471384e+01,3.646748e+01,5.082969e+01,4.467628e+01,4.710625e+01,4.347958e+01,3.870201e+01,3.802699e+01,2.957143e+01,2.376453e+01,2.162868e+01,1.323796e+01,5.485567e+00,5.573188e+00,4.229535e-01,4.221550e-01,5.271559e+00,4.794097e+00,6.011599e+00,9.300598e+00,7.819756e+00,7.223927e+00
8.332249e+00,2.036623e+00,-1.507793e+00,-8.197453e+00,-2.381930e+01,-1.469533e+01,-5.096660e+00,-1.421271e+00,-1.220049e+00,1.165365e+00,1.000168e+00,-2.594199e+00,-4.538231e-01,3.817924e+00,5.646408e+00,6.940523e+00,6.698908e+00,9.674822e-01,3.477728e+00,7.929950e+00,3.926369e+00,1.191867e+00,2.239557e+00,2.903714e+00,3.355436e+00,2.753952e+00,1.042610e+00
3.296701e+00,2.292219e+00,4.330870e+00,1.168869e+01,4.882734e+00,-7.781709e+00,-2.435759e+00,4.857130e+00,-8.622025e-01,-4.618494e+00,1.974474e+00,1.108862e+01,1.746902e+01,1.699836e+01,1.501162e+01,1.532692e+01,1.075039e+01,1.209878e+01,8.711567e+00,4.820908e+00,6.308025e+00,1.226934e+00,3.238708e+00,4.549360e+00,2.612097e+00,2.360371e+00,-1.894265e+00
