Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-5.339003e+02,-5.175698e+02,-5.140389e+02,-5.124314e+02,-4.035952e+02,-1.898196e+02,-9.738243e+01,-7.062036e+01,-6.913652e+01,-8.878109e+01,-8.191855e+01,-5.558409e+01,-5.021300e+01,-6.864092e+01,-1.201796e+02,-2.017468e+02,-2.714917e+02,-3.523426e+02,-4.373191e+02,-5.011006e+02,-5.103509e+02,-5.111607e+02,-5.140352e+02,-5.096258e+02,-5.063287e+02,-5.054048e+02,-5.055108e+02,-5.122225e+02,-5.285479e+02
4.278398e+01,5.815170e+01,5.858733e+01,5.959409e+01,6.383073e+01,7.195279e+01,6.114255e+01,3.140628e+01,9.739172e+00,1.452297e+01,1.217078e+01,2.085643e+01,4.541191e+01,7.941678e+01,1.144983e+02,1.356616e+02,1.433625e+02,1.487126e+02,1.159391e+02,6.779358e+01,6.147372e+01,6.179938e+01,5.965678e+01,6.185962e+01,6.176628e+01,6.501761e+01,6.480849e+01,5.830560e+01,4.611357e+01
1.987934e+01,2.186134e+01,1.774730e+01,1.721259e+01,1.563445e+01,-1.682558e+01,-3.463625e+01,-4.056397e+01,-4.386654e+01,-3.895876e+01,-3.514599e+01,-5.238651e+01,-7.515295e+01,-8.451134e+01,-7.544548e+01,-4.509866e+01,-2.298505e+01,-1.412268e+01,-8.159038e-01,1.043012e+01,1.506842e+01,1.773352e+01,1.943144e+01,1.706708e+01,1.169060e+01,1.581095e+01,1.676033e+01,1.570450e+01,1.682057e+01
6.223796e+00,3.891105e+00,2.804513e+00,2.405937e+00,-1.215307e+01,-1.426300e+01,-3.432479e+00,-1.345893e+00,-8.886218e+00,-1.288124e+01,-1.341202e+01,-1.140205e+01,-1.994660e+01,-2.643403e+01,-3.333593e+01,-4.151574e+01,-3.038517e+01,-2.428609e+01,-2.431304e+01,-9.259293e+00,-2.196857e+00,3.736435e-01,2.684629e+00,4.018680e-01,-5.123675e+00,-4.541999e+00,-2.381637e+00,-8.596349e-02,2.269573e+00
8.210008e+00,1.029541e+01,1.089975e+01,1.041719e+01,2.539841e+00,-3.286983e+01,-4.508844e+01,-4.277530e+01,-3.237057e+01,-1.939741e+01,-2.022283e+01,-2.532542e+01,-3.104083e+01,-3.537440e+01,-3.106205e+01,-2.307137e+01,-9.779202e+00,5.967779e+00,1.032055e+01,8.427973e+00,1.191267e+01,1.181184e+01,1.110004e+01,1.130418e+01,6.227353e+00,3.180009e+00,4.083631e+00,6.218982e+00,6.358099e+00
1.429886e+01,1.885969e+01,1.614125e+01,1.471391e+01,-1.174724e+01,-6.079062e+00,1.315653e+01,3.506950e+01,4.303096e+01,4.908047e+01,5.497851e+01,5.545154e+01,5.640758e+01,5.104093e+01,4.339613e+01,3.915091e+01,3.306329e+01,1.788935e+01,1.705150e+01,2.067704e+01,2.342014e+01,2.098837e+01,1.870206e+01,2.352136e+01,2.085024e+01,1.783609e+01,1.643919e+01,1.491825e+01,1.246130e+01
1.251367e+01,1.392974e+01,1.160483e+01,1.057931e+01,-6.614747e+00,-3.276341e+01,-4.258949e+01,-3.864451e+01,-3.374949e+01,-3.007263e+01,-3.185020e+01,-3.481812e+01,-3.626173e+01,-3.867064e+01,-3.776909e+01,-3.323403e+01,-2.585735e+01,-8.120318e+00,8.916146e-01,1.208247e+01,1.567754e+01,1.340232e+01,1.083046e+01,1.551500e+01,1.641291e+01,1.758991e+01,1.548611e+01,1.164469e+01,9.966576e+00
3.976573e+00,2.477950e+00,3.703263e+00,4.481039e+00,1.128917e+01,2.329836e+01,3.707914e+01,4.594630e+01,4.668958e+01,4.140404e+01,4.192706e+01,4.183910e+01,4.028193e+01,3.442102e+01,2.909992e+01,1.985986e+01,5.704566e+00,1.821910e+00,1.584909e+00,1.668755e+00,2.191889e+00,1.328290e+00,-1.097018e+00,-2.577237e+00,1.119750e+00,4.941685e+00,5.554500e+00,5.623615e+00,4.546355e+00
-2.601280e+00,-2.730701e+00,-3.102038e+00,-1.482236e+00,-1.814275e+01,-1.433125e+01,-1.433685e+01,-1.167130e+01,-1.322296e+01,-1.475122e+01,-9.592452e+00,-4.434250e+00,-1.348524e+00,1.954628e+00,4.858610e+00,1.061091e+01,5.244881e+00,1.337850e+01,9.464329e+00,1.446589e+00,-1.877962e+00,-2.742558e+00,-3.557757e+00,-7.487809e+00,-1.033456e+00,-1.709636e-01,3.288596e+00,8.558259e+00,3.690694e+00
-3.262999e+00,-1.241516e+00,-4.427191e+00,-3.136433e+00,3.356766e-01,-8.728069e+00,-8.269093e-01,4.151886e+00,-1.995369e+00,-7.973173e+00,-3.972801e+00,-3.375923e+00,-1.274121e+00,2.812325e+00,-2.294632e+00,-5.025920e+00,-1.996116e+00,3.188992e+00,3.359391e-01,3.850822e+00,2.043346e+00,7.414073e-03,-2.106122e+00,-5.764709e+00,-8.310572e-01,-1.776601e+00,9.976675e-01,6.421386e+00,4.384457e+00
-8.392863e-01,-4.718626e-01,-7.264401e-01,5.025020e-01,4.280263e+00,9.496926e+00,5.417382e-01,-1.618636e+01,-2.661353e+01,-3.190719e+01,-2.678033e+01,-2.640091e+01,-2.435025e+01,-1.939285e+01,-2.016469e+01,-2.107097e+01,-1.518180e+01,-1.109033e+01,-1.061575e+01,1.232128e+00,3.757565e+00,2.518135e+00,-3.165221e+00,-7.261309e+00,-6.147763e+00,-4.709343e+00,-3.394851e+00,-1.260756e+00,1.866203e+00
1.506687e+00,-1.488322e+00,7.635778e-01,8.780490e-01,5.055771e+00,1.201099e+01,9.828516e+00,6.276859e+00,6.804281e+00,3.881102e+00,2.220785e+00,-4.604329e+00,-5.027091e+00,-1.475997e+00,9.821030e-01,4.312286e+00,6.234488e+00,2.747443e-01,-6.953978e+00,-4.277946e+00,-1.071997e+00,1.118856e+00,-2.404545e+00,-5.062570e+00,-4.756122e+00,-2.594320e+00,-2.963196e+00,-2.822806e+00,-1.223689e+00
2.829272e+00,8.311667e-01,8.324392e-01,-3.474626e+00,-7.163255e+00,-1.568986e+01,-2.517351e+01,-3.135626e+01,-2.574389e+01,-2.359603e+01,-2.422174e+01,-2.508838e+01,-2.393858e+01,-2.126566e+01,-1.438757e+01,-1.103981e+01,-1.075523e+01,-5.579700e+00,-4.746653e+00,-7.061583e+00,-6.430996e+00,-1.645650e+00,1.242989e+00,-1.129572e+00,-2.272259e+00,-2.790204e+00,-3.573549e+00,-1.205331e+00,-7.483095e-01
