Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.048037e+02,-4.976989e+02,-5.044304e+02,-5.073958e+02,-5.088931e+02,-5.099266e+02,-5.085736e+02,-4.993731e+02,-4.106502e+02,-2.648452e+02,-1.941926e+02,-1.653902e+02,-1.673533e+02,-1.704718e+02,-1.335766e+02,-1.128859e+02,-1.235209e+02,-1.653218e+02,-2.252115e+02,-2.933969e+02,-3.664729e+02,-4.335907e+02,-4.868226e+02,-5.124397e+02,-5.120142e+02,-5.091454e+02,-5.081425e+02,-5.107325e+02,-5.093308e+02,-5.079939e+02,-5.113766e+02
6.218290e+01,6.669394e+01,5.712789e+01,5.429880e+01,5.212869e+01,5.077687e+01,5.190945e+01,5.386132e+01,8.127641e+01,1.108316e+02,1.053471e+02,9.283125e+01,8.982472e+01,9.435558e+01,1.108511e+02,1.445774e+02,1.636511e+02,1.664367e+02,1.647483e+02,1.537882e+02,1.335368e+02,1.051982e+02,6.385134e+01,4.320107e+01,4.433698e+01,4.949163e+01,4.988419e+01,5.012672e+01,5.092864e+01,5.156854e+01,4.918278e+01
3.876981e+01,3.277851e+01,2.353683e+01,2.438497e+01,2.327479e+01,2.107283e+01,1.999612e+01,1.189163e+01,-3.147532e+01,-6.059468e+01,-7.744279e+01,-8.666194e+01,-8.266164e+01,-8.411986e+01,-1.217699e+02,-1.352605e+02,-1.140343e+02,-8.760976e+01,-6.445332e+01,-2.990774e+01,-9.662378e+00,-8.285070e+00,6.455581e+00,9.756145e+00,1.138377e+01,1.580350e+01,1.466464e+01,2.087215e+01,1.993430e+01,1.762421e+01,1.921393e+01
2.302369e+01,1.218597e+01,3.644970e+00,8.237315e+00,9.612670e+00,4.759457e+00,1.851317e+00,3.987847e+00,1.306667e+01,1.927504e+01,1.849430e+01,1.377789e+01,9.882273e+00,2.310096e+00,-1.310596e+01,-4.102184e+01,-4.761381e+01,-4.499453e+01,-4.067958e+01,-3.941038e+01,-3.797768e+01,-3.663990e+01,-8.563893e+00,-2.040051e+00,-9.767960e-01,-8.613698e-01,-3.037868e+00,3.962160e+00,3.269788e+00,-9.377545e-01,1.285221e+00
2.043523e+01,1.305352e+01,4.906769e+00,1.008131e+01,1.262485e+01,5.669885e+00,3.588944e+00,1.299154e+01,1.908391e+01,-1.820928e+00,-1.719082e+01,-2.244686e+01,-2.165821e+01,-2.197233e+01,-1.709836e+01,-2.350542e+01,-2.849794e+01,-2.956738e+01,-1.790160e+01,-9.282575e+00,-3.695926e+00,-4.708846e-01,6.528366e+00,4.434740e+00,4.352643e+00,3.150449e+00,-1.178788e-01,4.037659e+00,4.658341e+00,1.929715e+00,1.902556e+00
2.046291e+01,1.844657e+01,1.137517e+01,1.390488e+01,1.512687e+01,9.205202e+00,9.095606e+00,1.033936e+01,-3.097795e+00,1.789568e+01,3.281588e+01,4.780640e+01,6.078638e+01,6.581402e+01,6.527486e+01,5.734142e+01,4.772078e+01,3.831508e+01,2.867113e+01,3.063984e+01,2.536532e+01,1.259614e+01,9.789473e+00,8.540821e+00,7.067669e+00,8.594361e+00,6.185291e+00,7.594762e+00,7.456217e+00,7.350799e+00,6.698060e+00
1.433175e+01,1.372291e+01,9.752936e+00,9.808594e+00,9.736258e+00,6.841640e+00,6.849142e+00,4.719838e+00,1.480998e+00,-1.174084e+01,-1.984282e+01,-2.734720e+01,-3.240709e+01,-3.702726e+01,-3.782753e+01,-3.175108e+01,-3.563754e+01,-3.231820e+01,-3.013044e+01,-2.106270e+01,-1.140500e+01,-2.578205e-01,1.294430e+00,6.783910e+00,4.811679e+00,6.397002e+00,7.459639e+00,6.488196e+00,3.445844e+00,3.013896e+00,4.459594e+00
5.709352e+00,3.402761e+00,2.506543e+00,2.174780e+00,2.863268e+00,2.085334e+00,1.212135e+00,4.734007e+00,-5.845957e+00,-7.630996e+00,5.699749e+00,1.099711e+01,7.462063e+00,5.266536e+00,1.799662e+00,7.577980e+00,4.925039e+00,6.924219e+00,7.604710e+00,1.075046e+01,8.974669e+00,4.810462e+00,1.722066e+00,4.882908e+00,4.595837e+00,3.319088e+00,5.890519e+00,3.702956e+00,-5.346075e-01,-3.543705e+00,-1.028701e+00
1.610283e+00,-1.407857e+00,-1.992610e+00,-1.825246e+00,6.408697e-01,2.687474e-01,-3.618769e-01,2.232124e+00,-1.213888e+01,-1.612901e+00,2.000882e+00,1.012570e+01,1.390228e+01,1.568073e+01,1.952076e+01,2.012258e+01,1.844418e+01,2.883596e+01,3.087049e+01,2.001214e+01,1.544096e+01,2.050031e+01,1.096014e+01,4.302854e+00,4.821740e+00,2.799510e+00,3.588330e+00,2.321712e+00,6.712738e-01,-2.929272e+00,-2.305063e+00
7.114802e-01,-5.794799e-01,-1.321911e+00,-6.513250e-01,1.886772e+00,7.625797e-01,8.814729e-01,-1.895043e+00,-3.263526e+00,-1.965019e+01,-2.020501e+01,-1.400828e+01,-1.213031e+01,-7.183565e+00,-8.306383e-01,-1.600345e+00,-2.956772e-01,7.490554e+00,9.682083e+00,7.244032e+00,3.558028e+00,1.471751e+01,1.490393e+01,5.373920e+00,2.137622e+00,3.093423e-01,6.732510e-01,1.505240e-01,1.652520e+00,5.965340e-01,-6.234261e-01
